market,time,open,high,low,close,volume
ACH-EUR,1741132800000,0.02458,0.025365,0.024053,0.024443,4204614.90621894
ACH-EUR,1741046400000,0.024927,0.025531,0.023782,0.025336,17772217.10083459
ACH-EUR,1740960000000,0.029625,0.030075,0.025087,0.025315,11588529.19706296
ACH-EUR,1740873600000,0.028553,0.030343,0.027571,0.029955,19791881.25742317
ACH-EUR,1740787200000,0.030405,0.03108,0.028253,0.029053,6821623.7163541
ACH-EUR,1740700800000,0.0287,0.031029,0.027941,0.030759,22005802.10781503
ACH-EUR,1740614400000,0.030125,0.030891,0.028397,0.028813,10908619.18561415
ACH-EUR,1740528000000,0.028848,0.032417,0.028437,0.030064,37919959.59515514
ACH-EUR,1740441600000,0.027096,0.02957,0.02586,0.028966,32454434.32345566
ACH-EUR,1740355200000,0.030198,0.030439,0.026729,0.027068,13952302.13732663
ACH-EUR,1740268800000,0.032034,0.032371,0.02974,0.030391,16290930.59360778
ACH-EUR,1740182400000,0.032991,0.033015,0.031649,0.032119,21575512.53173586
ACH-EUR,1740096000000,0.03596,0.036943,0.032723,0.033076,31660838.57644498
ACH-EUR,1740009600000,0.032889,0.038264,0.031742,0.035762,59678082.70424467
ACH-EUR,1739923200000,0.034631,0.0359,0.031797,0.032953,76208500.70257235
ACH-EUR,1739836800000,0.028444,0.036365,0.028427,0.034729,186863822.86887038
ACH-EUR,1739750400000,0.025442,0.031148,0.023813,0.028314,77333345.89383128
ACH-EUR,1739664000000,0.02354,0.028988,0.023443,0.025527,128198142.89570569
ACH-EUR,1739577600000,0.024623,0.024926,0.023313,0.023607,4361986.28440719
ACH-EUR,1739491200000,0.024935,0.025385,0.024103,0.024726,3896164.44291861
ACH-EUR,1739404800000,0.026062,0.026062,0.023909,0.024681,9808526.31494128
ACH-EUR,1739318400000,0.026037,0.026338,0.024452,0.026118,17582934.73645356
ACH-EUR,1739232000000,0.028,0.029615,0.02555,0.026076,27439227.38838744
ACH-EUR,1739145600000,0.028107,0.028994,0.027332,0.028304,9943809.90353187
