market,time,open,high,low,close,volume
ADA-USDC,1741219200000,0.97495,0.97495,0.97495,0.97495,2595.012309
ADA-USDC,1741132800000,0.972,1.016,0.91667,0.96433,338879.904146
ADA-USDC,1741046400000,0.80437,0.95497,0.774,0.92971,730618.349985
ADA-USDC,1740960000000,1.06,1.1601,0.83247,0.863,1032748.02556
ADA-USDC,1740873600000,0.66281,1.1518,0.64546,1.0882,1594550.842235
ADA-USDC,1740787200000,0.63344,0.67344,0.62654,0.66707,129138.450571
ADA-USDC,1740700800000,0.64441,0.64441,0.58027,0.63401,419384.450519
ADA-USDC,1740614400000,0.64647,0.67674,0.63106,0.64469,298584.532763
ADA-USDC,1740528000000,0.68261,0.69259,0.63093,0.64374,255922.177922
ADA-USDC,1740441600000,0.68612,0.69162,0.63215,0.68116,1007220.879435
ADA-USDC,1740355200000,0.77281,0.77317,0.67736,0.6786,319910.7695
ADA-USDC,1740268800000,0.77292,0.78718,0.76,0.77167,135141.062011
ADA-USDC,1740182400000,0.75834,0.7828,0.75834,0.77477,144569.030804
ADA-USDC,1740096000000,0.80328,0.81917,0.75185,0.76297,216041.408137
ADA-USDC,1740009600000,0.7775,0.80935,0.77378,0.80218,234154.402914
ADA-USDC,1739923200000,0.75158,0.77551,0.73347,0.7729,114822.429524
ADA-USDC,1739836800000,0.81158,0.81362,0.74089,0.75589,150655.648587
ADA-USDC,1739750400000,0.7733,0.82638,0.7733,0.80373,163217.291139
ADA-USDC,1739664000000,0.77995,0.78795,0.76808,0.77314,73720.113812
ADA-USDC,1739577600000,0.79916,0.81198,0.77866,0.78324,144114.73834
ADA-USDC,1739491200000,0.80022,0.82691,0.7933,0.80022,127820.338407
ADA-USDC,1739404800000,0.79303,0.82623,0.77184,0.80462,156828.35513
ADA-USDC,1739318400000,0.78266,0.8,0.75162,0.79404,159194.759949
ADA-USDC,1739232000000,0.73,0.818,0.72867,0.77938,519052.205744
ADA-USDC,1739145600000,0.68235,0.71772,0.664,0.70694,83615.305277
ADA-USDC,1739059200000,0.69915,0.70979,0.65178,0.68095,159856.513558
ADA-USDC,1738972800000,0.70667,0.71502,0.68618,0.70494,55121.136128
ADA-USDC,1738886400000,0.71471,0.752,0.69193,0.70691,130361.353187
ADA-USDC,1738800000000,0.74579,0.76311,0.7,0.70543,64103.532618
ADA-USDC,1738713600000,0.752,0.774,0.72847,0.72847,52925.932736
ADA-USDC,1738627200000,0.81701,0.81718,0.71853,0.7427,63692.117723
ADA-USDC,1738540800000,0.79077,0.81883,0.53338,0.81883,408122.616636
ADA-USDC,1738454400000,0.89506,0.89506,0.75649,0.80035,79538.467684
ADA-USDC,1738368000000,0.94726,0.94726,0.89059,0.89059,53090.873503
ADA-USDC,1738281600000,0.95533,0.97963,0.94154,0.94312,48906.092281
ADA-USDC,1738195200000,0.96068,0.988,0.95396,0.96657,74210.519832
ADA-USDC,1738108800000,0.92601,0.95931,0.906,0.93996,62848.354836
ADA-USDC,1738022400000,0.9313,0.96644,0.906,0.91464,40451.819712
ADA-USDC,1737936000000,0.95,0.95,0.862,0.93131,67664.74345
ADA-USDC,1737849600000,0.97984,0.99838,0.95453,0.95453,21048.373579
ADA-USDC,1737763200000,0.97754,0.98863,0.97356,0.98152,12632.038943
ADA-USDC,1737676800000,0.97628,1.0068,0.96674,0.96868,63458.806179
ADA-USDC,1737590400000,0.98298,1.0037,0.95353,0.994,106538.089703
ADA-USDC,1737504000000,1.0106,1.016,0.97933,0.98037,62102.09603
ADA-USDC,1737417600000,1.0105,1.0189,0.95301,1.0076,99605.668405
ADA-USDC,1737331200000,0.97511,1.0939,0.972,1.016,105306.149042
ADA-USDC,1737244800000,1.12,1.1302,0.9624,0.994,198231.297092
ADA-USDC,1737158400000,1.126,1.126,1.0518,1.104,59527.297934
ADA-USDC,1737072000000,1.0984,1.164,1.0956,1.1268,78571.987401
ADA-USDC,1736985600000,1.06,1.17,1.0328,1.082,109778.87418
ADA-USDC,1736899200000,0.99399,1.0826,0.98806,1.0826,191238.271676
ADA-USDC,1736812800000,0.94309,1.0037,0.94309,0.9908,46394.340688
ADA-USDC,1736726400000,0.96665,0.9913,0.88203,0.95,53184.538276
ADA-USDC,1736640000000,0.99452,1.0299,0.96148,0.96387,78807.949746
ADA-USDC,1736553600000,0.92174,1.016,0.91826,0.994,39872.735838
ADA-USDC,1736467200000,0.91368,0.972,0.906,0.928,70388.972752
ADA-USDC,1736380800000,0.94758,0.95962,0.88228,0.89974,99432.430199
ADA-USDC,1736294400000,1.006,1.0184,0.90957,0.95169,128579.494998
ADA-USDC,1736208000000,1.0908,1.15,0.99,0.9903,170851.758041
ADA-USDC,1736121600000,1.082,1.1127,1.0618,1.0959,103396.274749
ADA-USDC,1736035200000,1.0712,1.109,1.0583,1.0961,122266.990206
ADA-USDC,1735948800000,1.0935,1.1047,1.0592,1.0738,38495.65687
ADA-USDC,1735862400000,0.96378,1.1169,0.96378,1.0916,156673.248953
ADA-USDC,1735776000000,0.92562,0.97888,0.92523,0.96229,38537.251701
ADA-USDC,1735689600000,0.855,0.928,0.83858,0.91687,86493.30713
ADA-USDC,1735603200000,0.84766,0.86761,0.84,0.84453,25531.060586
ADA-USDC,1735516800000,0.86354,0.89923,0.82988,0.85877,58677.903383
ADA-USDC,1735430400000,0.88746,0.906,0.8507,0.85971,20865.45143
ADA-USDC,1735344000000,0.87242,0.8882,0.87113,0.88537,12504.181866
ADA-USDC,1735257600000,0.85925,0.9072,0.85925,0.87338,209443.403253
ADA-USDC,1735171200000,0.90318,0.90318,0.85531,0.85598,59042.175836
ADA-USDC,1735084800000,0.93314,0.93314,0.906,0.91617,64636.046343
