market,time,open,high,low,close,volume
AERGO-EUR,1741132800000,0.067007,0.070144,0.065541,0.067482,117487.66940318
AERGO-EUR,1741046400000,0.074015,0.077719,0.063842,0.068855,354702.71177724
AERGO-EUR,1740960000000,0.085,0.088629,0.077325,0.078621,53321.55865983
AERGO-EUR,1740873600000,0.089645,0.092574,0.085158,0.086018,23376.00966963
AERGO-EUR,1740787200000,0.08472,0.086489,0.083098,0.083661,7263.8263804
AERGO-EUR,1740700800000,0.084315,0.086135,0.079236,0.086135,29755.65660051
AERGO-EUR,1740614400000,0.084038,0.085158,0.083191,0.083191,14311.97620584
AERGO-EUR,1740528000000,0.081865,0.08311,0.081321,0.082842,4163.18987269
AERGO-EUR,1740441600000,0.082619,0.08295,0.07858,0.082111,59052.44541009
AERGO-EUR,1740355200000,0.089838,0.089838,0.082873,0.083284,4858.33495585
AERGO-EUR,1740268800000,0.092201,0.094778,0.090517,0.09168,55364.15066681
AERGO-EUR,1740182400000,0.088906,0.090538,0.088906,0.089728,5137.77814703
AERGO-EUR,1740096000000,0.092706,0.093019,0.087843,0.087843,8126.01953473
AERGO-EUR,1740009600000,0.087827,0.092871,0.087827,0.092621,35467.93193389
AERGO-EUR,1739923200000,0.083676,0.087138,0.083676,0.087138,289.18239244
AERGO-EUR,1739836800000,0.086175,0.086306,0.082281,0.083224,27434.13388796
AERGO-EUR,1739750400000,0.089251,0.091526,0.084432,0.085656,94574.03478368
AERGO-EUR,1739664000000,0.084792,0.088969,0.084792,0.087071,154114.11686425
AERGO-EUR,1739577600000,0.086734,0.086957,0.084833,0.084947,10655.2190327
AERGO-EUR,1739491200000,0.086431,0.088639,0.085007,0.087288,161303.5662777
AERGO-EUR,1739404800000,0.085785,0.086358,0.084836,0.086341,17322.38917296
AERGO-EUR,1739318400000,0.083147,0.08819,0.082111,0.08819,27589.20564627
AERGO-EUR,1739232000000,0.086412,0.088823,0.083573,0.084625,25287.29469408
AERGO-EUR,1739145600000,0.084041,0.085745,0.082687,0.08566,30038.55035153
AERGO-EUR,1739059200000,0.083846,0.087878,0.083131,0.08403,56675.85216192
AERGO-EUR,1738972800000,0.078812,0.083642,0.078812,0.083642,2980.97276055
AERGO-EUR,1738886400000,0.079053,0.080943,0.078512,0.079351,19672.73151337
AERGO-EUR,1738800000000,0.081479,0.081584,0.077225,0.077839,44802.93710469
AERGO-EUR,1738713600000,0.081607,0.083756,0.079647,0.08127,42904.1519491
AERGO-EUR,1738627200000,0.084356,0.085356,0.079104,0.081924,58173.75268267
AERGO-EUR,1738540800000,0.082997,0.086673,0.067456,0.085503,216586.07331582
AERGO-EUR,1738454400000,0.096084,0.096109,0.083215,0.085083,85394.26762386
AERGO-EUR,1738368000000,0.10269,0.10312,0.094667,0.095413,26233.34404281
AERGO-EUR,1738281600000,0.10264,0.10475,0.10157,0.10299,23717.42432905
AERGO-EUR,1738195200000,0.10313,0.10418,0.1026,0.10313,12213.11512125
AERGO-EUR,1738108800000,0.10026,0.10254,0.098732,0.10214,3764.03191124
AERGO-EUR,1738022400000,0.105,0.105,0.098198,0.098987,32129.26011331
AERGO-EUR,1737936000000,0.10578,0.10578,0.09651,0.10318,55280.66080941
AERGO-EUR,1737849600000,0.10856,0.11241,0.10856,0.10947,48214.18879251
AERGO-EUR,1737763200000,0.103,0.10944,0.103,0.10924,84130.2539428
AERGO-EUR,1737676800000,0.1047,0.10948,0.10434,0.10434,18727.9730048
AERGO-EUR,1737590400000,0.10792,0.10918,0.105,0.10782,13201.57854837
AERGO-EUR,1737504000000,0.11305,0.1131,0.10924,0.10924,28203.24872147
AERGO-EUR,1737417600000,0.11131,0.11465,0.10798,0.11194,76150.6347562
AERGO-EUR,1737331200000,0.10966,0.11842,0.10715,0.11071,243364.75241602
AERGO-EUR,1737244800000,0.11849,0.12106,0.10881,0.10998,282924.5309882
AERGO-EUR,1737158400000,0.12477,0.13039,0.11792,0.11949,434886.76803544
AERGO-EUR,1737072000000,0.12127,0.12504,0.12127,0.1244,91269.21617091
AERGO-EUR,1736985600000,0.12487,0.1249,0.12,0.12076,210578.45560406
AERGO-EUR,1736899200000,0.12377,0.12681,0.11976,0.12634,83465.97070666
AERGO-EUR,1736812800000,0.11946,0.1243,0.11639,0.12376,109307.56391498
AERGO-EUR,1736726400000,0.12925,0.12984,0.1104,0.11712,101313.74006817
AERGO-EUR,1736640000000,0.13706,0.13706,0.12834,0.12834,156277.86040955
AERGO-EUR,1736553600000,0.13109,0.14146,0.1308,0.1346,648328.06421316
AERGO-EUR,1736467200000,0.13808,0.13808,0.128,0.13268,153786.8272323
AERGO-EUR,1736380800000,0.12552,0.13852,0.12416,0.138,1257130.25644536
AERGO-EUR,1736294400000,0.12109,0.12656,0.116,0.12632,210690.13790774
AERGO-EUR,1736208000000,0.13432,0.13557,0.12134,0.12291,491096.84518802
AERGO-EUR,1736121600000,0.13238,0.1355,0.13155,0.13314,411371.59814671
AERGO-EUR,1736035200000,0.13049,0.13637,0.13034,0.13378,839460.8000853
AERGO-EUR,1735948800000,0.13122,0.1318,0.12826,0.13073,1035529.15113437
AERGO-EUR,1735862400000,0.12922,0.13234,0.12724,0.13214,1123548.22775603
AERGO-EUR,1735776000000,0.13193,0.13234,0.12699,0.13029,3549572.95171524
AERGO-EUR,1735689600000,0.15906,0.17184,0.12737,0.13368,4344332.48962413
AERGO-EUR,1735603200000,0.15774,0.17934,0.14609,0.16153,4013466.15053521
AERGO-EUR,1735516800000,0.14878,0.159,0.139,0.159,255315.87736663
AERGO-EUR,1735430400000,0.14839,0.15409,0.14496,0.1479,236249.14824553
AERGO-EUR,1735344000000,0.14527,0.15145,0.1402,0.15145,196308.49686989
AERGO-EUR,1735257600000,0.13929,0.14686,0.13808,0.1445,558276.63919161
AERGO-EUR,1735171200000,0.1393,0.14194,0.13089,0.1395,618308.43828195
AERGO-EUR,1735084800000,0.13722,0.14442,0.13616,0.14052,298763.00414154
AERGO-EUR,1734998400000,0.1337,0.13993,0.13105,0.13837,108705.81777369
AERGO-EUR,1734912000000,0.12763,0.1364,0.12374,0.13538,286050.08781442
AERGO-EUR,1734825600000,0.12932,0.13317,0.12693,0.13023,71351.97519795
AERGO-EUR,1734739200000,0.12853,0.13622,0.12518,0.12518,114501.62976498
AERGO-EUR,1734652800000,0.12375,0.12973,0.10879,0.12973,198973.5043398
AERGO-EUR,1734566400000,0.1298,0.13681,0.11914,0.12375,138687.90072357
AERGO-EUR,1734480000000,0.13379,0.13571,0.12527,0.12944,263388.155746
AERGO-EUR,1734393600000,0.1375,0.142,0.13238,0.13409,175524.83582848
AERGO-EUR,1734307200000,0.1519,0.15232,0.138,0.138,206361.69609133
AERGO-EUR,1734220800000,0.1464,0.15356,0.14346,0.15216,291395.41415479
AERGO-EUR,1734134400000,0.13977,0.15294,0.13792,0.14818,1056236.23682417
AERGO-EUR,1734048000000,0.14675,0.14739,0.13913,0.14111,246265.82041681
AERGO-EUR,1733961600000,0.16017,0.1637,0.14539,0.1481,1319991.46566012
AERGO-EUR,1733875200000,0.1259,0.19655,0.12579,0.16003,13450755.44100791
AERGO-EUR,1733788800000,0.1272,0.13789,0.11714,0.13457,321564.66790079
AERGO-EUR,1733702400000,0.14484,0.14484,0.11608,0.12858,234567.73946367
AERGO-EUR,1733616000000,0.13827,0.145,0.13553,0.145,135518.10697134
AERGO-EUR,1733529600000,0.14052,0.14373,0.13731,0.13752,236815.29535414
AERGO-EUR,1733443200000,0.14011,0.14501,0.13223,0.14032,137118.85465678
AERGO-EUR,1733356800000,0.14758,0.14758,0.13577,0.1395,120225.0336239
AERGO-EUR,1733270400000,0.14071,0.15247,0.13902,0.14663,213414.02107087
AERGO-EUR,1733184000000,0.1388,0.14445,0.12713,0.14329,224967.01558495
AERGO-EUR,1733097600000,0.14147,0.14147,0.12849,0.13909,73084.98770492
AERGO-EUR,1733011200000,0.14185,0.14271,0.13415,0.1422,87568.90657935
AERGO-EUR,1732924800000,0.13826,0.14146,0.13764,0.14124,29588.8512619
AERGO-EUR,1732838400000,0.13755,0.14088,0.13136,0.14052,178974.25113284
AERGO-EUR,1732752000000,0.13456,0.13768,0.13126,0.13768,124895.0406175
AERGO-EUR,1732665600000,0.13405,0.13852,0.12934,0.138,249102.62995358
AERGO-EUR,1732579200000,0.12569,0.13567,0.1227,0.13361,349232.20841112
AERGO-EUR,1732492800000,0.12433,0.12963,0.12069,0.12388,99063.28421411
AERGO-EUR,1732406400000,0.12121,0.12437,0.1151,0.12311,57573.30739402
AERGO-EUR,1732320000000,0.11546,0.12056,0.11546,0.11897,44286.23805907
AERGO-EUR,1732233600000,0.11051,0.11578,0.10897,0.11578,93380.11460838
AERGO-EUR,1732147200000,0.1047,0.1119,0.1047,0.11144,70013.14677283
AERGO-EUR,1732060800000,0.11322,0.11322,0.10501,0.10738,42858.99678707
AERGO-EUR,1731974400000,0.11137,0.11565,0.10997,0.11565,96022.84242904
AERGO-EUR,1731888000000,0.10424,0.11154,0.10374,0.10941,309882.12090201
AERGO-EUR,1731801600000,0.1099,0.1099,0.10299,0.10299,95535.14578576
AERGO-EUR,1731715200000,0.10383,0.11053,0.10383,0.11053,83601.43775526
AERGO-EUR,1731628800000,0.10042,0.11178,0.095968,0.10391,540942.08910232
AERGO-EUR,1731542400000,0.10575,0.10619,0.10027,0.1032,72431.31768669
AERGO-EUR,1731456000000,0.10438,0.10758,0.099003,0.10425,100462.24787199
AERGO-EUR,1731369600000,0.10648,0.12837,0.097729,0.10551,2082951.59511732
AERGO-EUR,1731283200000,0.10319,0.10628,0.09932,0.10628,167258.73997762
AERGO-EUR,1731196800000,0.098028,0.1042,0.096659,0.1011,433280.31475905
AERGO-EUR,1731110400000,0.097228,0.099512,0.09602,0.096609,69844.31349066
AERGO-EUR,1731024000000,0.094541,0.096111,0.093938,0.096001,85023.39489025
AERGO-EUR,1730937600000,0.092471,0.09467,0.09237,0.094032,20267.20060814
AERGO-EUR,1730851200000,0.087828,0.092806,0.087828,0.092806,152230.93274441
AERGO-EUR,1730764800000,0.082827,0.084989,0.082827,0.083583,24241.05436838
AERGO-EUR,1730678400000,0.082696,0.083506,0.081715,0.082818,30091.52998718
AERGO-EUR,1730592000000,0.085358,0.085382,0.081471,0.082917,49105.99621363
AERGO-EUR,1730505600000,0.087604,0.087604,0.084991,0.085752,27546.99040829
AERGO-EUR,1730419200000,0.086941,0.089539,0.085744,0.08734,3130.23940501
AERGO-EUR,1730332800000,0.09219,0.09219,0.086018,0.086018,14328.33392899
AERGO-EUR,1730246400000,0.095172,0.095172,0.091391,0.09208,51711.94098203
AERGO-EUR,1730160000000,0.09144,0.095685,0.089715,0.095245,278303.87324491
AERGO-EUR,1730073600000,0.086128,0.091984,0.086128,0.090045,502684.17158754
AERGO-EUR,1729987200000,0.086939,0.088483,0.086748,0.088483,19951.67396711
AERGO-EUR,1729900800000,0.085753,0.087917,0.085451,0.085451,19592.24149407
AERGO-EUR,1729814400000,0.094491,0.094491,0.084037,0.085055,26123.19984555
AERGO-EUR,1729728000000,0.094448,0.094569,0.092022,0.094407,27378.46345118
AERGO-EUR,1729641600000,0.097302,0.097303,0.092353,0.093116,33492.30430136
AERGO-EUR,1729555200000,0.099044,0.099044,0.096,0.097832,181405.78482987
AERGO-EUR,1729468800000,0.098942,0.10013,0.096755,0.098801,280741.08014737
AERGO-EUR,1729382400000,0.096709,0.099207,0.096067,0.098851,83457.89667987
AERGO-EUR,1729296000000,0.09757,0.097739,0.095991,0.096677,55165.64388568
AERGO-EUR,1729209600000,0.094486,0.09719,0.094486,0.097017,19625.48141382
AERGO-EUR,1729123200000,0.094412,0.094412,0.092414,0.09327,21282.68786285
AERGO-EUR,1729036800000,0.09606,0.09745,0.09485,0.095719,22468.54678059
AERGO-EUR,1728950400000,0.098028,0.098656,0.094915,0.094978,116849.65530506
AERGO-EUR,1728864000000,0.094303,0.099084,0.093673,0.09829,211842.8889947
AERGO-EUR,1728777600000,0.0952,0.0952,0.092321,0.093374,50222.11155002
AERGO-EUR,1728691200000,0.094852,0.096829,0.0943,0.095623,148925.90897281
AERGO-EUR,1728604800000,0.089878,0.095684,0.089878,0.095684,253329.67581959
AERGO-EUR,1728518400000,0.090624,0.091013,0.086855,0.088698,32791.19396607
AERGO-EUR,1728432000000,0.096088,0.096088,0.090291,0.090291,326379.49527823
AERGO-EUR,1728345600000,0.096942,0.098202,0.094188,0.094418,261056.71801732
AERGO-EUR,1728259200000,0.096541,0.10014,0.095301,0.097494,82608.30996484
AERGO-EUR,1728172800000,0.091835,0.097615,0.091522,0.097012,315944.03013993
AERGO-EUR,1728086400000,0.091905,0.092601,0.090439,0.091929,55328.33250527
AERGO-EUR,1728000000000,0.086133,0.091112,0.084981,0.090625,21902.99018908
AERGO-EUR,1727913600000,0.087181,0.087181,0.083358,0.083883,39769.10522058
AERGO-EUR,1727827200000,0.087051,0.087902,0.084588,0.085874,36845.14574555
AERGO-EUR,1727740800000,0.094586,0.096323,0.084423,0.086294,65411.21914932
AERGO-EUR,1727654400000,0.099136,0.099136,0.093538,0.093904,39328.91617057
AERGO-EUR,1727568000000,0.097855,0.10088,0.09706,0.098889,239926.48123926
AERGO-EUR,1727481600000,0.09908,0.099963,0.096568,0.09734,23306.98641684
AERGO-EUR,1727395200000,0.098351,0.10124,0.096834,0.099075,52618.76715526
AERGO-EUR,1727308800000,0.096,0.099194,0.095314,0.099194,45631.58447914
AERGO-EUR,1727222400000,0.10021,0.10021,0.096313,0.097472,77752.90894798
AERGO-EUR,1727136000000,0.10094,0.1103,0.099305,0.10119,589527.88163367
AERGO-EUR,1727049600000,0.097198,0.1003,0.097198,0.097615,224783.80018073
AERGO-EUR,1726963200000,0.10401,0.10401,0.096093,0.097298,240390.24734884
AERGO-EUR,1726876800000,0.095302,0.107,0.093753,0.107,966374.95975159
AERGO-EUR,1726790400000,0.091673,0.10476,0.091589,0.09426,2291091.14897064
AERGO-EUR,1726704000000,0.086604,0.091899,0.08559,0.090059,680764.9158918
AERGO-EUR,1726617600000,0.087017,0.087649,0.081688,0.086259,283704.96218416
AERGO-EUR,1726531200000,0.084821,0.088223,0.083196,0.088206,378111.59090407
AERGO-EUR,1726444800000,0.091015,0.095185,0.082107,0.083898,2233608.83359968
AERGO-EUR,1726358400000,0.084597,0.093818,0.084597,0.090274,3708352.2311476
AERGO-EUR,1726272000000,0.087239,0.087239,0.083502,0.084196,228308.32621894
AERGO-EUR,1726185600000,0.087212,0.090396,0.084996,0.087348,772590.30309101
AERGO-EUR,1726099200000,0.08745,0.08904,0.085056,0.086778,2884888.57073995
AERGO-EUR,1726012800000,0.09298,0.095371,0.086332,0.087907,3756468.45657923
AERGO-EUR,1725926400000,0.080101,0.10386,0.079689,0.093158,15589687.5375994
AERGO-EUR,1725840000000,0.076634,0.079161,0.076526,0.079161,9876.45621496
AERGO-EUR,1725753600000,0.075664,0.076336,0.075498,0.075498,8418.63787321
AERGO-EUR,1725667200000,0.074657,0.075637,0.074657,0.075102,12555.76831639
AERGO-EUR,1725580800000,0.07499,0.075964,0.072699,0.073809,20728.9974159
AERGO-EUR,1725494400000,0.075578,0.075991,0.074407,0.0749,2209.76349578
AERGO-EUR,1725408000000,0.076106,0.079391,0.073358,0.077076,319945.53330238
AERGO-EUR,1725321600000,0.076766,0.078367,0.076331,0.076331,9929.120864
AERGO-EUR,1725235200000,0.076212,0.077468,0.074815,0.077468,2566.1167096
AERGO-EUR,1725148800000,0.078226,0.078782,0.076396,0.076607,13032.83949356
AERGO-EUR,1725062400000,0.078489,0.078994,0.078489,0.078994,188.20470705
AERGO-EUR,1724976000000,0.077531,0.079758,0.07642,0.079758,38595.02285846
AERGO-EUR,1724889600000,0.078766,0.081059,0.077746,0.07873,32756.71775274
AERGO-EUR,1724803200000,0.079503,0.080479,0.078002,0.079888,1421.76069237
AERGO-EUR,1724716800000,0.083696,0.083696,0.078682,0.078682,5392.69459355
AERGO-EUR,1724630400000,0.086417,0.086537,0.083079,0.083079,27981.08742026
AERGO-EUR,1724544000000,0.087355,0.087612,0.084569,0.086791,6915.14285211
AERGO-EUR,1724457600000,0.088506,0.089944,0.087521,0.087601,61411.04298309
AERGO-EUR,1724371200000,0.085653,0.089113,0.084786,0.089037,209633.89131761
AERGO-EUR,1724284800000,0.08686,0.087688,0.085325,0.085818,38230.55900809
AERGO-EUR,1724198400000,0.085094,0.087886,0.084152,0.086092,30703.43810043
AERGO-EUR,1724112000000,0.084248,0.085434,0.082253,0.08382,34432.529062
AERGO-EUR,1724025600000,0.080118,0.086633,0.080118,0.083316,241629.37950825
AERGO-EUR,1723939200000,0.078684,0.080782,0.078245,0.080782,2368.82747921
AERGO-EUR,1723852800000,0.077937,0.08006,0.077455,0.079116,201626.30584972
AERGO-EUR,1723766400000,0.078638,0.079114,0.076683,0.078025,4318.31769338
AERGO-EUR,1723680000000,0.081369,0.085343,0.078628,0.078887,325789.58762622
AERGO-EUR,1723593600000,0.081243,0.082157,0.079354,0.081381,37414.8887121
AERGO-EUR,1723507200000,0.080155,0.081328,0.078195,0.081054,18969.44675474
AERGO-EUR,1723420800000,0.079576,0.081194,0.075917,0.08034,101814.7515714
AERGO-EUR,1723334400000,0.08222,0.088027,0.079662,0.079662,1158136.33851992
AERGO-EUR,1723248000000,0.081809,0.082509,0.081123,0.082129,80266.93207618
AERGO-EUR,1723161600000,0.079122,0.082478,0.078816,0.079779,270947.38875916
AERGO-EUR,1723075200000,0.074626,0.079773,0.074403,0.078166,237112.62268736
AERGO-EUR,1722988800000,0.074705,0.078032,0.070432,0.071216,338765.50714853
AERGO-EUR,1722902400000,0.069724,0.073718,0.069724,0.07339,34368.96811891
AERGO-EUR,1722816000000,0.07,0.07863,0.060651,0.068236,567990.36339609
AERGO-EUR,1722729600000,0.077754,0.078271,0.072434,0.074641,399614.96168575
AERGO-EUR,1722643200000,0.080373,0.080373,0.075526,0.076748,83579.40276028
AERGO-EUR,1722556800000,0.083892,0.085246,0.081075,0.081075,67782.6326103
AERGO-EUR,1722470400000,0.088254,0.089071,0.083564,0.086807,42835.13048883
AERGO-EUR,1722384000000,0.092252,0.093262,0.089679,0.091304,13757.20023969
AERGO-EUR,1722297600000,0.092645,0.096015,0.092448,0.092631,36371.93741303
AERGO-EUR,1722211200000,0.094672,0.099287,0.092791,0.093141,370474.78464287
AERGO-EUR,1722124800000,0.09235,0.11609,0.091113,0.093927,4350146.14216208
AERGO-EUR,1722038400000,0.089392,0.093346,0.089392,0.093346,69014.64222244
AERGO-EUR,1721952000000,0.086474,0.090073,0.086474,0.090073,73922.22430108
AERGO-EUR,1721865600000,0.089082,0.089082,0.083023,0.084163,39697.19396259
AERGO-EUR,1721779200000,0.089864,0.09233,0.088941,0.088941,77918.70647575
AERGO-EUR,1721692800000,0.095358,0.095358,0.088366,0.089943,371366.02121286
AERGO-EUR,1721606400000,0.092934,0.092934,0.089612,0.09018,20605.7018891
AERGO-EUR,1721520000000,0.092763,0.097688,0.090895,0.093657,204761.6541711
AERGO-EUR,1721433600000,0.092639,0.09359,0.09109,0.093139,183011.17240587
AERGO-EUR,1721347200000,0.09179,0.096278,0.087905,0.091484,861782.73710537
AERGO-EUR,1721260800000,0.089008,0.091486,0.086947,0.08749,79971.93219536
AERGO-EUR,1721174400000,0.090142,0.09048,0.087923,0.088519,123609.61527045
AERGO-EUR,1721088000000,0.089384,0.089859,0.085966,0.088983,44796.48464362
AERGO-EUR,1721001600000,0.08658,0.088753,0.086106,0.088574,59301.57994214
AERGO-EUR,1720915200000,0.084412,0.086784,0.084318,0.08644,176156.95596211
AERGO-EUR,1720828800000,0.083969,0.085281,0.082761,0.084758,105646.52151963
AERGO-EUR,1720742400000,0.081881,0.086911,0.081881,0.084204,303326.57170669
AERGO-EUR,1720656000000,0.082905,0.084792,0.081406,0.081406,269585.09804581
AERGO-EUR,1720569600000,0.080262,0.0838,0.080214,0.0838,112794.22102276
AERGO-EUR,1720483200000,0.077123,0.080296,0.077123,0.080072,70815.16258316
AERGO-EUR,1720396800000,0.075025,0.07796,0.072765,0.077428,80321.64753324
AERGO-EUR,1720310400000,0.079331,0.079331,0.075486,0.075535,160481.77547258
AERGO-EUR,1720224000000,0.074117,0.079416,0.07326,0.078656,153318.11775392
AERGO-EUR,1720137600000,0.0747,0.074728,0.066603,0.074464,103972.80188577
AERGO-EUR,1720051200000,0.0802,0.080422,0.074826,0.075326,116438.05632044
AERGO-EUR,1719964800000,0.084101,0.084101,0.08093,0.081552,347495.23120929
AERGO-EUR,1719878400000,0.084752,0.085411,0.083535,0.084753,156429.56005727
AERGO-EUR,1719792000000,0.087253,0.088209,0.084567,0.085838,212766.33028096
AERGO-EUR,1719705600000,0.087961,0.090223,0.081758,0.087462,325290.75980111
AERGO-EUR,1719619200000,0.086149,0.088091,0.084488,0.084562,160480.56603225
AERGO-EUR,1719532800000,0.08784,0.091774,0.084917,0.085282,1081034.06743026
AERGO-EUR,1719446400000,0.084495,0.088638,0.082799,0.087847,544998.36957717
AERGO-EUR,1719360000000,0.084548,0.087541,0.083556,0.084623,750986.47007781
AERGO-EUR,1719273600000,0.080958,0.085309,0.080321,0.08443,593974.21191458
AERGO-EUR,1719187200000,0.08131,0.081906,0.077128,0.081095,390287.20455161
AERGO-EUR,1719100800000,0.0844,0.086098,0.081035,0.081382,460294.65853847
AERGO-EUR,1719014400000,0.081789,0.086637,0.08152,0.084612,1623362.50586018
AERGO-EUR,1718928000000,0.08055,0.083156,0.07972,0.082057,588166.09059302
AERGO-EUR,1718841600000,0.082646,0.083773,0.080084,0.080746,2958837.58494603
