market,time,open,high,low,close,volume
ALT-EUR,1741132800000,0.035127,0.036511,0.034467,0.035228,810335.483
ALT-EUR,1741046400000,0.035714,0.037455,0.032856,0.034926,869665.448
ALT-EUR,1740960000000,0.043791,0.045416,0.036636,0.037722,1981407.436
ALT-EUR,1740873600000,0.040848,0.046161,0.040469,0.044358,1618264.974
ALT-EUR,1740787200000,0.040513,0.04251,0.040226,0.040894,1076863.417
ALT-EUR,1740700800000,0.041333,0.042808,0.037931,0.042603,2153334.659
ALT-EUR,1740614400000,0.040075,0.042559,0.039871,0.041248,2468328.372
ALT-EUR,1740528000000,0.038754,0.040805,0.037557,0.040105,3698626.734
ALT-EUR,1740441600000,0.037457,0.03926,0.034206,0.038771,3305236.331
ALT-EUR,1740355200000,0.043637,0.043795,0.036197,0.037037,2195629.307
ALT-EUR,1740268800000,0.046656,0.046933,0.044,0.044427,970918.854
ALT-EUR,1740182400000,0.043822,0.047217,0.043445,0.046388,1387525.568
ALT-EUR,1740096000000,0.047219,0.048898,0.043465,0.044158,1353421.955
ALT-EUR,1740009600000,0.043534,0.048192,0.04353,0.047309,3120914.32
ALT-EUR,1739923200000,0.042608,0.043875,0.041733,0.043614,1915168.83
ALT-EUR,1739836800000,0.045734,0.045862,0.0405,0.042649,1370895.334
ALT-EUR,1739750400000,0.04656,0.047719,0.044196,0.045848,2754256.929
ALT-EUR,1739664000000,0.046657,0.047924,0.045926,0.046413,3355378.147
ALT-EUR,1739577600000,0.048747,0.049405,0.046193,0.046877,3240254.505
ALT-EUR,1739491200000,0.048185,0.050375,0.047694,0.049529,6103379.585
ALT-EUR,1739404800000,0.050792,0.052288,0.047496,0.048248,6520501.291
ALT-EUR,1739318400000,0.047644,0.051999,0.045699,0.051282,6593858.242
ALT-EUR,1739232000000,0.048676,0.051473,0.046251,0.047242,5420638.438
ALT-EUR,1739145600000,0.047994,0.049102,0.045204,0.048557,1607982.815
ALT-EUR,1739059200000,0.049001,0.049882,0.045109,0.047299,625793.621
ALT-EUR,1738972800000,0.04679,0.049616,0.045163,0.049616,662877.164
ALT-EUR,1738886400000,0.044756,0.05,0.043995,0.045919,1255334.529
ALT-EUR,1738800000000,0.048948,0.049241,0.044312,0.044312,494663.967
ALT-EUR,1738713600000,0.048935,0.050392,0.047259,0.0477,216844.288
ALT-EUR,1738627200000,0.0537,0.0537,0.047,0.049039,518044.377
ALT-EUR,1738540800000,0.053547,0.055074,0.04,0.054106,3408455.63
ALT-EUR,1738454400000,0.06585,0.067001,0.051005,0.052,1632943.032
ALT-EUR,1738368000000,0.072116,0.074014,0.064993,0.065591,1330599.907
ALT-EUR,1738281600000,0.070965,0.076401,0.069533,0.072725,1952614.169
ALT-EUR,1738195200000,0.066084,0.072162,0.065918,0.070731,1837024.078
ALT-EUR,1738108800000,0.063587,0.070049,0.063299,0.066945,1961906.175
ALT-EUR,1738022400000,0.07066,0.071003,0.062431,0.063228,708692.385
ALT-EUR,1737936000000,0.07085,0.07085,0.06282,0.070209,1724445.47
ALT-EUR,1737849600000,0.07455,0.076,0.071,0.071,798855.342
ALT-EUR,1737763200000,0.07375,0.076797,0.071499,0.074037,2725270.451
ALT-EUR,1737676800000,0.078919,0.080056,0.074024,0.074072,747850.822
ALT-EUR,1737590400000,0.079429,0.080721,0.07577,0.078938,1658302.218
ALT-EUR,1737504000000,0.083438,0.083588,0.079423,0.080071,374239.999
ALT-EUR,1737417600000,0.082145,0.086081,0.0777,0.083553,780731.476
ALT-EUR,1737331200000,0.083669,0.091704,0.07879,0.082319,1864902.766
ALT-EUR,1737244800000,0.096995,0.09751,0.083457,0.085574,2261035.642
ALT-EUR,1737158400000,0.10498,0.10598,0.093,0.096212,1533834.502
ALT-EUR,1737072000000,0.098673,0.10807,0.098407,0.10581,1718449.438
ALT-EUR,1736985600000,0.10009,0.10009,0.094759,0.095369,575517.282
ALT-EUR,1736899200000,0.0942,0.10122,0.090706,0.10034,2459063.472
ALT-EUR,1736812800000,0.092975,0.09643,0.092395,0.095058,966065.686
ALT-EUR,1736726400000,0.097893,0.10058,0.08627,0.092882,817585.794
ALT-EUR,1736640000000,0.1,0.10082,0.096762,0.097644,168728.137
ALT-EUR,1736553600000,0.10249,0.10295,0.098518,0.10077,290108.122
ALT-EUR,1736467200000,0.10016,0.10516,0.098711,0.10239,1029563.905
ALT-EUR,1736380800000,0.10378,0.10508,0.097184,0.099151,1022189.475
ALT-EUR,1736294400000,0.11161,0.11161,0.096962,0.10401,862296.704
ALT-EUR,1736208000000,0.12438,0.12545,0.11039,0.11094,1199688.229
ALT-EUR,1736121600000,0.1254,0.12902,0.12335,0.12474,1217805.079
ALT-EUR,1736035200000,0.125,0.12638,0.12087,0.12579,789960.893
ALT-EUR,1735948800000,0.12567,0.13066,0.12343,0.12517,624676.821
ALT-EUR,1735862400000,0.118,0.12676,0.11452,0.12549,697442.345
ALT-EUR,1735776000000,0.11008,0.1202,0.10998,0.11742,922074.797
ALT-EUR,1735689600000,0.1067,0.11479,0.10394,0.11063,1637678.805
ALT-EUR,1735603200000,0.10661,0.111,0.10375,0.10666,797915.196
ALT-EUR,1735516800000,0.10896,0.11242,0.105,0.10739,308466.394
ALT-EUR,1735430400000,0.11443,0.11488,0.10723,0.10798,354481.422
ALT-EUR,1735344000000,0.11032,0.11509,0.10785,0.1139,858382.155
ALT-EUR,1735257600000,0.10726,0.11597,0.10719,0.11048,1127373.964
ALT-EUR,1735171200000,0.11741,0.11873,0.10536,0.1074,744567.86
ALT-EUR,1735084800000,0.12117,0.12152,0.11541,0.11709,217804.886
ALT-EUR,1734998400000,0.11811,0.1226,0.11435,0.12206,642832.445
ALT-EUR,1734912000000,0.10961,0.12069,0.10666,0.11852,362572.548
ALT-EUR,1734825600000,0.11119,0.11533,0.10606,0.11061,422173.497
ALT-EUR,1734739200000,0.12167,0.12903,0.109,0.1117,291173.908
ALT-EUR,1734652800000,0.12059,0.12439,0.10144,0.12146,1599984.262
ALT-EUR,1734566400000,0.13271,0.13335,0.11487,0.12104,1195774.629
ALT-EUR,1734480000000,0.14375,0.14546,0.1295,0.13252,1178105.601
ALT-EUR,1734393600000,0.15461,0.15639,0.14097,0.1435,651635.017
ALT-EUR,1734307200000,0.1619,0.1662,0.15076,0.15716,909620.504
ALT-EUR,1734220800000,0.15271,0.16388,0.14714,0.16261,710178.314
ALT-EUR,1734134400000,0.16506,0.16683,0.14977,0.15327,763305.443
