market,time,open,high,low,close,volume
ARK-EUR,1741132800000,0.32719,0.34797,0.32001,0.3345,377152.33955301
ARK-EUR,1741046400000,0.3153,0.33136,0.3042,0.3224,170313.78677635
ARK-EUR,1740960000000,0.39601,0.40048,0.32427,0.32784,462846.91705214
ARK-EUR,1740873600000,0.38391,0.40878,0.3762,0.40432,361600.16671896
ARK-EUR,1740787200000,0.38431,0.38702,0.37501,0.38145,200971.73345253
ARK-EUR,1740700800000,0.39598,0.39598,0.36144,0.38597,202349.20480485
ARK-EUR,1740614400000,0.39431,0.40732,0.38662,0.3957,117155.47437717
ARK-EUR,1740528000000,0.40847,0.40878,0.38,0.39347,242696.73958286
ARK-EUR,1740441600000,0.40605,0.41893,0.3835,0.40878,471379.8438303
ARK-EUR,1740355200000,0.44986,0.4533,0.40101,0.40737,511876.48552705
ARK-EUR,1740268800000,0.45412,0.48509,0.44297,0.45607,876604.04033513
ARK-EUR,1740182400000,0.4554,0.49897,0.43603,0.46098,863175.85618974
ARK-EUR,1740096000000,0.46522,0.48559,0.43864,0.45449,1301696.49362515
ARK-EUR,1740009600000,0.48812,0.51832,0.455,0.46996,3651834.20756401
ARK-EUR,1739923200000,0.41474,0.548,0.41474,0.49122,6012575.86455184
ARK-EUR,1739836800000,0.46001,0.46406,0.395,0.41317,2583356.77256054
ARK-EUR,1739750400000,0.3803,0.70122,0.37848,0.46206,7801348.50605284
ARK-EUR,1739664000000,0.3631,0.41859,0.3631,0.38631,572184.63912786
ARK-EUR,1739577600000,0.37418,0.37649,0.36205,0.36205,37622.36526631
ARK-EUR,1739491200000,0.37652,0.38191,0.37352,0.37352,121803.8463536
ARK-EUR,1739404800000,0.39533,0.39917,0.37556,0.37821,54871.27088161
ARK-EUR,1739318400000,0.38042,0.40168,0.369,0.39881,24935.69827083
ARK-EUR,1739232000000,0.39939,0.40647,0.37394,0.3803,39310.80072631
ARK-EUR,1739145600000,0.39394,0.39914,0.38,0.39578,68023.32254411
ARK-EUR,1739059200000,0.39048,0.40566,0.37492,0.38072,47413.21741483
ARK-EUR,1738972800000,0.36426,0.39135,0.36164,0.39135,25368.29475288
ARK-EUR,1738886400000,0.36405,0.38608,0.355,0.36172,91420.32228087
ARK-EUR,1738800000000,0.37957,0.38514,0.359,0.3601,19418.13951976
ARK-EUR,1738713600000,0.38575,0.39853,0.37833,0.38006,22058.60424827
ARK-EUR,1738627200000,0.41,0.41098,0.3725,0.38689,73931.48738449
ARK-EUR,1738540800000,0.38768,0.41324,0.31378,0.41071,437393.8572703
ARK-EUR,1738454400000,0.448,0.4566,0.37,0.38784,229436.4479813
ARK-EUR,1738368000000,0.4872,0.49689,0.44849,0.44889,82798.47682083
ARK-EUR,1738281600000,0.48705,0.50326,0.47734,0.48442,101705.37386708
ARK-EUR,1738195200000,0.47457,0.505,0.47294,0.49176,25754.06803181
ARK-EUR,1738108800000,0.4677,0.49379,0.465,0.47666,43200.29035526
ARK-EUR,1738022400000,0.49597,0.50568,0.46834,0.4684,95799.28420685
ARK-EUR,1737936000000,0.50501,0.50501,0.45737,0.495,180072.79250762
ARK-EUR,1737849600000,0.52169,0.53639,0.50664,0.50664,164788.0486669
ARK-EUR,1737763200000,0.494,0.52515,0.49,0.51705,52447.85373744
ARK-EUR,1737676800000,0.50797,0.52192,0.48152,0.49942,47759.04097906
ARK-EUR,1737590400000,0.51498,0.51705,0.48764,0.50607,63490.11715709
ARK-EUR,1737504000000,0.51457,0.52559,0.50702,0.51654,130449.02039828
ARK-EUR,1737417600000,0.49483,0.5236,0.48334,0.51397,67718.57390876
ARK-EUR,1737331200000,0.50234,0.54143,0.485,0.50137,180496.21514838
ARK-EUR,1737244800000,0.55986,0.56046,0.49856,0.51176,584993.87919643
ARK-EUR,1737158400000,0.60597,0.60769,0.54781,0.56443,284349.22669486
ARK-EUR,1737072000000,0.58185,0.61282,0.58161,0.60512,206140.04308857
ARK-EUR,1736985600000,0.60665,0.60699,0.57323,0.58275,183383.43625068
ARK-EUR,1736899200000,0.61087,0.6245,0.58348,0.61334,211721.53172819
ARK-EUR,1736812800000,0.6392,0.6392,0.59174,0.6192,354946.07179625
ARK-EUR,1736726400000,0.63867,0.65343,0.54235,0.62904,748671.85023994
ARK-EUR,1736640000000,0.61732,0.655,0.616,0.64156,396045.69874113
ARK-EUR,1736553600000,0.62,0.666,0.61133,0.6237,313797.09379998
ARK-EUR,1736467200000,0.6491,0.6555,0.59425,0.63281,492313.10500812
ARK-EUR,1736380800000,0.58592,0.67395,0.57515,0.65358,1792306.4821409
ARK-EUR,1736294400000,0.539,0.65957,0.539,0.5895,3064729.86596551
ARK-EUR,1736208000000,0.6,0.60297,0.539,0.54068,227992.56357635
ARK-EUR,1736121600000,0.576,0.65593,0.55886,0.60075,1635458.62539693
