market,time,open,high,low,close,volume
ARPA-EUR,1741132800000,0.02829,0.029163,0.028107,0.028475,19519.1228598
ARPA-EUR,1741046400000,0.029,0.029085,0.027288,0.028522,1671355.19222302
ARPA-EUR,1740960000000,0.032961,0.034514,0.029438,0.029787,215462.28868125
ARPA-EUR,1740873600000,0.032114,0.0342,0.031824,0.033985,2068378.57806254
ARPA-EUR,1740787200000,0.032202,0.032334,0.031379,0.031438,45093.81007049
ARPA-EUR,1740700800000,0.03195,0.032389,0.030171,0.032248,516589.7932554
ARPA-EUR,1740614400000,0.032288,0.033412,0.032288,0.032294,1271546.24880936
ARPA-EUR,1740528000000,0.032576,0.033438,0.032118,0.032648,43105.62899704
ARPA-EUR,1740441600000,0.031162,0.032641,0.030092,0.032563,195437.13634418
ARPA-EUR,1740355200000,0.034701,0.034869,0.031114,0.031772,3614150.74777289
ARPA-EUR,1740268800000,0.035614,0.036257,0.035168,0.035228,486023.67995966
ARPA-EUR,1740182400000,0.034692,0.037623,0.034582,0.035913,2669537.18718639
ARPA-EUR,1740096000000,0.035129,0.036736,0.033996,0.034121,607410.83917908
ARPA-EUR,1740009600000,0.034113,0.0352,0.034113,0.034935,477808.88954002
ARPA-EUR,1739923200000,0.0348,0.035781,0.0339,0.0339,1727823.80418851
ARPA-EUR,1739836800000,0.034756,0.034756,0.03252,0.033703,2272244.13064806
ARPA-EUR,1739750400000,0.035653,0.035751,0.0342,0.034726,1202514.85195156
ARPA-EUR,1739664000000,0.035191,0.036076,0.034679,0.035254,510913.84684043
ARPA-EUR,1739577600000,0.036413,0.036437,0.035021,0.035329,381457.59640206
ARPA-EUR,1739491200000,0.03637,0.03692,0.035883,0.036411,781146.30827027
ARPA-EUR,1739404800000,0.037756,0.037821,0.0358,0.035826,836153.53462815
ARPA-EUR,1739318400000,0.036005,0.038,0.034528,0.037547,2892196.9067254
ARPA-EUR,1739232000000,0.037991,0.038574,0.035485,0.036156,6109239.50844176
ARPA-EUR,1739145600000,0.037852,0.04018,0.036863,0.037612,6375026.57555909
ARPA-EUR,1739059200000,0.034654,0.044363,0.034242,0.03786,14922750.86995627
ARPA-EUR,1738972800000,0.034332,0.036874,0.033666,0.034615,4171883.3480439
ARPA-EUR,1738886400000,0.03197,0.03846,0.03197,0.034547,11312895.54723297
ARPA-EUR,1738800000000,0.033545,0.033726,0.031403,0.0316,398614.71558088
ARPA-EUR,1738713600000,0.035039,0.035815,0.033,0.033479,867169.43278586
ARPA-EUR,1738627200000,0.039088,0.041,0.03389,0.035088,2710573.59831652
ARPA-EUR,1738540800000,0.038834,0.039403,0.029,0.038904,6347648.92333983
ARPA-EUR,1738454400000,0.047912,0.054716,0.038677,0.039743,40097950.08163644
