market,time,open,high,low,close,volume
ATA-EUR,1741132800000,0.051026,0.053731,0.050296,0.051084,317133.99893167
ATA-EUR,1741046400000,0.050626,0.053077,0.048228,0.050997,325388.62977543
ATA-EUR,1740960000000,0.058258,0.063873,0.052356,0.05413,289196.70033846
ATA-EUR,1740873600000,0.059103,0.065175,0.057633,0.064668,654324.05582765
ATA-EUR,1740787200000,0.058902,0.060328,0.056645,0.058392,195527.10828168
ATA-EUR,1740700800000,0.058,0.060978,0.055461,0.060326,330543.53677934
ATA-EUR,1740614400000,0.057817,0.060572,0.057676,0.0605,382606.42784343
ATA-EUR,1740528000000,0.056812,0.057749,0.054055,0.057458,47409.33540418
ATA-EUR,1740441600000,0.054803,0.057606,0.052274,0.056633,251569.39141331
ATA-EUR,1740355200000,0.066193,0.066193,0.054999,0.055665,408551.26285546
ATA-EUR,1740268800000,0.066974,0.067353,0.065004,0.065522,99200.22340646
ATA-EUR,1740182400000,0.063308,0.067118,0.063194,0.067024,323911.33298473
ATA-EUR,1740096000000,0.064935,0.069507,0.062579,0.062933,152124.87673191
ATA-EUR,1740009600000,0.063786,0.064934,0.063088,0.064934,249726.95424876
ATA-EUR,1739923200000,0.063491,0.0641,0.06226,0.063158,116093.65881402
ATA-EUR,1739836800000,0.065212,0.065212,0.059777,0.062456,276194.04925423
ATA-EUR,1739750400000,0.06862,0.069559,0.063968,0.066054,250500.41079983
ATA-EUR,1739664000000,0.068763,0.070321,0.067953,0.06844,84311.91397725
ATA-EUR,1739577600000,0.072823,0.073118,0.069326,0.069693,734130.0620869
ATA-EUR,1739491200000,0.075145,0.0757,0.072332,0.073118,454138.11413237
ATA-EUR,1739404800000,0.07802,0.07802,0.073637,0.075145,280961.79588069
ATA-EUR,1739318400000,0.073112,0.080408,0.071824,0.078025,1087261.30793866
ATA-EUR,1739232000000,0.075961,0.079604,0.07194,0.072577,641612.0034465
ATA-EUR,1739145600000,0.069123,0.075685,0.069123,0.075675,393324.46717958
ATA-EUR,1739059200000,0.072832,0.075324,0.0683,0.071521,248694.95899836
ATA-EUR,1738972800000,0.069048,0.073185,0.067433,0.072941,175788.25857711
ATA-EUR,1738886400000,0.067814,0.074602,0.067299,0.068575,1462248.02530233
ATA-EUR,1738800000000,0.071428,0.07164,0.066571,0.066571,345258.9583957
ATA-EUR,1738713600000,0.072643,0.074091,0.069608,0.07127,283184.39873258
ATA-EUR,1738627200000,0.077618,0.077618,0.070736,0.072589,75083.22582171
ATA-EUR,1738540800000,0.075896,0.09138,0.06,0.078537,2652117.0486607
ATA-EUR,1738454400000,0.089395,0.090553,0.072162,0.076408,747759.04165121
ATA-EUR,1738368000000,0.099332,0.10086,0.088276,0.08978,233313.635127
ATA-EUR,1738281600000,0.10085,0.10388,0.0983,0.099496,412502.32201425
ATA-EUR,1738195200000,0.095438,0.10167,0.094874,0.10079,366607.94155733
ATA-EUR,1738108800000,0.090782,0.099259,0.09,0.09617,198088.03384731
ATA-EUR,1738022400000,0.099772,0.099892,0.09076,0.090863,322261.97550759
ATA-EUR,1737936000000,0.1,0.10146,0.090596,0.099239,745718.03336417
ATA-EUR,1737849600000,0.10402,0.10813,0.10243,0.10243,413302.78528019
ATA-EUR,1737763200000,0.10201,0.10378,0.10009,0.10378,461416.98020495
ATA-EUR,1737676800000,0.1068,0.1096,0.10268,0.1029,244005.89354513
ATA-EUR,1737590400000,0.10727,0.10957,0.10371,0.10861,141619.29599017
ATA-EUR,1737504000000,0.11002,0.11231,0.10753,0.10753,835259.09448161
ATA-EUR,1737417600000,0.10685,0.11273,0.101,0.10966,253470.28827155
ATA-EUR,1737331200000,0.10567,0.11597,0.10248,0.10743,1411372.30583283
ATA-EUR,1737244800000,0.1195,0.12116,0.105,0.10689,1371029.86341336
ATA-EUR,1737158400000,0.13703,0.13883,0.11672,0.11966,918269.71333098
ATA-EUR,1737072000000,0.13367,0.13898,0.13257,0.13784,865597.30413847
ATA-EUR,1736985600000,0.13474,0.14109,0.13,0.13185,2777157.89944014
ATA-EUR,1736899200000,0.13066,0.13623,0.1225,0.13516,1134117.6337478
ATA-EUR,1736812800000,0.1294,0.13275,0.12835,0.13036,937259.92856045
ATA-EUR,1736726400000,0.13581,0.13581,0.12181,0.12994,1458286.34235259
ATA-EUR,1736640000000,0.14102,0.14102,0.13387,0.13586,288707.36513953
ATA-EUR,1736553600000,0.14373,0.14556,0.13829,0.14202,352857.45588971
ATA-EUR,1736467200000,0.14523,0.14963,0.13723,0.145,848327.28776805
ATA-EUR,1736380800000,0.15279,0.1541,0.13905,0.14288,631426.79546099
ATA-EUR,1736294400000,0.16479,0.16479,0.14389,0.15229,910564.30575631
ATA-EUR,1736208000000,0.18421,0.18421,0.16267,0.16267,1789545.32174499
ATA-EUR,1736121600000,0.19363,0.19363,0.18158,0.18488,1484578.45925206
ATA-EUR,1736035200000,0.19622,0.20135,0.18884,0.19267,1980257.52117797
ATA-EUR,1735948800000,0.20222,0.20761,0.19007,0.196,3698936.48054614
ATA-EUR,1735862400000,0.22378,0.22468,0.20003,0.20172,8308231.13747291
ATA-EUR,1735776000000,0.18037,0.24107,0.1766,0.22354,15365258.96869323
ATA-EUR,1735689600000,0.16901,0.19883,0.16835,0.17979,14138680.84015051
ATA-EUR,1735603200000,0.15963,0.18204,0.15559,0.16843,12642063.13910006
ATA-EUR,1735516800000,0.16592,0.175,0.15075,0.15921,22033958.62960395
ATA-EUR,1735430400000,0.19699,0.19715,0.15186,0.1652,32858679.17422918
ATA-EUR,1735344000000,0.09858,0.24679,0.09858,0.19672,116359925.35140103
ATA-EUR,1735257600000,0.093263,0.10196,0.093263,0.098735,1849668.96246539
ATA-EUR,1735171200000,0.10153,0.10153,0.092389,0.093348,16553.50118559
ATA-EUR,1735084800000,0.10187,0.1019,0.099183,0.10044,32015.26681564
ATA-EUR,1734998400000,0.096427,0.10495,0.095353,0.10246,728785.2036624
ATA-EUR,1734912000000,0.090553,0.097819,0.090553,0.096907,53262.83290449
ATA-EUR,1734825600000,0.09055,0.092949,0.088105,0.089125,39287.31459902
ATA-EUR,1734739200000,0.093936,0.098804,0.088618,0.089154,55470.97071355
ATA-EUR,1734652800000,0.093619,0.095061,0.079146,0.093635,1220122.06933471
ATA-EUR,1734566400000,0.09766,0.10081,0.08769,0.092346,800294.56006418
ATA-EUR,1734480000000,0.1071,0.10823,0.0971,0.098951,239907.71011192
ATA-EUR,1734393600000,0.11696,0.11711,0.10787,0.10787,65646.63027195
ATA-EUR,1734307200000,0.12207,0.12288,0.11343,0.11758,164362.78129649
ATA-EUR,1734220800000,0.11632,0.12149,0.1147,0.11785,111664.57825264
ATA-EUR,1734134400000,0.12543,0.12543,0.11498,0.11766,44044.17487567
ATA-EUR,1734048000000,0.12288,0.12609,0.12093,0.12358,114240.13990642
ATA-EUR,1733961600000,0.11852,0.12793,0.11852,0.12488,513574.85702841
ATA-EUR,1733875200000,0.10768,0.11847,0.10587,0.11815,208329.95058233
ATA-EUR,1733788800000,0.11303,0.11585,0.097216,0.10859,1087805.4210297
ATA-EUR,1733702400000,0.14181,0.14181,0.096534,0.11297,2044469.79474022
ATA-EUR,1733616000000,0.14056,0.14398,0.13593,0.14313,317464.24223914
ATA-EUR,1733529600000,0.14007,0.14466,0.13769,0.14141,671039.49695728
ATA-EUR,1733443200000,0.1365,0.14162,0.1312,0.13932,1027085.74661344
ATA-EUR,1733356800000,0.13581,0.14018,0.12823,0.13623,468883.32878743
ATA-EUR,1733270400000,0.13361,0.14158,0.13169,0.13593,1009998.6602307
ATA-EUR,1733184000000,0.12424,0.13527,0.11782,0.13424,1817926.51271258
ATA-EUR,1733097600000,0.11973,0.12337,0.11225,0.12309,542650.10649398
ATA-EUR,1733011200000,0.11905,0.12184,0.11731,0.12001,496390.92567358
ATA-EUR,1732924800000,0.11273,0.123,0.11215,0.12069,467591.66192968
ATA-EUR,1732838400000,0.10858,0.11414,0.10709,0.114,289005.89654128
ATA-EUR,1732752000000,0.10985,0.11381,0.10767,0.11,579423.88120256
ATA-EUR,1732665600000,0.10326,0.11006,0.10207,0.10967,1041794.30883178
ATA-EUR,1732579200000,0.1059,0.11258,0.096854,0.10188,1207625.92724809
ATA-EUR,1732492800000,0.11011,0.11301,0.1043,0.10591,1177009.70311453
ATA-EUR,1732406400000,0.1065,0.11028,0.097732,0.10976,3062284.36944142
ATA-EUR,1732320000000,0.095415,0.10881,0.095108,0.10574,3133760.82777097
ATA-EUR,1732233600000,0.092787,0.095792,0.08944,0.095792,843668.20457694
ATA-EUR,1732147200000,0.087099,0.09242,0.083856,0.091988,376408.68798669
ATA-EUR,1732060800000,0.091363,0.091753,0.084907,0.086306,622420.11226029
ATA-EUR,1731974400000,0.096073,0.096216,0.089529,0.092,209343.37927724
ATA-EUR,1731888000000,0.091941,0.096659,0.090796,0.095235,262162.2911267
ATA-EUR,1731801600000,0.093324,0.10242,0.087987,0.089628,2269883.18162924
ATA-EUR,1731715200000,0.09077,0.095635,0.089893,0.093267,562084.60555349
ATA-EUR,1731628800000,0.086241,0.092,0.085253,0.091676,861066.3056229
ATA-EUR,1731542400000,0.087149,0.091021,0.084967,0.087251,680097.79937848
ATA-EUR,1731456000000,0.087316,0.093562,0.080223,0.086548,1683999.70082857
ATA-EUR,1731369600000,0.090778,0.094041,0.079642,0.087566,3969919.19658568
ATA-EUR,1731283200000,0.090214,0.092536,0.085994,0.091103,1705021.63656895
ATA-EUR,1731196800000,0.0831,0.092152,0.082519,0.088369,1639442.74398991
ATA-EUR,1731110400000,0.081704,0.083677,0.080645,0.083222,72910.34354436
ATA-EUR,1731024000000,0.079574,0.081508,0.079022,0.08129,223398.04356821
ATA-EUR,1730937600000,0.079562,0.08123,0.078482,0.079423,194431.57989084
ATA-EUR,1730851200000,0.070427,0.079732,0.070427,0.079163,104277.64650772
ATA-EUR,1730764800000,0.068041,0.070319,0.068041,0.070009,33588.21502185
ATA-EUR,1730678400000,0.068109,0.068473,0.065093,0.065093,153004.03641118
ATA-EUR,1730592000000,0.071972,0.071972,0.066704,0.0687,723119.90479802
ATA-EUR,1730505600000,0.074974,0.075089,0.07157,0.072008,107992.30616592
ATA-EUR,1730419200000,0.074135,0.076565,0.073127,0.073321,563054.49867196
ATA-EUR,1730332800000,0.079222,0.079222,0.073448,0.07434,76098.06038878
ATA-EUR,1730246400000,0.080509,0.081,0.079563,0.080596,82471.68559128
ATA-EUR,1730160000000,0.076382,0.081468,0.076382,0.080314,154100.05637887
ATA-EUR,1730073600000,0.074066,0.076287,0.07258,0.075988,384737.96107536
ATA-EUR,1729987200000,0.075564,0.076283,0.074589,0.075649,146678.92604454
ATA-EUR,1729900800000,0.073172,0.077357,0.073052,0.07512,384865.9216993
ATA-EUR,1729814400000,0.082293,0.083064,0.072,0.073765,620301.00767475
ATA-EUR,1729728000000,0.085657,0.085869,0.081902,0.082804,478209.68459589
ATA-EUR,1729641600000,0.089695,0.090999,0.08208,0.084787,1471608.89538368
ATA-EUR,1729555200000,0.092368,0.099051,0.084049,0.089321,12544648.1172266
