market,time,open,high,low,close,volume
ATH-EUR,1741132800000,0.033215,0.034368,0.033089,0.033089,506318.09756042
ATH-EUR,1741046400000,0.032018,0.034765,0.030053,0.034073,2685881.93215053
ATH-EUR,1740960000000,0.039609,0.041283,0.031355,0.031786,1717837.95862406
ATH-EUR,1740873600000,0.037651,0.03954,0.036846,0.038842,1823331.7691638
ATH-EUR,1740787200000,0.038682,0.047,0.037375,0.03846,9194435.74265637
ATH-EUR,1740700800000,0.034102,0.038449,0.030723,0.037893,3550435.18802742
ATH-EUR,1740614400000,0.031184,0.038403,0.031184,0.034218,12041808.50652365
ATH-EUR,1740528000000,0.03066,0.031608,0.02949,0.031207,1018827.13793438
ATH-EUR,1740441600000,0.031074,0.031925,0.029241,0.030888,1457286.00100768
ATH-EUR,1740355200000,0.036162,0.036162,0.031197,0.031614,1356449.86684173
ATH-EUR,1740268800000,0.037658,0.039112,0.035564,0.036155,822467.75527288
ATH-EUR,1740182400000,0.035612,0.038946,0.035541,0.037217,1801962.44458338
ATH-EUR,1740096000000,0.03499,0.037118,0.034007,0.035673,2429360.95946237
ATH-EUR,1740009600000,0.034199,0.035262,0.034132,0.035236,747292.04043705
ATH-EUR,1739923200000,0.033994,0.034199,0.03327,0.034068,686116.78488531
ATH-EUR,1739836800000,0.035475,0.035475,0.033,0.033893,1240905.00771711
ATH-EUR,1739750400000,0.035721,0.036632,0.034588,0.035337,673250.29138242
ATH-EUR,1739664000000,0.035881,0.036336,0.03536,0.035872,624192.05656095
ATH-EUR,1739577600000,0.036855,0.037565,0.035651,0.03583,528501.48576711
ATH-EUR,1739491200000,0.036221,0.037826,0.036161,0.036796,684705.49500042
ATH-EUR,1739404800000,0.037566,0.037566,0.035955,0.03656,336114.19296052
ATH-EUR,1739318400000,0.036493,0.038422,0.035019,0.037977,1419509.54197886
ATH-EUR,1739232000000,0.03673,0.038649,0.036059,0.036839,1041440.07482674
ATH-EUR,1739145600000,0.037559,0.037682,0.0355,0.036344,1421536.73151793
ATH-EUR,1739059200000,0.039153,0.039153,0.036044,0.036859,1905503.92378889
ATH-EUR,1738972800000,0.038,0.041488,0.03769,0.039539,2926346.51051605
ATH-EUR,1738886400000,0.033458,0.042071,0.033135,0.037362,3748779.54427819
ATH-EUR,1738800000000,0.034858,0.035573,0.033,0.033256,708762.97289563
ATH-EUR,1738713600000,0.03709,0.037454,0.034314,0.034605,617790.77006101
ATH-EUR,1738627200000,0.040309,0.040309,0.03582,0.036847,1290539.22095493
ATH-EUR,1738540800000,0.040337,0.041996,0.028602,0.040794,3325443.06710079
ATH-EUR,1738454400000,0.047867,0.048289,0.03934,0.040909,2144878.77767573
ATH-EUR,1738368000000,0.052237,0.052237,0.046628,0.047378,849426.27421886
ATH-EUR,1738281600000,0.05196,0.054234,0.051202,0.051647,700235.97738283
ATH-EUR,1738195200000,0.049912,0.052528,0.049912,0.051898,817010.78340149
ATH-EUR,1738108800000,0.04835,0.051217,0.048264,0.050383,1130110.07261854
ATH-EUR,1738022400000,0.051306,0.051561,0.047563,0.047563,1322274.40338206
ATH-EUR,1737936000000,0.052555,0.052802,0.048,0.051257,1585220.3050118
ATH-EUR,1737849600000,0.05382,0.054819,0.052551,0.052551,1345125.0196103
ATH-EUR,1737763200000,0.054459,0.055319,0.053406,0.054032,802302.22552129
ATH-EUR,1737676800000,0.056398,0.057353,0.053701,0.054608,664565.25869058
ATH-EUR,1737590400000,0.05755,0.058278,0.054238,0.056292,1115344.08081498
ATH-EUR,1737504000000,0.058969,0.059671,0.057212,0.057611,1911678.10663437
ATH-EUR,1737417600000,0.057523,0.05966,0.056702,0.059426,1529321.55723672
ATH-EUR,1737331200000,0.055636,0.061216,0.053834,0.057939,2270464.96274797
ATH-EUR,1737244800000,0.061015,0.06169,0.055382,0.056052,3359713.3461747
ATH-EUR,1737158400000,0.066196,0.066504,0.059538,0.061298,3081314.7754023
ATH-EUR,1737072000000,0.062852,0.066816,0.062847,0.066303,3418789.30888401
ATH-EUR,1736985600000,0.064802,0.064802,0.061367,0.062457,2247561.22948752
ATH-EUR,1736899200000,0.062194,0.065041,0.060166,0.064993,2037806.80059344
