market,time,open,high,low,close,volume
AXL-EUR,1741219200000,0.4029,0.40425,0.40283,0.40406,17591.54933799
AXL-EUR,1741132800000,0.36372,0.43862,0.35685,0.39716,1399810.43833143
AXL-EUR,1741046400000,0.3359,0.36835,0.32993,0.35982,685870.58471318
AXL-EUR,1740960000000,0.4171,0.43744,0.35829,0.36977,182620.06976917
AXL-EUR,1740873600000,0.39089,0.43922,0.38646,0.43726,1245264.58317806
AXL-EUR,1740787200000,0.40454,0.40478,0.39043,0.39668,572920.67538043
AXL-EUR,1740700800000,0.41901,0.41956,0.37236,0.40426,224173.7938276
AXL-EUR,1740614400000,0.41168,0.42767,0.40204,0.41796,585771.99350118
AXL-EUR,1740528000000,0.41561,0.42477,0.38805,0.40855,126108.27299249
AXL-EUR,1740441600000,0.41381,0.42547,0.38793,0.41384,739824.04503968
AXL-EUR,1740355200000,0.47574,0.47589,0.4055,0.41038,160945.41392302
AXL-EUR,1740268800000,0.4653,0.49556,0.46293,0.47379,571491.90148652
AXL-EUR,1740182400000,0.45269,0.46566,0.45023,0.46088,301653.76928247
AXL-EUR,1740096000000,0.47848,0.49624,0.4426,0.45133,809146.01612611
AXL-EUR,1740009600000,0.4725,0.48868,0.4566,0.47756,963139.43019747
AXL-EUR,1739923200000,0.42511,0.50573,0.42058,0.47389,2128489.3013178
AXL-EUR,1739836800000,0.44783,0.45362,0.40529,0.42461,319474.43186041
AXL-EUR,1739750400000,0.4419,0.46911,0.43796,0.45055,178367.45725798
AXL-EUR,1739664000000,0.45396,0.46149,0.43631,0.44362,67614.02949899
AXL-EUR,1739577600000,0.47083,0.48585,0.447,0.45603,91810.42631165
AXL-EUR,1739491200000,0.4492,0.4739,0.44514,0.47148,64815.62387616
AXL-EUR,1739404800000,0.47018,0.47283,0.43861,0.45069,201704.58521873
AXL-EUR,1739318400000,0.43362,0.47256,0.4235,0.4713,267362.9193235
AXL-EUR,1739232000000,0.433,0.465,0.42834,0.43398,554306.78529287
AXL-EUR,1739145600000,0.42568,0.43269,0.41021,0.4288,134676.46479284
AXL-EUR,1739059200000,0.42617,0.43794,0.39801,0.4225,792572.16792852
AXL-EUR,1738972800000,0.38219,0.456,0.3747,0.422,262610.12029421
AXL-EUR,1738886400000,0.37148,0.42525,0.37148,0.38391,255784.77543595
AXL-EUR,1738800000000,0.39962,0.4053,0.3648,0.36809,815539.71472611
AXL-EUR,1738713600000,0.41069,0.41167,0.38994,0.39654,170485.79623703
AXL-EUR,1738627200000,0.43632,0.43632,0.38399,0.41051,174435.27070181
AXL-EUR,1738540800000,0.42515,0.43642,0.31581,0.43319,1383473.81973287
AXL-EUR,1738454400000,0.48845,0.4985,0.403,0.42709,315726.30383891
AXL-EUR,1738368000000,0.5297,0.53932,0.48674,0.49123,657905.75856244
AXL-EUR,1738281600000,0.5347,0.558,0.52337,0.52815,140021.77083655
AXL-EUR,1738195200000,0.5094,0.54172,0.5075,0.53419,59785.00066215
AXL-EUR,1738108800000,0.4959,0.53733,0.49407,0.51219,58567.08225963
AXL-EUR,1738022400000,0.53764,0.55103,0.493,0.4959,128828.42215198
AXL-EUR,1737936000000,0.57594,0.57617,0.51,0.53635,309444.70631029
AXL-EUR,1737849600000,0.6183,0.62741,0.57958,0.57958,91396.15479898
AXL-EUR,1737763200000,0.60323,0.64053,0.59733,0.6061,147348.16371525
AXL-EUR,1737676800000,0.58064,0.68142,0.57628,0.60692,664791.07591167
AXL-EUR,1737590400000,0.57141,0.58514,0.55,0.58113,146675.79264716
AXL-EUR,1737504000000,0.59598,0.64224,0.57043,0.5744,328795.35367848
AXL-EUR,1737417600000,0.57528,0.6072,0.5525,0.59376,164733.74804714
AXL-EUR,1737331200000,0.57127,0.6356,0.55834,0.58783,256103.84295559
AXL-EUR,1737244800000,0.64472,0.65845,0.56743,0.57585,243856.19812901
AXL-EUR,1737158400000,0.71188,0.71915,0.62497,0.64809,202690.83316158
AXL-EUR,1737072000000,0.63268,0.7183,0.63008,0.70597,252237.73310672
AXL-EUR,1736985600000,0.6374,0.64834,0.61673,0.63061,141705.06281085
AXL-EUR,1736899200000,0.5948,0.64329,0.57546,0.64329,235597.94916345
AXL-EUR,1736812800000,0.5755,0.59776,0.57125,0.594,321582.57111315
AXL-EUR,1736726400000,0.5942,0.60798,0.5319,0.5771,216709.61652154
AXL-EUR,1736640000000,0.60631,0.60695,0.58646,0.5923,74282.78189671
AXL-EUR,1736553600000,0.6068,0.61645,0.59065,0.60312,93580.80366722
AXL-EUR,1736467200000,0.5916,0.61519,0.5807,0.61385,81426.98913123
AXL-EUR,1736380800000,0.61725,0.63227,0.57296,0.58599,266956.64264538
AXL-EUR,1736294400000,0.6463,0.65756,0.58448,0.61841,149853.22815814
AXL-EUR,1736208000000,0.7275,0.7275,0.6447,0.64514,112918.64070833
AXL-EUR,1736121600000,0.71691,0.74562,0.69912,0.7238,446235.0747265
AXL-EUR,1736035200000,0.7265,0.7265,0.70261,0.71863,46846.13543862
AXL-EUR,1735948800000,0.723,0.7406,0.7051,0.72874,73588.61092745
AXL-EUR,1735862400000,0.68041,0.72187,0.6573,0.72187,131662.49954752
AXL-EUR,1735776000000,0.65006,0.6909,0.64764,0.68042,247760.66379906
AXL-EUR,1735689600000,0.63036,0.65487,0.61269,0.6482,129946.34759684
AXL-EUR,1735603200000,0.64658,0.66067,0.6178,0.62536,121503.79670365
AXL-EUR,1735516800000,0.6628,0.6887,0.6421,0.6429,244826.86563543
AXL-EUR,1735430400000,0.7039,0.71924,0.6565,0.66646,65437.42632587
AXL-EUR,1735344000000,0.66843,0.71609,0.6498,0.7113,206011.66552437
AXL-EUR,1735257600000,0.6919,0.73186,0.6616,0.6641,81290.00952361
AXL-EUR,1735171200000,0.77096,0.77096,0.68606,0.69506,180964.05638769
AXL-EUR,1735084800000,0.7829,0.80158,0.7536,0.76276,108179.19578436
AXL-EUR,1734998400000,0.75032,0.78377,0.73654,0.78191,85678.80567159
AXL-EUR,1734912000000,0.71085,0.77016,0.695,0.7522,128004.91467203
AXL-EUR,1734825600000,0.7201,0.73556,0.697,0.71211,59805.91453429
AXL-EUR,1734739200000,0.72907,0.78289,0.70073,0.7124,123877.83292788
AXL-EUR,1734652800000,0.70762,0.73619,0.6046,0.7319,316161.16675389
AXL-EUR,1734566400000,0.75,0.78007,0.68,0.71567,261761.89915828
AXL-EUR,1734480000000,0.82177,0.8238,0.755,0.76156,161344.40546771
AXL-EUR,1734393600000,0.87172,0.88036,0.8139,0.8228,117188.06300496
AXL-EUR,1734307200000,0.95181,0.98055,0.86881,0.87153,269768.6445416
AXL-EUR,1734220800000,0.8489,0.9574,0.8304,0.94281,489987.95635
AXL-EUR,1734134400000,0.90616,0.91873,0.826,0.85407,198383.05312501
AXL-EUR,1734048000000,0.89366,0.936,0.86388,0.904,365562.32110632
AXL-EUR,1733961600000,0.87326,0.9454,0.86552,0.88848,208898.56925698
AXL-EUR,1733875200000,0.80174,0.90253,0.7658,0.87451,236940.94796737
AXL-EUR,1733788800000,0.7995,0.84333,0.72741,0.80324,244131.85565251
AXL-EUR,1733702400000,0.98215,0.98215,0.70849,0.81607,465478.9581528
AXL-EUR,1733616000000,0.98225,0.99103,0.95627,0.98209,114045.30046064
AXL-EUR,1733529600000,1.0058,1.0191,0.96541,0.98709,81617.37464009
AXL-EUR,1733443200000,0.97117,1.0424,0.95791,1.0069,210164.60193202
AXL-EUR,1733356800000,1.0239,1.0308,0.95,0.97541,336922.49019118
