market,time,open,high,low,close,volume
AXS-EUR,1741132800000,3.2046,3.35,3.1595,3.216,52747.63710608
AXS-EUR,1741046400000,3.1248,3.3259,3.032,3.1381,93004.07488001
AXS-EUR,1740960000000,3.8007,3.8395,3.2397,3.2872,127208.50884661
AXS-EUR,1740873600000,3.5708,3.8918,3.5016,3.8293,133889.76445935
AXS-EUR,1740787200000,3.6055,3.6436,3.4795,3.5916,54121.07780212
AXS-EUR,1740700800000,3.5201,3.642,3.1959,3.6254,137875.05723965
AXS-EUR,1740614400000,3.4706,3.6226,3.4254,3.5183,40339.23300011
AXS-EUR,1740528000000,3.4916,3.5961,3.3397,3.4581,68959.42551095
AXS-EUR,1740441600000,3.5257,3.5543,3.239,3.4947,163238.23192009
AXS-EUR,1740355200000,3.9493,3.9511,3.45,3.5278,124294.25235582
AXS-EUR,1740268800000,4.0777,4.1188,3.8839,3.9437,58176.48317119
AXS-EUR,1740182400000,4.009,4.1162,4,4.0717,46947.05753402
AXS-EUR,1740096000000,4.2001,4.4023,3.9693,4.0183,215570.33194667
AXS-EUR,1740009600000,4.1013,4.21,4.0524,4.2099,43317.27373999
AXS-EUR,1739923200000,4.0058,4.1399,3.9398,4.1028,46371.12575627
AXS-EUR,1739836800000,4.2549,4.2661,3.8664,4.0112,135243.07848443
AXS-EUR,1739750400000,4.17,4.3609,4.1,4.2558,185733.92510134
AXS-EUR,1739664000000,4.1888,4.2949,4.13,4.177,77802.68104547
AXS-EUR,1739577600000,4.332,4.3575,4.1665,4.1853,67737.93738359
AXS-EUR,1739491200000,4.191,4.4216,4.17,4.3342,161160.91659836
AXS-EUR,1739404800000,4.2825,4.3213,4.1062,4.1886,115629.68728545
AXS-EUR,1739318400000,4.1096,4.3298,4.0583,4.274,212279.13612233
AXS-EUR,1739232000000,4.1947,4.4045,4.0376,4.1088,113623.98678704
AXS-EUR,1739145600000,4.0999,4.2342,3.9493,4.1869,91264.06649669
AXS-EUR,1739059200000,4.0586,4.1738,3.8937,4.0647,41060.82513036
AXS-EUR,1738972800000,3.8751,4.0764,3.8513,4.0579,17371.52613624
AXS-EUR,1738886400000,3.7791,4.09,3.765,3.8932,87135.78700121
AXS-EUR,1738800000000,3.9736,4.0463,3.7408,3.7736,52606.1655241
AXS-EUR,1738713600000,3.9514,4.124,3.8918,3.9421,98864.73679596
AXS-EUR,1738627200000,4.323,4.3501,3.8388,3.9741,127520.26878106
AXS-EUR,1738540800000,4.2181,4.3417,3.1302,4.2928,213825.42126137
AXS-EUR,1738454400000,4.8403,4.9481,4.025,4.2352,121426.00798927
AXS-EUR,1738368000000,5.2394,5.2862,4.8061,4.852,44878.81361123
AXS-EUR,1738281600000,5.2525,5.4608,5.1683,5.2336,27883.02531932
AXS-EUR,1738195200000,4.962,5.3132,4.8951,5.2483,45521.25899238
AXS-EUR,1738108800000,4.8337,5.1,4.7888,4.951,39315.19497554
AXS-EUR,1738022400000,5.25,5.2745,4.8,4.8478,32286.05734165
AXS-EUR,1737936000000,5.2808,5.3145,4.83,5.2229,110046.94165603
AXS-EUR,1737849600000,5.4521,5.5682,5.3,5.3,27163.13869741
AXS-EUR,1737763200000,5.4514,5.5346,5.3885,5.4567,21969.25117653
AXS-EUR,1737676800000,5.6741,5.7698,5.4486,5.4725,84375.98285094
AXS-EUR,1737590400000,5.6948,5.7616,5.5053,5.6583,69479.00411886
AXS-EUR,1737504000000,5.8798,5.9013,5.6842,5.689,45513.40217417
AXS-EUR,1737417600000,5.7051,5.9852,5.48,5.8855,64583.23038382
AXS-EUR,1737331200000,5.6384,6.142,5.4569,5.7035,170637.87632064
AXS-EUR,1737244800000,6.0902,6.3105,5.5468,5.6278,168444.28061443
AXS-EUR,1737158400000,6.5468,6.6,5.9843,6.1147,68579.81200298
AXS-EUR,1737072000000,6.218,6.5927,6.218,6.5403,85866.18987196
AXS-EUR,1736985600000,6.3762,6.43,6.1048,6.2127,99334.72199239
AXS-EUR,1736899200000,6.056,6.4052,5.9339,6.3649,225728.38599158
AXS-EUR,1736812800000,5.8892,6.1143,5.8645,6.0683,139691.27555595
AXS-EUR,1736726400000,6.0003,6.1597,5.515,5.8883,133707.64649351
AXS-EUR,1736640000000,6.1309,6.1856,5.9184,6.0149,95439.79305614
AXS-EUR,1736553600000,6.1985,6.238,5.9917,6.1215,217674.87032808
AXS-EUR,1736467200000,6.02,6.25,5.9133,6.2034,204826.29334485
AXS-EUR,1736380800000,6.0054,6.1619,5.8197,6.0199,244493.12179206
AXS-EUR,1736294400000,6.24,6.3198,5.7,6.0159,276392.84633015
