market,time,open,high,low,close,volume
BEAM-EUR,1741132800000,0.0063979,0.0067206,0.0062211,0.0063799,18026123.6188354
BEAM-EUR,1741046400000,0.0068332,0.0069001,0.0059072,0.006474,27375980.83165951
BEAM-EUR,1740960000000,0.008155,0.0084922,0.0067677,0.0068624,25884836.91334995
BEAM-EUR,1740873600000,0.0079172,0.0087477,0.0076912,0.0085393,32182891.13307552
BEAM-EUR,1740787200000,0.0082078,0.0082866,0.0077409,0.0080395,8300465.91038274
BEAM-EUR,1740700800000,0.0081795,0.0084433,0.0074936,0.0081517,21377648.15149374
BEAM-EUR,1740614400000,0.0078512,0.0084369,0.0077792,0.0080955,12664323.98089056
BEAM-EUR,1740528000000,0.0078994,0.0080738,0.0074772,0.0078317,16640378.71898967
BEAM-EUR,1740441600000,0.0077782,0.0080453,0.0071796,0.0079123,39282179.59918652
BEAM-EUR,1740355200000,0.0091757,0.0091757,0.0076658,0.0078611,31481614.4775088
BEAM-EUR,1740268800000,0.0092172,0.0094129,0.0089579,0.0091293,9467696.19997346
BEAM-EUR,1740182400000,0.0089201,0.0094596,0.0088652,0.0092226,15916092.84423109
BEAM-EUR,1740096000000,0.0093739,0.010175,0.0087305,0.0089537,67397406.67462115
BEAM-EUR,1740009600000,0.0092199,0.0095215,0.0090569,0.0093907,29399657.80202146
BEAM-EUR,1739923200000,0.0092931,0.009398,0.0090305,0.0092392,23019217.61464366
BEAM-EUR,1739836800000,0.010195,0.01037,0.0089686,0.0092705,43042051.04763404
BEAM-EUR,1739750400000,0.01009,0.010679,0.0097701,0.010151,10982035.61756112
BEAM-EUR,1739664000000,0.010325,0.010462,0.0098705,0.010143,8600918.05497867
BEAM-EUR,1739577600000,0.010746,0.010746,0.010137,0.0103,5680841.05391453
BEAM-EUR,1739491200000,0.01095,0.011187,0.01056,0.010746,18724632.65875773
BEAM-EUR,1739404800000,0.010425,0.011419,0.0099553,0.010911,47750448.78790898
BEAM-EUR,1739318400000,0.009627,0.010542,0.0092669,0.01032,23806101.04190942
BEAM-EUR,1739232000000,0.010059,0.010778,0.0094582,0.0096021,16039646.13547471
BEAM-EUR,1739145600000,0.009646,0.010193,0.0093174,0.010002,13617313.35007515
BEAM-EUR,1739059200000,0.009619,0.01,0.0091542,0.0095762,40252724.91461197
BEAM-EUR,1738972800000,0.009084,0.0098656,0.0088719,0.0097166,15758305.37958656
BEAM-EUR,1738886400000,0.0093966,0.010022,0.0088342,0.0091259,23135184.78548983
BEAM-EUR,1738800000000,0.009855,0.010416,0.0090236,0.0091118,51004010.96467502
BEAM-EUR,1738713600000,0.010517,0.010975,0.0096564,0.0098543,29439301.23722607
BEAM-EUR,1738627200000,0.012385,0.012568,0.010213,0.010602,29245638.37619215
BEAM-EUR,1738540800000,0.011869,0.012528,0.0093177,0.012314,60810014.50866686
BEAM-EUR,1738454400000,0.012906,0.013434,0.011,0.011876,33691286.04081839
BEAM-EUR,1738368000000,0.014964,0.015346,0.01272,0.012948,23989203.65888117
BEAM-EUR,1738281600000,0.015228,0.016126,0.014892,0.015013,13229208.07740813
BEAM-EUR,1738195200000,0.01447,0.015475,0.014302,0.015282,17917305.34782798
BEAM-EUR,1738108800000,0.013676,0.015208,0.01364,0.014355,17100983.52099364
BEAM-EUR,1738022400000,0.015777,0.015905,0.01356,0.013743,38866787.4434903
BEAM-EUR,1737936000000,0.016134,0.016146,0.014036,0.015777,29635483.32749568
BEAM-EUR,1737849600000,0.017423,0.017549,0.01612,0.016126,15368608.73819887
BEAM-EUR,1737763200000,0.0173,0.017946,0.01695,0.017389,10225931.91651635
BEAM-EUR,1737676800000,0.0185,0.018744,0.0173,0.017365,6069942.50979594
BEAM-EUR,1737590400000,0.018807,0.019179,0.017881,0.018425,15527128.85861333
BEAM-EUR,1737504000000,0.019957,0.020206,0.018727,0.01881,8913802.80158128
BEAM-EUR,1737417600000,0.019262,0.020563,0.018501,0.019888,16744198.24467001
BEAM-EUR,1737331200000,0.020337,0.022398,0.019175,0.019309,28802520.03397022
BEAM-EUR,1737244800000,0.022901,0.023218,0.020211,0.020417,62258488.77912086
BEAM-EUR,1737158400000,0.02503,0.025222,0.022567,0.023085,9368951.50212066
BEAM-EUR,1737072000000,0.022355,0.025407,0.022355,0.025031,25846773.62955501
BEAM-EUR,1736985600000,0.023562,0.023562,0.021918,0.022289,13223643.15470379
BEAM-EUR,1736899200000,0.02201,0.023931,0.020903,0.023615,17669433.49617343
BEAM-EUR,1736812800000,0.021372,0.022154,0.021112,0.021988,9550333.89583039
BEAM-EUR,1736726400000,0.02206,0.022702,0.019501,0.021269,19778248.91100211
BEAM-EUR,1736640000000,0.022446,0.022905,0.021863,0.02212,6028358.89207609
BEAM-EUR,1736553600000,0.02267,0.023197,0.022136,0.022488,4001213.08219565
BEAM-EUR,1736467200000,0.022375,0.023606,0.022131,0.022841,14580047.68797453
BEAM-EUR,1736380800000,0.023433,0.023602,0.021609,0.022325,14619123.98856466
BEAM-EUR,1736294400000,0.024177,0.0244,0.021868,0.023605,18157466.61499727
BEAM-EUR,1736208000000,0.027267,0.027367,0.024001,0.024198,16384211.12351087
BEAM-EUR,1736121600000,0.027498,0.028269,0.026821,0.027145,13247619.23054674
BEAM-EUR,1736035200000,0.0282,0.028437,0.026927,0.027424,7829532.77686242
BEAM-EUR,1735948800000,0.02886,0.028916,0.027602,0.028224,10216149.2329577
BEAM-EUR,1735862400000,0.027622,0.029179,0.027453,0.028715,11321588.30915551
BEAM-EUR,1735776000000,0.02582,0.028911,0.02582,0.027616,17346151.02245809
BEAM-EUR,1735689600000,0.024168,0.026377,0.023836,0.026146,5862304.40769225
BEAM-EUR,1735603200000,0.024623,0.025542,0.023915,0.024232,5851165.90859283
BEAM-EUR,1735516800000,0.024904,0.025938,0.024152,0.024781,20719208.51863209
BEAM-EUR,1735430400000,0.026806,0.027197,0.024571,0.025033,9452000.24411873
BEAM-EUR,1735344000000,0.025477,0.027141,0.025055,0.02673,9046721.7679619
BEAM-EUR,1735257600000,0.026213,0.027615,0.02525,0.025466,10585296.17820006
BEAM-EUR,1735171200000,0.028416,0.028611,0.025675,0.026183,9287215.60267097
BEAM-EUR,1735084800000,0.029034,0.029034,0.027775,0.028256,10513735.49667242
BEAM-EUR,1734998400000,0.028919,0.029783,0.027658,0.029106,16248612.6380411
BEAM-EUR,1734912000000,0.026335,0.029582,0.025716,0.02889,19687316.79376468
BEAM-EUR,1734825600000,0.025253,0.027194,0.025021,0.026419,12764999.38637548
BEAM-EUR,1734739200000,0.028,0.029248,0.02509,0.025488,23777158.1679951
BEAM-EUR,1734652800000,0.024732,0.028521,0.020785,0.028022,55920095.25560535
BEAM-EUR,1734566400000,0.02804,0.028522,0.023545,0.024692,37544754.034538
BEAM-EUR,1734480000000,0.029124,0.030651,0.026919,0.028049,22032178.2527118
BEAM-EUR,1734393600000,0.030884,0.031117,0.028757,0.029046,19467448.25862854
BEAM-EUR,1734307200000,0.033471,0.033471,0.03055,0.030876,31745950.69876474
BEAM-EUR,1734220800000,0.033002,0.034036,0.031328,0.033399,15392609.60128812
BEAM-EUR,1734134400000,0.034555,0.034555,0.031972,0.032994,26133596.41694633
BEAM-EUR,1734048000000,0.033463,0.035454,0.03341,0.034692,22904670.0633541
BEAM-EUR,1733961600000,0.037125,0.039,0.031432,0.033739,67136501.28379847
BEAM-EUR,1733875200000,0.032064,0.037638,0.030277,0.036983,40608197.9994183
BEAM-EUR,1733788800000,0.032588,0.034188,0.028644,0.032289,38713407.97287633
BEAM-EUR,1733702400000,0.034289,0.034299,0.026473,0.032736,50531957.03982408
BEAM-EUR,1733616000000,0.032169,0.035,0.031137,0.033993,37894239.88278649
BEAM-EUR,1733529600000,0.031346,0.032828,0.03043,0.032212,24077954.01286327
