market,time,open,high,low,close,volume
BETA-EUR,1741132800000,0.019628,0.0204,0.019194,0.020013,1169733.88767749
BETA-EUR,1741046400000,0.019843,0.020265,0.01875,0.019883,2001674.35786795
BETA-EUR,1740960000000,0.023868,0.024002,0.020266,0.020756,5182001.18079497
BETA-EUR,1740873600000,0.021607,0.0285,0.021559,0.024148,55963371.57460569
BETA-EUR,1740787200000,0.02169,0.022295,0.02112,0.021322,2333624.71373964
BETA-EUR,1740700800000,0.02232,0.022914,0.021315,0.022097,949111.45277829
BETA-EUR,1740614400000,0.022257,0.022521,0.021498,0.021947,376856.76374185
BETA-EUR,1740528000000,0.02172,0.022285,0.021039,0.022016,244721.43030122
BETA-EUR,1740441600000,0.021392,0.022211,0.020252,0.021908,680938.54563328
BETA-EUR,1740355200000,0.024512,0.024512,0.021262,0.021602,690925.24558988
BETA-EUR,1740268800000,0.025173,0.025419,0.024177,0.024305,1759272.4193339
BETA-EUR,1740182400000,0.024157,0.025385,0.024051,0.025216,1496820.70645442
BETA-EUR,1740096000000,0.025251,0.025611,0.023995,0.024384,1191632.15695678
BETA-EUR,1740009600000,0.024147,0.025271,0.023809,0.025265,754591.40316399
BETA-EUR,1739923200000,0.023124,0.024912,0.023124,0.024284,584526.01087678
BETA-EUR,1739836800000,0.024755,0.025166,0.022723,0.023123,1403883.15798397
BETA-EUR,1739750400000,0.026206,0.02657,0.0246,0.024844,1617000.21408327
BETA-EUR,1739664000000,0.026929,0.027245,0.02592,0.02616,1355690.37691175
BETA-EUR,1739577600000,0.027152,0.027657,0.026808,0.026939,467333.01307817
BETA-EUR,1739491200000,0.027372,0.028483,0.027127,0.027326,989445.91324751
BETA-EUR,1739404800000,0.028555,0.02875,0.027109,0.027196,881389.59388907
BETA-EUR,1739318400000,0.028211,0.028703,0.026404,0.028554,1893568.04430865
BETA-EUR,1739232000000,0.02762,0.030987,0.027438,0.028473,5185268.99960435
BETA-EUR,1739145600000,0.027053,0.028131,0.026212,0.027478,1308626.71179698
BETA-EUR,1739059200000,0.028444,0.029345,0.025777,0.026969,5447434.23986398
BETA-EUR,1738972800000,0.028981,0.032275,0.027581,0.028744,5836548.32404378
BETA-EUR,1738886400000,0.027658,0.034451,0.026481,0.029015,35283028.94307323
BETA-EUR,1738800000000,0.026498,0.031854,0.02586,0.027338,27891745.18059133
BETA-EUR,1738713600000,0.025825,0.031122,0.025524,0.026384,6458511.92276475
BETA-EUR,1738627200000,0.027716,0.029855,0.024876,0.026019,7614498.75405597
BETA-EUR,1738540800000,0.029693,0.029693,0.02226,0.027541,5185174.58214247
BETA-EUR,1738454400000,0.033699,0.037833,0.028924,0.029491,9384972.16009146
BETA-EUR,1738368000000,0.03529,0.036028,0.033401,0.033709,1630023.01681453
BETA-EUR,1738281600000,0.035702,0.037236,0.03501,0.035349,1422401.24872399
BETA-EUR,1738195200000,0.034207,0.036095,0.0342,0.035696,1179762.3956375
BETA-EUR,1738108800000,0.034565,0.035249,0.033716,0.034544,924688.81366659
BETA-EUR,1738022400000,0.035594,0.035731,0.033128,0.03368,2185856.76420039
BETA-EUR,1737936000000,0.03531,0.038268,0.032692,0.035793,5930419.2945318
BETA-EUR,1737849600000,0.036567,0.0372,0.035316,0.035522,1427940.21465498
BETA-EUR,1737763200000,0.035091,0.04,0.034997,0.036432,11615118.27070972
BETA-EUR,1737676800000,0.036491,0.036763,0.035175,0.03518,514687.91974253
BETA-EUR,1737590400000,0.0366,0.036781,0.034881,0.03553,1741002.51886609
BETA-EUR,1737504000000,0.0368,0.037911,0.03645,0.036835,2512400.19056479
BETA-EUR,1737417600000,0.034622,0.04187,0.033501,0.036663,16813943.97399179
BETA-EUR,1737331200000,0.036698,0.038415,0.034106,0.034758,3239153.82755342
BETA-EUR,1737244800000,0.04058,0.040581,0.036638,0.037107,2198337.18494946
BETA-EUR,1737158400000,0.042953,0.043182,0.039625,0.040304,993430.44562915
BETA-EUR,1737072000000,0.042013,0.043782,0.042013,0.043193,759473.18891894
BETA-EUR,1736985600000,0.043006,0.043006,0.041354,0.041986,1673984.16757956
BETA-EUR,1736899200000,0.041197,0.043071,0.040159,0.043055,520410.33745805
BETA-EUR,1736812800000,0.040704,0.042668,0.040704,0.041317,1857509.20363315
BETA-EUR,1736726400000,0.041979,0.042591,0.039286,0.040588,1812654.75342869
BETA-EUR,1736640000000,0.04284,0.044854,0.040836,0.041716,5166078.46747817
BETA-EUR,1736553600000,0.040992,0.045468,0.040416,0.04311,10104989.26348868
BETA-EUR,1736467200000,0.040931,0.041883,0.040308,0.04126,561343.82026847
BETA-EUR,1736380800000,0.040992,0.042217,0.039405,0.040853,989184.54721405
BETA-EUR,1736294400000,0.045779,0.047237,0.039107,0.041032,10413946.45371254
BETA-EUR,1736208000000,0.04609,0.050839,0.042892,0.045866,21732872.94361132
BETA-EUR,1736121600000,0.04585,0.046547,0.045398,0.04567,715211.50348544
BETA-EUR,1736035200000,0.045653,0.047006,0.045291,0.046488,1683940.50562773
BETA-EUR,1735948800000,0.045941,0.046886,0.045112,0.045844,2075705.17718367
BETA-EUR,1735862400000,0.04577,0.046086,0.044259,0.045858,2086525.6325057
BETA-EUR,1735776000000,0.045174,0.046156,0.043942,0.045269,4324966.99643984
BETA-EUR,1735689600000,0.044487,0.047606,0.042257,0.045214,7345944.66326984
BETA-EUR,1735603200000,0.047688,0.047845,0.043923,0.044535,3600346.1178961
BETA-EUR,1735516800000,0.052177,0.057772,0.046587,0.047667,52499519.96603492
BETA-EUR,1735430400000,0.045857,0.058065,0.045467,0.05229,23103616.67906659
BETA-EUR,1735344000000,0.043036,0.046238,0.042962,0.045628,1749938.69086442
