market,time,open,high,low,close,volume
BICO-EUR,1741132800000,0.12864,0.13019,0.1247,0.12621,49754.04793434
BICO-EUR,1741046400000,0.13157,0.13157,0.11829,0.12165,22875.78732707
BICO-EUR,1740960000000,0.15,0.15879,0.13781,0.13805,29079.67812157
BICO-EUR,1740873600000,0.15033,0.16558,0.14918,0.16535,21747.77540557
BICO-EUR,1740787200000,0.14648,0.15072,0.14634,0.14743,5481.77536212
BICO-EUR,1740700800000,0.15512,0.15512,0.14143,0.15294,59552.4272571
BICO-EUR,1740614400000,0.15092,0.15655,0.15092,0.15096,9196.20525981
BICO-EUR,1740528000000,0.15146,0.15231,0.14719,0.15146,42642.55867778
BICO-EUR,1740441600000,0.1453,0.15219,0.13735,0.15048,76758.74115379
BICO-EUR,1740355200000,0.16608,0.16608,0.14793,0.14817,44135.55550683
BICO-EUR,1740268800000,0.17555,0.17555,0.16505,0.16627,41575.50300183
BICO-EUR,1740182400000,0.16558,0.17784,0.16558,0.17784,47839.63910797
BICO-EUR,1740096000000,0.17442,0.18149,0.16355,0.16501,165369.42970181
BICO-EUR,1740009600000,0.1654,0.17404,0.16467,0.17404,67008.94335478
BICO-EUR,1739923200000,0.15973,0.16372,0.15973,0.16285,17835.48606664
BICO-EUR,1739836800000,0.17056,0.17056,0.15738,0.16084,63400.38228343
BICO-EUR,1739750400000,0.17068,0.17512,0.1665,0.1721,24033.19798876
BICO-EUR,1739664000000,0.16787,0.17512,0.16787,0.17028,42957.32626142
BICO-EUR,1739577600000,0.17319,0.17319,0.16583,0.16732,5007.51047667
BICO-EUR,1739491200000,0.17255,0.18014,0.17251,0.17632,49797.63916696
BICO-EUR,1739404800000,0.17848,0.17848,0.16886,0.17257,32729.59455702
BICO-EUR,1739318400000,0.17041,0.1782,0.164,0.17661,70406.52600834
BICO-EUR,1739232000000,0.17736,0.18153,0.1666,0.1666,130107.6796148
BICO-EUR,1739145600000,0.16293,0.17514,0.16293,0.17322,30321.50294133
BICO-EUR,1739059200000,0.16859,0.17831,0.16022,0.16554,49630.62966086
BICO-EUR,1738972800000,0.15504,0.16436,0.15504,0.16411,124057.5421025
BICO-EUR,1738886400000,0.15538,0.16117,0.14899,0.14899,63595.99963128
BICO-EUR,1738800000000,0.16387,0.16732,0.15302,0.15408,45359.04957394
BICO-EUR,1738713600000,0.17025,0.17025,0.16314,0.16543,23948.8069043
BICO-EUR,1738627200000,0.17687,0.17687,0.16024,0.16993,38980.43485418
BICO-EUR,1738540800000,0.17,0.18453,0.1355,0.18453,206166.67391992
BICO-EUR,1738454400000,0.21118,0.21268,0.17374,0.17992,66079.70780394
BICO-EUR,1738368000000,0.23309,0.23476,0.21525,0.21548,7870.27402134
BICO-EUR,1738281600000,0.2372,0.24185,0.23263,0.2339,5785.3143184
BICO-EUR,1738195200000,0.22969,0.23768,0.22759,0.23727,11697.140826
BICO-EUR,1738108800000,0.21303,0.23031,0.21303,0.22914,18868.41689577
BICO-EUR,1738022400000,0.22974,0.22974,0.21118,0.21303,2017.31883373
BICO-EUR,1737936000000,0.23493,0.23493,0.21204,0.22525,37466.63967268
BICO-EUR,1737849600000,0.23793,0.24701,0.23793,0.23906,40439.95107145
BICO-EUR,1737763200000,0.23282,0.23898,0.23282,0.2371,2686.54418617
BICO-EUR,1737676800000,0.2348,0.24658,0.2348,0.23485,17537.98991466
BICO-EUR,1737590400000,0.2436,0.24453,0.23435,0.2413,45941.10746961
BICO-EUR,1737504000000,0.25073,0.25391,0.24396,0.24459,37833.38215934
BICO-EUR,1737417600000,0.2376,0.25626,0.23,0.25059,165919.6010265
BICO-EUR,1737331200000,0.24813,0.26124,0.23282,0.24057,184105.90484866
BICO-EUR,1737244800000,0.26694,0.28007,0.24567,0.25007,97977.7356607
BICO-EUR,1737158400000,0.304,0.30424,0.27104,0.27136,23774.95501095
BICO-EUR,1737072000000,0.28645,0.3029,0.28638,0.30281,16434.62946324
BICO-EUR,1736985600000,0.283,0.28629,0.27617,0.28003,34447.06623184
BICO-EUR,1736899200000,0.2693,0.28379,0.25939,0.28379,18318.04494272
BICO-EUR,1736812800000,0.26158,0.26684,0.26158,0.26684,2495.0594519
BICO-EUR,1736726400000,0.25669,0.26007,0.24083,0.25693,8323.70951538
BICO-EUR,1736640000000,0.26914,0.27251,0.26594,0.26726,20748.93942648
BICO-EUR,1736553600000,0.27083,0.27219,0.26527,0.26601,359.90598031
BICO-EUR,1736467200000,0.26609,0.277,0.26609,0.27514,9712.30761733
BICO-EUR,1736380800000,0.27371,0.27816,0.25669,0.26494,19541.84053763
BICO-EUR,1736294400000,0.29225,0.29225,0.26525,0.27641,132372.09845279
BICO-EUR,1736208000000,0.32401,0.32473,0.28926,0.29089,26276.36374298
BICO-EUR,1736121600000,0.33221,0.33409,0.32094,0.32595,37538.77099081
BICO-EUR,1736035200000,0.33288,0.33288,0.32123,0.32702,58450.21343975
BICO-EUR,1735948800000,0.3403,0.34142,0.32932,0.33372,50693.44479944
BICO-EUR,1735862400000,0.3312,0.33976,0.32187,0.33976,6852.90729981
BICO-EUR,1735776000000,0.31769,0.33699,0.31769,0.32932,65199.54428229
BICO-EUR,1735689600000,0.29489,0.32551,0.28234,0.31911,25181.77248445
BICO-EUR,1735603200000,0.30127,0.30265,0.29097,0.29457,26535.25693562
BICO-EUR,1735516800000,0.30222,0.3179,0.28652,0.29758,44568.93074103
BICO-EUR,1735430400000,0.3047,0.3242,0.30105,0.3016,409740.04055222
BICO-EUR,1735344000000,0.28104,0.31165,0.27861,0.30893,426156.25962771
BICO-EUR,1735257600000,0.27883,0.29018,0.2766,0.2806,29967.43127914
BICO-EUR,1735171200000,0.29882,0.29937,0.27063,0.27338,23036.51123995
BICO-EUR,1735084800000,0.30249,0.30275,0.29254,0.29607,77081.38257277
BICO-EUR,1734998400000,0.285,0.31628,0.27732,0.30568,156599.49092916
BICO-EUR,1734912000000,0.25525,0.29085,0.25525,0.28513,42720.5330446
BICO-EUR,1734825600000,0.26833,0.27379,0.2563,0.25955,27499.02068358
BICO-EUR,1734739200000,0.29056,0.29715,0.26638,0.2681,19008.28785339
BICO-EUR,1734652800000,0.27139,0.28397,0.2344,0.2797,155067.4738005
BICO-EUR,1734566400000,0.30068,0.30438,0.26804,0.2753,78676.10370245
BICO-EUR,1734480000000,0.32775,0.32958,0.3,0.30504,100701.44145277
BICO-EUR,1734393600000,0.36227,0.36594,0.323,0.32617,161207.29453703
BICO-EUR,1734307200000,0.37139,0.37478,0.34398,0.36025,135621.88238948
BICO-EUR,1734220800000,0.34436,0.37495,0.33632,0.36845,168258.96718726
BICO-EUR,1734134400000,0.37168,0.37686,0.3408,0.34732,38304.42183416
BICO-EUR,1734048000000,0.37674,0.37674,0.35824,0.36411,39652.41407355
BICO-EUR,1733961600000,0.37671,0.38975,0.36621,0.37188,63458.5813283
BICO-EUR,1733875200000,0.333,0.37906,0.3266,0.37906,176620.61122826
BICO-EUR,1733788800000,0.34327,0.35692,0.30229,0.33614,96607.86228309
BICO-EUR,1733702400000,0.41369,0.41369,0.3082,0.3457,219939.90924411
BICO-EUR,1733616000000,0.4184,0.42224,0.39503,0.41566,36933.29035791
BICO-EUR,1733529600000,0.4182,0.43328,0.41662,0.42084,43691.86828418
BICO-EUR,1733443200000,0.40224,0.43262,0.40208,0.41943,108674.90489763
BICO-EUR,1733356800000,0.43691,0.43911,0.39493,0.40366,141970.76412184
BICO-EUR,1733270400000,0.42459,0.44363,0.4034,0.43349,307196.96672573
BICO-EUR,1733184000000,0.3745,0.43327,0.35793,0.43007,325353.19988104
BICO-EUR,1733097600000,0.37466,0.3784,0.34918,0.37247,167888.19340339
BICO-EUR,1733011200000,0.375,0.39349,0.36923,0.37902,306353.00056422
BICO-EUR,1732924800000,0.37,0.38614,0.36561,0.37753,197561.55304948
BICO-EUR,1732838400000,0.41062,0.41139,0.36605,0.37275,547666.14256214
BICO-EUR,1732752000000,0.36299,0.41601,0.34637,0.40705,916187.01813987
BICO-EUR,1732665600000,0.32573,0.36632,0.3228,0.3549,280135.9566692
BICO-EUR,1732579200000,0.33276,0.33458,0.305,0.329,119909.83680629
BICO-EUR,1732492800000,0.32418,0.37116,0.31374,0.3331,860479.10962831
BICO-EUR,1732406400000,0.3,0.3276,0.28342,0.32577,130455.41663604
BICO-EUR,1732320000000,0.27774,0.29907,0.27516,0.29811,135909.32047406
BICO-EUR,1732233600000,0.27216,0.27688,0.25722,0.27663,146658.64300882
BICO-EUR,1732147200000,0.24956,0.28071,0.24122,0.27324,115795.63490871
