market,time,open,high,low,close,volume
BLAST-EUR,1741132800000,0.003168,0.003347,0.003168,0.0031977,440234.06084388
BLAST-EUR,1741046400000,0.0033045,0.0033045,0.0030825,0.0031922,2307892.60321885
BLAST-EUR,1740960000000,0.0037184,0.0040213,0.0031933,0.0033239,3911331.84861572
BLAST-EUR,1740873600000,0.0038452,0.0041099,0.0038005,0.0040673,3015676.3739728
BLAST-EUR,1740787200000,0.0039956,0.0042864,0.003866,0.0038958,7936322.0894476
BLAST-EUR,1740700800000,0.0038183,0.004773,0.00377,0.0040464,62579521.02655169
BLAST-EUR,1740614400000,0.0036664,0.003962,0.0036664,0.0037767,2354162.30215307
BLAST-EUR,1740528000000,0.0036595,0.0037093,0.0034785,0.0036423,545542.95552962
BLAST-EUR,1740441600000,0.0037311,0.0037311,0.0034532,0.0036612,1804965.31921853
BLAST-EUR,1740355200000,0.0041852,0.0042155,0.003653,0.0036869,616280.19812183
BLAST-EUR,1740268800000,0.0042614,0.0042784,0.0041187,0.0041561,643004.17509526
BLAST-EUR,1740182400000,0.0040374,0.0044826,0.0040374,0.0043851,3576293.71395149
BLAST-EUR,1740096000000,0.0041244,0.0044929,0.0039419,0.0040038,9785118.60827113
BLAST-EUR,1740009600000,0.0040065,0.0041998,0.0039286,0.0040447,9626061.88814885
BLAST-EUR,1739923200000,0.0038284,0.0040348,0.0037466,0.0040348,4473330.01716639
BLAST-EUR,1739836800000,0.0039785,0.0040328,0.003723,0.0038385,1664733.36191407
BLAST-EUR,1739750400000,0.0040979,0.004295,0.0039731,0.0040961,48337123.87328798
BLAST-EUR,1739664000000,0.003891,0.004821,0.003891,0.0041087,70686232.20565006
BLAST-EUR,1739577600000,0.0039801,0.0039801,0.0038424,0.003853,457889.47721264
BLAST-EUR,1739491200000,0.0038236,0.0040178,0.0038236,0.0039508,43397.77898898
BLAST-EUR,1739404800000,0.004015,0.0040535,0.0038303,0.0038451,1185998.37039113
BLAST-EUR,1739318400000,0.0038468,0.0040456,0.0037884,0.0040046,3965333.87640241
BLAST-EUR,1739232000000,0.004019,0.0041504,0.0038015,0.0038553,1662809.97867033
