market,time,open,high,low,close,volume
CFG-EUR,1741132800000,0.13253,0.14687,0.13116,0.14597,317158.59062974
CFG-EUR,1741046400000,0.13372,0.15702,0.128,0.13324,448740.97486591
CFG-EUR,1740960000000,0.15633,0.164,0.13312,0.1345,174358.55298182
CFG-EUR,1740873600000,0.15416,0.16338,0.15241,0.16161,313259.59766199
CFG-EUR,1740787200000,0.15684,0.1575,0.15,0.15465,162976.07042435
CFG-EUR,1740700800000,0.16245,0.1792,0.145,0.15299,407092.42651481
CFG-EUR,1740614400000,0.15188,0.16246,0.15149,0.15418,56788.01468897
CFG-EUR,1740528000000,0.15469,0.16024,0.14616,0.15114,120003.12023323
CFG-EUR,1740441600000,0.14986,0.1568,0.14252,0.15592,423418.95978803
CFG-EUR,1740355200000,0.16461,0.16572,0.1499,0.1499,558903.55785362
CFG-EUR,1740268800000,0.17612,0.19354,0.16397,0.16707,531388.72836529
CFG-EUR,1740182400000,0.16544,0.18584,0.16544,0.1774,572780.87966752
CFG-EUR,1740096000000,0.17436,0.18191,0.16453,0.16584,564178.70490487
CFG-EUR,1740009600000,0.17205,0.17639,0.16975,0.17485,354668.60563998
CFG-EUR,1739923200000,0.16686,0.17417,0.16462,0.17177,603171.24023108
CFG-EUR,1739836800000,0.18072,0.18867,0.162,0.16628,582321.74612977
CFG-EUR,1739750400000,0.18015,0.18439,0.1702,0.18439,399613.35305226
CFG-EUR,1739664000000,0.18268,0.18367,0.17904,0.18016,266220.0866942
CFG-EUR,1739577600000,0.18205,0.1841,0.17908,0.18082,189636.91901257
CFG-EUR,1739491200000,0.17826,0.19162,0.17642,0.1815,353144.81748051
CFG-EUR,1739404800000,0.18581,0.19092,0.17642,0.17642,217991.59678536
CFG-EUR,1739318400000,0.18571,0.21511,0.178,0.18567,1168590.14433061
CFG-EUR,1739232000000,0.18453,0.192,0.18343,0.18678,290468.71705493
CFG-EUR,1739145600000,0.18665,0.215,0.17871,0.18431,566482.20539431
CFG-EUR,1739059200000,0.18804,0.19354,0.181,0.18375,88793.13872843
CFG-EUR,1738972800000,0.17601,0.18506,0.17283,0.18506,277030.61761497
CFG-EUR,1738886400000,0.18011,0.18862,0.17021,0.17295,294687.11281092
CFG-EUR,1738800000000,0.18558,0.22613,0.17488,0.17802,1143845.66430561
CFG-EUR,1738713600000,0.18478,0.19099,0.17775,0.18374,148619.45539959
CFG-EUR,1738627200000,0.19322,0.20015,0.17558,0.1838,659544.83475791
CFG-EUR,1738540800000,0.18192,0.19789,0.14892,0.19407,570596.99048645
CFG-EUR,1738454400000,0.208,0.21219,0.17879,0.18116,337936.50964446
CFG-EUR,1738368000000,0.22476,0.228,0.205,0.20959,267508.91696035
CFG-EUR,1738281600000,0.22405,0.2356,0.22388,0.22461,65919.06507828
CFG-EUR,1738195200000,0.22073,0.2323,0.22011,0.22551,262558.96244948
CFG-EUR,1738108800000,0.21441,0.22429,0.20483,0.22175,338691.88862198
CFG-EUR,1738022400000,0.23824,0.23939,0.21015,0.21422,375842.8365183
CFG-EUR,1737936000000,0.23383,0.26922,0.21132,0.23502,1046606.65018106
CFG-EUR,1737849600000,0.24467,0.24968,0.23404,0.23404,117929.26873171
CFG-EUR,1737763200000,0.24688,0.25464,0.24106,0.24625,170623.51816114
CFG-EUR,1737676800000,0.25225,0.26501,0.24509,0.24721,411996.55330102
CFG-EUR,1737590400000,0.25924,0.26565,0.24928,0.2543,430812.48961414
CFG-EUR,1737504000000,0.26511,0.36448,0.25526,0.25677,1959120.85970472
CFG-EUR,1737417600000,0.2564,0.27308,0.24967,0.26726,179236.21272509
CFG-EUR,1737331200000,0.2693,0.38,0.25104,0.25833,805660.3312441
CFG-EUR,1737244800000,0.30417,0.32,0.26483,0.27406,152489.46821506
CFG-EUR,1737158400000,0.32366,0.32518,0.28858,0.30593,92203.40877696
CFG-EUR,1737072000000,0.30568,0.34,0.29176,0.32446,512796.79179787
CFG-EUR,1736985600000,0.276,0.32159,0.26911,0.30568,241113.69803074
