market,time,open,high,low,close,volume
CKB-EUR,1741132800000,0.0056129,0.0058019,0.0055751,0.0057225,1560845.89722777
CKB-EUR,1741046400000,0.0056061,0.0056747,0.00525,0.0055727,3357739.14322191
CKB-EUR,1740960000000,0.0065299,0.0065299,0.005602,0.0057139,8584102.06846944
CKB-EUR,1740873600000,0.0061298,0.0067218,0.0061093,0.0065623,14815684.13567518
CKB-EUR,1740787200000,0.0064299,0.0069137,0.006109,0.0063474,15734873.17751483
CKB-EUR,1740700800000,0.0058894,0.0074812,0.0058894,0.0065558,136565510.51866096
CKB-EUR,1740614400000,0.005426,0.0059395,0.005426,0.005885,3542122.70091811
CKB-EUR,1740528000000,0.0055511,0.0056069,0.0052375,0.0054813,2817428.2716249
CKB-EUR,1740441600000,0.005686,0.005686,0.0052276,0.0056352,6854965.45352482
CKB-EUR,1740355200000,0.0063685,0.0063685,0.0055598,0.0056858,5945345.96225509
CKB-EUR,1740268800000,0.0064006,0.0065643,0.0062849,0.0064316,728455.5831837
CKB-EUR,1740182400000,0.0061381,0.0066288,0.0061381,0.0064975,807833.78179891
CKB-EUR,1740096000000,0.0062857,0.0068403,0.0061952,0.0062283,8345494.81693902
CKB-EUR,1740009600000,0.0061432,0.0062991,0.0060845,0.0062491,2398541.57806503
CKB-EUR,1739923200000,0.0058347,0.006138,0.0058185,0.0061066,3388342.21888546
CKB-EUR,1739836800000,0.006499,0.006499,0.0056701,0.0059276,3853245.59343263
CKB-EUR,1739750400000,0.0060532,0.006987,0.0059663,0.0064143,13519964.3260349
CKB-EUR,1739664000000,0.0059905,0.0061264,0.0058659,0.0060167,1489266.91507356
CKB-EUR,1739577600000,0.006234,0.006234,0.0059013,0.0059013,758265.55734528
CKB-EUR,1739491200000,0.0060252,0.0063588,0.0060252,0.0062535,9746995.66427737
CKB-EUR,1739404800000,0.0062676,0.0063307,0.006005,0.0061149,1182978.63872984
CKB-EUR,1739318400000,0.0060474,0.0062463,0.0058173,0.0062325,2681597.1221471
CKB-EUR,1739232000000,0.0063349,0.0066533,0.0059692,0.0060777,5854982.71333916
CKB-EUR,1739145600000,0.0059195,0.0062261,0.0059136,0.0062045,3573462.50188662
