market,time,open,high,low,close,volume
COMP-EUR,1741132800000,46.562,48.638,46.104,47.968,936.15087442
COMP-EUR,1741046400000,44.456,47.086,40.829,45.627,3588.75860425
COMP-EUR,1740960000000,48.089,51.78,43.843,44.477,881.78120575
COMP-EUR,1740873600000,48.19,53.442,47.03,52.22,862.88489554
COMP-EUR,1740787200000,49.68,49.912,47.802,48.359,158.99355993
COMP-EUR,1740700800000,46.99,49.025,45,48.829,293.13983807
COMP-EUR,1740614400000,48.754,50.7,48.557,49.932,176.04438225
COMP-EUR,1740528000000,48.862,50.364,46.895,48.29,607.96728598
COMP-EUR,1740441600000,47.329,49.117,45.951,48.792,1142.04028776
COMP-EUR,1740355200000,50.364,51.342,47,48.232,537.75518829
COMP-EUR,1740268800000,53.382,54.315,51.788,52.759,1986.16253391
COMP-EUR,1740182400000,50.446,54.721,50.446,54.133,215.91962907
COMP-EUR,1740096000000,52.286,55,49.993,50.542,319.67839754
COMP-EUR,1740009600000,52.417,53.481,51.383,52.75,628.44013815
COMP-EUR,1739923200000,50.211,52.893,50.211,52.504,372.97959997
COMP-EUR,1739836800000,53.089,53.089,49.45,50.501,115.75750219
COMP-EUR,1739750400000,52.264,54.625,51.3,53.094,400.70754984
COMP-EUR,1739664000000,53.864,54.666,52.614,52.619,62.57378768
COMP-EUR,1739577600000,55.798,55.798,53.852,54.036,90.37166364
COMP-EUR,1739491200000,54.458,56.32,53.942,55.866,2090.71208044
COMP-EUR,1739404800000,55,55.414,53.172,53.524,1232.52441689
COMP-EUR,1739318400000,54.169,57.239,52.6,56.138,807.21019336
COMP-EUR,1739232000000,53.083,58,53.083,54.197,1744.65207809
COMP-EUR,1739145600000,49.975,53.082,47.749,52.711,669.88573843
COMP-EUR,1739059200000,49.413,51.142,47.773,49.689,273.49891647
COMP-EUR,1738972800000,49.7,50.053,48.467,49.241,393.52577652
COMP-EUR,1738886400000,46.773,50.381,46.621,49.536,1203.26883691
COMP-EUR,1738800000000,48.47,49.684,46.195,46.624,921.75084214
COMP-EUR,1738713600000,51.504,51.511,47.356,48.117,2267.89635172
COMP-EUR,1738627200000,55.883,55.883,49.35,51.371,940.79709727
COMP-EUR,1738540800000,54.426,56.468,42.197,56.377,4108.00743843
COMP-EUR,1738454400000,63.01,63.258,52.5,54.547,2247.08627002
COMP-EUR,1738368000000,66.878,67.894,61.753,62.468,667.64795559
COMP-EUR,1738281600000,67.72,70.379,66.909,67.344,890.57610088
COMP-EUR,1738195200000,65.827,69.29,65.827,68.207,610.2025279
COMP-EUR,1738108800000,64.977,68.583,64.368,66.885,297.09745833
COMP-EUR,1738022400000,67.777,68.308,63.762,64.766,1371.89089314
COMP-EUR,1737936000000,69.328,69.328,62.156,67.606,910.04411839
COMP-EUR,1737849600000,71.283,73.942,69.264,69.264,673.29554134
COMP-EUR,1737763200000,71.949,72.596,69.869,71.952,291.45495548
COMP-EUR,1737676800000,74.632,75.56,71.654,72.531,1809.55936467
COMP-EUR,1737590400000,73.312,75.679,71.871,74.41,422.40471646
COMP-EUR,1737504000000,77.125,77.125,72.76,73.497,802.7164724
COMP-EUR,1737417600000,77.845,79.852,74.8,77.153,742.70626436
COMP-EUR,1737331200000,77.852,85.643,76.237,79.136,2318.16170549
COMP-EUR,1737244800000,81.484,85.34,76.184,78.096,2233.04202003
COMP-EUR,1737158400000,87.29,87.436,79.518,81.57,906.32481984
COMP-EUR,1737072000000,77.928,89.533,77.928,87.056,2797.39511007
COMP-EUR,1736985600000,80.537,81.452,77.411,77.94,526.13517999
COMP-EUR,1736899200000,74.669,82.085,73.618,80.828,1315.33343741
COMP-EUR,1736812800000,71.48,74.322,70.566,74.302,335.10110064
COMP-EUR,1736726400000,76.671,76.671,68.54,71.011,1383.94513739
COMP-EUR,1736640000000,77.239,78.146,75.453,75.645,574.65844647
COMP-EUR,1736553600000,75.701,79.932,74.479,77.601,2511.8013516
COMP-EUR,1736467200000,70.015,75.707,69.8,75.418,1075.8375859
COMP-EUR,1736380800000,70.782,71.645,67.261,69.313,762.6560353
COMP-EUR,1736294400000,73.313,73.709,65.803,70.435,615.05252808
COMP-EUR,1736208000000,81.63,81.71,72.922,73.09,1433.80152338
COMP-EUR,1736121600000,82.934,84.132,81.18,81.351,1732.30777246
COMP-EUR,1736035200000,81.934,82.761,79.084,82.425,1218.27878949
COMP-EUR,1735948800000,82.823,83.703,80.94,82.608,910.92712633
COMP-EUR,1735862400000,76.515,84.73,76.116,82.507,2769.85267644
COMP-EUR,1735776000000,76.641,78.377,75.424,76.454,930.22422521
COMP-EUR,1735689600000,71.347,75.503,69.129,74.923,160.50056036
COMP-EUR,1735603200000,71.696,74.56,70.252,70.723,586.98333819
COMP-EUR,1735516800000,74.616,76.489,71.8,72.947,1156.7074381
COMP-EUR,1735430400000,77.378,77.674,73.268,73.764,247.80574002
COMP-EUR,1735344000000,75.031,78.239,73.754,77.502,263.700128
COMP-EUR,1735257600000,75.875,80.75,74.948,75.492,248.68726972
COMP-EUR,1735171200000,81.935,82.236,75.464,76.151,431.77010097
COMP-EUR,1735084800000,83.444,84.477,81.253,82.922,332.3829777
COMP-EUR,1734998400000,81.583,85.865,79.5,84.211,1980.16364627
COMP-EUR,1734912000000,75.95,82.61,74.56,81.56,500.54561713
COMP-EUR,1734825600000,77.674,78.8,74.016,76.146,755.53286151
COMP-EUR,1734739200000,81.559,86.543,75.826,77.482,798.49866982
