market,time,open,high,low,close,volume
CRO-EUR,1741219200000,0.07459,0.07459,0.074203,0.074203,26943
CRO-EUR,1741132800000,0.069106,0.075164,0.067735,0.07225,19365561.30862619
CRO-EUR,1741046400000,0.069641,0.072931,0.065,0.069611,6800197.63032064
CRO-EUR,1740960000000,0.080811,0.098262,0.071468,0.072957,16994270.00985697
CRO-EUR,1740873600000,0.071106,0.080319,0.070132,0.070322,3248653.59478581
CRO-EUR,1740787200000,0.071251,0.072057,0.069042,0.071312,792356.58115633
CRO-EUR,1740700800000,0.070937,0.071397,0.065585,0.070888,1898633.26252915
CRO-EUR,1740614400000,0.070403,0.07278,0.07,0.071456,723188.14856438
CRO-EUR,1740528000000,0.072796,0.073337,0.068421,0.070085,1514550.28558444
CRO-EUR,1740441600000,0.07392,0.076246,0.068568,0.072804,4120071.09971689
CRO-EUR,1740355200000,0.082,0.088657,0.073816,0.074058,4100686.89620472
CRO-EUR,1740268800000,0.081605,0.08275,0.080282,0.081124,343392.66773509
CRO-EUR,1740182400000,0.079613,0.082173,0.079377,0.081623,394970.00670024
CRO-EUR,1740096000000,0.081696,0.084338,0.078629,0.079815,1072017.20932203
CRO-EUR,1740009600000,0.080706,0.08314,0.080706,0.081984,686877.3075958
CRO-EUR,1739923200000,0.080992,0.082217,0.079464,0.08085,487442.24036383
CRO-EUR,1739836800000,0.084005,0.085476,0.0789,0.081202,1274877.98338202
CRO-EUR,1739750400000,0.08431,0.086798,0.081737,0.083714,677407.12001091
CRO-EUR,1739664000000,0.084771,0.085,0.082425,0.083817,3158710.2583669
CRO-EUR,1739577600000,0.086884,0.087524,0.083857,0.084905,653187.84095267
CRO-EUR,1739491200000,0.087243,0.088773,0.086277,0.087243,693592.42977984
CRO-EUR,1739404800000,0.091115,0.092041,0.086208,0.086902,872287.7070317
CRO-EUR,1739318400000,0.08901,0.094138,0.086367,0.091687,2401919.07988208
CRO-EUR,1739232000000,0.0919,0.095754,0.088446,0.089639,701285.54372248
CRO-EUR,1739145600000,0.0913,0.091947,0.08775,0.091129,687555.40266721
CRO-EUR,1739059200000,0.091824,0.094512,0.08756,0.089745,854007.6985259
CRO-EUR,1738972800000,0.091467,0.0919,0.088236,0.091842,785402.62062139
