market,time,open,high,low,close,volume
CRV-EUR,1741132800000,0.39416,0.42166,0.39173,0.40257,1529792.41317812
CRV-EUR,1741046400000,0.39302,0.40173,0.35062,0.39119,8472052.64439787
CRV-EUR,1740960000000,0.4602,0.48284,0.38598,0.397,5985099.34607995
CRV-EUR,1740873600000,0.42107,0.49396,0.40622,0.47607,1704326.85284646
CRV-EUR,1740787200000,0.43635,0.43834,0.40657,0.41875,682844.99448959
CRV-EUR,1740700800000,0.434,0.43784,0.40141,0.43262,1517038.97720702
CRV-EUR,1740614400000,0.44098,0.45208,0.42686,0.43545,732250.35023163
CRV-EUR,1740528000000,0.43239,0.45441,0.42489,0.43976,1986765.37898138
CRV-EUR,1740441600000,0.41693,0.4471,0.38598,0.43284,2992920.66046674
CRV-EUR,1740355200000,0.48786,0.49233,0.40402,0.41598,1284980.06911252
CRV-EUR,1740268800000,0.48232,0.50562,0.47842,0.48763,349074.72234934
CRV-EUR,1740182400000,0.48009,0.48918,0.47356,0.48222,190347.16558117
CRV-EUR,1740096000000,0.5088,0.5241,0.465,0.4761,523607.45271379
CRV-EUR,1740009600000,0.49425,0.50887,0.48854,0.50643,601916.14641236
CRV-EUR,1739923200000,0.47512,0.49999,0.47017,0.49469,504415.6106253
CRV-EUR,1739836800000,0.4931,0.49348,0.45,0.47232,597954.23551788
CRV-EUR,1739750400000,0.48627,0.52093,0.48094,0.49286,402082.95378745
CRV-EUR,1739664000000,0.48861,0.49428,0.47315,0.48687,180858.89855468
CRV-EUR,1739577600000,0.50129,0.5133,0.48314,0.48631,186164.16914347
CRV-EUR,1739491200000,0.50807,0.52637,0.49276,0.50264,691072.87248565
CRV-EUR,1739404800000,0.5344,0.54219,0.48342,0.50651,530750.41066579
CRV-EUR,1739318400000,0.51647,0.54654,0.48277,0.53514,1067173.65172681
CRV-EUR,1739232000000,0.51973,0.58299,0.50845,0.51455,954396.69170146
CRV-EUR,1739145600000,0.51438,0.55374,0.48714,0.5175,842414.63944514
CRV-EUR,1739059200000,0.49482,0.5162,0.47804,0.51467,377434.62289825
CRV-EUR,1738972800000,0.46412,0.50361,0.46132,0.49607,271574.12232069
CRV-EUR,1738886400000,0.45704,0.50034,0.43931,0.45979,895613.45868463
CRV-EUR,1738800000000,0.49468,0.51089,0.44867,0.45012,586743.17519221
CRV-EUR,1738713600000,0.5019,0.52101,0.48911,0.49372,583055.33427972
CRV-EUR,1738627200000,0.55998,0.56127,0.4846,0.50664,860165.05278697
CRV-EUR,1738540800000,0.54159,0.57952,0.39823,0.56066,2793142.19331897
CRV-EUR,1738454400000,0.66367,0.6834,0.50104,0.54274,2490012.178571
CRV-EUR,1738368000000,0.74863,0.75749,0.6554,0.66561,535218.85257426
CRV-EUR,1738281600000,0.76119,0.79788,0.73476,0.74802,418709.16458556
CRV-EUR,1738195200000,0.67376,0.77464,0.6684,0.75473,828142.32182129
CRV-EUR,1738108800000,0.6458,0.71245,0.64,0.67272,938473.39001379
CRV-EUR,1738022400000,0.7089,0.7182,0.64265,0.64958,1042047.7384916
CRV-EUR,1737936000000,0.73353,0.74076,0.645,0.70956,1665771.56666577
CRV-EUR,1737849600000,0.76083,0.79144,0.73,0.7338,276181.64857613
CRV-EUR,1737763200000,0.7573,0.79475,0.7378,0.76101,295520.27228008
CRV-EUR,1737676800000,0.75504,0.82528,0.7281,0.75158,933643.71632117
CRV-EUR,1737590400000,0.75691,0.77952,0.71855,0.7624,1119480.8720151
CRV-EUR,1737504000000,0.8222,0.83013,0.75251,0.763,1332863.06522606
CRV-EUR,1737417600000,0.8168,0.85146,0.78826,0.82234,1417438.0055879
CRV-EUR,1737331200000,0.79203,0.91836,0.76575,0.81675,3231777.73729827
CRV-EUR,1737244800000,0.88988,0.93715,0.78,0.79088,3407581.36020721
CRV-EUR,1737158400000,1.0109,1.03,0.86475,0.89298,2507730.82327116
CRV-EUR,1737072000000,0.90398,1.0244,0.90398,1.0113,2122577.91702572
CRV-EUR,1736985600000,0.93221,0.95304,0.89263,0.9029,1434482.7312902
CRV-EUR,1736899200000,0.83687,0.9362,0.81172,0.9334,975157.42316243
CRV-EUR,1736812800000,0.7923,0.84653,0.78711,0.83991,604096.53619058
CRV-EUR,1736726400000,0.79978,0.8264,0.7143,0.79273,2445108.34139105
CRV-EUR,1736640000000,0.8254,0.82582,0.78461,0.79782,790446.35281683
CRV-EUR,1736553600000,0.80689,0.84834,0.77226,0.82759,1869503.57463426
CRV-EUR,1736467200000,0.79244,0.8397,0.77372,0.80995,2844986.83512994
CRV-EUR,1736380800000,0.83871,0.85839,0.76297,0.78315,3711608.31996648
CRV-EUR,1736294400000,0.8673,0.87722,0.76147,0.8372,1699178.05771588
CRV-EUR,1736208000000,0.9588,0.96826,0.86295,0.86295,2400802.36794645
CRV-EUR,1736121600000,1.0013,1.0248,0.93777,0.96274,1026613.50707054
CRV-EUR,1736035200000,1.0179,1.0215,0.9859,0.99545,1162125.89546378
CRV-EUR,1735948800000,1.0472,1.0735,1.0149,1.0161,381846.31910752
CRV-EUR,1735862400000,0.97854,1.0828,0.94584,1.0521,2065808.72312054
CRV-EUR,1735776000000,0.93047,1.0126,0.92429,0.98078,1721566.84670077
CRV-EUR,1735689600000,0.8599,0.94693,0.83487,0.92246,1884614.64644309
CRV-EUR,1735603200000,0.88902,0.91481,0.85,0.85969,3629857.61404736
CRV-EUR,1735516800000,0.90673,0.95364,0.86355,0.89455,3315158.73964258
CRV-EUR,1735430400000,0.98077,0.98341,0.88836,0.90774,1319529.4738468
CRV-EUR,1735344000000,0.86166,1.0037,0.81979,0.97626,2724261.1637901
CRV-EUR,1735257600000,0.9177,0.9713,0.85518,0.86254,5782284.35997874
CRV-EUR,1735171200000,0.9806,0.98518,0.85758,0.90988,2218004.04840029
CRV-EUR,1735084800000,0.9775,1.0242,0.96435,0.98594,875512.8866423
CRV-EUR,1734998400000,0.90658,1.0228,0.8726,0.97509,1999893.05528116
CRV-EUR,1734912000000,0.78488,0.95491,0.77,0.9154,2764090.52050482
CRV-EUR,1734825600000,0.75517,0.8094,0.71001,0.78295,4015937.35507368
CRV-EUR,1734739200000,0.79503,0.9,0.74951,0.76211,1413756.99492844
CRV-EUR,1734652800000,0.80983,0.83639,0.65361,0.80002,5783364.04094391
CRV-EUR,1734566400000,0.92032,0.94289,0.78359,0.81402,4647037.92092674
CRV-EUR,1734480000000,1.0636,1.068,0.88,0.92838,2920540.6701449
CRV-EUR,1734393600000,1.0155,1.103,0.9955,1.0523,1268356.40353467
CRV-EUR,1734307200000,1.0714,1.1054,0.99863,1.0179,2173371.38853148
CRV-EUR,1734220800000,1.0878,1.1141,1.0151,1.0689,1460554.90176925
CRV-EUR,1734134400000,1.0792,1.2352,1.061,1.0943,1979155.31327116
CRV-EUR,1734048000000,1.139,1.1896,1.0643,1.0832,1370267.2134179
CRV-EUR,1733961600000,1.074,1.1471,1.0266,1.1362,2080612.54315653
CRV-EUR,1733875200000,1.0151,1.0914,0.92903,1.0779,4069960.60030742
CRV-EUR,1733788800000,1.0026,1.1557,0.9364,1.0156,4523344.35831903
CRV-EUR,1733702400000,1.1382,1.1415,0.82691,1.0074,8027173.72854581
CRV-EUR,1733616000000,1.111,1.1781,1.0756,1.1377,2625255.66319902
CRV-EUR,1733529600000,1.1841,1.26,1.0967,1.1145,3895459.2128387
CRV-EUR,1733443200000,1.0006,1.2367,0.9905,1.1814,3861890.91645408
CRV-EUR,1733356800000,1.0338,1.1282,0.9189,0.99862,6227782.90776652
CRV-EUR,1733270400000,0.83578,1.1956,0.82225,1.0365,5769822.33030968
CRV-EUR,1733184000000,0.69584,0.92981,0.69029,0.84006,14930852.93329927
CRV-EUR,1733097600000,0.63556,0.76494,0.63477,0.69292,19073962.34796128
CRV-EUR,1733011200000,0.65258,0.69634,0.59691,0.634,14888749.94562282
CRV-EUR,1732924800000,0.51178,0.65673,0.50459,0.64487,10267972.77816677
CRV-EUR,1732838400000,0.46966,0.51792,0.46026,0.51114,7141888.6516445
CRV-EUR,1732752000000,0.48089,0.48641,0.45,0.46993,1634652.85943547
CRV-EUR,1732665600000,0.45705,0.50236,0.44464,0.48325,15756443.78104783
CRV-EUR,1732579200000,0.4975,0.50754,0.44501,0.4621,7258701.77524969
CRV-EUR,1732492800000,0.48196,0.54787,0.45841,0.49513,4631087.52408853
CRV-EUR,1732406400000,0.47251,0.51363,0.44546,0.4851,2892202.20651085
CRV-EUR,1732320000000,0.4528,0.51528,0.43451,0.46978,4474474.57790358
CRV-EUR,1732233600000,0.38784,0.4538,0.3762,0.4527,16644735.19521172
CRV-EUR,1732147200000,0.35268,0.4142,0.33506,0.38514,16112620.49617937
CRV-EUR,1732060800000,0.38376,0.38514,0.34161,0.35404,3574655.25884088
CRV-EUR,1731974400000,0.35532,0.41553,0.34965,0.38474,4908382.58775189
CRV-EUR,1731888000000,0.30281,0.37466,0.30281,0.35339,3134445.11394012
CRV-EUR,1731801600000,0.31505,0.32666,0.29811,0.30168,1120836.7183406
CRV-EUR,1731715200000,0.27311,0.35569,0.27293,0.31968,4483900.20875396
CRV-EUR,1731628800000,0.27354,0.28172,0.2622,0.2746,997571.42040807
CRV-EUR,1731542400000,0.29683,0.29683,0.27044,0.2737,1512803.36137005
CRV-EUR,1731456000000,0.26133,0.30715,0.23985,0.29641,9361248.55982428
CRV-EUR,1731369600000,0.27166,0.27533,0.23443,0.26083,4871317.66231645
CRV-EUR,1731283200000,0.26403,0.27677,0.25765,0.27432,4418834.54260173
CRV-EUR,1731196800000,0.25854,0.27228,0.25,0.26374,11323118.95737769
CRV-EUR,1731110400000,0.25035,0.26304,0.24779,0.25822,1106174.19554939
CRV-EUR,1731024000000,0.24592,0.25441,0.24032,0.25247,1882763.80700867
CRV-EUR,1730937600000,0.24072,0.24941,0.23948,0.24207,722790.61943816
CRV-EUR,1730851200000,0.21836,0.242,0.21836,0.24003,4856168.34274266
CRV-EUR,1730764800000,0.20718,0.21874,0.20689,0.21792,418088.67188841
CRV-EUR,1730678400000,0.21183,0.21361,0.20244,0.20606,2456627.8163653
CRV-EUR,1730592000000,0.21893,0.21893,0.20624,0.21173,1730548.09035522
CRV-EUR,1730505600000,0.23014,0.23014,0.21734,0.2194,4158023.16544857
CRV-EUR,1730419200000,0.23327,0.23854,0.22633,0.22764,938974.16863195
CRV-EUR,1730332800000,0.23815,0.23892,0.21655,0.2325,9045712.98738779
CRV-EUR,1730246400000,0.2391,0.24538,0.23489,0.23994,291018.60451911
CRV-EUR,1730160000000,0.22529,0.23976,0.224,0.2393,6517131.49937613
CRV-EUR,1730073600000,0.22486,0.22853,0.21687,0.22587,952191.36155401
CRV-EUR,1729987200000,0.22277,0.22593,0.22111,0.22593,173969.98663347
CRV-EUR,1729900800000,0.21614,0.22434,0.21538,0.22251,4853375.18457177
CRV-EUR,1729814400000,0.23,0.23275,0.2077,0.21988,2247321.39976555
CRV-EUR,1729728000000,0.23595,0.2365,0.22975,0.23086,207489.73855876
CRV-EUR,1729641600000,0.24,0.24,0.22706,0.23481,205571.90544966
CRV-EUR,1729555200000,0.24237,0.24375,0.23733,0.24157,262972.40121412
CRV-EUR,1729468800000,0.2532,0.2532,0.23701,0.24294,3788793.11892385
CRV-EUR,1729382400000,0.2471,0.26101,0.24491,0.25187,6166642.88630801
CRV-EUR,1729296000000,0.24552,0.25225,0.24415,0.24652,972053.30642232
CRV-EUR,1729209600000,0.24022,0.2462,0.23886,0.2443,1871493.80911376
CRV-EUR,1729123200000,0.23782,0.24292,0.23112,0.23965,1329246.62846864
CRV-EUR,1729036800000,0.24177,0.24279,0.23725,0.23725,379554.83364425
CRV-EUR,1728950400000,0.24506,0.25114,0.236,0.23827,1031977.62100625
CRV-EUR,1728864000000,0.23598,0.24592,0.23466,0.24574,2233099.7447089
CRV-EUR,1728777600000,0.23691,0.23701,0.23002,0.2346,272096.44541494
CRV-EUR,1728691200000,0.23723,0.24169,0.228,0.23786,7105703.03633095
CRV-EUR,1728604800000,0.23673,0.24253,0.23382,0.23795,1330766.34213403
CRV-EUR,1728518400000,0.235,0.24342,0.23078,0.23624,2346798.4870588
CRV-EUR,1728432000000,0.23067,0.23687,0.22364,0.23687,1073855.81991667
