market,time,open,high,low,close,volume
CTK-EUR,1741132800000,0.34315,0.35656,0.3337,0.3337,20476.9902
CTK-EUR,1741046400000,0.36945,0.37559,0.3309,0.3513,80144.711302
CTK-EUR,1740960000000,0.41096,0.42355,0.37442,0.38817,31444.318853
CTK-EUR,1740873600000,0.4099,0.44131,0.40236,0.43995,19325.266808
CTK-EUR,1740787200000,0.39861,0.40356,0.39444,0.39557,4338.180385
CTK-EUR,1740700800000,0.40109,0.4258,0.38758,0.4258,35882.108487
CTK-EUR,1740614400000,0.40732,0.41639,0.40494,0.40913,13466.19231
CTK-EUR,1740528000000,0.41122,0.417,0.38768,0.40804,23871.058082
CTK-EUR,1740441600000,0.40098,0.41323,0.37474,0.41215,18769.783478
CTK-EUR,1740355200000,0.45902,0.45902,0.39703,0.40212,40222.520965
CTK-EUR,1740268800000,0.47364,0.47364,0.46121,0.46244,38664.36032
CTK-EUR,1740182400000,0.45344,0.47283,0.44917,0.46491,38603.786944
CTK-EUR,1740096000000,0.45955,0.47922,0.44381,0.44652,11409.96239
CTK-EUR,1740009600000,0.45158,0.46691,0.45097,0.46279,21475.973678
CTK-EUR,1739923200000,0.44201,0.44879,0.44043,0.44627,7248.220035
CTK-EUR,1739836800000,0.44745,0.44747,0.42126,0.42599,23955.696794
CTK-EUR,1739750400000,0.47566,0.49177,0.45674,0.46175,34747.798682
CTK-EUR,1739664000000,0.46267,0.48256,0.46267,0.46927,15785.435177
CTK-EUR,1739577600000,0.48327,0.50413,0.46762,0.46762,27080.38545
CTK-EUR,1739491200000,0.47527,0.49209,0.47131,0.48337,22554.809761
CTK-EUR,1739404800000,0.50399,0.51203,0.4726,0.47355,21083.083542
CTK-EUR,1739318400000,0.472,0.52166,0.46406,0.50518,233965.8253
CTK-EUR,1739232000000,0.47914,0.49852,0.4644,0.4644,48426.96539
CTK-EUR,1739145600000,0.47304,0.49685,0.45804,0.47776,96034.232985
CTK-EUR,1739059200000,0.47412,0.48166,0.44793,0.46805,86189.400349
CTK-EUR,1738972800000,0.4281,0.47034,0.4281,0.46876,86133.631158
CTK-EUR,1738886400000,0.43031,0.45395,0.42014,0.42014,15746.14216
CTK-EUR,1738800000000,0.46483,0.52166,0.41848,0.42085,352371.150707
CTK-EUR,1738713600000,0.47169,0.47704,0.44388,0.45846,59870.586615
CTK-EUR,1738627200000,0.45794,0.48006,0.45169,0.47485,40412.954296
CTK-EUR,1738540800000,0.44458,0.49489,0.37227,0.48526,138973.639478
CTK-EUR,1738454400000,0.5249,0.53047,0.45,0.45222,18251.721565
CTK-EUR,1738368000000,0.5595,0.56692,0.51237,0.51829,33937.460827
CTK-EUR,1738281600000,0.55986,0.56707,0.54462,0.54999,25203.67464
CTK-EUR,1738195200000,0.54279,0.57668,0.54279,0.56972,12705.641773
CTK-EUR,1738108800000,0.52494,0.56534,0.52494,0.54767,24847.160174
CTK-EUR,1738022400000,0.56797,0.57361,0.52165,0.52549,29875.297202
CTK-EUR,1737936000000,0.53205,0.57028,0.49874,0.56442,316374.182562
CTK-EUR,1737849600000,0.54702,0.57721,0.52704,0.52864,88674.101246
CTK-EUR,1737763200000,0.54523,0.567,0.54171,0.5516,32741.74543
CTK-EUR,1737676800000,0.58372,0.60055,0.54601,0.54601,146670.805425
CTK-EUR,1737590400000,0.695,0.72304,0.53501,0.58208,600814.157916
CTK-EUR,1737504000000,0.71938,0.71938,0.68296,0.70316,15273.807385
CTK-EUR,1737417600000,0.64783,0.72417,0.64549,0.69373,37047.153576
CTK-EUR,1737331200000,0.68968,0.73412,0.65487,0.662,53505.149381
CTK-EUR,1737244800000,0.82074,0.86,0.695,0.7022,36380.926933
CTK-EUR,1737158400000,0.80144,0.84041,0.75386,0.82885,156834.446995
CTK-EUR,1737072000000,0.74969,0.80388,0.74969,0.79561,8283.773547
CTK-EUR,1736985600000,0.75249,0.80475,0.74364,0.74364,18218.878688
CTK-EUR,1736899200000,0.71741,0.74454,0.6955,0.74174,10311.692729
CTK-EUR,1736812800000,0.70638,0.7291,0.70069,0.71357,25285.261908
CTK-EUR,1736726400000,0.70307,0.71895,0.64048,0.69687,87298.270271
CTK-EUR,1736640000000,0.71851,0.72981,0.695,0.695,9924.630152
CTK-EUR,1736553600000,0.74836,0.74836,0.71031,0.72231,12604.869896
CTK-EUR,1736467200000,0.71732,0.75622,0.71732,0.74361,9561.449105
CTK-EUR,1736380800000,0.74,0.74,0.69799,0.71482,13817.681476
CTK-EUR,1736294400000,0.78438,0.79329,0.70624,0.74549,19874.151787
CTK-EUR,1736208000000,0.85082,0.85082,0.78009,0.78554,12379.891045
CTK-EUR,1736121600000,0.8466,0.88,0.83248,0.8373,21625.420744
CTK-EUR,1736035200000,0.82116,0.90529,0.82116,0.86029,111181.442351
CTK-EUR,1735948800000,0.80544,0.83907,0.80544,0.81704,38693.544451
