market,time,open,high,low,close,volume
CTSI-EUR,1741132800000,0.075767,0.077765,0.074792,0.077765,171197.98928888
CTSI-EUR,1741046400000,0.076514,0.07746,0.07,0.073524,312553.75282594
CTSI-EUR,1740960000000,0.085971,0.09335,0.078679,0.079941,156358.79845745
CTSI-EUR,1740873600000,0.083621,0.093797,0.083621,0.09376,267565.74966053
CTSI-EUR,1740787200000,0.086438,0.087064,0.082935,0.083562,62120.087562
CTSI-EUR,1740700800000,0.08668,0.088265,0.080605,0.088265,208020.92287039
CTSI-EUR,1740614400000,0.086376,0.088045,0.085619,0.08677,69583.10783599
CTSI-EUR,1740528000000,0.08631,0.086747,0.082038,0.085254,280696.62028966
CTSI-EUR,1740441600000,0.086672,0.088032,0.08112,0.086607,172312.13870866
CTSI-EUR,1740355200000,0.098644,0.098655,0.083889,0.086593,167363.71037583
CTSI-EUR,1740268800000,0.10342,0.10342,0.098181,0.099589,126560.43944046
CTSI-EUR,1740182400000,0.099367,0.10209,0.098434,0.10157,59625.6330123
CTSI-EUR,1740096000000,0.1056,0.10967,0.096176,0.097992,412160.56022434
CTSI-EUR,1740009600000,0.10371,0.10618,0.10338,0.10567,112290.08724278
CTSI-EUR,1739923200000,0.10131,0.10449,0.10131,0.10308,105661.62269118
CTSI-EUR,1739836800000,0.10447,0.10447,0.09978,0.10084,43755.98843604
CTSI-EUR,1739750400000,0.10861,0.11202,0.10668,0.10752,82827.90989765
CTSI-EUR,1739664000000,0.10808,0.1165,0.10759,0.10842,178115.01742979
CTSI-EUR,1739577600000,0.11147,0.11147,0.10711,0.10737,14746.66315331
CTSI-EUR,1739491200000,0.10818,0.11239,0.10728,0.10978,267341.35021364
CTSI-EUR,1739404800000,0.1112,0.11166,0.10654,0.10664,117597.95988861
CTSI-EUR,1739318400000,0.10581,0.11179,0.10336,0.11179,344903.46067044
CTSI-EUR,1739232000000,0.10778,0.11325,0.10489,0.10501,89374.77535739
CTSI-EUR,1739145600000,0.10457,0.10641,0.099635,0.10606,92447.18549398
CTSI-EUR,1739059200000,0.10233,0.1071,0.09827,0.1025,216633.09982276
CTSI-EUR,1738972800000,0.097648,0.10346,0.095905,0.10272,58606.19729448
CTSI-EUR,1738886400000,0.09357,0.10175,0.09357,0.09568,678146.72710902
CTSI-EUR,1738800000000,0.09748,0.099743,0.092888,0.09291,245859.39260892
CTSI-EUR,1738713600000,0.099977,0.10126,0.096216,0.096642,350648.68390741
CTSI-EUR,1738627200000,0.10407,0.10407,0.09567,0.095771,728580.50131676
CTSI-EUR,1738540800000,0.10355,0.10722,0.086767,0.10722,1635307.19735554
CTSI-EUR,1738454400000,0.11732,0.11943,0.1,0.10591,567842.02213546
CTSI-EUR,1738368000000,0.13026,0.13026,0.11866,0.11948,185876.69064428
CTSI-EUR,1738281600000,0.13027,0.13322,0.12889,0.12898,135419.44796408
CTSI-EUR,1738195200000,0.1218,0.13117,0.12097,0.13117,68391.16015403
CTSI-EUR,1738108800000,0.1197,0.12529,0.11965,0.1218,47887.3335154
CTSI-EUR,1738022400000,0.12795,0.12795,0.11951,0.1199,295227.89546717
CTSI-EUR,1737936000000,0.12824,0.12824,0.11576,0.12721,400978.18749331
CTSI-EUR,1737849600000,0.12915,0.13373,0.12864,0.12931,68065.63168987
