market,time,open,high,low,close,volume
DEGEN-EUR,1741132800000,0.0037434,0.0041117,0.0036365,0.0037291,68671137.69483913
DEGEN-EUR,1741046400000,0.0043099,0.0044172,0.0034836,0.0037775,51093307.23220106
DEGEN-EUR,1740960000000,0.0046991,0.0051838,0.0042472,0.0044137,60385670.38053763
DEGEN-EUR,1740873600000,0.0037687,0.0050462,0.0037128,0.0038393,58274662.00271935
DEGEN-EUR,1740787200000,0.00395,0.00395,0.0036596,0.0037229,5268199.64057026
DEGEN-EUR,1740700800000,0.0037658,0.0040537,0.0035,0.0039564,26311179.53090771
DEGEN-EUR,1740614400000,0.0039153,0.0040086,0.003695,0.0037557,20278410.82696122
DEGEN-EUR,1740528000000,0.004023,0.0040823,0.0036642,0.0038764,13980797.0430036
DEGEN-EUR,1740441600000,0.0039033,0.0040925,0.00365,0.0040165,10342111.65250987
DEGEN-EUR,1740355200000,0.0046017,0.004642,0.0038,0.0038769,15074359.57880271
DEGEN-EUR,1740268800000,0.0048999,0.0049917,0.0044357,0.0045863,19751804.60018138
DEGEN-EUR,1740182400000,0.0046155,0.0050653,0.0044629,0.0048933,68451247.74448475
DEGEN-EUR,1740096000000,0.0040373,0.0053874,0.0039722,0.0046305,171674063.6093307
DEGEN-EUR,1740009600000,0.00367,0.0040578,0.0036541,0.0040352,16804597.89252932
DEGEN-EUR,1739923200000,0.0036963,0.0037888,0.0035836,0.0036668,10411832.83265891
DEGEN-EUR,1739836800000,0.003991,0.003991,0.0034711,0.0036891,12786042.59953789
DEGEN-EUR,1739750400000,0.0040015,0.0041554,0.0038233,0.0039446,11025784.25673925
DEGEN-EUR,1739664000000,0.0039078,0.0041076,0.0038514,0.0040032,2396883.33285512
DEGEN-EUR,1739577600000,0.0041031,0.0042243,0.0038723,0.0039191,6254986.75958559
DEGEN-EUR,1739491200000,0.003892,0.0044411,0.003892,0.004138,22838644.02274899
DEGEN-EUR,1739404800000,0.0040628,0.0041641,0.0038307,0.0039263,11590313.37169759
DEGEN-EUR,1739318400000,0.0038248,0.00413,0.0036871,0.0040363,18192261.87577158
DEGEN-EUR,1739232000000,0.0038844,0.0041331,0.0037568,0.0038186,12129685.03313715
DEGEN-EUR,1739145600000,0.0038309,0.0039913,0.0036679,0.0038755,8249507.54688646
DEGEN-EUR,1739059200000,0.0039424,0.0041133,0.0035922,0.0037755,14807968.83578244
DEGEN-EUR,1738972800000,0.0035407,0.0040086,0.0035407,0.0040086,12251698.35019805
DEGEN-EUR,1738886400000,0.0036538,0.0039431,0.0034056,0.0034056,20876261.7884335
DEGEN-EUR,1738800000000,0.0040334,0.0040687,0.0035186,0.0035239,37960462.83796154
DEGEN-EUR,1738713600000,0.0043161,0.0044296,0.003952,0.003952,12624228.34742726
DEGEN-EUR,1738627200000,0.0046297,0.0046536,0.0039722,0.004318,41753267.32101338
DEGEN-EUR,1738540800000,0.0046988,0.0046988,0.0035,0.0046123,59460505.32121249
DEGEN-EUR,1738454400000,0.0055831,0.0057338,0.0044176,0.0047384,22822660.00277058
DEGEN-EUR,1738368000000,0.0066324,0.0068966,0.0055,0.0055559,9479812.54893466
DEGEN-EUR,1738281600000,0.0062802,0.0074103,0.0061103,0.0065404,23970331.11100477
DEGEN-EUR,1738195200000,0.0058895,0.006548,0.0058801,0.0063677,4833490.56243862
DEGEN-EUR,1738108800000,0.005458,0.0062774,0.005458,0.0060184,14239424.85691529
DEGEN-EUR,1738022400000,0.0064537,0.0065991,0.0053912,0.0055117,16999773.92532331
DEGEN-EUR,1737936000000,0.0074581,0.0076966,0.0061113,0.0064412,27287721.40432438
DEGEN-EUR,1737849600000,0.0066683,0.0081294,0.0065061,0.0075703,66856870.90919482
DEGEN-EUR,1737763200000,0.0066634,0.0067198,0.0063267,0.0066062,10014155.60756973
DEGEN-EUR,1737676800000,0.0071424,0.0074126,0.0067005,0.0067005,10911805.54182481
DEGEN-EUR,1737590400000,0.007392,0.0074476,0.006882,0.007156,5695281.52834326
DEGEN-EUR,1737504000000,0.0074998,0.0076979,0.0073874,0.0073874,3892511.93771691
DEGEN-EUR,1737417600000,0.0073425,0.0077491,0.0069379,0.0075102,12009235.36602568
DEGEN-EUR,1737331200000,0.0078594,0.0083217,0.0071394,0.007367,17130750.06021558
DEGEN-EUR,1737244800000,0.0088263,0.0092695,0.0078766,0.0079102,16268374.13975838
DEGEN-EUR,1737158400000,0.0099787,0.010113,0.0084622,0.008835,19056516.38972207
DEGEN-EUR,1737072000000,0.0092928,0.010132,0.0092659,0.010041,12926182.83268846
DEGEN-EUR,1736985600000,0.010052,0.010052,0.0092407,0.0092514,27622894.84474281
DEGEN-EUR,1736899200000,0.0089309,0.01096,0.0085685,0.010032,37518727.39804814
DEGEN-EUR,1736812800000,0.00885,0.00925,0.0088031,0.0089,10614306.410556
DEGEN-EUR,1736726400000,0.0092447,0.0092447,0.0080947,0.0087274,24807819.26802579
DEGEN-EUR,1736640000000,0.0092312,0.0093481,0.00896,0.0090099,7706118.13791805
DEGEN-EUR,1736553600000,0.0095489,0.0096,0.0090707,0.0093411,15752640.37894333
DEGEN-EUR,1736467200000,0.0096667,0.010098,0.0093659,0.00959,17539610.31681412
DEGEN-EUR,1736380800000,0.010362,0.010523,0.009444,0.0096526,21280021.86960229
DEGEN-EUR,1736294400000,0.011172,0.011395,0.0097,0.010364,16808269.80207355
DEGEN-EUR,1736208000000,0.013,0.013,0.011098,0.011115,28168686.91867352
DEGEN-EUR,1736121600000,0.013738,0.014682,0.013137,0.013174,23910160.11021012
DEGEN-EUR,1736035200000,0.014029,0.014834,0.01346,0.013668,45110780.5795258
DEGEN-EUR,1735948800000,0.011844,0.014363,0.011784,0.014009,168718158.04244366
DEGEN-EUR,1735862400000,0.009661,0.011885,0.0093772,0.011885,71117942.49358585
DEGEN-EUR,1735776000000,0.0090302,0.0099235,0.0090114,0.0096255,17344050.9299444
DEGEN-EUR,1735689600000,0.0091302,0.0095197,0.0086459,0.0089817,6648598.16903444
DEGEN-EUR,1735603200000,0.0091247,0.0096346,0.0087747,0.0091265,5041288.33532287
DEGEN-EUR,1735516800000,0.0088006,0.0096333,0.0088006,0.0091773,6505816.31599714
DEGEN-EUR,1735430400000,0.0098189,0.0098189,0.0087435,0.0088419,5820177.48013947
DEGEN-EUR,1735344000000,0.0097386,0.00997,0.0093771,0.00981,3277245.13391469
DEGEN-EUR,1735257600000,0.0094062,0.0101,0.0092533,0.0096838,11791979.08840978
DEGEN-EUR,1735171200000,0.010535,0.010683,0.009256,0.0094187,14299227.38016715
DEGEN-EUR,1735084800000,0.011078,0.011231,0.010309,0.010538,20959448.14378913
DEGEN-EUR,1734998400000,0.010722,0.011596,0.010533,0.011136,39241351.31868878
DEGEN-EUR,1734912000000,0.010126,0.011041,0.0099114,0.010848,16663195.68105697
DEGEN-EUR,1734825600000,0.0099018,0.010822,0.0095538,0.010214,10396955.05834445
DEGEN-EUR,1734739200000,0.010872,0.011413,0.0097007,0.0099075,24209115.50433218
DEGEN-EUR,1734652800000,0.010687,0.010984,0.0088509,0.010843,34429416.28547552
DEGEN-EUR,1734566400000,0.011293,0.011779,0.0099749,0.010687,26501624.36497631
DEGEN-EUR,1734480000000,0.012728,0.012728,0.010989,0.011424,17100855.24641328
DEGEN-EUR,1734393600000,0.01313,0.013306,0.012545,0.012708,18792795.58215214
DEGEN-EUR,1734307200000,0.014789,0.015044,0.013036,0.013119,29780525.52840733
DEGEN-EUR,1734220800000,0.0141,0.01491,0.013635,0.014871,4784488.87820307
DEGEN-EUR,1734134400000,0.015061,0.015506,0.0137,0.014255,10532326.3665383
DEGEN-EUR,1734048000000,0.014815,0.015347,0.014348,0.014962,20989402.88257887
DEGEN-EUR,1733961600000,0.015379,0.016319,0.014298,0.014653,64955272.62885723
DEGEN-EUR,1733875200000,0.014322,0.01644,0.01389,0.015541,26808836.40411292
DEGEN-EUR,1733788800000,0.015618,0.016067,0.013006,0.014373,43156621.12526041
DEGEN-EUR,1733702400000,0.020295,0.020295,0.01363,0.015938,38724295.08565175
DEGEN-EUR,1733616000000,0.020673,0.021586,0.01906,0.020394,54336810.64595923
DEGEN-EUR,1733529600000,0.018112,0.021294,0.01776,0.020681,38514626.24938466
DEGEN-EUR,1733443200000,0.017581,0.0197,0.0168,0.018065,30333802.19445863
DEGEN-EUR,1733356800000,0.017324,0.018591,0.0165,0.017679,38885222.94040291
DEGEN-EUR,1733270400000,0.016701,0.018127,0.01667,0.017159,29304735.78245299
DEGEN-EUR,1733184000000,0.016629,0.017896,0.015356,0.016659,26221606.78363406
DEGEN-EUR,1733097600000,0.018374,0.01872,0.015719,0.016599,45312586.10895672
DEGEN-EUR,1733011200000,0.01736,0.018699,0.017,0.018304,26545141.36490151
DEGEN-EUR,1732924800000,0.017738,0.018579,0.017287,0.017359,16204684.20310636
DEGEN-EUR,1732838400000,0.01764,0.018911,0.017196,0.017865,30329916.2269565
DEGEN-EUR,1732752000000,0.019164,0.019261,0.016859,0.01768,25073098.3824225
DEGEN-EUR,1732665600000,0.016607,0.0209,0.0165,0.019227,58608823.22160474
DEGEN-EUR,1732579200000,0.017047,0.018159,0.015393,0.016727,16053904.16914393
DEGEN-EUR,1732492800000,0.017892,0.019036,0.016352,0.017163,18325741.35164037
DEGEN-EUR,1732406400000,0.018741,0.019706,0.016631,0.01784,20365870.90887424
DEGEN-EUR,1732320000000,0.018815,0.020357,0.017822,0.018687,33293343.26077414
DEGEN-EUR,1732233600000,0.019773,0.020086,0.017566,0.018824,43898940.43067517
DEGEN-EUR,1732147200000,0.017029,0.022281,0.015997,0.020086,67167609.79544576
DEGEN-EUR,1732060800000,0.019968,0.020235,0.016521,0.017047,64214386.30528603
DEGEN-EUR,1731974400000,0.021929,0.022466,0.0195,0.020066,47771619.60897686
DEGEN-EUR,1731888000000,0.023766,0.025,0.020793,0.021973,84731221.19954851
DEGEN-EUR,1731801600000,0.021574,0.027696,0.019719,0.023787,228713579.22865242
DEGEN-EUR,1731715200000,0.024984,0.027698,0.020357,0.021362,160977455.0850407
DEGEN-EUR,1731628800000,0.024355,0.033639,0.021351,0.024947,371484858.2693372
DEGEN-EUR,1731542400000,0.019115,0.028027,0.019022,0.024283,299082180.54472274
