market,time,open,high,low,close,volume
DIA-EUR,1741132800000,0.39815,0.43215,0.39815,0.4085,120602.45926304
DIA-EUR,1741046400000,0.4065,0.42801,0.3794,0.40639,63032.02076936
DIA-EUR,1740960000000,0.48591,0.49804,0.4314,0.43468,63612.35465923
DIA-EUR,1740873600000,0.45215,0.50447,0.44869,0.50131,101864.2838556
DIA-EUR,1740787200000,0.451,0.46204,0.44395,0.44395,7171.00769033
DIA-EUR,1740700800000,0.451,0.46487,0.4251,0.46259,46382.31745189
DIA-EUR,1740614400000,0.45298,0.46761,0.443,0.46205,7197.47804192
DIA-EUR,1740528000000,0.4547,0.46175,0.42187,0.44618,50668.81332075
DIA-EUR,1740441600000,0.45255,0.45255,0.41265,0.44656,43143.07221328
DIA-EUR,1740355200000,0.51851,0.51851,0.4386,0.45251,43273.87874683
DIA-EUR,1740268800000,0.52874,0.55111,0.51334,0.52153,34807.69113552
DIA-EUR,1740182400000,0.50358,0.52872,0.50358,0.52646,33097.36869685
DIA-EUR,1740096000000,0.49857,0.535,0.49857,0.5,48294.76769358
DIA-EUR,1740009600000,0.48945,0.506,0.48396,0.50256,37783.79803654
DIA-EUR,1739923200000,0.47714,0.495,0.4767,0.47967,4421.63844109
DIA-EUR,1739836800000,0.474,0.47552,0.456,0.46567,7837.98139897
DIA-EUR,1739750400000,0.49903,0.51869,0.48224,0.48255,12840.44556519
DIA-EUR,1739664000000,0.50137,0.50702,0.48577,0.49411,26004.01073477
DIA-EUR,1739577600000,0.4958,0.50993,0.49174,0.49418,50555.33091718
DIA-EUR,1739491200000,0.48972,0.49784,0.4807,0.49544,18233.9629941
DIA-EUR,1739404800000,0.52,0.52864,0.47735,0.48435,37185.68997242
DIA-EUR,1739318400000,0.46464,0.51848,0.45646,0.50615,104739.89805926
DIA-EUR,1739232000000,0.46989,0.49244,0.45539,0.46637,55297.00633727
DIA-EUR,1739145600000,0.4555,0.4699,0.4379,0.46736,7777.97160053
DIA-EUR,1739059200000,0.45089,0.47706,0.4351,0.44944,50967.33057801
DIA-EUR,1738972800000,0.4167,0.46052,0.4167,0.4538,16146.393421
DIA-EUR,1738886400000,0.40535,0.4422,0.40336,0.40336,74414.74437994
DIA-EUR,1738800000000,0.43241,0.43493,0.40302,0.40302,54851.99679363
DIA-EUR,1738713600000,0.44349,0.4488,0.43021,0.43164,67630.31803207
DIA-EUR,1738627200000,0.4673,0.4813,0.43598,0.44318,99791.7654436
DIA-EUR,1738540800000,0.44784,0.47193,0.35,0.46619,299683.68635933
DIA-EUR,1738454400000,0.52069,0.52069,0.4325,0.45387,111985.28201967
DIA-EUR,1738368000000,0.57094,0.57343,0.514,0.514,11991.22773735
DIA-EUR,1738281600000,0.57045,0.59286,0.5638,0.56585,21604.43972354
DIA-EUR,1738195200000,0.54176,0.57588,0.54176,0.5705,14841.79967414
DIA-EUR,1738108800000,0.54226,0.55744,0.5312,0.5392,23332.79129432
DIA-EUR,1738022400000,0.55893,0.56238,0.52569,0.53004,11988.78346627
DIA-EUR,1737936000000,0.56722,0.56722,0.50718,0.55194,28775.24119412
DIA-EUR,1737849600000,0.57015,0.5985,0.56826,0.57284,30543.90275398
DIA-EUR,1737763200000,0.55447,0.57,0.55,0.56717,7766.87435889
DIA-EUR,1737676800000,0.5638,0.58792,0.5555,0.5575,23838.45758534
DIA-EUR,1737590400000,0.57708,0.58448,0.55754,0.58448,36894.64003913
DIA-EUR,1737504000000,0.59428,0.59891,0.57292,0.57292,52936.71416986
DIA-EUR,1737417600000,0.58279,0.59776,0.55535,0.59212,56280.28508961
DIA-EUR,1737331200000,0.61198,0.65101,0.56909,0.57991,99398.39632806
DIA-EUR,1737244800000,0.66335,0.66398,0.60262,0.60947,472369.69147426
DIA-EUR,1737158400000,0.71101,0.71325,0.65345,0.66465,49791.8571035
DIA-EUR,1737072000000,0.68474,0.72115,0.68474,0.71236,23049.06296257
DIA-EUR,1736985600000,0.71042,0.71042,0.67007,0.6755,59958.41240047
DIA-EUR,1736899200000,0.6843,0.71484,0.65898,0.71004,124425.25751807
DIA-EUR,1736812800000,0.63679,0.68349,0.63679,0.6811,13478.57855534
DIA-EUR,1736726400000,0.6608,0.6642,0.5896,0.63602,29403.04428828
DIA-EUR,1736640000000,0.6522,0.65821,0.64413,0.64824,5015.20002947
DIA-EUR,1736553600000,0.65825,0.6608,0.64239,0.65371,4981.34964359
DIA-EUR,1736467200000,0.64446,0.6612,0.6351,0.6581,7866.82907349
DIA-EUR,1736380800000,0.6707,0.6707,0.6258,0.63883,29653.33055047
DIA-EUR,1736294400000,0.6842,0.6842,0.62781,0.66136,225455.16840477
DIA-EUR,1736208000000,0.76381,0.76381,0.68919,0.69165,210464.47708759
DIA-EUR,1736121600000,0.75839,0.79028,0.74287,0.76049,38977.20746332
DIA-EUR,1736035200000,0.76324,0.76409,0.74698,0.75857,51729.21201217
DIA-EUR,1735948800000,0.75562,0.77484,0.74529,0.76529,38816.27702762
DIA-EUR,1735862400000,0.72582,0.7628,0.71952,0.75168,238436.80512452
DIA-EUR,1735776000000,0.7013,0.73869,0.7013,0.71363,57173.96468309
DIA-EUR,1735689600000,0.68646,0.695,0.66321,0.695,7178.59482316
DIA-EUR,1735603200000,0.68325,0.711,0.66138,0.6741,32196.72357779
DIA-EUR,1735516800000,0.67789,0.7225,0.65564,0.68252,65606.94836457
DIA-EUR,1735430400000,0.71116,0.71116,0.66895,0.67222,23999.3542254
DIA-EUR,1735344000000,0.67932,0.74869,0.67218,0.71069,245773.23002331
DIA-EUR,1735257600000,0.66774,0.69376,0.66263,0.67268,20122.25357969
DIA-EUR,1735171200000,0.71,0.7162,0.65733,0.67287,38756.42551575
DIA-EUR,1735084800000,0.72387,0.72387,0.69741,0.70565,27331.62156277
DIA-EUR,1734998400000,0.6641,0.74569,0.6599,0.71565,76871.34377272
DIA-EUR,1734912000000,0.63276,0.689,0.61202,0.67183,385479.39094895
DIA-EUR,1734825600000,0.6413,0.656,0.61611,0.63754,93293.13375784
DIA-EUR,1734739200000,0.65,0.69363,0.62096,0.62096,42518.73206505
DIA-EUR,1734652800000,0.63142,0.663,0.55155,0.65307,236627.56562731
DIA-EUR,1734566400000,0.66876,0.6909,0.5975,0.63351,539309.96717891
DIA-EUR,1734480000000,0.71267,0.72065,0.65533,0.67371,182252.84231821
DIA-EUR,1734393600000,0.75001,0.76235,0.71277,0.71448,411814.37029077
DIA-EUR,1734307200000,0.81251,0.8384,0.73162,0.75685,310047.28910342
DIA-EUR,1734220800000,0.77826,0.8138,0.75248,0.8018,269464.05904811
DIA-EUR,1734134400000,0.84081,0.85483,0.7687,0.78154,67447.70265814
DIA-EUR,1734048000000,0.85819,0.86545,0.8221,0.83258,111979.6240086
DIA-EUR,1733961600000,0.81852,0.91725,0.81852,0.85869,131578.40131877
DIA-EUR,1733875200000,0.76616,0.82903,0.7371,0.81955,86187.63238857
DIA-EUR,1733788800000,0.75898,0.79225,0.69223,0.77246,164778.57943082
DIA-EUR,1733702400000,0.9431,0.9466,0.69,0.76238,333416.83340998
DIA-EUR,1733616000000,0.9077,0.95937,0.8908,0.95208,92108.62159676
DIA-EUR,1733529600000,0.94969,0.951,0.90857,0.9123,79339.64552088
DIA-EUR,1733443200000,0.93074,0.9728,0.91604,0.94336,88309.72297442
DIA-EUR,1733356800000,0.9213,0.96058,0.88699,0.93621,216223.34753768
DIA-EUR,1733270400000,0.939,0.97036,0.9,0.9213,333355.83686186
DIA-EUR,1733184000000,0.88949,0.94394,0.82175,0.93579,411381.84760216
DIA-EUR,1733097600000,0.82605,0.89137,0.77,0.89004,316321.34170018
DIA-EUR,1733011200000,0.83257,0.86066,0.8179,0.82781,123432.29960871
DIA-EUR,1732924800000,0.79271,0.84274,0.78028,0.83681,163468.91035675
DIA-EUR,1732838400000,0.7764,0.82,0.7592,0.80024,134042.47473148
DIA-EUR,1732752000000,0.79405,0.79893,0.74264,0.77536,103929.18728582
DIA-EUR,1732665600000,0.7753,0.81136,0.75251,0.79405,208261.53628051
DIA-EUR,1732579200000,0.78607,0.8083,0.69295,0.76669,177741.68519888
DIA-EUR,1732492800000,0.79184,0.80285,0.7462,0.78724,106298.18314596
DIA-EUR,1732406400000,0.76773,0.80323,0.71939,0.80015,176916.96925707
DIA-EUR,1732320000000,0.71136,0.78211,0.70565,0.76497,293422.06093085
DIA-EUR,1732233600000,0.70616,0.71543,0.67,0.71092,159184.80078423
DIA-EUR,1732147200000,0.63892,0.71998,0.62389,0.71138,204098.11903816
DIA-EUR,1732060800000,0.68093,0.68093,0.62937,0.6425,136937.43041696
DIA-EUR,1731974400000,0.70879,0.70879,0.664,0.6806,150595.36321209
DIA-EUR,1731888000000,0.68068,0.71844,0.68068,0.71029,103677.89249617
DIA-EUR,1731801600000,0.71726,0.71956,0.67267,0.68082,165479.23670148
DIA-EUR,1731715200000,0.71194,0.72821,0.69903,0.71623,171741.09732232
DIA-EUR,1731628800000,0.69376,0.71697,0.6655,0.71543,165556.193624
DIA-EUR,1731542400000,0.69104,0.73785,0.67914,0.68949,301847.97628342
DIA-EUR,1731456000000,0.75439,0.76036,0.66386,0.69011,567996.98373689
DIA-EUR,1731369600000,0.83865,0.86445,0.71355,0.7551,1139094.65367066
DIA-EUR,1731283200000,0.83989,0.882,0.80965,0.85093,973209.4589504
DIA-EUR,1731196800000,0.82588,0.89716,0.78231,0.84531,958332.17559811
DIA-EUR,1731110400000,0.82396,0.85305,0.7939,0.82502,296011.00679047
DIA-EUR,1731024000000,0.82312,0.83159,0.7821,0.82414,682464.77555893
DIA-EUR,1730937600000,0.83166,0.86961,0.8165,0.82302,868681.73050415
DIA-EUR,1730851200000,0.75014,0.8521,0.74759,0.83555,936228.94629458
DIA-EUR,1730764800000,0.7224,0.81776,0.71953,0.74819,290140.44674401
DIA-EUR,1730678400000,0.74412,0.7554,0.6895,0.71563,133799.16257772
DIA-EUR,1730592000000,0.80355,0.8137,0.70908,0.74587,341501.89579596
DIA-EUR,1730505600000,0.8164,0.82445,0.78876,0.80376,204053.44734367
DIA-EUR,1730419200000,0.82493,0.86173,0.79264,0.81354,321959.39514989
DIA-EUR,1730332800000,0.8746,0.8746,0.80878,0.82225,426054.78114525
DIA-EUR,1730246400000,0.94031,0.97392,0.86626,0.87387,353459.96147361
DIA-EUR,1730160000000,0.90671,0.94967,0.89726,0.93129,361683.23916967
DIA-EUR,1730073600000,0.94292,0.94292,0.862,0.91351,366177.45564555
