market,time,open,high,low,close,volume
DOGE-EUR,1741219200000,0.18976,0.19,0.18976,0.19,26453.62861948
DOGE-EUR,1741132800000,0.18764,0.19336,0.18384,0.18979,33897447.51111905
DOGE-EUR,1741046400000,0.19066,0.19181,0.17381,0.18776,29146420.97488999
DOGE-EUR,1740960000000,0.22735,0.23124,0.18439,0.18716,44670149.78691812
DOGE-EUR,1740873600000,0.19928,0.23269,0.19462,0.22898,60566003.38849096
DOGE-EUR,1740787200000,0.19793,0.20147,0.19215,0.1973,16379465.39224829
DOGE-EUR,1740700800000,0.19888,0.19908,0.17424,0.19473,42762004.81783296
DOGE-EUR,1740614400000,0.19381,0.20274,0.19166,0.19878,27976059.01209321
DOGE-EUR,1740528000000,0.20108,0.20379,0.18681,0.19372,42672917.23524854
DOGE-EUR,1740441600000,0.20096,0.2045,0.1806,0.20104,63962661.94006589
DOGE-EUR,1740355200000,0.23193,0.23273,0.19698,0.20126,36232870.80032939
DOGE-EUR,1740268800000,0.23586,0.23682,0.22978,0.23183,16940138.39133953
DOGE-EUR,1740182400000,0.22916,0.23699,0.22773,0.23586,12417113.20724791
DOGE-EUR,1740096000000,0.24265,0.24932,0.224,0.2291,28183567.18433217
DOGE-EUR,1740009600000,0.24456,0.2466,0.23883,0.24281,15017844.13576172
DOGE-EUR,1739923200000,0.24026,0.24496,0.23835,0.24465,11918972.34722124
DOGE-EUR,1739836800000,0.24635,0.24798,0.23172,0.24043,21692154.34241263
DOGE-EUR,1739750400000,0.25338,0.25677,0.24231,0.24629,18345086.00374873
DOGE-EUR,1739664000000,0.25939,0.26162,0.25145,0.2534,8151134.60943802
DOGE-EUR,1739577600000,0.25956,0.27,0.25598,0.25931,14550392.69776661
DOGE-EUR,1739491200000,0.251,0.27293,0.24963,0.25921,32438466.5716039
DOGE-EUR,1739404800000,0.25412,0.25684,0.24364,0.25088,14657931.79657278
DOGE-EUR,1739318400000,0.24363,0.25732,0.23862,0.25421,21634355.52095226
DOGE-EUR,1739232000000,0.24802,0.26192,0.23965,0.24437,22697436.12746775
DOGE-EUR,1739145600000,0.24155,0.24893,0.23475,0.24796,14342192.66660475
DOGE-EUR,1739059200000,0.24556,0.25206,0.2331,0.24159,13428935.77657069
DOGE-EUR,1738972800000,0.23843,0.24642,0.23703,0.2453,10334245.33022994
DOGE-EUR,1738886400000,0.23896,0.25255,0.23139,0.23908,26758377.13120076
DOGE-EUR,1738800000000,0.24653,0.25609,0.234,0.23881,17590719.59680372
DOGE-EUR,1738713600000,0.25459,0.25881,0.24364,0.24653,16739596.55835521
DOGE-EUR,1738627200000,0.27661,0.28073,0.24546,0.25431,39483102.53921277
DOGE-EUR,1738540800000,0.26179,0.28472,0.198,0.27653,148917958.76093492
DOGE-EUR,1738454400000,0.29763,0.30463,0.24412,0.26169,76692143.37802617
DOGE-EUR,1738368000000,0.31743,0.32065,0.29326,0.29789,15794034.62670452
DOGE-EUR,1738281600000,0.31898,0.329,0.31173,0.3175,18646327.19080383
DOGE-EUR,1738195200000,0.31085,0.3244,0.309,0.3187,13325753.28444469
DOGE-EUR,1738108800000,0.30561,0.32103,0.30472,0.31091,22484867.66827393
DOGE-EUR,1738022400000,0.32009,0.32526,0.302,0.30575,23464219.89445996
DOGE-EUR,1737936000000,0.32116,0.32236,0.29144,0.32003,64868043.72751645
DOGE-EUR,1737849600000,0.33718,0.34084,0.32017,0.32129,15023942.9446427
DOGE-EUR,1737763200000,0.33387,0.34514,0.32959,0.33723,22448601.34664882
DOGE-EUR,1737676800000,0.33843,0.34784,0.32854,0.33454,20524004.69683605
DOGE-EUR,1737590400000,0.34859,0.35021,0.32813,0.33814,49303704.03446011
DOGE-EUR,1737504000000,0.35721,0.35894,0.34122,0.34839,39757979.98549071
DOGE-EUR,1737417600000,0.34016,0.39,0.32326,0.35759,110800428.56757222
DOGE-EUR,1737331200000,0.34864,0.37485,0.33443,0.3404,98172314.8489199
DOGE-EUR,1737244800000,0.38463,0.39099,0.33774,0.34928,104239009.64131787
DOGE-EUR,1737158400000,0.40334,0.42142,0.37284,0.38468,82548040.00690421
DOGE-EUR,1737072000000,0.36519,0.40996,0.36435,0.40313,88987856.12506358
DOGE-EUR,1736985600000,0.37369,0.37869,0.357,0.3651,47252493.3642605
DOGE-EUR,1736899200000,0.34579,0.37614,0.33807,0.37391,51294464.55056481
DOGE-EUR,1736812800000,0.3296,0.35171,0.3276,0.34531,28039658.97363315
DOGE-EUR,1736726400000,0.32757,0.3378,0.30275,0.32961,29328183.46071199
DOGE-EUR,1736640000000,0.3325,0.33454,0.32364,0.32772,14818901.19708534
DOGE-EUR,1736553600000,0.3259,0.33954,0.32205,0.33252,15088491.76354086
DOGE-EUR,1736467200000,0.31213,0.33142,0.31213,0.32611,30758485.73124385
DOGE-EUR,1736380800000,0.33169,0.33664,0.30538,0.31196,36078334.64674755
DOGE-EUR,1736294400000,0.33691,0.34372,0.315,0.33238,45366026.60099913
DOGE-EUR,1736208000000,0.37353,0.38358,0.33546,0.33672,64413163.72518238
DOGE-EUR,1736121600000,0.37176,0.3805,0.36473,0.37375,26585477.62665901
DOGE-EUR,1736035200000,0.38317,0.38592,0.36406,0.37089,22288311.31267042
DOGE-EUR,1735948800000,0.36848,0.38689,0.36527,0.38283,41751719.34364504
DOGE-EUR,1735862400000,0.32988,0.37772,0.32657,0.36832,50912974.9928494
DOGE-EUR,1735776000000,0.31349,0.33389,0.31304,0.32979,30735247.80624013
DOGE-EUR,1735689600000,0.30423,0.31567,0.30099,0.31337,14837982.60437244
DOGE-EUR,1735603200000,0.30076,0.31676,0.29686,0.30458,18407616.29732884
DOGE-EUR,1735516800000,0.30092,0.30988,0.29445,0.3011,22845083.25702282
DOGE-EUR,1735430400000,0.31057,0.3157,0.29841,0.30078,15102605.93606027
