market,time,open,high,low,close,volume
DOGS-EUR,1741132800000,0.00014682,0.00014892,0.0001402,0.00014315,2286160292.5359936
DOGS-EUR,1741046400000,0.00015494,0.00015556,0.0001345,0.00014824,2052903147.8030386
DOGS-EUR,1740960000000,0.00017719,0.00019208,0.00014962,0.00016115,1278567942.8699968
DOGS-EUR,1740873600000,0.00016115,0.00019209,0.00016065,0.00016697,1495580499.4642835
DOGS-EUR,1740787200000,0.00017267,0.00017267,0.00015792,0.00016295,507371801.5539261
DOGS-EUR,1740700800000,0.00016563,0.00017603,0.0001497,0.00017057,2008719069.6792886
DOGS-EUR,1740614400000,0.00015893,0.00017092,0.00015875,0.00016557,959939330.240748
DOGS-EUR,1740528000000,0.00015086,0.00016084,0.00015075,0.00015928,1806560066.3207996
DOGS-EUR,1740441600000,0.00014216,0.00015301,0.00013242,0.00015102,4816101621.145764
DOGS-EUR,1740355200000,0.00017138,0.00017138,0.00013702,0.00014286,3611262930.9069204
DOGS-EUR,1740268800000,0.00018369,0.00018441,0.00017021,0.00017271,868213827.2809668
DOGS-EUR,1740182400000,0.00016938,0.00018543,0.00016906,0.00018419,777028632.9482802
DOGS-EUR,1740096000000,0.00017041,0.00018706,0.00016595,0.00017027,1696790356.1121085
DOGS-EUR,1740009600000,0.00016155,0.00017056,0.0001611,0.00017001,856876162.9630536
DOGS-EUR,1739923200000,0.00016107,0.000165,0.00015868,0.00016154,582561016.0734438
DOGS-EUR,1739836800000,0.00017049,0.0001705,0.00015116,0.00016056,685880170.7444133
DOGS-EUR,1739750400000,0.00017441,0.00017825,0.0001624,0.00016971,425411729.1024998
DOGS-EUR,1739664000000,0.00017582,0.00017801,0.00016987,0.00017269,152544039.3795118
DOGS-EUR,1739577600000,0.00018546,0.00018724,0.00017204,0.00017472,336304921.76166403
DOGS-EUR,1739491200000,0.00017301,0.0001964,0.00017166,0.00018681,1112777033.5781608
DOGS-EUR,1739404800000,0.00018402,0.0001886,0.00017385,0.00017426,2184098120.612754
DOGS-EUR,1739318400000,0.00017185,0.00018437,0.00016108,0.00018329,2591751521.140062
DOGS-EUR,1739232000000,0.00017435,0.00018605,0.00016857,0.00017126,736202611.3349925
DOGS-EUR,1739145600000,0.00016852,0.0001757,0.00016185,0.00017303,396355541.54866743
DOGS-EUR,1739059200000,0.00017356,0.0001842,0.00015908,0.00016941,848303615.1154715
DOGS-EUR,1738972800000,0.00015912,0.00017778,0.00015912,0.00017446,285314347.34267473
DOGS-EUR,1738886400000,0.00016192,0.00017495,0.0001533,0.0001594,969302957.1541096
DOGS-EUR,1738800000000,0.00018133,0.00018192,0.00016,0.00016176,1394293170.9588459
DOGS-EUR,1738713600000,0.00018269,0.00018972,0.00017621,0.00017929,881667924.0708573
DOGS-EUR,1738627200000,0.00019731,0.0001981,0.0001723,0.00018295,1559918583.6141315
DOGS-EUR,1738540800000,0.00020215,0.00020215,0.00014326,0.00019617,6143928012.295727
DOGS-EUR,1738454400000,0.00023817,0.00024607,0.000187,0.00020171,1863395012.5925777
DOGS-EUR,1738368000000,0.00028061,0.00028958,0.00023557,0.00023967,467961683.1902765
DOGS-EUR,1738281600000,0.000275,0.00030161,0.00027449,0.00028162,619989933.89918
DOGS-EUR,1738195200000,0.00026945,0.00028598,0.00026743,0.00027617,278257383.21713305
DOGS-EUR,1738108800000,0.00025051,0.00028097,0.00025051,0.00027035,252591088.95354396
DOGS-EUR,1738022400000,0.00028535,0.00028564,0.00024918,0.00025188,139366398.07336
DOGS-EUR,1737936000000,0.0003031,0.00030345,0.00025108,0.00028148,620510403.0413512
DOGS-EUR,1737849600000,0.0003076,0.00032179,0.000304,0.000304,50523052.7262941
DOGS-EUR,1737763200000,0.00030072,0.00031351,0.00029594,0.00030698,147800147.26353654
DOGS-EUR,1737676800000,0.00032224,0.00032813,0.00030193,0.00030541,200760387.4585395
DOGS-EUR,1737590400000,0.00032669,0.00033114,0.00030819,0.00032184,463935801.88261855
DOGS-EUR,1737504000000,0.00033215,0.00033898,0.00032414,0.00032553,254366416.52330148
DOGS-EUR,1737417600000,0.00032334,0.00034213,0.00030275,0.00033174,571344729.4928018
DOGS-EUR,1737331200000,0.00034936,0.00036677,0.00030828,0.00032311,3235836031.898617
DOGS-EUR,1737244800000,0.00041837,0.00042583,0.00034686,0.00035037,2228077750.9124455
DOGS-EUR,1737158400000,0.00047182,0.00048481,0.00040312,0.00041803,1240052967.4957137
DOGS-EUR,1737072000000,0.00043436,0.0004782,0.0004342,0.00047262,472036305.66888106
DOGS-EUR,1736985600000,0.00045202,0.00045202,0.00042786,0.00043196,456305913.7939657
DOGS-EUR,1736899200000,0.00043093,0.00045431,0.00041384,0.0004524,763892769.3296926
DOGS-EUR,1736812800000,0.00041248,0.00043586,0.00041191,0.00042918,343055792.7824739
DOGS-EUR,1736726400000,0.00043224,0.00044144,0.00038,0.00041018,945414267.0339704
DOGS-EUR,1736640000000,0.00044412,0.00045132,0.00042831,0.00043302,325248778.0889754
DOGS-EUR,1736553600000,0.0004516,0.00045443,0.00043792,0.00044263,467529582.9808384
DOGS-EUR,1736467200000,0.00043725,0.00045459,0.00042699,0.0004524,614247301.6206326
DOGS-EUR,1736380800000,0.00042878,0.0004415,0.00041664,0.00043003,327845819.76901907
DOGS-EUR,1736294400000,0.0004839,0.00048608,0.00041289,0.0004297,764619192.7292193
DOGS-EUR,1736208000000,0.000545,0.00054812,0.0004826,0.0004826,995824941.3637142
