market,time,open,high,low,close,volume
DYDX-EUR,1741132800000,0.5838,0.61593,0.58102,0.6088,68255.17158473
DYDX-EUR,1741046400000,0.62607,0.62607,0.53868,0.59078,115034.74130179
DYDX-EUR,1740960000000,0.68806,0.74073,0.62051,0.62159,67586.25448924
DYDX-EUR,1740873600000,0.65991,0.74167,0.65675,0.74005,51626.30300688
DYDX-EUR,1740787200000,0.67967,0.68786,0.65031,0.66156,24799.29378078
DYDX-EUR,1740700800000,0.68636,0.69552,0.62982,0.6828,81593.25982921
DYDX-EUR,1740614400000,0.68236,0.70015,0.66966,0.67655,12680.02738808
DYDX-EUR,1740528000000,0.65233,0.66835,0.63791,0.666,33478.71469424
DYDX-EUR,1740441600000,0.63711,0.66486,0.59654,0.65282,179275.3156822
DYDX-EUR,1740355200000,0.715,0.72396,0.61726,0.6416,75016.00882431
DYDX-EUR,1740268800000,0.76777,0.76969,0.73539,0.73539,63528.17266762
DYDX-EUR,1740182400000,0.7558,0.77564,0.74713,0.77378,140487.26661954
DYDX-EUR,1740096000000,0.76098,0.81776,0.73151,0.73743,164108.32944769
DYDX-EUR,1740009600000,0.74243,0.77192,0.74034,0.76743,40292.38388212
DYDX-EUR,1739923200000,0.72722,0.75057,0.72109,0.74161,42236.87404515
DYDX-EUR,1739836800000,0.7409,0.7442,0.69384,0.72081,16203.89691058
DYDX-EUR,1739750400000,0.7425,0.77772,0.73046,0.75835,18544.30231145
DYDX-EUR,1739664000000,0.73978,0.76363,0.73652,0.74533,9338.74023095
DYDX-EUR,1739577600000,0.76971,0.78183,0.75343,0.75343,4905.78664022
DYDX-EUR,1739491200000,0.74458,0.79247,0.74458,0.76939,120310.26909106
DYDX-EUR,1739404800000,0.76839,0.78379,0.72842,0.74596,26829.03381213
DYDX-EUR,1739318400000,0.72112,0.78574,0.69782,0.77243,26728.85761258
DYDX-EUR,1739232000000,0.748,0.77324,0.7108,0.72406,21990.68071717
DYDX-EUR,1739145600000,0.72492,0.7438,0.70576,0.7354,50996.2038285
DYDX-EUR,1739059200000,0.72441,0.74295,0.69293,0.69823,23935.6562905
DYDX-EUR,1738972800000,0.68956,0.72512,0.6855,0.725,5575.99958768
DYDX-EUR,1738886400000,0.6864,0.73489,0.66542,0.6863,51963.62515659
DYDX-EUR,1738800000000,0.73014,0.74136,0.67108,0.67856,60252.78971974
DYDX-EUR,1738713600000,0.7387,0.75438,0.71518,0.724,64363.87325734
DYDX-EUR,1738627200000,0.79989,0.79989,0.70773,0.72376,76273.81696668
DYDX-EUR,1738540800000,0.82227,0.82227,0.57,0.7942,649081.51745867
DYDX-EUR,1738454400000,0.96088,0.98001,0.7675,0.81233,184907.60224511
DYDX-EUR,1738368000000,1.0536,1.0798,0.95821,0.96616,39391.166696
DYDX-EUR,1738281600000,1.0213,1.1003,1.0213,1.057,22162.15639142
DYDX-EUR,1738195200000,0.98173,1.0521,0.98173,1.031,16039.22698999
DYDX-EUR,1738108800000,0.94781,1.0108,0.94276,0.99547,28113.6743189
DYDX-EUR,1738022400000,1.0438,1.0519,0.93429,0.93429,31690.23998362
DYDX-EUR,1737936000000,1.065,1.0806,0.95918,1.0385,87839.85971804
DYDX-EUR,1737849600000,1.0976,1.1323,1.0723,1.0723,10955.29073345
DYDX-EUR,1737763200000,1.0951,1.1085,1.0742,1.0934,10272.23534262
DYDX-EUR,1737676800000,1.1104,1.1495,1.0923,1.0969,21775.88640789
DYDX-EUR,1737590400000,1.1134,1.1279,1.0769,1.1208,36924.58613599
DYDX-EUR,1737504000000,1.1736,1.1754,1.1183,1.1273,12100.55356308
DYDX-EUR,1737417600000,1.1044,1.1973,1.0715,1.1646,34372.52892852
DYDX-EUR,1737331200000,1.1209,1.2353,1.0617,1.1158,275086.84744089
DYDX-EUR,1737244800000,1.2934,1.2972,1.11,1.1257,116921.56447777
DYDX-EUR,1737158400000,1.4142,1.4369,1.2564,1.2913,25962.89451936
DYDX-EUR,1737072000000,1.3106,1.4293,1.3106,1.4235,35849.23526013
DYDX-EUR,1736985600000,1.3093,1.3358,1.2667,1.3,28643.28904927
DYDX-EUR,1736899200000,1.2402,1.3164,1.1914,1.3151,25674.00353753
DYDX-EUR,1736812800000,1.2082,1.2597,1.1977,1.2558,91988.70399242
DYDX-EUR,1736726400000,1.2698,1.2698,1.121,1.2036,57462.47039987
DYDX-EUR,1736640000000,1.2955,1.2963,1.2539,1.2642,4398.60597457
DYDX-EUR,1736553600000,1.2995,1.3259,1.2699,1.3007,10878.2393529
DYDX-EUR,1736467200000,1.2818,1.3357,1.2731,1.3072,25620.61250144
DYDX-EUR,1736380800000,1.315,1.3276,1.2443,1.2781,30642.54323841
DYDX-EUR,1736294400000,1.3866,1.3893,1.226,1.3036,159737.13447745
DYDX-EUR,1736208000000,1.589,1.589,1.3782,1.3826,73784.99909495
DYDX-EUR,1736121600000,1.5705,1.6473,1.5464,1.5748,123454.53597715
DYDX-EUR,1736035200000,1.5713,1.5713,1.5027,1.5581,10921.86909175
DYDX-EUR,1735948800000,1.5826,1.6089,1.5328,1.5739,48960.65201451
DYDX-EUR,1735862400000,1.4525,1.5948,1.4326,1.5749,47006.29944262
DYDX-EUR,1735776000000,1.4429,1.4996,1.4307,1.4725,20335.61013771
DYDX-EUR,1735689600000,1.3998,1.4341,1.3702,1.4206,15649.24497574
DYDX-EUR,1735603200000,1.4358,1.4577,1.3773,1.3816,23197.24036118
DYDX-EUR,1735516800000,1.4278,1.4966,1.3904,1.4412,34471.35816751
DYDX-EUR,1735430400000,1.5,1.504,1.4162,1.4269,21119.99854146
DYDX-EUR,1735344000000,1.47,1.5157,1.431,1.4978,65602.60172453
DYDX-EUR,1735257600000,1.3952,1.5711,1.3952,1.4887,130550.69077998
DYDX-EUR,1735171200000,1.5292,1.5329,1.3754,1.3943,39929.62860627
DYDX-EUR,1735084800000,1.5297,1.5305,1.4734,1.5271,14036.66502049
DYDX-EUR,1734998400000,1.4729,1.5392,1.4341,1.5235,32047.39065357
DYDX-EUR,1734912000000,1.3742,1.5147,1.3475,1.478,20818.70538106
DYDX-EUR,1734825600000,1.3648,1.4259,1.3286,1.3676,23807.04680325
DYDX-EUR,1734739200000,1.476,1.5887,1.35,1.3685,21707.02066509
DYDX-EUR,1734652800000,1.4268,1.5055,1.2264,1.4971,201798.74229075
DYDX-EUR,1734566400000,1.6392,1.6493,1.3855,1.4549,202512.79348633
DYDX-EUR,1734480000000,1.8407,1.8562,1.6067,1.6388,161844.37329121
DYDX-EUR,1734393600000,1.9516,2.0047,1.83,1.8475,71752.50528341
DYDX-EUR,1734307200000,2.0756,2.12,1.949,1.9849,64496.12889797
DYDX-EUR,1734220800000,1.9429,2.0801,1.9,2.0619,49495.73543855
DYDX-EUR,1734134400000,2.0529,2.1077,1.9359,1.9748,37660.64665578
DYDX-EUR,1734048000000,2.1215,2.1337,2.0158,2.0408,43142.9312284
DYDX-EUR,1733961600000,1.9811,2.2666,1.9673,2.1081,77597.90741543
DYDX-EUR,1733875200000,1.852,2.031,1.7754,2.0209,79232.56062327
DYDX-EUR,1733788800000,1.9704,2.1101,1.7,1.8485,312217.52861019
DYDX-EUR,1733702400000,2.4964,2.5205,1.58,2.0187,469085.08383528
DYDX-EUR,1733616000000,2.29,2.552,2.2357,2.495,239428.48866368
DYDX-EUR,1733529600000,2.2059,2.5838,2.1335,2.2925,284875.1166077
DYDX-EUR,1733443200000,1.7343,2.3576,1.7343,2.1985,797909.2180813
DYDX-EUR,1733356800000,1.7223,1.8134,1.6515,1.7064,174128.61851707
DYDX-EUR,1733270400000,1.7131,1.8686,1.7131,1.752,151299.87495548
DYDX-EUR,1733184000000,1.6715,1.7464,1.5748,1.7256,132575.65432109
DYDX-EUR,1733097600000,1.6196,1.7072,1.5127,1.6907,122572.74841165
DYDX-EUR,1733011200000,1.6346,1.6346,1.5572,1.6197,62937.46942634
DYDX-EUR,1732924800000,1.5454,1.6557,1.5329,1.6282,58125.66243372
DYDX-EUR,1732838400000,1.5005,1.57,1.4792,1.5608,29369.83309523
DYDX-EUR,1732752000000,1.5756,1.5756,1.4626,1.5146,25395.34253481
DYDX-EUR,1732665600000,1.4003,1.5989,1.3689,1.5775,124780.86976376
DYDX-EUR,1732579200000,1.4688,1.5579,1.3459,1.3905,77201.08572069
DYDX-EUR,1732492800000,1.4751,1.5117,1.3931,1.4898,80183.43112106
DYDX-EUR,1732406400000,1.4524,1.5157,1.3461,1.4794,61790.33696213
DYDX-EUR,1732320000000,1.2668,1.5066,1.2666,1.4585,283565.10945409
DYDX-EUR,1732233600000,1.2316,1.2734,1.196,1.2717,64109.63788275
DYDX-EUR,1732147200000,1.139,1.2648,1.121,1.2522,67111.03048205
DYDX-EUR,1732060800000,1.1621,1.1878,1.115,1.14,50975.40007812
DYDX-EUR,1731974400000,1.234,1.2384,1.147,1.1727,76009.25366573
DYDX-EUR,1731888000000,1.1844,1.3215,1.1726,1.2456,242482.11456118
DYDX-EUR,1731801600000,1.2489,1.2592,1.1637,1.171,67214.33304604
DYDX-EUR,1731715200000,1.1777,1.2658,1.1727,1.2489,46480.77631855
DYDX-EUR,1731628800000,1.0868,1.2005,1.0578,1.1708,150162.07193765
DYDX-EUR,1731542400000,1.1447,1.198,1.0655,1.0745,52949.94475116
DYDX-EUR,1731456000000,1.1712,1.2147,1.0535,1.1471,86138.3570587
DYDX-EUR,1731369600000,1.2192,1.2745,1.0778,1.1746,666392.3195908
DYDX-EUR,1731283200000,1.1432,1.23,1.1428,1.23,377322.67924895
DYDX-EUR,1731196800000,1.1103,1.1884,1.0685,1.1456,199274.47891353
DYDX-EUR,1731110400000,1.0106,1.1182,1.0106,1.1096,104281.83741003
DYDX-EUR,1731024000000,1.043,1.0437,0.99799,1.0222,46171.29067735
DYDX-EUR,1730937600000,1.0282,1.0668,1.0111,1.0324,49252.68551674
DYDX-EUR,1730851200000,0.8794,1.0369,0.8794,1.0323,157022.93734278
DYDX-EUR,1730764800000,0.82702,0.85503,0.82702,0.83755,2348.25957838
DYDX-EUR,1730678400000,0.83129,0.83765,0.7973,0.81865,9270.53815115
DYDX-EUR,1730592000000,0.87679,0.8768,0.80217,0.83204,33392.69668448
DYDX-EUR,1730505600000,0.92798,0.92798,0.871,0.871,4900.72479586
DYDX-EUR,1730419200000,0.91937,0.95565,0.90431,0.91901,42704.65541824
DYDX-EUR,1730332800000,0.9835,0.9835,0.91442,0.94419,60722.44968439
DYDX-EUR,1730246400000,0.96078,1.0115,0.94791,0.98137,108079.84390169
DYDX-EUR,1730160000000,0.94794,0.98362,0.93347,0.96469,53132.81538895
DYDX-EUR,1730073600000,0.9565,0.95957,0.90201,0.95003,67142.30737495
DYDX-EUR,1729987200000,0.90807,0.9771,0.8905,0.9566,92648.89785952
DYDX-EUR,1729900800000,0.89824,0.91607,0.865,0.90722,29275.1506522
DYDX-EUR,1729814400000,1.0147,1.043,0.85,0.89709,152390.05313831
DYDX-EUR,1729728000000,1.023,1.0294,0.97914,1.0035,51912.18993438
DYDX-EUR,1729641600000,1.0315,1.0315,0.96957,1.0048,107862.13517928
DYDX-EUR,1729555200000,1.1563,1.1829,1.0276,1.0378,85806.534368
DYDX-EUR,1729468800000,1.2087,1.2087,1.0872,1.1439,380713.44285743
DYDX-EUR,1729382400000,0.90737,1.2391,0.88959,1.2053,1499036.81506976
DYDX-EUR,1729296000000,0.89043,0.911,0.87424,0.90647,16910.46165762
DYDX-EUR,1729209600000,0.89059,0.8907,0.87544,0.87731,5304.93886494
DYDX-EUR,1729123200000,0.8892,0.89176,0.85727,0.87787,9826.28843201
DYDX-EUR,1729036800000,0.89456,0.90356,0.87072,0.90055,8266.54467632
DYDX-EUR,1728950400000,0.91269,0.94021,0.89823,0.91009,18069.47392072
DYDX-EUR,1728864000000,0.85225,0.90394,0.85225,0.90394,34764.08661081
DYDX-EUR,1728777600000,0.8442,0.84652,0.81396,0.84527,13546.21432235
DYDX-EUR,1728691200000,0.84059,0.84893,0.834,0.84286,22670.52959311
DYDX-EUR,1728604800000,0.8216,0.85315,0.81227,0.84297,8730.84587438
DYDX-EUR,1728518400000,0.81774,0.84385,0.81266,0.81374,50703.0357362
DYDX-EUR,1728432000000,0.81195,0.82162,0.76906,0.80552,9815.52597019
DYDX-EUR,1728345600000,0.82687,0.84078,0.79534,0.79824,16966.95479082
DYDX-EUR,1728259200000,0.8123,0.84551,0.8123,0.83421,131774.26145016
DYDX-EUR,1728172800000,0.79844,0.81141,0.78381,0.81045,23436.707684
DYDX-EUR,1728086400000,0.80355,0.80617,0.77657,0.77657,22450.18456893
DYDX-EUR,1728000000000,0.77978,0.80871,0.77978,0.80145,41818.57526892
DYDX-EUR,1727913600000,0.77415,0.78332,0.74438,0.76499,8983.38363539
DYDX-EUR,1727827200000,0.81984,0.83266,0.75948,0.77386,160821.13838169
DYDX-EUR,1727740800000,0.90564,0.93857,0.8,0.82005,48487.51982675
DYDX-EUR,1727654400000,0.96735,0.99008,0.8892,0.89432,105625.31183734
DYDX-EUR,1727568000000,0.93132,1.0026,0.91877,0.9564,193723.83686781
DYDX-EUR,1727481600000,0.96795,0.99227,0.93128,0.9382,12911.89302295
DYDX-EUR,1727395200000,0.94842,0.99051,0.94826,0.96442,23600.18132037
DYDX-EUR,1727308800000,0.88231,0.96403,0.88,0.9434,54223.25655627
DYDX-EUR,1727222400000,0.91439,0.9311,0.90123,0.90123,19106.08337554
DYDX-EUR,1727136000000,0.85782,0.92801,0.84323,0.90451,70211.66658042
DYDX-EUR,1727049600000,0.82789,0.86746,0.82789,0.85602,24088.71852996
DYDX-EUR,1726963200000,0.86624,0.86624,0.80875,0.82508,82042.22539727
DYDX-EUR,1726876800000,0.84672,0.86769,0.84225,0.85847,8123.07945417
DYDX-EUR,1726790400000,0.83625,0.8795,0.82612,0.85651,74298.39755814
DYDX-EUR,1726704000000,0.78822,0.87018,0.78822,0.84826,358756.90607829
DYDX-EUR,1726617600000,0.79076,0.79606,0.73473,0.77194,26230.81661892
DYDX-EUR,1726531200000,0.78145,0.81275,0.77702,0.78272,24724.06985134
DYDX-EUR,1726444800000,0.79923,0.79923,0.77479,0.77479,7502.48106651
DYDX-EUR,1726358400000,0.82743,0.83871,0.79259,0.79905,15159.28746732
DYDX-EUR,1726272000000,0.83631,0.84262,0.81946,0.82596,10348.47895596
DYDX-EUR,1726185600000,0.82133,0.84632,0.80796,0.84382,7685.08458373
DYDX-EUR,1726099200000,0.82713,0.83316,0.80322,0.82301,16534.95743508
DYDX-EUR,1726012800000,0.8063,0.81018,0.77735,0.81018,8598.83479347
DYDX-EUR,1725926400000,0.82547,0.83128,0.80409,0.82905,20992.71284323
DYDX-EUR,1725840000000,0.79379,0.84251,0.79379,0.8315,25943.04685583
DYDX-EUR,1725753600000,0.77784,0.80093,0.77445,0.79815,15899.17476007
DYDX-EUR,1725667200000,0.76006,0.78949,0.76006,0.7758,5610.16385969
DYDX-EUR,1725580800000,0.78806,0.80524,0.72684,0.75636,51916.84849523
DYDX-EUR,1725494400000,0.7817,0.8098,0.77539,0.77992,12228.09187796
DYDX-EUR,1725408000000,0.78065,0.80536,0.73828,0.79559,101608.97710997
DYDX-EUR,1725321600000,0.81963,0.83455,0.79146,0.79654,38154.04206744
DYDX-EUR,1725235200000,0.77739,0.82417,0.77119,0.82105,25025.56982894
DYDX-EUR,1725148800000,0.82046,0.82282,0.77103,0.7766,40065.95069112
DYDX-EUR,1725062400000,0.8469,0.8469,0.81441,0.83408,5593.14193493
DYDX-EUR,1724976000000,0.85346,0.85927,0.80567,0.8467,14193.53020509
DYDX-EUR,1724889600000,0.87139,0.89475,0.84535,0.85359,2478.40184526
DYDX-EUR,1724803200000,0.86549,0.91156,0.83987,0.87338,12820.3009308
DYDX-EUR,1724716800000,0.96784,0.97071,0.86149,0.8716,27825.25934608
DYDX-EUR,1724630400000,1.0201,1.0228,0.94971,0.95941,27174.41893282
DYDX-EUR,1724544000000,1.077,1.077,1.0155,1.0232,3801.84180883
DYDX-EUR,1724457600000,1.0443,1.1004,1.0404,1.0705,11681.38233862
DYDX-EUR,1724371200000,1.0077,1.0614,1.0006,1.0503,16414.63860536
DYDX-EUR,1724284800000,0.99338,1.014,0.9901,0.9975,10215.44509409
DYDX-EUR,1724198400000,0.96161,1.0026,0.95529,0.99232,15519.55791355
DYDX-EUR,1724112000000,0.98736,0.99944,0.93961,0.96507,40881.75943242
DYDX-EUR,1724025600000,1.0026,1.0336,0.97831,0.97831,11423.11364164
DYDX-EUR,1723939200000,0.97883,1.0299,0.97499,1.0047,5621.32193682
DYDX-EUR,1723852800000,0.94303,0.99511,0.94303,0.97766,11322.66195508
DYDX-EUR,1723766400000,0.94191,0.95707,0.91432,0.94446,4167.9215316
DYDX-EUR,1723680000000,0.97401,0.98887,0.91555,0.9234,4636.55127394
DYDX-EUR,1723593600000,0.9747,0.98507,0.95659,0.95809,8985.10773393
DYDX-EUR,1723507200000,0.97001,0.99518,0.95296,0.99518,8149.8905087
DYDX-EUR,1723420800000,0.90174,0.9869,0.90174,0.95612,11345.0481171
DYDX-EUR,1723334400000,0.96348,0.98306,0.90097,0.90119,14687.1366712
DYDX-EUR,1723248000000,0.94297,0.96725,0.94297,0.95587,11019.84517586
DYDX-EUR,1723161600000,0.93009,0.94791,0.92238,0.9352,13564.1627282
DYDX-EUR,1723075200000,0.87584,0.93628,0.87584,0.93628,11709.53489638
DYDX-EUR,1722988800000,0.88156,0.91617,0.8437,0.84396,4836.56130163
DYDX-EUR,1722902400000,0.89036,0.91781,0.87248,0.88235,50868.4107637
DYDX-EUR,1722816000000,0.98795,0.99536,0.77995,0.86726,273410.99998942
DYDX-EUR,1722729600000,1.0032,1.0275,0.92828,0.98756,117804.00623719
DYDX-EUR,1722643200000,1.0075,1.0355,0.96284,0.98289,37053.82859613
DYDX-EUR,1722556800000,1.0698,1.0834,0.99432,1.0078,11831.17616025
DYDX-EUR,1722470400000,1.1054,1.1054,1.0283,1.0898,12828.39299876
DYDX-EUR,1722384000000,1.1475,1.1662,1.0966,1.102,11151.41735194
DYDX-EUR,1722297600000,1.1819,1.1969,1.1337,1.1525,6163.29003575
DYDX-EUR,1722211200000,1.1776,1.2175,1.1758,1.185,15853.94825479
DYDX-EUR,1722124800000,1.1813,1.187,1.1656,1.1768,13790.82914023
DYDX-EUR,1722038400000,1.1828,1.2062,1.176,1.1956,2594.3172808
DYDX-EUR,1721952000000,1.1515,1.209,1.1507,1.1963,39334.86161624
DYDX-EUR,1721865600000,1.15,1.181,1.0979,1.1281,11237.14686541
DYDX-EUR,1721779200000,1.1988,1.2409,1.1884,1.1986,10884.4773204
DYDX-EUR,1721692800000,1.286,1.3048,1.1799,1.1956,59044.52702994
DYDX-EUR,1721606400000,1.3178,1.3353,1.2833,1.2846,6927.41706424
DYDX-EUR,1721520000000,1.3142,1.3308,1.2682,1.3265,15013.69577895
DYDX-EUR,1721433600000,1.3209,1.3555,1.3131,1.3131,3026.97799768
