market,time,open,high,low,close,volume
DYM-EUR,1741132800000,0.32843,0.33673,0.31793,0.32096,34399.95866811
DYM-EUR,1741046400000,0.32654,0.35326,0.30958,0.3273,93835.63703078
DYM-EUR,1740960000000,0.39243,0.43966,0.34278,0.35081,50232.76616372
DYM-EUR,1740873600000,0.40956,0.44602,0.39703,0.43978,26883.72908963
DYM-EUR,1740787200000,0.39873,0.43112,0.39487,0.3983,7327.05867607
DYM-EUR,1740700800000,0.39875,0.44126,0.38732,0.43305,45619.77012895
DYM-EUR,1740614400000,0.42092,0.43253,0.4106,0.41925,21100.90055558
DYM-EUR,1740528000000,0.39671,0.42442,0.39582,0.41839,308299.89502915
DYM-EUR,1740441600000,0.37844,0.39961,0.34919,0.39762,128379.68745626
DYM-EUR,1740355200000,0.46494,0.46494,0.37689,0.3803,71554.71417123
DYM-EUR,1740268800000,0.48427,0.4978,0.45436,0.45842,119666.54739036
DYM-EUR,1740182400000,0.4396,0.5027,0.4396,0.48758,578802.63447795
DYM-EUR,1740096000000,0.47061,0.49557,0.43711,0.43842,96622.01125692
DYM-EUR,1740009600000,0.44864,0.47072,0.4421,0.47072,150792.26846047
DYM-EUR,1739923200000,0.42958,0.44535,0.42624,0.43014,83409.3007608
DYM-EUR,1739836800000,0.45306,0.45306,0.40871,0.43072,51501.72756345
DYM-EUR,1739750400000,0.48204,0.50945,0.45,0.45978,48440.23916678
DYM-EUR,1739664000000,0.48414,0.49288,0.47169,0.47822,15624.16243262
DYM-EUR,1739577600000,0.50928,0.51079,0.48599,0.48791,20186.15115688
DYM-EUR,1739491200000,0.49706,0.52736,0.49706,0.5122,36512.41108391
DYM-EUR,1739404800000,0.5293,0.53452,0.49,0.49646,34181.44272597
DYM-EUR,1739318400000,0.525,0.53391,0.48268,0.52806,154001.56135939
DYM-EUR,1739232000000,0.56481,0.60261,0.49574,0.51696,58667.94876093
DYM-EUR,1739145600000,0.54281,0.56245,0.5123,0.55345,7968.50327282
DYM-EUR,1739059200000,0.55605,0.56513,0.507,0.53032,40604.6690912
DYM-EUR,1738972800000,0.53264,0.56167,0.53182,0.55458,38517.50302902
DYM-EUR,1738886400000,0.52973,0.57091,0.5095,0.5095,314826.04895118
DYM-EUR,1738800000000,0.58322,0.58735,0.51611,0.52527,40096.98752157
DYM-EUR,1738713600000,0.60805,0.60805,0.56788,0.5739,49301.56311446
DYM-EUR,1738627200000,0.6563,0.6563,0.56142,0.59739,93248.64455016
DYM-EUR,1738540800000,0.63507,0.66334,0.48466,0.64893,323060.48308798
DYM-EUR,1738454400000,0.79932,0.79932,0.61847,0.65587,84588.11898504
DYM-EUR,1738368000000,0.90002,0.90003,0.78444,0.79993,18395.96528415
DYM-EUR,1738281600000,0.9018,0.9566,0.8909,0.90624,38649.26593582
DYM-EUR,1738195200000,0.86145,0.91397,0.8542,0.9021,17916.8521782
DYM-EUR,1738108800000,0.83368,0.90996,0.83,0.87897,38342.88657519
DYM-EUR,1738022400000,0.96685,0.97078,0.82,0.82501,23968.37349941
DYM-EUR,1737936000000,0.99459,0.99459,0.88083,0.95267,29682.91689138
DYM-EUR,1737849600000,1.0371,1.0573,1,1,2271.75302771
DYM-EUR,1737763200000,1.0109,1.0449,1,1.033,4972.52027477
DYM-EUR,1737676800000,1.0738,1.0972,1.0201,1.0224,5146.74357191
DYM-EUR,1737590400000,1.0791,1.0836,1.042,1.0836,35969.78239037
DYM-EUR,1737504000000,1.1063,1.113,1.0856,1.0856,3987.68997545
DYM-EUR,1737417600000,1.032,1.1319,1.031,1.1319,14774.08968959
DYM-EUR,1737331200000,1.0676,1.2059,1.0123,1.082,91740.14235947
DYM-EUR,1737244800000,1.2528,1.2528,1.07,1.0823,101651.86796037
DYM-EUR,1737158400000,1.3351,1.3443,1.205,1.2125,11019.34613664
DYM-EUR,1737072000000,1.2138,1.3491,1.2138,1.3387,79660.09803579
DYM-EUR,1736985600000,1.2271,1.2315,1.1789,1.2029,32345.76458311
DYM-EUR,1736899200000,1.148,1.2446,1.123,1.2304,48083.73383922
DYM-EUR,1736812800000,1.1083,1.1574,1.1068,1.1493,32435.90623644
DYM-EUR,1736726400000,1.1725,1.19,1.0192,1.0957,91826.20940234
DYM-EUR,1736640000000,1.1981,1.2018,1.1561,1.1626,4505.31586606
DYM-EUR,1736553600000,1.2069,1.2266,1.178,1.2071,2422.68945368
DYM-EUR,1736467200000,1.1562,1.2204,1.1559,1.2048,14998.86887304
