market,time,open,high,low,close,volume
ELF-EUR,1741132800000,0.22936,0.23315,0.22714,0.23025,8779.41762867
ELF-EUR,1741046400000,0.23762,0.24491,0.22439,0.22907,53053.31321777
ELF-EUR,1740960000000,0.24219,0.25911,0.24046,0.24139,48158.62719465
ELF-EUR,1740873600000,0.25294,0.26638,0.25276,0.26629,97573.55431885
ELF-EUR,1740787200000,0.2566,0.25727,0.25284,0.25293,1906.25170687
ELF-EUR,1740700800000,0.25833,0.25833,0.24237,0.25497,46834.10078596
ELF-EUR,1740614400000,0.24919,0.26556,0.24919,0.25742,15893.57708196
ELF-EUR,1740528000000,0.25326,0.25326,0.2452,0.24785,24624.23001245
ELF-EUR,1740441600000,0.25925,0.25925,0.24192,0.25149,98393.41675353
ELF-EUR,1740355200000,0.28003,0.28003,0.26,0.26213,13712.26655764
ELF-EUR,1740268800000,0.28089,0.29746,0.28089,0.28215,30074.31811035
ELF-EUR,1740182400000,0.27608,0.28139,0.27608,0.27928,1496.1572022
ELF-EUR,1740096000000,0.27841,0.28232,0.27123,0.27323,10731.7544943
ELF-EUR,1740009600000,0.27844,0.2796,0.27467,0.27527,22023.10747517
ELF-EUR,1739923200000,0.26987,0.27488,0.26987,0.27382,32971.94192326
ELF-EUR,1739836800000,0.28568,0.28568,0.26558,0.26822,45056.77533208
ELF-EUR,1739750400000,0.30221,0.30247,0.28011,0.28532,34598.87677231
ELF-EUR,1739664000000,0.27408,0.32372,0.27402,0.29629,585913.60632869
ELF-EUR,1739577600000,0.28228,0.28273,0.2728,0.27366,20312.61672279
ELF-EUR,1739491200000,0.2844,0.28586,0.27898,0.2813,76064.64557934
ELF-EUR,1739404800000,0.29108,0.29258,0.28073,0.28281,4164.54978972
ELF-EUR,1739318400000,0.28405,0.2884,0.27884,0.2884,7858.97785203
ELF-EUR,1739232000000,0.28918,0.29364,0.2839,0.28484,13618.69472562
ELF-EUR,1739145600000,0.2847,0.28749,0.28015,0.28638,3208.83842228
ELF-EUR,1739059200000,0.28259,0.28668,0.278,0.278,3069.7164636
ELF-EUR,1738972800000,0.2746,0.27994,0.27272,0.27911,11027.1567887
ELF-EUR,1738886400000,0.27303,0.27826,0.26791,0.27209,14943.54957085
ELF-EUR,1738800000000,0.28184,0.2849,0.27113,0.27199,23456.53576178
ELF-EUR,1738713600000,0.28606,0.28639,0.27781,0.28194,9073.41033067
ELF-EUR,1738627200000,0.28915,0.2908,0.2789,0.28141,32977.61121287
ELF-EUR,1738540800000,0.29,0.29964,0.24997,0.29725,104349.6228052
ELF-EUR,1738454400000,0.33069,0.33069,0.29533,0.30251,57077.28688842
ELF-EUR,1738368000000,0.34149,0.35311,0.33121,0.33121,148324.02679406
ELF-EUR,1738281600000,0.33816,0.34694,0.3369,0.33961,3354.59065171
ELF-EUR,1738195200000,0.33628,0.34485,0.33604,0.34346,12811.9367815
ELF-EUR,1738108800000,0.32873,0.33635,0.3257,0.33198,41184.94941078
ELF-EUR,1738022400000,0.33335,0.33768,0.3298,0.33007,56986.53675622
ELF-EUR,1737936000000,0.35,0.35,0.31598,0.3347,177183.66156054
ELF-EUR,1737849600000,0.36072,0.36361,0.35709,0.35709,6963.28453863
ELF-EUR,1737763200000,0.3625,0.36701,0.35705,0.36255,32150.16666707
ELF-EUR,1737676800000,0.35809,0.36732,0.35126,0.36595,9706.99151494
ELF-EUR,1737590400000,0.37128,0.37826,0.35997,0.36497,59938.91277711
ELF-EUR,1737504000000,0.37301,0.37969,0.3667,0.37071,77623.01993164
ELF-EUR,1737417600000,0.36741,0.3758,0.36316,0.37466,76031.69792607
ELF-EUR,1737331200000,0.36763,0.38656,0.36,0.36938,49740.85026492
ELF-EUR,1737244800000,0.42111,0.42111,0.367,0.36758,209472.11883817
ELF-EUR,1737158400000,0.44564,0.44771,0.40946,0.42005,62626.12085082
ELF-EUR,1737072000000,0.44228,0.44878,0.441,0.44841,82218.06128041
ELF-EUR,1736985600000,0.4553,0.4553,0.43581,0.43964,123940.65327885
ELF-EUR,1736899200000,0.45546,0.47114,0.43982,0.45926,25358.66183237
ELF-EUR,1736812800000,0.44235,0.46632,0.43692,0.45696,41086.34189394
ELF-EUR,1736726400000,0.47668,0.48174,0.42,0.44202,47301.65861546
ELF-EUR,1736640000000,0.45759,0.47732,0.45619,0.47732,39372.69706855
ELF-EUR,1736553600000,0.45378,0.47291,0.45378,0.45888,62680.6341864
ELF-EUR,1736467200000,0.45023,0.45601,0.43433,0.45415,35291.63810586
ELF-EUR,1736380800000,0.45353,0.47739,0.43991,0.4602,122047.33508657
ELF-EUR,1736294400000,0.45506,0.45506,0.43006,0.45426,101909.71833723
ELF-EUR,1736208000000,0.48605,0.48892,0.453,0.45522,38303.34029571
ELF-EUR,1736121600000,0.48571,0.5043,0.47899,0.49178,75183.84087918
ELF-EUR,1736035200000,0.46916,0.52914,0.46916,0.49107,580887.99958162
ELF-EUR,1735948800000,0.4673,0.49,0.46078,0.46535,76456.57048462
ELF-EUR,1735862400000,0.4558,0.48995,0.45457,0.47193,171888.8155351
ELF-EUR,1735776000000,0.42941,0.4622,0.42941,0.45818,98279.48573725
ELF-EUR,1735689600000,0.43455,0.44052,0.4234,0.43221,6920.66862205
ELF-EUR,1735603200000,0.41825,0.43773,0.41608,0.42504,57747.15111143
ELF-EUR,1735516800000,0.42676,0.4381,0.41483,0.42793,9987.76418572
ELF-EUR,1735430400000,0.44166,0.44166,0.42432,0.42885,27755.63795907
ELF-EUR,1735344000000,0.4284,0.46017,0.42163,0.4428,238327.18550683
ELF-EUR,1735257600000,0.41706,0.433,0.41483,0.42428,12699.0238029
ELF-EUR,1735171200000,0.44144,0.45035,0.40714,0.41794,343596.1249471
ELF-EUR,1735084800000,0.46825,0.47052,0.435,0.44788,226388.10520909
ELF-EUR,1734998400000,0.46954,0.47154,0.45624,0.47121,80938.26297509
ELF-EUR,1734912000000,0.44269,0.48951,0.43551,0.47199,178853.98604414
ELF-EUR,1734825600000,0.4233,0.48466,0.4233,0.44371,622968.62591744
ELF-EUR,1734739200000,0.42787,0.44872,0.4139,0.41812,62672.82559793
ELF-EUR,1734652800000,0.42391,0.43326,0.38262,0.43229,254934.9763716
ELF-EUR,1734566400000,0.44388,0.45255,0.41402,0.42333,76978.81216794
ELF-EUR,1734480000000,0.48069,0.48069,0.44,0.44067,135706.93060789
ELF-EUR,1734393600000,0.47763,0.50795,0.47265,0.47737,156423.40725761
ELF-EUR,1734307200000,0.50222,0.50895,0.4732,0.48767,124345.90166141
ELF-EUR,1734220800000,0.48383,0.50655,0.47564,0.50228,241867.51045257
ELF-EUR,1734134400000,0.50584,0.50643,0.47873,0.48609,62898.49804539
ELF-EUR,1734048000000,0.51072,0.519,0.49595,0.50828,235130.79699069
ELF-EUR,1733961600000,0.51387,0.58288,0.50576,0.51677,571065.69721509
ELF-EUR,1733875200000,0.46301,0.52689,0.44,0.51354,168219.8185295
ELF-EUR,1733788800000,0.49228,0.49659,0.43395,0.46826,231005.22824439
ELF-EUR,1733702400000,0.56451,0.56451,0.46103,0.48817,209312.57734986
ELF-EUR,1733616000000,0.57187,0.57325,0.55356,0.56492,29736.34201335
ELF-EUR,1733529600000,0.57084,0.58019,0.5631,0.5763,69575.48473332
ELF-EUR,1733443200000,0.56491,0.57613,0.54318,0.57613,135446.13043963
ELF-EUR,1733356800000,0.58797,0.60232,0.56,0.56614,106519.0366777
ELF-EUR,1733270400000,0.577,0.60135,0.5389,0.60135,324529.76925123
ELF-EUR,1733184000000,0.5424,0.57691,0.50507,0.57397,338896.0331648
ELF-EUR,1733097600000,0.55452,0.56948,0.5143,0.54821,191524.66097804
ELF-EUR,1733011200000,0.568,0.57616,0.54084,0.56012,391742.13886055
ELF-EUR,1732924800000,0.56,0.59779,0.5395,0.56466,267367.45510229
ELF-EUR,1732838400000,0.53086,0.56362,0.52849,0.557,236057.8492953
ELF-EUR,1732752000000,0.54668,0.55304,0.5188,0.53181,800268.98120072
ELF-EUR,1732665600000,0.57105,0.57105,0.5268,0.55229,845719.57082867
ELF-EUR,1732579200000,0.74703,0.75182,0.57013,0.57755,4495103.56304482
ELF-EUR,1732492800000,0.43,0.8061,0.43,0.74834,11728675.84197605
ELF-EUR,1732406400000,0.41699,0.43523,0.4,0.42413,105901.29003916
ELF-EUR,1732320000000,0.40518,0.4207,0.39784,0.41146,110423.6262335
ELF-EUR,1732233600000,0.39798,0.40724,0.38794,0.40724,175132.62951253
ELF-EUR,1732147200000,0.40013,0.4035,0.3797,0.4035,130199.00629137
ELF-EUR,1732060800000,0.38701,0.40535,0.37449,0.39668,155215.79305271
ELF-EUR,1731974400000,0.38197,0.40401,0.37984,0.38722,63171.79651545
ELF-EUR,1731888000000,0.36451,0.38211,0.36451,0.38133,85349.77640697
ELF-EUR,1731801600000,0.38032,0.38588,0.3611,0.36132,52552.61555528
ELF-EUR,1731715200000,0.36109,0.381,0.3577,0.381,77394.41732754
ELF-EUR,1731628800000,0.34087,0.36129,0.34006,0.36129,28638.73768298
ELF-EUR,1731542400000,0.3571,0.3572,0.34263,0.34827,72848.86384974
ELF-EUR,1731456000000,0.37,0.42306,0.34214,0.35243,301194.40674227
ELF-EUR,1731369600000,0.36375,0.382,0.34044,0.36702,213572.90585025
ELF-EUR,1731283200000,0.35104,0.3654,0.34107,0.36539,133498.12284199
ELF-EUR,1731196800000,0.34,0.35586,0.33942,0.35087,86618.60359392
ELF-EUR,1731110400000,0.32964,0.33852,0.32935,0.33852,47394.08963742
ELF-EUR,1731024000000,0.332,0.33321,0.32589,0.33117,14534.11713706
ELF-EUR,1730937600000,0.32709,0.33346,0.32248,0.3307,18093.84095768
ELF-EUR,1730851200000,0.31049,0.32676,0.31049,0.32676,68900.96122911
ELF-EUR,1730764800000,0.29784,0.30755,0.29784,0.30358,3425.06965024
ELF-EUR,1730678400000,0.30784,0.30784,0.29559,0.29559,11899.5838863
ELF-EUR,1730592000000,0.315,0.315,0.30684,0.30684,7932.74973921
ELF-EUR,1730505600000,0.3219,0.32465,0.31588,0.31588,3840.6750218
ELF-EUR,1730419200000,0.32177,0.33632,0.32018,0.3229,65532.63077872
ELF-EUR,1730332800000,0.33166,0.33166,0.31931,0.32085,19070.13556972
ELF-EUR,1730246400000,0.33528,0.33528,0.33039,0.3322,10046.86310837
ELF-EUR,1730160000000,0.33055,0.33667,0.32878,0.3332,19529.50645898
ELF-EUR,1730073600000,0.32974,0.33082,0.32407,0.33082,7102.16123642
ELF-EUR,1729987200000,0.32516,0.33026,0.32516,0.32782,10700.56990452
ELF-EUR,1729900800000,0.32271,0.32463,0.32118,0.32407,5671.66201354
ELF-EUR,1729814400000,0.33421,0.33542,0.3237,0.3237,10673.67444706
ELF-EUR,1729728000000,0.34017,0.34107,0.33426,0.34107,22502.03221141
ELF-EUR,1729641600000,0.34348,0.34369,0.33468,0.33792,20009.71356351
ELF-EUR,1729555200000,0.35079,0.35093,0.34152,0.34645,13798.58597522
ELF-EUR,1729468800000,0.36188,0.36188,0.34782,0.34933,4194.54044349
ELF-EUR,1729382400000,0.35554,0.36105,0.3528,0.35955,15373.09086525
