market,time,open,high,low,close,volume
ENJ-EUR,1741132800000,0.095546,0.09803,0.092983,0.09717,542486.97380374
ENJ-EUR,1741046400000,0.0933,0.09803,0.089,0.095544,2067001.51597776
ENJ-EUR,1740960000000,0.10546,0.117,0.096462,0.098359,897193.42617849
ENJ-EUR,1740873600000,0.10586,0.11751,0.10502,0.10523,1069819.55462753
ENJ-EUR,1740787200000,0.10845,0.11,0.10342,0.10626,182341.71692156
ENJ-EUR,1740700800000,0.10912,0.11054,0.0996,0.10969,1072682.46199077
ENJ-EUR,1740614400000,0.1072,0.11205,0.10602,0.10914,291908.05857556
ENJ-EUR,1740528000000,0.1042,0.10931,0.10292,0.10652,742648.14259519
ENJ-EUR,1740441600000,0.10032,0.1068,0.096401,0.10528,1849010.54854527
ENJ-EUR,1740355200000,0.11558,0.11558,0.098642,0.10034,607044.54675459
ENJ-EUR,1740268800000,0.11948,0.11972,0.11417,0.11536,361936.62442931
ENJ-EUR,1740182400000,0.11358,0.11889,0.1135,0.11841,72126.68530583
ENJ-EUR,1740096000000,0.11929,0.12448,0.11268,0.11392,543163.3923795
ENJ-EUR,1740009600000,0.1156,0.12098,0.11521,0.11851,444207.13804976
ENJ-EUR,1739923200000,0.11068,0.11583,0.11068,0.1156,305047.4570918
ENJ-EUR,1739836800000,0.11597,0.11597,0.10587,0.11069,501583.48137383
ENJ-EUR,1739750400000,0.11694,0.11942,0.11266,0.11634,201288.79914326
ENJ-EUR,1739664000000,0.11928,0.12132,0.11533,0.11663,250054.71631179
ENJ-EUR,1739577600000,0.12174,0.12233,0.11735,0.11925,1297307.23809179
ENJ-EUR,1739491200000,0.11929,0.1255,0.11919,0.12207,606628.16839145
ENJ-EUR,1739404800000,0.12659,0.12662,0.11752,0.11987,844871.81837377
ENJ-EUR,1739318400000,0.11599,0.12708,0.1139,0.12592,1926220.94175908
ENJ-EUR,1739232000000,0.1187,0.12805,0.11606,0.11697,429925.10172772
ENJ-EUR,1739145600000,0.1152,0.1187,0.1093,0.11824,599638.90107037
ENJ-EUR,1739059200000,0.11566,0.11901,0.10878,0.11344,565411.73152179
ENJ-EUR,1738972800000,0.11091,0.11623,0.10745,0.1159,1299944.73650478
ENJ-EUR,1738886400000,0.1101,0.11961,0.10884,0.1122,910689.39253321
ENJ-EUR,1738800000000,0.11606,0.11887,0.10825,0.10864,1513310.71243347
ENJ-EUR,1738713600000,0.11276,0.12772,0.11141,0.11639,4044249.72133476
ENJ-EUR,1738627200000,0.12304,0.12304,0.10873,0.11286,1133917.10137739
ENJ-EUR,1738540800000,0.11919,0.1233,0.089001,0.12169,3872705.36816767
ENJ-EUR,1738454400000,0.13871,0.14102,0.112,0.11918,1520399.00311467
ENJ-EUR,1738368000000,0.14821,0.15065,0.13659,0.13863,230001.83590097
ENJ-EUR,1738281600000,0.14668,0.154,0.14328,0.14809,506299.14841371
ENJ-EUR,1738195200000,0.13901,0.152,0.13763,0.1466,1197067.71783339
ENJ-EUR,1738108800000,0.13302,0.14386,0.13302,0.13862,1094081.42901718
ENJ-EUR,1738022400000,0.14804,0.1492,0.13241,0.13345,2903769.46103872
ENJ-EUR,1737936000000,0.15015,0.15021,0.13462,0.14705,3515824.91283629
ENJ-EUR,1737849600000,0.15563,0.15985,0.15048,0.15097,1088053.2512451
ENJ-EUR,1737763200000,0.15457,0.15825,0.15251,0.15627,322550.48670592
ENJ-EUR,1737676800000,0.16232,0.16314,0.1543,0.15506,2318032.23804554
ENJ-EUR,1737590400000,0.16149,0.16445,0.15546,0.16236,2407091.88646864
ENJ-EUR,1737504000000,0.16707,0.169,0.16112,0.16112,1049051.17221975
ENJ-EUR,1737417600000,0.16133,0.1699,0.15422,0.16574,1568115.37007154
ENJ-EUR,1737331200000,0.16604,0.17962,0.15662,0.16168,2670319.92995382
ENJ-EUR,1737244800000,0.19001,0.19224,0.16435,0.16668,2515939.15295018
ENJ-EUR,1737158400000,0.21098,0.21275,0.186,0.19074,1261674.12418559
ENJ-EUR,1737072000000,0.19765,0.21196,0.19691,0.21038,2146009.21282195
ENJ-EUR,1736985600000,0.20719,0.20745,0.195,0.19682,3912491.40392383
ENJ-EUR,1736899200000,0.19369,0.20755,0.18808,0.20714,1317942.48304775
ENJ-EUR,1736812800000,0.18621,0.1956,0.18564,0.19421,546322.41878538
ENJ-EUR,1736726400000,0.19472,0.20063,0.1736,0.18572,1516048.21649581
ENJ-EUR,1736640000000,0.1993,0.19958,0.19251,0.19391,149047.53409666
ENJ-EUR,1736553600000,0.19815,0.2043,0.195,0.20011,145051.80261892
ENJ-EUR,1736467200000,0.1964,0.203,0.19275,0.19907,361295.36223343
ENJ-EUR,1736380800000,0.20508,0.20722,0.19048,0.19547,741945.27351921
ENJ-EUR,1736294400000,0.21516,0.2162,0.19133,0.20515,981653.00531824
ENJ-EUR,1736208000000,0.239,0.242,0.21257,0.21364,909348.25361475
ENJ-EUR,1736121600000,0.23873,0.24553,0.23211,0.23916,478790.42790686
ENJ-EUR,1736035200000,0.23551,0.24066,0.23,0.238,410804.96892215
ENJ-EUR,1735948800000,0.23973,0.24244,0.23344,0.23652,735253.27798987
ENJ-EUR,1735862400000,0.22032,0.23955,0.21673,0.23751,635790.36689345
ENJ-EUR,1735776000000,0.21085,0.2246,0.21085,0.2205,464692.7847143
ENJ-EUR,1735689600000,0.20331,0.21218,0.19738,0.2109,377833.43722181
ENJ-EUR,1735603200000,0.2071,0.2107,0.20072,0.20213,350628.33013328
ENJ-EUR,1735516800000,0.2111,0.21801,0.20093,0.20811,422901.06423682
ENJ-EUR,1735430400000,0.22019,0.2241,0.20794,0.21008,1180637.67833042
ENJ-EUR,1735344000000,0.21146,0.22291,0.20891,0.22066,1279894.40071231
ENJ-EUR,1735257600000,0.21004,0.2244,0.207,0.21199,772630.79003027
ENJ-EUR,1735171200000,0.22997,0.232,0.20744,0.20945,820211.90248323
