market,time,open,high,low,close,volume
FET-EUR,1741219200000,0.57445,0.5753,0.57445,0.5753,1951.361401
FET-EUR,1741132800000,0.5509,0.57716,0.54339,0.56749,3380136.54584992
FET-EUR,1741046400000,0.58827,0.59096,0.52348,0.56457,7876451.87419504
FET-EUR,1740960000000,0.7021,0.72095,0.57728,0.63643,3528535.90367659
FET-EUR,1740873600000,0.61777,0.74869,0.61496,0.72122,3410689.33686344
FET-EUR,1740787200000,0.63348,0.63769,0.60173,0.61494,1213938.40719849
FET-EUR,1740700800000,0.62794,0.635,0.57449,0.62948,2703891.88379022
FET-EUR,1740614400000,0.62748,0.64363,0.60268,0.63102,1908940.32499531
FET-EUR,1740528000000,0.6308,0.6502,0.59976,0.62911,3212857.48776604
FET-EUR,1740441600000,0.63752,0.64685,0.5899,0.63252,6963189.56753085
FET-EUR,1740355200000,0.72349,0.73988,0.628,0.63796,3169758.92784081
FET-EUR,1740268800000,0.753,0.75504,0.71356,0.72308,1426886.15457983
FET-EUR,1740182400000,0.72073,0.77028,0.71454,0.75335,1404657.19070385
FET-EUR,1740096000000,0.73856,0.78346,0.70811,0.72,2771369.84512634
FET-EUR,1740009600000,0.69421,0.75075,0.69105,0.73764,1793123.11866412
FET-EUR,1739923200000,0.69906,0.7156,0.683,0.69376,1504316.58539318
FET-EUR,1739836800000,0.72407,0.74292,0.67675,0.69918,3133552.24580241
FET-EUR,1739750400000,0.7434,0.77535,0.70461,0.72303,2432022.64130443
FET-EUR,1739664000000,0.73627,0.77401,0.72252,0.74366,1774110.38024575
FET-EUR,1739577600000,0.77142,0.77535,0.72461,0.73593,1576143.01126151
FET-EUR,1739491200000,0.74486,0.79982,0.73647,0.77188,2930962.40096728
FET-EUR,1739404800000,0.79197,0.8017,0.73151,0.74281,2694377.20457889
FET-EUR,1739318400000,0.72923,0.80648,0.6911,0.7896,4451945.22622438
FET-EUR,1739232000000,0.74643,0.80374,0.725,0.73287,5248348.74029832
FET-EUR,1739145600000,0.74765,0.78271,0.719,0.7466,2764012.16968088
FET-EUR,1739059200000,0.71348,0.75677,0.70201,0.74657,1931969.16748356
FET-EUR,1738972800000,0.70413,0.71793,0.6666,0.71234,1269340.41719658
FET-EUR,1738886400000,0.68736,0.7643,0.67696,0.70634,3556089.35313854
FET-EUR,1738800000000,0.73282,0.75081,0.68169,0.68734,2613356.06494628
FET-EUR,1738713600000,0.76,0.7745,0.71445,0.73365,1523902.9511889
FET-EUR,1738627200000,0.83706,0.8421,0.72946,0.76228,4718504.55421105
FET-EUR,1738540800000,0.80318,0.85492,0.58608,0.83759,11260050.30538785
FET-EUR,1738454400000,0.90333,0.92544,0.75419,0.80276,7307111.13392019
FET-EUR,1738368000000,0.991,1.0158,0.90266,0.9036,1365919.60486046
FET-EUR,1738281600000,1.0079,1.0459,0.9836,0.99112,1662746.18213517
FET-EUR,1738195200000,0.95318,1.0216,0.938,1.0048,2143735.48096538
FET-EUR,1738108800000,0.93884,0.9933,0.91218,0.95116,3693172.49092991
FET-EUR,1738022400000,1.0723,1.08,0.92115,0.93903,3752449.38388513
FET-EUR,1737936000000,1.1271,1.1346,1.0068,1.0719,4378858.75626994
FET-EUR,1737849600000,1.1508,1.1789,1.125,1.1259,852358.81178766
FET-EUR,1737763200000,1.1652,1.1828,1.1171,1.1533,970608.9939241
FET-EUR,1737676800000,1.1957,1.2082,1.1468,1.1695,1670072.92831582
FET-EUR,1737590400000,1.227,1.2293,1.1475,1.1927,3040803.36506897
FET-EUR,1737504000000,1.2598,1.2899,1.218,1.2288,2479544.68681087
FET-EUR,1737417600000,1.1377,1.273,1.0855,1.2547,2878294.59201888
FET-EUR,1737331200000,1.1416,1.297,1.0877,1.137,5022126.93309359
FET-EUR,1737244800000,1.2694,1.2901,1.1202,1.1438,5986683.82000738
FET-EUR,1737158400000,1.3671,1.3946,1.2433,1.2707,3207290.18584205
FET-EUR,1737072000000,1.2953,1.3859,1.2923,1.3653,2280518.98890289
