market,time,open,high,low,close,volume
GMT-EUR,1741132800000,0.048976,0.049812,0.047337,0.04797,84176.99211467
GMT-EUR,1741046400000,0.046846,0.049658,0.044737,0.048702,580419.02909743
GMT-EUR,1740960000000,0.06021,0.06099,0.048647,0.049741,649485.78996729
GMT-EUR,1740873600000,0.056691,0.061971,0.055711,0.061344,810953.48850409
GMT-EUR,1740787200000,0.05817,0.058846,0.0558,0.057142,50738.41703152
GMT-EUR,1740700800000,0.059249,0.060186,0.053358,0.058938,367069.95707644
GMT-EUR,1740614400000,0.057917,0.06032,0.057917,0.059209,52224.42797202
GMT-EUR,1740528000000,0.056944,0.058432,0.055894,0.057828,213768.51937169
GMT-EUR,1740441600000,0.054,0.058432,0.05171,0.057576,594282.28646861
GMT-EUR,1740355200000,0.064329,0.064329,0.054305,0.055769,465012.50884589
GMT-EUR,1740268800000,0.068109,0.068109,0.065975,0.066105,11483.26795059
GMT-EUR,1740182400000,0.066861,0.068434,0.066393,0.068434,985235.04824074
GMT-EUR,1740096000000,0.066522,0.070878,0.064277,0.064728,120971.47784712
GMT-EUR,1740009600000,0.064776,0.067,0.064681,0.066955,268050.98666571
GMT-EUR,1739923200000,0.064738,0.065608,0.064056,0.064969,131852.05641224
GMT-EUR,1739836800000,0.066287,0.066601,0.061306,0.062783,186870.06447311
GMT-EUR,1739750400000,0.066666,0.06958,0.065801,0.067476,135133.12478824
GMT-EUR,1739664000000,0.067379,0.069121,0.066,0.066726,70742.59172956
GMT-EUR,1739577600000,0.069516,0.069658,0.06732,0.067974,21663.68002692
GMT-EUR,1739491200000,0.066029,0.07265,0.066019,0.069777,462323.77159203
GMT-EUR,1739404800000,0.070568,0.071346,0.066194,0.066273,499382.56512192
GMT-EUR,1739318400000,0.062655,0.070028,0.061306,0.069829,1799614.11301002
GMT-EUR,1739232000000,0.067004,0.07017,0.061987,0.063181,290015.35992641
GMT-EUR,1739145600000,0.06788,0.068141,0.0656,0.066829,280670.79344625
GMT-EUR,1739059200000,0.067743,0.070442,0.065,0.06688,260034.60712328
GMT-EUR,1738972800000,0.062116,0.066876,0.061643,0.066876,276329.39317819
GMT-EUR,1738886400000,0.061115,0.066062,0.05888,0.061428,1235395.32610027
GMT-EUR,1738800000000,0.065053,0.065679,0.05988,0.060486,4340480.58694873
GMT-EUR,1738713600000,0.066607,0.067656,0.063992,0.063992,1151538.13832416
GMT-EUR,1738627200000,0.071979,0.07265,0.063,0.066682,1306917.73787351
GMT-EUR,1738540800000,0.067959,0.071593,0.05,0.071358,3405134.58687023
GMT-EUR,1738454400000,0.08301,0.08445,0.06497,0.068597,2002768.06389587
GMT-EUR,1738368000000,0.093406,0.094178,0.082257,0.082474,202719.31484951
GMT-EUR,1738281600000,0.09344,0.097867,0.09117,0.091779,213036.42372146
GMT-EUR,1738195200000,0.088894,0.094839,0.08874,0.093582,126093.24717965
GMT-EUR,1738108800000,0.085552,0.091747,0.085358,0.089853,698538.58179317
GMT-EUR,1738022400000,0.093947,0.094047,0.085413,0.086095,75771.8699617
GMT-EUR,1737936000000,0.093618,0.094464,0.085375,0.09289,275300.56432403
GMT-EUR,1737849600000,0.097494,0.1018,0.09562,0.09562,277788.61683455
GMT-EUR,1737763200000,0.09604,0.098902,0.09543,0.09672,146634.06791063
GMT-EUR,1737676800000,0.0975,0.10047,0.095502,0.096178,92924.59875117
GMT-EUR,1737590400000,0.10049,0.10387,0.098007,0.10103,1067237.9764275
GMT-EUR,1737504000000,0.10109,0.10358,0.10057,0.10058,165819.11441998
GMT-EUR,1737417600000,0.097492,0.10282,0.092145,0.10123,2266872.61695306
