market,time,open,high,low,close,volume
GNO-EUR,1741132800000,130.83,134.92,129.59,129.93,53.96264637
GNO-EUR,1741046400000,128.52,134.33,122.98,128.59,72.28346465
GNO-EUR,1740960000000,155.52,155.52,131.28,132.55,50.39327795
GNO-EUR,1740873600000,147.05,176.74,142.66,156.78,823.85343647
GNO-EUR,1740787200000,143.37,144.39,139.46,141.38,10.67171378
GNO-EUR,1740700800000,147.92,147.93,135.77,143.65,44.55646194
GNO-EUR,1740614400000,148.23,149.69,145.23,145.57,23.29536274
GNO-EUR,1740528000000,152.94,154.85,144.14,146.84,44.17769747
GNO-EUR,1740441600000,152.8,159.89,145.62,155.46,329.44182611
GNO-EUR,1740355200000,168.62,190.57,155,155,446.55912785
GNO-EUR,1740268800000,173.28,173.28,168.23,171.47,8.12791537
GNO-EUR,1740182400000,167.33,173.05,165.82,171.84,26.19876213
GNO-EUR,1740096000000,171.12,178.15,163.83,165.05,95.80307973
GNO-EUR,1740009600000,173.88,178.08,170,172.59,118.89839248
GNO-EUR,1739923200000,160.08,263.5,160.08,172.57,2144.78740933
GNO-EUR,1739836800000,163.88,163.95,157.15,158.74,14.64703394
GNO-EUR,1739750400000,162.56,167.6,162.29,166,21.90202431
GNO-EUR,1739664000000,163.3,166.14,162.12,162.12,1.28185027
GNO-EUR,1739577600000,166.68,168.82,163.17,163.17,9.06481455
GNO-EUR,1739491200000,165.11,169.5,164.78,167.65,16.49221228
GNO-EUR,1739404800000,173.34,173.34,164.22,165.18,5.31938309
GNO-EUR,1739318400000,168.32,171.94,167.34,170.22,13.97335668
GNO-EUR,1739232000000,171.79,175.56,165.94,167.48,11.60399414
GNO-EUR,1739145600000,170.71,173.01,169.85,169.85,28.43074222
GNO-EUR,1739059200000,171.58,172.99,168.88,168.88,5.39682155
GNO-EUR,1738972800000,166.89,168.98,166.09,168.98,20.36625143
GNO-EUR,1738886400000,168.53,175.03,161.92,164.87,32.64756474
GNO-EUR,1738800000000,172.9,178.38,167.64,167.99,29.22273709
GNO-EUR,1738713600000,171.86,175.83,168.86,172.27,28.95831521
GNO-EUR,1738627200000,178.21,178.21,168.31,171.21,83.0388876
GNO-EUR,1738540800000,182.98,182.98,158.25,181.2,48.85653369
GNO-EUR,1738454400000,199.43,199.43,178.15,178.15,55.67083486
GNO-EUR,1738368000000,211.46,211.46,195.76,195.76,15.90192861
GNO-EUR,1738281600000,205.74,215.56,205.74,211.93,54.29747077
GNO-EUR,1738195200000,200.19,210,200.03,207.28,96.88397231
GNO-EUR,1738108800000,200.85,202.6,196.76,199.03,26.19767315
GNO-EUR,1738022400000,206.68,207.06,194.17,194.17,38.36158443
GNO-EUR,1737936000000,210,210,196.64,205.77,33.05257727
GNO-EUR,1737849600000,216.64,219.15,215.08,215.08,8.21958979
GNO-EUR,1737763200000,215.31,216.29,213.53,215.71,3.5451022
GNO-EUR,1737676800000,219.88,225.24,216.13,216.42,29.31892452
GNO-EUR,1737590400000,217.21,224.65,213.05,224.65,31.92212993
GNO-EUR,1737504000000,225.55,227.76,219.03,219.59,24.14128523
GNO-EUR,1737417600000,222.07,228,219.32,225.95,18.46876106
GNO-EUR,1737331200000,225.88,236.77,220,223.71,119.79164565
GNO-EUR,1737244800000,227.75,243.2,221.15,229.79,206.62360775
GNO-EUR,1737158400000,246.92,247.62,229.78,229.94,29.30935313
GNO-EUR,1737072000000,239.59,251.7,239.59,246.82,26.01051247
GNO-EUR,1736985600000,244.83,245,238.16,238.93,36.13858749
GNO-EUR,1736899200000,234.78,250.43,233.09,246.55,55.19037756
GNO-EUR,1736812800000,230.18,240.54,230.18,237.83,29.54180357
GNO-EUR,1736726400000,241.08,241.25,223,229.37,25.16237261
GNO-EUR,1736640000000,242.08,244.98,238.51,238.51,4.28244434
GNO-EUR,1736553600000,241.2,242.8,239.69,242.8,4.99082366
GNO-EUR,1736467200000,240.53,247.78,236.62,241.84,40.49611566
GNO-EUR,1736380800000,245.01,247.8,236.66,236.66,79.65777112
GNO-EUR,1736294400000,253,253,240.74,244.75,12.5653757
GNO-EUR,1736208000000,272.68,274.04,253.7,253.7,53.4000145
GNO-EUR,1736121600000,279.64,279.64,269.51,271.62,29.58448178
GNO-EUR,1736035200000,278.4,280.23,276.05,278.78,7.60739925
GNO-EUR,1735948800000,278.96,279.68,274.34,279.68,25.05562268
GNO-EUR,1735862400000,267.29,279.41,267.29,276.9,7.69808008
GNO-EUR,1735776000000,262.8,279.68,262.8,271.18,16.72271984
GNO-EUR,1735689600000,257.48,264.63,257.48,260.51,17.00609636
GNO-EUR,1735603200000,262.27,263.7,257.96,260.07,26.59980719
