market,time,open,high,low,close,volume
GNS-EUR,1741132800000,1.403,1.403,1.375,1.3799,1900.02272444
GNS-EUR,1741046400000,1.3779,1.396,1.3392,1.3872,804.75702945
GNS-EUR,1740960000000,1.5976,1.5976,1.5431,1.5431,127.24586121
GNS-EUR,1740873600000,1.4569,1.6356,1.4569,1.6335,1325.83104776
GNS-EUR,1740787200000,1.4484,1.5002,1.4285,1.4285,1532.87634402
GNS-EUR,1740700800000,1.3889,1.4873,1.3773,1.4873,2882.81521628
GNS-EUR,1740614400000,1.4613,1.4698,1.4389,1.4524,3895.03509577
GNS-EUR,1740528000000,1.4119,1.4191,1.3758,1.3758,1225.09602077
GNS-EUR,1740441600000,1.4381,1.4569,1.3915,1.4436,1189.30541039
GNS-EUR,1740355200000,1.5996,1.5996,1.495,1.495,85.83166011
GNS-EUR,1740268800000,1.6129,1.6149,1.6038,1.6149,323.00985486
GNS-EUR,1740182400000,1.5269,1.5928,1.5269,1.5928,3960.86851078
GNS-EUR,1740096000000,1.5441,1.6043,1.509,1.509,534.53142322
GNS-EUR,1740009600000,1.54,1.593,1.5272,1.5627,5264.88937378
GNS-EUR,1739923200000,1.5057,1.6743,1.5057,1.5183,17108.97230827
GNS-EUR,1739836800000,1.5465,1.558,1.4614,1.4614,2723.94994978
GNS-EUR,1739750400000,1.5921,1.7417,1.5487,1.5487,26097.37233925
GNS-EUR,1739664000000,1.5818,1.6117,1.5818,1.6117,813.31567211
GNS-EUR,1739577600000,1.6033,1.6246,1.5837,1.5984,633.30536917
GNS-EUR,1739491200000,1.5693,1.6107,1.5693,1.6068,1561.52511794
GNS-EUR,1739404800000,1.6213,1.6213,1.5443,1.5474,2061.99301356
GNS-EUR,1739318400000,1.4819,1.6384,1.4819,1.623,5817.65794552
GNS-EUR,1739232000000,1.5503,1.5647,1.5007,1.5032,1479.80477857
GNS-EUR,1739145600000,1.4636,1.536,1.4089,1.5137,11811.02744012
GNS-EUR,1739059200000,1.4054,1.447,1.3972,1.4059,2938.71457006
GNS-EUR,1738972800000,1.342,1.3977,1.3357,1.3977,4163.78113479
GNS-EUR,1738886400000,1.3661,1.3836,1.3642,1.3642,864.1357664
GNS-EUR,1738800000000,1.4062,1.4272,1.3439,1.353,23414.11173069
GNS-EUR,1738713600000,1.3596,1.4542,1.3596,1.4066,23931.86746879
GNS-EUR,1738627200000,1.307,1.3496,1.2963,1.3298,4922.91292284
GNS-EUR,1738540800000,1.2198,1.3771,1.0964,1.3771,4913.38998859
GNS-EUR,1738454400000,1.4,1.4,1.2671,1.2671,17820.97254492
GNS-EUR,1738368000000,1.4742,1.4762,1.3869,1.3869,2036.81081825
GNS-EUR,1738281600000,1.4582,1.5077,1.456,1.4698,127.70136689
GNS-EUR,1738195200000,1.4295,1.4816,1.4165,1.4816,6388.60945915
GNS-EUR,1738108800000,1.3251,1.4125,1.3251,1.4125,1837.95404567
GNS-EUR,1738022400000,1.3718,1.3811,1.3149,1.3219,3513.53775528
GNS-EUR,1737936000000,1.3751,1.3762,1.274,1.3598,15466.12269024
GNS-EUR,1737849600000,1.3871,1.44,1.3871,1.3905,11989.83000376
GNS-EUR,1737763200000,1.3875,1.4009,1.3801,1.3907,4707.16405714
GNS-EUR,1737676800000,1.4166,1.4423,1.3851,1.3851,8955.83173346
GNS-EUR,1737590400000,1.4,1.4175,1.3746,1.4119,1333.33396941
GNS-EUR,1737504000000,1.4388,1.4416,1.4159,1.4305,525.08887505
GNS-EUR,1737417600000,1.378,1.4497,1.359,1.4337,7868.67134611
GNS-EUR,1737331200000,1.3979,1.4909,1.3893,1.3914,1941.88550925
GNS-EUR,1737244800000,1.5331,1.5442,1.3988,1.4232,4439.48269141
GNS-EUR,1737158400000,1.6032,1.6032,1.4885,1.5257,2748.30848354
GNS-EUR,1737072000000,1.5447,1.6019,1.5447,1.5964,2190.08808137
GNS-EUR,1736985600000,1.5648,1.5807,1.4854,1.5362,9101.36204599
GNS-EUR,1736899200000,1.476,1.5798,1.4489,1.5649,4998.64764799
GNS-EUR,1736812800000,1.4414,1.4999,1.4378,1.4659,9220.20586654
GNS-EUR,1736726400000,1.5279,1.5279,1.3246,1.4306,29374.66057559
GNS-EUR,1736640000000,1.5484,1.5603,1.5133,1.5195,4605.52155669
GNS-EUR,1736553600000,1.5683,1.5714,1.5411,1.5656,1921.04793606
GNS-EUR,1736467200000,1.5385,1.5775,1.5385,1.5689,2334.68468847
GNS-EUR,1736380800000,1.5829,1.5958,1.5,1.5235,1866.68308077
GNS-EUR,1736294400000,1.5947,1.6195,1.5312,1.5639,3725.02696165
GNS-EUR,1736208000000,1.7827,1.7947,1.5799,1.5998,9595.67155117
GNS-EUR,1736121600000,1.8638,1.8738,1.7906,1.7906,4758.70322574
GNS-EUR,1736035200000,1.8937,1.9008,1.847,1.8643,1803.35570649
GNS-EUR,1735948800000,1.9087,1.9217,1.874,1.9004,1166.73213746
GNS-EUR,1735862400000,1.8114,1.9153,1.7863,1.8967,5434.37948105
GNS-EUR,1735776000000,1.7493,1.8481,1.7434,1.8128,2812.44196873
GNS-EUR,1735689600000,1.7044,1.7269,1.6819,1.7232,682.00193419
GNS-EUR,1735603200000,1.7424,1.7947,1.7332,1.7862,1248.35765193
GNS-EUR,1735516800000,1.816,1.8749,1.7442,1.7787,7462.46109212
GNS-EUR,1735430400000,1.8962,1.9408,1.8097,1.8227,6221.24925396
GNS-EUR,1735344000000,1.8341,1.9189,1.8236,1.9126,9188.34067538
GNS-EUR,1735257600000,1.7774,1.8791,1.7774,1.8261,3634.94145997
GNS-EUR,1735171200000,1.8865,1.8865,1.758,1.7798,1011.83341664
GNS-EUR,1735084800000,1.9033,1.9307,1.88,1.8869,4190.18696705
GNS-EUR,1734998400000,1.8275,1.9204,1.8057,1.8941,4017.98048831
GNS-EUR,1734912000000,1.6917,1.8449,1.6917,1.8423,3277.2650791
GNS-EUR,1734825600000,1.7236,1.7465,1.6776,1.7023,3211.66362993
GNS-EUR,1734739200000,1.7427,1.8436,1.7032,1.7032,20805.78215621
GNS-EUR,1734652800000,1.7289,1.7668,1.5335,1.7442,12070.25626781
GNS-EUR,1734566400000,1.8542,1.9412,1.68,1.7552,11465.10190951
