market,time,open,high,low,close,volume
HNT-EUR,1741132800000,2.8428,3.1736,2.7803,3.0997,20397.31530304
HNT-EUR,1741046400000,2.8999,3.0106,2.6768,2.8495,16843.12567776
HNT-EUR,1740960000000,3.4509,3.4509,2.9879,2.9879,15399.66279611
HNT-EUR,1740873600000,3.1313,3.4697,3.0873,3.3794,8933.40080202
HNT-EUR,1740787200000,3.1106,3.2049,3,3.1056,5859.36079947
HNT-EUR,1740700800000,3.1011,3.1999,2.89,3.1543,22219.73079973
HNT-EUR,1740614400000,3.1061,3.1667,3.0115,3.0533,9565.30974661
HNT-EUR,1740528000000,3.23,3.239,3.01,3.0932,32577.38909304
HNT-EUR,1740441600000,3.2322,3.3791,3.05,3.2736,15551.36860887
HNT-EUR,1740355200000,3.5961,3.6168,3.14,3.1624,14877.559956
HNT-EUR,1740268800000,3.3842,3.8,3.3813,3.5887,61302.75342849
HNT-EUR,1740182400000,3.353,3.455,3.3151,3.3866,13390.23975888
HNT-EUR,1740096000000,3.4244,3.5545,3.1763,3.3596,30688.5308603
HNT-EUR,1740009600000,3.4028,3.5595,3.3439,3.4235,16015.46932165
HNT-EUR,1739923200000,3.2773,3.6647,3.1922,3.4472,16381.89087352
HNT-EUR,1739836800000,3.4274,3.4805,3.1966,3.3019,23737.33902664
HNT-EUR,1739750400000,3.5451,3.6302,3.4124,3.467,4347.24044997
HNT-EUR,1739664000000,3.5715,3.7505,3.4946,3.5672,16480.917785
HNT-EUR,1739577600000,3.7068,3.7794,3.5057,3.5711,7777.26574844
HNT-EUR,1739491200000,3.7166,3.8361,3.6355,3.68,10253.2486459
HNT-EUR,1739404800000,3.6196,3.8132,3.5,3.7022,20252.64615838
HNT-EUR,1739318400000,3.6517,3.7354,3.4353,3.6845,18300.66144258
HNT-EUR,1739232000000,3.6254,4.0808,3.5684,3.6644,38675.68185332
HNT-EUR,1739145600000,3.3793,3.641,3.2299,3.641,12703.74985918
HNT-EUR,1739059200000,3.3208,3.48,3.1948,3.3554,17948.30151177
HNT-EUR,1738972800000,3.3777,3.4934,3.1796,3.3674,11847.38350167
HNT-EUR,1738886400000,3.0824,3.46,3.03,3.3653,80108.36967727
HNT-EUR,1738800000000,3.1137,3.1438,2.8891,3.0445,57629.62074358
HNT-EUR,1738713600000,3.2542,3.3887,3.055,3.1096,25859.24851925
HNT-EUR,1738627200000,3.518,3.53,3.1793,3.2519,20713.42812896
HNT-EUR,1738540800000,3.4378,3.6102,3,3.5035,19355.74813179
HNT-EUR,1738454400000,3.7682,3.8466,3.2346,3.3578,18274.32093941
HNT-EUR,1738368000000,4.0757,4.1298,3.6618,3.7029,13883.60601571
HNT-EUR,1738281600000,4.0693,4.3286,4.012,4.0779,12691.63705731
HNT-EUR,1738195200000,3.8298,4.2799,3.8006,4.0966,43486.62044653
HNT-EUR,1738108800000,3.2492,3.9613,3.2441,3.7832,55087.86996541
HNT-EUR,1738022400000,3.5268,3.6877,3.2097,3.276,70835.96890931
HNT-EUR,1737936000000,3.5515,3.5819,3.1498,3.5145,73046.94518312
HNT-EUR,1737849600000,3.7333,3.76,3.5363,3.5639,32567.64160538
HNT-EUR,1737763200000,3.9194,3.9194,3.7001,3.7358,25329.93915746
HNT-EUR,1737676800000,4.2077,4.21,3.8976,3.9218,23315.49151528
HNT-EUR,1737590400000,4.3149,4.3189,4.1372,4.192,8093.76517886
HNT-EUR,1737504000000,4.2646,4.3902,4.2329,4.3167,34077.03832192
HNT-EUR,1737417600000,4,4.3481,3.7558,4.2499,21658.53173381
HNT-EUR,1737331200000,4.5189,4.6661,4.0442,4.0647,49762.89734696
HNT-EUR,1737244800000,5.2303,5.3242,4.3,4.484,91441.22355245
HNT-EUR,1737158400000,4.8116,5.2592,4.77,5.2541,33396.42151471
HNT-EUR,1737072000000,4.7295,5.1432,4.7295,4.9186,16362.65430934
HNT-EUR,1736985600000,4.8054,5.0372,4.5401,4.7576,33690.61177423
HNT-EUR,1736899200000,4.68,4.872,4.4009,4.8364,26896.69786394
HNT-EUR,1736812800000,4.6765,4.8416,4.5925,4.7147,9250.31847875
HNT-EUR,1736726400000,4.9838,4.9987,4.4993,4.6953,9291.06663722
HNT-EUR,1736640000000,5.25,5.3005,4.7845,4.9911,13109.40859553
