market,time,open,high,low,close,volume
HYPE-EUR,1741132800000,16.523,16.921,15.269,15.683,27067.73909366
HYPE-EUR,1741046400000,15.588,17.229,14.7,16.4,50019.56943266
HYPE-EUR,1740960000000,19.715,20.238,16.63,17.884,25780.05272348
HYPE-EUR,1740873600000,19.205,20.304,17.622,19.427,55506.87787235
HYPE-EUR,1740787200000,18.934,19.766,18.196,18.776,11900.54556468
HYPE-EUR,1740700800000,20.072,20.072,17.812,19.325,40348.93712351
HYPE-EUR,1740614400000,18.681,20.247,18.681,20.115,19879.44592899
HYPE-EUR,1740528000000,19.395,20.39,17.494,18.607,32963.08433503
HYPE-EUR,1740441600000,19.125,19.814,16.3,19.285,85700.35786103
HYPE-EUR,1740355200000,22.137,22.292,18.986,19.06,60741.15021025
HYPE-EUR,1740268800000,23.648,23.648,21.722,22.238,10512.28263483
HYPE-EUR,1740182400000,23.838,23.959,23.193,23.696,10174.18843976
HYPE-EUR,1740096000000,23.39,24.774,22.641,23.887,21598.61012702
HYPE-EUR,1740009600000,23.069,24.2,23,23.345,15880.66610671
HYPE-EUR,1739923200000,23.109,23.401,21.639,23.115,14893.25279536
HYPE-EUR,1739836800000,24.286,26.5,21.272,22.996,45265.04538458
HYPE-EUR,1739750400000,25.648,25.661,23.81,24.254,10887.95686058
HYPE-EUR,1739664000000,24.524,25.695,24.454,25.59,3865.36931073
HYPE-EUR,1739577600000,25,25.563,24.159,24.483,5666.54827903
HYPE-EUR,1739491200000,25.172,27.087,24.56,25.079,13439.89212431
HYPE-EUR,1739404800000,24.72,25.071,23.548,25.021,5977.74421178
HYPE-EUR,1739318400000,22.733,24.851,21.805,24.851,20778.20735301
HYPE-EUR,1739232000000,22.89,24.148,22.116,22.733,11734.86693197
HYPE-EUR,1739145600000,22.417,23.396,21.624,22.631,13651.83332309
HYPE-EUR,1739059200000,22.724,23.222,21.5,22.346,16685.76283775
HYPE-EUR,1738972800000,21.991,23.1,21.571,22.847,10513.92319681
HYPE-EUR,1738886400000,22.99,24.29,21.409,22.081,39589.48649825
HYPE-EUR,1738800000000,24.143,25.7,22.8,22.97,29286.08820061
HYPE-EUR,1738713600000,24.237,26.337,23.351,23.732,31699.58042952
HYPE-EUR,1738627200000,24.421,26,23.18,24.309,41534.11006067
HYPE-EUR,1738540800000,21.607,25.541,19.5,24.363,89790.31429835
