market,time,open,high,low,close,volume
ILV-EUR,1741132800000,15.052,15.569,14.689,15.298,5098.97731071
ILV-EUR,1741046400000,15.238,15.292,13.96,15.272,3828.67633157
ILV-EUR,1740960000000,16.973,18.601,15.132,15.807,2302.81242508
ILV-EUR,1740873600000,16.601,18.821,16.457,18.789,4114.0309722
ILV-EUR,1740787200000,17.193,17.276,16.44,16.606,2101.48915409
ILV-EUR,1740700800000,15.9,17.417,15.09,17.186,8000.16088669
ILV-EUR,1740614400000,16.306,16.764,16.04,16.384,2167.37686317
ILV-EUR,1740528000000,15.889,16.521,15.432,16.292,4495.41537105
ILV-EUR,1740441600000,15.76,16.213,14.033,16.067,20565.12455258
ILV-EUR,1740355200000,17.869,17.869,15.699,15.76,1672.13783526
ILV-EUR,1740268800000,18.701,18.701,17.856,17.869,1684.27906328
ILV-EUR,1740182400000,17.503,18.789,17.478,18.725,1202.02693517
ILV-EUR,1740096000000,18.436,18.882,17.153,17.492,2243.63912873
ILV-EUR,1740009600000,18.103,18.641,18.103,18.536,2130.12833977
ILV-EUR,1739923200000,17.983,18.487,17.975,18.082,702.87932888
ILV-EUR,1739836800000,18.388,18.457,17,17.906,1823.89915312
ILV-EUR,1739750400000,19.216,19.804,18.198,18.712,1031.3089204
ILV-EUR,1739664000000,19.407,19.622,18.941,19.284,1046.58752297
ILV-EUR,1739577600000,19.509,19.715,19.1,19.125,2237.66301691
ILV-EUR,1739491200000,20.114,20.823,19.492,19.542,1949.49505387
ILV-EUR,1739404800000,20.553,20.816,19.346,20.098,2625.55778177
ILV-EUR,1739318400000,19.729,21.071,19,20.694,2440.72877872
ILV-EUR,1739232000000,20.454,21.307,19.3,19.466,1834.72510292
ILV-EUR,1739145600000,21.243,21.269,19.999,20.372,1070.18137795
ILV-EUR,1739059200000,21.047,22.063,20.164,20.899,1127.17004098
ILV-EUR,1738972800000,19.869,21.375,19.531,21.093,1041.02933543
ILV-EUR,1738886400000,19.554,21.117,19.249,19.788,2256.1703871
ILV-EUR,1738800000000,22.12,22.153,19.244,19.453,2022.33656759
ILV-EUR,1738713600000,22.269,22.933,21.683,21.826,2999.56363602
ILV-EUR,1738627200000,23.556,23.556,21.299,22.172,3532.93709356
ILV-EUR,1738540800000,22.718,24.073,16.222,23.432,14933.39454817
ILV-EUR,1738454400000,27.238,27.514,21.907,22.784,3226.84414262
ILV-EUR,1738368000000,29.701,29.84,27.197,27.373,499.31827561
ILV-EUR,1738281600000,29.937,30.817,29.372,29.623,1630.30005472
ILV-EUR,1738195200000,28.86,30.395,28.738,30.038,2130.64908602
ILV-EUR,1738108800000,27.056,28.76,27.01,28.079,2292.77998718
ILV-EUR,1738022400000,28.861,29.388,26.887,27.115,1288.83926767
ILV-EUR,1737936000000,29.8,29.954,26.744,28.922,3386.97282578
ILV-EUR,1737849600000,30.5,31.35,29.884,29.884,1492.22260323
ILV-EUR,1737763200000,30.342,31.1,30.123,30.682,689.92676918
ILV-EUR,1737676800000,31.491,32.199,30.316,30.48,1438.7218312
ILV-EUR,1737590400000,32.265,32.408,30.839,31.704,1101.37106401
ILV-EUR,1737504000000,33.411,33.67,32.082,32.304,3937.92012665
