market,time,open,high,low,close,volume
JTO-EUR,1741132800000,2.2433,2.56,2.2222,2.4109,95176.292
JTO-EUR,1741046400000,2.1844,2.2867,1.91,2.0061,47057.5826
JTO-EUR,1740960000000,2.5622,2.6351,2.2268,2.3569,9125.6748
JTO-EUR,1740873600000,2.3157,2.6989,2.3015,2.6677,40953.3051
JTO-EUR,1740787200000,2.3712,2.4374,2.2856,2.303,13321.6007
JTO-EUR,1740700800000,2.3946,2.4729,2.1759,2.4081,28571.7571
JTO-EUR,1740614400000,2.4594,2.4614,2.3639,2.3851,116713.5543
JTO-EUR,1740528000000,2.4576,2.5879,2.3709,2.4815,31025.5253
JTO-EUR,1740441600000,2.4086,2.458,2.2827,2.456,26940.5054
JTO-EUR,1740355200000,2.6637,2.6904,2.35,2.3887,18378.9395
JTO-EUR,1740268800000,2.772,2.772,2.6027,2.6511,11808.4632
JTO-EUR,1740182400000,2.7802,2.8456,2.7031,2.8456,41604.1687
JTO-EUR,1740096000000,2.5865,3.49,2.5542,2.7961,518182.6358
JTO-EUR,1740009600000,2.48,2.6131,2.48,2.6032,15852.9124
JTO-EUR,1739923200000,2.5288,2.6476,2.4599,2.4928,15424.5289
JTO-EUR,1739836800000,2.5707,2.6094,2.39,2.5176,15860.4375
JTO-EUR,1739750400000,2.9113,2.9388,2.5981,2.5981,22397.0241
JTO-EUR,1739664000000,3.0354,3.0598,2.8892,2.8982,3096.8596
JTO-EUR,1739577600000,3.0811,3.0811,2.9682,3.0117,3522.7107
JTO-EUR,1739491200000,2.8986,3.4129,2.8986,3.0384,207504.7961
JTO-EUR,1739404800000,2.8844,2.9742,2.8275,2.8822,12858
JTO-EUR,1739318400000,2.553,2.9,2.5221,2.8771,39206.6144
JTO-EUR,1739232000000,2.5319,2.6029,2.4953,2.5338,15377.2159
JTO-EUR,1739145600000,2.4129,2.5628,2.3622,2.4658,11226.8327
JTO-EUR,1739059200000,2.4718,2.5122,2.3,2.3838,15897.9891
JTO-EUR,1738972800000,2.3732,2.4624,2.3728,2.4587,8507.8936
JTO-EUR,1738886400000,2.4298,2.5772,2.355,2.4016,28456.5112
JTO-EUR,1738800000000,2.5325,3,2.3723,2.4403,175199.2846
JTO-EUR,1738713600000,2.826,2.826,2.4777,2.5149,56437.2562
JTO-EUR,1738627200000,3.0032,3.1852,2.7855,2.842,45981.3235
JTO-EUR,1738540800000,2.7961,3.0292,2.3,2.9944,112452.6699
JTO-EUR,1738454400000,2.9533,3.0356,2.655,2.7995,40408.6632
JTO-EUR,1738368000000,3.2706,3.2706,2.9035,2.9185,18816.7379
JTO-EUR,1738281600000,3.2186,3.4062,3.2069,3.2567,19191.3494
JTO-EUR,1738195200000,3.087,3.2724,3.0715,3.2342,17792.1762
JTO-EUR,1738108800000,2.816,3.248,2.8055,3.0966,58240.3875
JTO-EUR,1738022400000,2.783,2.9154,2.6965,2.6965,20393.5657
