market,time,open,high,low,close,volume
KSM-EUR,1741132800000,16.841,17.275,16.577,16.789,1998.56507587
KSM-EUR,1741046400000,17.083,17.229,15.525,16.773,2857.06489954
KSM-EUR,1740960000000,18.826,20.314,16.89,17.228,5986.92154189
KSM-EUR,1740873600000,18.328,20.354,17.885,20.198,7068.36956686
KSM-EUR,1740787200000,18.597,19.206,17.943,18.438,753.61413625
KSM-EUR,1740700800000,18.985,18.985,17.365,18.906,2876.54248386
KSM-EUR,1740614400000,19.124,19.858,18.725,19.122,2444.33622229
KSM-EUR,1740528000000,18.568,20.572,18.361,19.083,6447.42344397
KSM-EUR,1740441600000,17.31,19.051,16.181,18.898,3979.60330637
KSM-EUR,1740355200000,18.96,19.713,17.1,17.378,6027.17777271
KSM-EUR,1740268800000,19.489,19.697,18.989,19.156,588.3178497
KSM-EUR,1740182400000,18.987,19.743,18.987,19.448,2365.63114783
KSM-EUR,1740096000000,18.97,20.329,18.542,18.907,4200.81563389
KSM-EUR,1740009600000,18.727,19.368,18.716,19.071,2633.22641523
KSM-EUR,1739923200000,18.19,18.842,18.067,18.716,1183.06696018
KSM-EUR,1739836800000,18.977,19.17,17.568,18.092,1818.25348728
KSM-EUR,1739750400000,19.254,19.8,18.805,19.034,1313.92651142
KSM-EUR,1739664000000,19.429,19.757,19.015,19.199,797.03139729
KSM-EUR,1739577600000,19.888,20.114,19.297,19.379,743.38958689
KSM-EUR,1739491200000,19.626,20.467,19.562,19.562,2475.97160941
KSM-EUR,1739404800000,20.228,20.343,19.338,19.507,409.30235828
KSM-EUR,1739318400000,19.217,20.603,18.69,20.382,4138.80010589
KSM-EUR,1739232000000,19.008,20.71,18.902,19.2,9005.10218165
KSM-EUR,1739145600000,18.738,18.876,17.946,18.843,1186.94084478
KSM-EUR,1739059200000,18.844,19.136,17.786,18.381,2475.85233971
KSM-EUR,1738972800000,18.275,18.716,17.84,18.716,824.02807014
KSM-EUR,1738886400000,18.172,19.224,17.563,18.135,2174.66936683
KSM-EUR,1738800000000,18.734,19.485,17.875,17.96,1608.46682317
KSM-EUR,1738713600000,19.122,19.426,18.467,18.687,1778.55444685
KSM-EUR,1738627200000,20.831,20.841,18.544,19.238,2602.4935959
KSM-EUR,1738540800000,19.913,21.195,15,20.853,17133.441051
KSM-EUR,1738454400000,23.504,23.766,18.81,19.934,9440.36865049
KSM-EUR,1738368000000,25.331,25.795,23.015,23.273,1709.88957602
KSM-EUR,1738281600000,24.891,26.05,24.782,25.317,1896.71050535
KSM-EUR,1738195200000,23.457,25.48,23.381,24.999,1383.5309876
KSM-EUR,1738108800000,22.805,24.289,22.7,23.492,1309.85674675
KSM-EUR,1738022400000,24.844,25.214,22.63,22.839,2564.75486177
KSM-EUR,1737936000000,25.264,25.264,22.783,24.852,3738.44807667
KSM-EUR,1737849600000,26.181,27.311,25.312,25.312,708.27386271
KSM-EUR,1737763200000,25.899,26.377,25.549,26.215,2425.31037207
KSM-EUR,1737676800000,26.548,27.238,25.5,26.031,2233.28644771
KSM-EUR,1737590400000,26.336,26.985,25.562,26.373,1538.95675119
KSM-EUR,1737504000000,27.351,27.47,26.18,26.471,1122.33113315
KSM-EUR,1737417600000,26.365,27.854,25.05,27.21,2624.20415424
KSM-EUR,1737331200000,26.299,28.418,25.048,26.321,7113.14498608
KSM-EUR,1737244800000,30.569,31.127,25.926,26.26,7419.5593656
KSM-EUR,1737158400000,33.301,33.499,29.873,30.638,2152.80215293
KSM-EUR,1737072000000,30.918,33.466,30.918,33.22,1708.57406015
KSM-EUR,1736985600000,31.928,32.25,30.463,30.787,1728.48950932
KSM-EUR,1736899200000,30.675,31.909,29.676,31.909,3755.12636065
KSM-EUR,1736812800000,28.913,30.596,28.913,30.596,1519.58105689
KSM-EUR,1736726400000,29.428,30.166,26.708,28.821,2403.36812287
KSM-EUR,1736640000000,30.004,30.068,28.934,29.146,3769.88975848
KSM-EUR,1736553600000,30.366,30.809,29.462,30.008,2182.82356864
KSM-EUR,1736467200000,29.54,30.666,29.325,30.31,1207.33659428
KSM-EUR,1736380800000,30.148,30.556,28.659,29.315,2328.70235903
KSM-EUR,1736294400000,31.609,31.848,28.613,30.245,6748.02503939
