market,time,open,high,low,close,volume
LDO-EUR,1741132800000,1.0233,1.1017,1.0163,1.064,93292.01809702
LDO-EUR,1741046400000,1.042,1.0504,0.9189,1.0216,190729.75665767
LDO-EUR,1740960000000,1.2627,1.2969,1.05,1.0583,95293.07660856
LDO-EUR,1740873600000,1.1855,1.349,1.1663,1.3255,322355.71868609
LDO-EUR,1740787200000,1.2281,1.2281,1.1433,1.2154,36378.6591991
LDO-EUR,1740700800000,1.294,1.2973,1.13,1.2195,171702.59707256
LDO-EUR,1740614400000,1.3061,1.3473,1.2534,1.2954,267265.62091654
LDO-EUR,1740528000000,1.3435,1.3595,1.2269,1.275,142253.75205936
LDO-EUR,1740441600000,1.3512,1.3752,1.23,1.3534,184060.62005576
LDO-EUR,1740355200000,1.6302,1.6343,1.3366,1.3462,123077.02105631
LDO-EUR,1740268800000,1.6063,1.6478,1.5864,1.6211,49289.44070055
LDO-EUR,1740182400000,1.5322,1.6748,1.5257,1.6169,240862.46584145
LDO-EUR,1740096000000,1.6947,1.7869,1.4975,1.5315,293211.54407318
LDO-EUR,1740009600000,1.6471,1.7351,1.62,1.6951,192946.62181483
LDO-EUR,1739923200000,1.6672,1.7223,1.6265,1.6482,106029.02364487
LDO-EUR,1739836800000,1.7788,1.8299,1.6205,1.6701,120539.06173539
LDO-EUR,1739750400000,1.7006,1.8653,1.7006,1.7667,163591.14072963
LDO-EUR,1739664000000,1.7232,1.7703,1.6906,1.7027,16101.12260699
LDO-EUR,1739577600000,1.7585,1.8069,1.7077,1.7279,50427.5360776
LDO-EUR,1739491200000,1.6025,1.824,1.6025,1.7802,333734.860863
LDO-EUR,1739404800000,1.6727,1.7724,1.5792,1.6132,404670.95606716
LDO-EUR,1739318400000,1.5323,1.75,1.4174,1.6684,459707.3324076
LDO-EUR,1739232000000,1.5392,1.6431,1.5024,1.5352,358790.31714124
LDO-EUR,1739145600000,1.4579,1.555,1.4174,1.5293,314633.90869433
LDO-EUR,1739059200000,1.4822,1.5446,1.377,1.4609,121246.13557767
LDO-EUR,1738972800000,1.5267,1.5414,1.425,1.4866,98609.88911601
LDO-EUR,1738886400000,1.6461,1.73,1.4678,1.5,255069.65581726
