market,time,open,high,low,close,volume
LINA-EUR,1741132800000,0.0018597,0.0019473,0.0018514,0.0018791,29257540.21315488
LINA-EUR,1741046400000,0.0018373,0.0020345,0.0017234,0.0018568,76578312.74768811
LINA-EUR,1740960000000,0.002333,0.0024328,0.0020264,0.0020411,14368050.47410676
LINA-EUR,1740873600000,0.0021862,0.0024163,0.0021726,0.0024095,7944695.39002366
LINA-EUR,1740787200000,0.0021508,0.002268,0.0021493,0.0021499,4637402.65026959
LINA-EUR,1740700800000,0.0022174,0.0023009,0.0020689,0.0022621,11939572.09440336
LINA-EUR,1740614400000,0.0021937,0.0022639,0.0021741,0.0022185,15121102.87639607
LINA-EUR,1740528000000,0.002138,0.0022309,0.0020766,0.0021942,18166431.8957534
LINA-EUR,1740441600000,0.0020752,0.0021734,0.0019856,0.002138,15624149.03193449
LINA-EUR,1740355200000,0.0025465,0.00257,0.0020525,0.0021074,19977612.11610166
LINA-EUR,1740268800000,0.0027753,0.0027858,0.0024843,0.0025349,36980359.25232296
LINA-EUR,1740182400000,0.0024549,0.0028708,0.0024442,0.0027978,50034907.29044773
LINA-EUR,1740096000000,0.0026008,0.0027022,0.0024135,0.0024418,13465284.7804415
LINA-EUR,1740009600000,0.0023818,0.0026142,0.0023818,0.0025932,16089198.19850896
LINA-EUR,1739923200000,0.0023122,0.002398,0.002289,0.0023915,15042852.08958806
LINA-EUR,1739836800000,0.0025,0.0025,0.0022413,0.0023145,14584102.33007997
LINA-EUR,1739750400000,0.0025431,0.00266,0.002491,0.0025321,4480465.84143073
LINA-EUR,1739664000000,0.0025464,0.0026335,0.002512,0.0025327,7522583.11579588
LINA-EUR,1739577600000,0.0026462,0.0026479,0.0025202,0.0025477,6006259.15723719
LINA-EUR,1739491200000,0.0025938,0.0026716,0.0025528,0.0026546,10816619.07282638
LINA-EUR,1739404800000,0.0027092,0.0027636,0.0025557,0.0026009,14066557.55998922
LINA-EUR,1739318400000,0.0025198,0.0027379,0.0024454,0.002709,18804625.09307905
LINA-EUR,1739232000000,0.0025243,0.0026907,0.0024751,0.0025124,30169771.48748341
LINA-EUR,1739145600000,0.0024053,0.0025466,0.0023685,0.0025078,21099850.72207478
LINA-EUR,1739059200000,0.0024182,0.0024991,0.002295,0.0023896,29087487.6281977
LINA-EUR,1738972800000,0.0022802,0.0024203,0.0022309,0.00239,16362646.19820012
LINA-EUR,1738886400000,0.0022211,0.0023964,0.0021777,0.0022539,12346136.09367835
LINA-EUR,1738800000000,0.0023815,0.0024198,0.0022135,0.0022188,20927033.1324373
LINA-EUR,1738713600000,0.00245,0.0025062,0.0023425,0.0023517,7008514.73575596
LINA-EUR,1738627200000,0.0025233,0.0025483,0.002331,0.002404,25837136.47736653
LINA-EUR,1738540800000,0.0024763,0.0025817,0.0018294,0.0025591,56074125.01906458
LINA-EUR,1738454400000,0.0030252,0.0031028,0.0023586,0.002558,32041188.51266418
LINA-EUR,1738368000000,0.0034544,0.00347,0.0030286,0.0030703,7904908.15284938
LINA-EUR,1738281600000,0.0033614,0.0036028,0.0033122,0.0034266,7857801.60553564
LINA-EUR,1738195200000,0.003171,0.0033931,0.003134,0.0033466,4301025.41344745
LINA-EUR,1738108800000,0.0030935,0.0033134,0.0030772,0.0031672,7226758.74620904
LINA-EUR,1738022400000,0.0034394,0.0034394,0.0030614,0.0030807,12491416.39166208
LINA-EUR,1737936000000,0.0034566,0.0034566,0.0031028,0.003443,12490130.33508706
LINA-EUR,1737849600000,0.003591,0.0037015,0.0035,0.0035,5551108.76331921
LINA-EUR,1737763200000,0.0035099,0.0036184,0.0034566,0.0035775,1863428.68685581
LINA-EUR,1737676800000,0.003788,0.0038158,0.0035396,0.0035453,5955467.36001365
LINA-EUR,1737590400000,0.0038177,0.0038636,0.0036748,0.0037935,6837836.65181335
LINA-EUR,1737504000000,0.003912,0.0039488,0.0038136,0.0038136,3149309.08667992
LINA-EUR,1737417600000,0.0036968,0.003978,0.0035945,0.0039066,18093641.18376552
LINA-EUR,1737331200000,0.0039195,0.00423,0.0036447,0.0037527,26763003.03675837
LINA-EUR,1737244800000,0.0043732,0.0044618,0.0039325,0.0039981,31521625.80117767
LINA-EUR,1737158400000,0.0047589,0.0047974,0.0042957,0.0043915,5299828.08166267
LINA-EUR,1737072000000,0.0045684,0.0048,0.0045619,0.0047916,6840931.46249864
LINA-EUR,1736985600000,0.0045659,0.0045659,0.0043219,0.0044619,3222693.98062082
LINA-EUR,1736899200000,0.0042947,0.00457,0.0041599,0.0045526,10247968.66212085
LINA-EUR,1736812800000,0.0041035,0.0043169,0.0041035,0.0042993,15619969.90968
LINA-EUR,1736726400000,0.0044241,0.0044329,0.0038342,0.004108,11366854.46265181
LINA-EUR,1736640000000,0.0043881,0.0044321,0.0042471,0.0042843,6640041.04997416
LINA-EUR,1736553600000,0.0044911,0.0045084,0.0043219,0.0044033,2433254.80411904
LINA-EUR,1736467200000,0.0043501,0.0045445,0.0043353,0.0044888,3542208.21567702
LINA-EUR,1736380800000,0.0044071,0.0044899,0.0042411,0.0043583,6195261.57340512
LINA-EUR,1736294400000,0.004659,0.0046804,0.0041967,0.0044147,21717675.60155375
LINA-EUR,1736208000000,0.0053354,0.0053581,0.00465,0.0046506,19732486.87386723
LINA-EUR,1736121600000,0.0053715,0.0055755,0.0052983,0.005358,5818614.68328135
LINA-EUR,1736035200000,0.0054268,0.0055638,0.0052993,0.0054205,12111909.51181769
LINA-EUR,1735948800000,0.0054898,0.0054913,0.0053033,0.005426,4462925.06031762
LINA-EUR,1735862400000,0.0052,0.0054627,0.0050059,0.0054627,8232257.17533009
LINA-EUR,1735776000000,0.0048989,0.0052528,0.0048989,0.0051813,13951973.72141688
LINA-EUR,1735689600000,0.0047945,0.0049374,0.0045849,0.0048647,13382545.46153483
LINA-EUR,1735603200000,0.0048826,0.004949,0.0046897,0.0047598,10731772.11629723
LINA-EUR,1735516800000,0.0050398,0.0051927,0.004739,0.0048939,16785695.34589934
LINA-EUR,1735430400000,0.0050443,0.0050443,0.0048715,0.0049249,8822116.70160855
LINA-EUR,1735344000000,0.0047523,0.0051913,0.0047,0.00507,22259394.11225902
LINA-EUR,1735257600000,0.0046065,0.0049617,0.0045592,0.0047222,16333146.92855501
LINA-EUR,1735171200000,0.0049537,0.0049537,0.0045156,0.0045936,10544657.413734
LINA-EUR,1735084800000,0.0050286,0.0050571,0.0048457,0.0049092,3223481.75568947
LINA-EUR,1734998400000,0.0047757,0.0051129,0.0046905,0.0050514,15589670.4788004
LINA-EUR,1734912000000,0.0043709,0.0048298,0.0043637,0.0047642,10071224.57309747
LINA-EUR,1734825600000,0.0045033,0.0045715,0.0042322,0.0044174,12625689.64906276
LINA-EUR,1734739200000,0.0047776,0.0050892,0.0044035,0.0044035,14737124.89236888
LINA-EUR,1734652800000,0.004604,0.0047546,0.0038847,0.0047434,61686459.62888435
LINA-EUR,1734566400000,0.005164,0.0052257,0.0044387,0.0046707,33614792.9541928
LINA-EUR,1734480000000,0.0057193,0.0057745,0.0051,0.0051899,17702023.17701891
