market,time,open,high,low,close,volume
LINK-EUR,1741132800000,14.001,15.426,13.801,15.261,338719.87323031
LINK-EUR,1741046400000,12.838,14.469,12.435,13.584,278394.73639787
LINK-EUR,1740960000000,16.681,16.81,13.703,13.87,234190.2549693
LINK-EUR,1740873600000,14.24,16.868,13.918,16.509,302561.6452639
LINK-EUR,1740787200000,14.293,14.605,13.719,14.026,77879.34059066
LINK-EUR,1740700800000,14.518,14.592,12.927,14.29,207132.19335596
LINK-EUR,1740614400000,14.533,15.047,14.195,14.519,118175.97136588
LINK-EUR,1740528000000,14.56,15.037,13.979,14.526,264125.29774096
LINK-EUR,1740441600000,14.584,14.816,13.393,14.549,331990.89670711
LINK-EUR,1740355200000,16.817,16.932,14.32,14.593,197221.44235425
LINK-EUR,1740268800000,16.978,17.334,16.665,16.816,39533.81312158
LINK-EUR,1740182400000,16.605,17.238,16.571,16.98,48056.03116095
LINK-EUR,1740096000000,17.417,18.182,16.375,16.642,184389.72135583
LINK-EUR,1740009600000,17.25,17.7,17.078,17.427,107867.18526291
LINK-EUR,1739923200000,17.088,17.434,16.703,17.242,112611.50975784
LINK-EUR,1739836800000,18.238,18.316,16.554,17.093,161185.19372088
LINK-EUR,1739750400000,17.837,18.896,17.54,18.218,83031.95494664
LINK-EUR,1739664000000,18.125,18.371,17.75,17.825,77548.58333531
LINK-EUR,1739577600000,18.42,18.735,17.88,18.135,32254.81246494
LINK-EUR,1739491200000,17.728,19.153,17.654,18.509,99328.88182287
LINK-EUR,1739404800000,18.425,18.58,17.461,17.748,59935.54071431
LINK-EUR,1739318400000,18.002,18.771,17.074,18.457,121762.44418834
LINK-EUR,1739232000000,18.281,19.204,17.621,17.999,171794.41309191
LINK-EUR,1739145600000,17.732,18.528,17.187,18.19,196797.82389143
LINK-EUR,1739059200000,17.9,18.395,16.948,17.741,130858.77263353
LINK-EUR,1738972800000,17.813,18.052,17.344,17.929,71885.25110207
LINK-EUR,1738886400000,17.915,19.139,17.247,17.804,258741.83372082
LINK-EUR,1738800000000,18.573,19.235,17.752,17.936,211512.49039456
LINK-EUR,1738713600000,19.342,19.473,18.23,18.457,129002.30882802
LINK-EUR,1738627200000,21.021,21.065,18.633,19.278,356265.32166997
LINK-EUR,1738540800000,19.981,21.493,15.138,21.008,718706.54942043
LINK-EUR,1738454400000,22.201,22.57,18.873,20.001,334462.04940532
LINK-EUR,1738368000000,24.279,25.042,22.02,22.219,184515.95573201
LINK-EUR,1738281600000,23.534,25.359,23.222,24.285,237610.07444002
LINK-EUR,1738195200000,22.748,24.129,22.45,23.527,127313.9689891
LINK-EUR,1738108800000,21.686,23.47,21.466,22.701,199657.7381413
LINK-EUR,1738022400000,23.196,23.625,21.45,21.689,178534.36753859
LINK-EUR,1737936000000,23.8,24.041,21.123,23.191,300899.33518876
LINK-EUR,1737849600000,23.771,25.146,23.72,23.8,154384.17830471
LINK-EUR,1737763200000,24,24.255,23.57,23.747,69234.21326137
LINK-EUR,1737676800000,24.655,25.2,23.901,24.014,166313.42322173
LINK-EUR,1737590400000,24.295,25.221,23.044,24.656,200521.35358002
LINK-EUR,1737504000000,25.6,26.114,24.168,24.302,126287.57231309
LINK-EUR,1737417600000,24.061,25.959,22.795,25.547,282734.83856005
LINK-EUR,1737331200000,23.664,26.075,22.765,24.069,420766.06128038
LINK-EUR,1737244800000,23.325,25.986,21.61,23.733,490821.38323499
LINK-EUR,1737158400000,24.436,24.934,22.668,23.39,273578.20089492
LINK-EUR,1737072000000,22.36,24.5,22.36,24.374,248304.10093107
LINK-EUR,1736985600000,21.425,23.067,20.673,22.325,235327.6162776
LINK-EUR,1736899200000,19.752,21.474,19.492,21.439,169559.36652158
LINK-EUR,1736812800000,18.85,19.885,18.805,19.711,107759.43697059
LINK-EUR,1736726400000,19.299,19.939,17.48,18.87,156911.25946632
LINK-EUR,1736640000000,19.701,19.794,19.12,19.362,39588.74516278
LINK-EUR,1736553600000,19.764,20.186,19.35,19.699,59830.78290711
LINK-EUR,1736467200000,19.149,20,19.064,19.774,76376.27791541
LINK-EUR,1736380800000,19.847,20.108,18.61,19.106,118286.84560885
LINK-EUR,1736294400000,20.722,20.986,19.01,19.85,241556.52129555
LINK-EUR,1736208000000,22.922,22.966,20.513,20.693,169038.46475117
