market,time,open,high,low,close,volume
LINK-USDC,1741132800000,15.26,16.527,14.87,16.054,1382.98401007
LINK-USDC,1741046400000,13.722,15.13,13.33,14.002,2156.67248472
LINK-USDC,1740960000000,16.283,17.292,14.694,15.736,918.67980932
LINK-USDC,1740873600000,17.109,17.437,14.559,16.624,1249.6266311
LINK-USDC,1740787200000,14.661,15.044,14.403,14.499,138.36209786
LINK-USDC,1740700800000,15.098,15.098,13.553,14.609,638.74469376
LINK-USDC,1740614400000,15.267,15.683,15.113,15.113,322.59448084
LINK-USDC,1740528000000,15.276,15.7,14.819,15.7,528.51011044
LINK-USDC,1740441600000,15.062,15.062,14.002,14.836,1751.83941249
LINK-USDC,1740355200000,16.6,16.837,15.65,15.678,1000.14843321
LINK-USDC,1740268800000,17.552,17.552,17.552,17.552,1
LINK-USDC,1740182400000,17.547,17.95,17.547,17.95,1.9793195
LINK-USDC,1740096000000,18.473,18.953,17.277,17.39,226.18289552
LINK-USDC,1740009600000,18.198,18.198,18.059,18.097,324.89241171
LINK-USDC,1739923200000,17.69,18.038,17.628,18.038,87.57941212
LINK-USDC,1739836800000,18.302,18.375,17.452,17.843,642.635031
LINK-USDC,1739750400000,19.581,19.603,19.406,19.406,1.7927
LINK-USDC,1739491200000,18.891,19.256,18.796,18.869,85.69269572
LINK-USDC,1739318400000,18.524,19.205,18.083,19.205,293.97170659
LINK-USDC,1739232000000,19.394,19.67,18.461,18.95,3.33678597
LINK-USDC,1739145600000,18.95,18.95,18.765,18.765,1.48184142
LINK-USDC,1739059200000,18.493,18.493,18.493,18.493,1
LINK-USDC,1738886400000,19.242,19.85,17.837,17.837,618.64708599
LINK-USDC,1738800000000,19.795,19.795,18.672,18.783,70.61652608
LINK-USDC,1738713600000,19.72,19.72,19.72,19.72,35.40821501
LINK-USDC,1738627200000,21.043,21.084,19.982,19.982,76.5067314
LINK-USDC,1738540800000,20.112,22.004,16.28,22.004,10033.83171016
LINK-USDC,1738454400000,22.661,22.836,19.951,19.951,90.66543997
LINK-USDC,1738368000000,24.456,24.456,24.456,24.456,1
LINK-USDC,1738281600000,24.446,26.12,24.446,25.257,140.80295569
LINK-USDC,1738195200000,25.013,25.013,25.013,25.013,1.51497232
LINK-USDC,1738108800000,23.465,24.307,23.291,24.307,58.83495523
