market,time,open,high,low,close,volume
LTC-EUR,1741219200000,97.02,97.21,97.003,97.21,28.39243244
LTC-EUR,1741132800000,96.122,100.01,93.7,95.981,39988.17687784
LTC-EUR,1741046400000,105.54,105.7,89.301,99.04,75841.69144243
LTC-EUR,1740960000000,121.89,125.01,101.9,105.44,90636.59257193
LTC-EUR,1740873600000,118.65,125.65,113.5,120.57,77215.63299306
LTC-EUR,1740787200000,123.42,126.1,118.67,120.02,23369.92452476
LTC-EUR,1740700800000,121.92,124.8,109.59,123.34,73038.45770096
LTC-EUR,1740614400000,118.76,126.08,116.35,121.88,45514.94228724
LTC-EUR,1740528000000,108.86,122.6,108.35,118.77,78275.97903105
LTC-EUR,1740441600000,110.04,111.97,101.36,109,55682.29417486
LTC-EUR,1740355200000,123.97,124.4,107,109.77,35738.34184568
LTC-EUR,1740268800000,120.37,124.49,119.83,124.49,11997.71138726
LTC-EUR,1740182400000,122.58,125.39,120.31,120.48,15570.06709367
LTC-EUR,1740096000000,124.56,133.72,118.31,122.47,67013.0139855
LTC-EUR,1740009600000,129.62,129.62,120.29,124.55,45913.8928296
LTC-EUR,1739923200000,124.16,133.99,124.16,129.53,71452.21446683
LTC-EUR,1739836800000,116.81,124.12,114.7,124.12,60186.45742023
LTC-EUR,1739750400000,119.99,122.81,114.69,116.75,34762.44529726
LTC-EUR,1739664000000,127.83,131.13,119.43,119.92,26027.06609228
LTC-EUR,1739577600000,119.37,128.81,118.58,127.78,27128.58971291
LTC-EUR,1739491200000,121.46,127.68,118.7,119.24,38697.88285539
LTC-EUR,1739404800000,117.36,124.32,114.55,120.97,30219.4831653
LTC-EUR,1739318400000,114.37,120.29,108,117.39,34571.72181961
LTC-EUR,1739232000000,116.67,128.23,113.93,115.19,66661.71258624
LTC-EUR,1739145600000,103.93,118.71,103.93,116.72,51706.58046996
LTC-EUR,1739059200000,101.61,105.74,99.43,103.83,10157.06223051
LTC-EUR,1738972800000,99.82,101.92,98.747,101.51,8072.95327475
LTC-EUR,1738886400000,97.922,104.29,97.482,99.951,20019.05017774
LTC-EUR,1738800000000,99.8,105.79,95.93,98.034,15393.94751587
LTC-EUR,1738713600000,97.382,105.09,97.06,99.464,14085.39733671
LTC-EUR,1738627200000,103.98,105.42,94.721,97.563,17615.5957333
LTC-EUR,1738540800000,106.51,106.51,83.668,103.75,48136.32552123
LTC-EUR,1738454400000,114.22,117.24,101.87,106.57,33653.89747045
LTC-EUR,1738368000000,123.85,126.67,113.85,114.2,20659.26455974
LTC-EUR,1738281600000,125.21,130.25,120.8,123.65,24045.22011381
LTC-EUR,1738195200000,111.41,128.78,109.67,125.1,42374.72743948
LTC-EUR,1738108800000,105.36,114.65,105.36,111.15,8880.90276739
LTC-EUR,1738022400000,110.33,112.16,104.7,105.5,9249.13528684
LTC-EUR,1737936000000,111.8,112.67,101.25,110.23,19876.5337648
LTC-EUR,1737849600000,118.17,119.22,111.94,112.06,10627.09556553
LTC-EUR,1737763200000,113.29,123.32,112.59,118.16,24461.30615295
LTC-EUR,1737676800000,112.04,117.16,108.34,113.04,18542.51434267
LTC-EUR,1737590400000,110.77,112.58,106.93,111.85,10259.47890685
LTC-EUR,1737504000000,114.33,115.38,109.8,110.77,14871.13933494
LTC-EUR,1737417600000,114.07,120.57,109.41,114.51,13156.52416467
LTC-EUR,1737331200000,112.31,123.87,108.81,113.83,37065.3852727
LTC-EUR,1737244800000,121.69,123,108.56,112.57,28155.17602298
LTC-EUR,1737158400000,133.14,135.46,119.56,121.69,30228.18176044
LTC-EUR,1737072000000,120.65,137.17,120.65,133.06,43655.84354711
LTC-EUR,1736985600000,113.63,126.6,110.67,120.61,52248.61424499
LTC-EUR,1736899200000,99.5,115.07,97.73,113.59,18962.38596834
LTC-EUR,1736812800000,95.88,99.47,95.308,99.417,6776.50226006
LTC-EUR,1736726400000,99.773,101.84,90.858,95.922,6769.07302965
LTC-EUR,1736640000000,101.68,102.58,98.885,99.994,3343.89982669
LTC-EUR,1736553600000,101.62,102.29,99.7,101.77,2993.75872773
LTC-EUR,1736467200000,99.601,103.71,99.339,101.5,6188.84164536
LTC-EUR,1736380800000,98.328,102.78,97,99.398,7967.62877813
LTC-EUR,1736294400000,99.427,101.47,94.489,98.451,8419.52420047
LTC-EUR,1736208000000,109.68,110.73,98.861,99.405,12260.59890516
LTC-EUR,1736121600000,112.25,113.31,107.11,109.83,15416.9121865
LTC-EUR,1736035200000,107.92,112.69,107.36,112.25,7901.68455958
LTC-EUR,1735948800000,109.37,109.45,106.88,107.82,5458.39361118
LTC-EUR,1735862400000,102.48,111.34,97.937,109.29,10784.30276274
LTC-EUR,1735776000000,101.41,105.08,101.32,102.3,11600.90308079
LTC-EUR,1735689600000,99.593,104.29,98.422,101.51,9060.10311343
LTC-EUR,1735603200000,95.304,101.01,93.905,99.46,5028.98283785
