market,time,open,high,low,close,volume
LTO-EUR,1741132800000,0.06423,0.066278,0.062454,0.063513,48360.16536446
LTO-EUR,1741046400000,0.063928,0.065887,0.060931,0.062953,914089.83943138
LTO-EUR,1740960000000,0.077414,0.077444,0.066254,0.067204,784315.95358663
LTO-EUR,1740873600000,0.072193,0.078,0.071492,0.077732,817490.64032279
LTO-EUR,1740787200000,0.072911,0.073372,0.070398,0.070424,203106.42504551
LTO-EUR,1740700800000,0.074644,0.0753,0.067169,0.073679,321799.46635851
LTO-EUR,1740614400000,0.071063,0.07584,0.070909,0.07364,400315.61103421
LTO-EUR,1740528000000,0.071584,0.073743,0.067581,0.071491,388275.20364098
LTO-EUR,1740441600000,0.070187,0.072381,0.064945,0.070298,324947.21021037
LTO-EUR,1740355200000,0.079839,0.079839,0.069973,0.069973,250759.99967857
LTO-EUR,1740268800000,0.080095,0.081343,0.078036,0.079237,56683.07709125
LTO-EUR,1740182400000,0.073431,0.080526,0.07343,0.079566,308238.99446463
LTO-EUR,1740096000000,0.07998,0.08344,0.0717,0.07393,698745.13577652
LTO-EUR,1740009600000,0.075847,0.079439,0.075825,0.079439,121897.5111378
LTO-EUR,1739923200000,0.07539,0.078577,0.07539,0.07583,267689.13818841
LTO-EUR,1739836800000,0.083439,0.083439,0.07143,0.07587,932149.32920808
LTO-EUR,1739750400000,0.079345,0.085016,0.077464,0.082881,796543.6209265
LTO-EUR,1739664000000,0.078523,0.089008,0.077548,0.07852,1343037.15963428
LTO-EUR,1739577600000,0.079657,0.079657,0.077373,0.07776,117814.12351666
LTO-EUR,1739491200000,0.078,0.082216,0.077701,0.079557,1088616.60545447
LTO-EUR,1739404800000,0.078519,0.079698,0.074002,0.076289,283453.2183397
LTO-EUR,1739318400000,0.073577,0.079856,0.072059,0.078034,2079188.84072967
LTO-EUR,1739232000000,0.076,0.080131,0.073052,0.074955,1578965.10996818
LTO-EUR,1739145600000,0.072948,0.0765,0.072199,0.076,245416.98771033
LTO-EUR,1739059200000,0.074281,0.076,0.07,0.07274,550476.27678205
LTO-EUR,1738972800000,0.069826,0.0744,0.0688,0.074398,415080.33718974
LTO-EUR,1738886400000,0.068665,0.074292,0.067819,0.069941,564024.33720097
LTO-EUR,1738800000000,0.07596,0.076248,0.067947,0.068928,637823.90552592
LTO-EUR,1738713600000,0.074212,0.077227,0.072435,0.076089,820235.91841582
LTO-EUR,1738627200000,0.075109,0.076083,0.071257,0.073963,479282.33456216
LTO-EUR,1738540800000,0.073,0.077879,0.059289,0.077879,1511672.38774139
LTO-EUR,1738454400000,0.086429,0.087775,0.072672,0.075293,1211552.98524089
LTO-EUR,1738368000000,0.096387,0.09701,0.084789,0.084881,556522.23909809
LTO-EUR,1738281600000,0.0956,0.10065,0.09411,0.094937,343263.66556677
LTO-EUR,1738195200000,0.09043,0.097,0.08997,0.096008,392667.83374831
LTO-EUR,1738108800000,0.087517,0.0938,0.087517,0.090964,435277.08966882
LTO-EUR,1738022400000,0.095167,0.097184,0.086919,0.087945,546108.13512523
LTO-EUR,1737936000000,0.096,0.097048,0.084006,0.095077,824706.95895918
LTO-EUR,1737849600000,0.098,0.1037,0.096363,0.096363,585262.43526819
LTO-EUR,1737763200000,0.096162,0.098625,0.09303,0.09617,357940.28453854
LTO-EUR,1737676800000,0.10419,0.10419,0.09557,0.096372,401130.67696211
LTO-EUR,1737590400000,0.10401,0.10754,0.099329,0.10433,1111807.19447232
LTO-EUR,1737504000000,0.10468,0.10584,0.10203,0.105,273089.39446883
LTO-EUR,1737417600000,0.098394,0.10811,0.095,0.10469,821548.15897363
LTO-EUR,1737331200000,0.10262,0.11201,0.096504,0.098634,1180449.56040205
LTO-EUR,1737244800000,0.12019,0.12019,0.101,0.10322,2213062.88237301
LTO-EUR,1737158400000,0.1342,0.1345,0.11974,0.12226,286270.87292223
LTO-EUR,1737072000000,0.1271,0.13513,0.12695,0.13402,538776.50876489
LTO-EUR,1736985600000,0.12664,0.1295,0.12317,0.12614,509211.08314616
LTO-EUR,1736899200000,0.12334,0.12834,0.11821,0.1273,297543.75515222
LTO-EUR,1736812800000,0.12068,0.1246,0.12068,0.12388,138206.44043424
LTO-EUR,1736726400000,0.12559,0.12559,0.11126,0.11943,872224.43078236
