market,time,open,high,low,close,volume
LUMIA-EUR,1741132800000,0.40951,0.43453,0.40623,0.4085,177213.43091417
LUMIA-EUR,1741046400000,0.36914,0.41802,0.341,0.40929,142376.85409399
LUMIA-EUR,1740960000000,0.4394,0.44651,0.37442,0.38243,79780.41510708
LUMIA-EUR,1740873600000,0.4069,0.45168,0.40163,0.44688,114485.76978113
LUMIA-EUR,1740787200000,0.41927,0.43224,0.40237,0.41423,117220.88551467
LUMIA-EUR,1740700800000,0.38966,0.44312,0.37735,0.43097,345506.23325399
LUMIA-EUR,1740614400000,0.389,0.40449,0.38584,0.39286,24559.43518687
LUMIA-EUR,1740528000000,0.38265,0.40018,0.36991,0.39947,54338.55639328
LUMIA-EUR,1740441600000,0.3782,0.40104,0.36279,0.38944,236635.34416188
LUMIA-EUR,1740355200000,0.47701,0.47701,0.36768,0.37684,194943.88809565
LUMIA-EUR,1740268800000,0.49848,0.51768,0.45995,0.47734,134569.47043449
LUMIA-EUR,1740182400000,0.45347,0.49629,0.44749,0.49534,44239.75928307
LUMIA-EUR,1740096000000,0.4596,0.49818,0.442,0.44683,114285.47370104
LUMIA-EUR,1740009600000,0.45077,0.46456,0.44439,0.46456,130894.50008566
LUMIA-EUR,1739923200000,0.46137,0.47872,0.43438,0.45077,167405.8789164
LUMIA-EUR,1739836800000,0.49517,0.49787,0.43396,0.46558,189907.05131736
LUMIA-EUR,1739750400000,0.53328,0.5349,0.47665,0.50598,125050.17176393
LUMIA-EUR,1739664000000,0.56277,0.56913,0.51,0.52649,110297.47798358
LUMIA-EUR,1739577600000,0.58432,0.60001,0.53121,0.55984,155116.56204597
LUMIA-EUR,1739491200000,0.59499,0.6238,0.57573,0.58103,115788.55883867
LUMIA-EUR,1739404800000,0.57468,0.61244,0.5436,0.58993,208902.86326106
LUMIA-EUR,1739318400000,0.57082,0.63159,0.54,0.57454,404329.44772055
LUMIA-EUR,1739232000000,0.56324,0.59702,0.53174,0.57099,90415.84176784
LUMIA-EUR,1739145600000,0.56339,0.58031,0.52979,0.56589,24884.14845749
LUMIA-EUR,1739059200000,0.61575,0.63656,0.52964,0.56172,58437.23338337
LUMIA-EUR,1738972800000,0.58126,0.62903,0.56749,0.62361,50308.14141574
LUMIA-EUR,1738886400000,0.54258,0.63501,0.54009,0.56609,91382.04976357
LUMIA-EUR,1738800000000,0.57828,0.58352,0.52203,0.5299,49064.78387567
LUMIA-EUR,1738713600000,0.59615,0.60176,0.56822,0.57661,10481.64910206
LUMIA-EUR,1738627200000,0.63584,0.63998,0.55697,0.59138,51873.43622332
LUMIA-EUR,1738540800000,0.6314,0.66826,0.46525,0.64475,224704.79027243
LUMIA-EUR,1738454400000,0.76114,0.76341,0.61905,0.65634,80401.53964144
LUMIA-EUR,1738368000000,0.8624,0.8624,0.74885,0.76097,48366.4001199
LUMIA-EUR,1738281600000,0.8619,0.91601,0.8449,0.85817,51220.44650546
LUMIA-EUR,1738195200000,0.82511,0.89885,0.82073,0.86492,84261.97623932
LUMIA-EUR,1738108800000,0.76331,0.85893,0.76331,0.82589,11489.2815432
LUMIA-EUR,1738022400000,0.83356,0.87639,0.75231,0.76397,15177.15817635
LUMIA-EUR,1737936000000,0.82,0.83429,0.7202,0.82436,29351.52039663
LUMIA-EUR,1737849600000,0.84603,0.91014,0.83429,0.83429,47083.59401129
LUMIA-EUR,1737763200000,0.84612,0.85442,0.81467,0.83852,48610.2681718
LUMIA-EUR,1737676800000,0.923,0.94064,0.84537,0.85179,16446.88491284
LUMIA-EUR,1737590400000,0.93,0.95563,0.89572,0.92171,48811.11988552
LUMIA-EUR,1737504000000,0.96694,0.99358,0.94145,0.94145,15716.81234647
LUMIA-EUR,1737417600000,0.9581,0.98729,0.88773,0.96887,19017.12306236
LUMIA-EUR,1737331200000,0.946,1.0426,0.92463,0.97167,18618.44699284
LUMIA-EUR,1737244800000,1.0668,1.0894,0.94752,0.94752,54709.21755746
LUMIA-EUR,1737158400000,1.201,1.2062,1.0364,1.0711,36960.09616193
LUMIA-EUR,1737072000000,1.0996,1.2051,1.0991,1.2024,35148.80334426
LUMIA-EUR,1736985600000,1.1289,1.144,1.0906,1.0982,10352.59235895
LUMIA-EUR,1736899200000,1.0856,1.1549,1.0522,1.148,22202.26787754
LUMIA-EUR,1736812800000,1.047,1.0947,1.0464,1.094,42877.24149016
LUMIA-EUR,1736726400000,1.1,1.1185,0.95639,1.047,42233.61221933
LUMIA-EUR,1736640000000,1.1185,1.1266,1.0723,1.082,13717.94201022
LUMIA-EUR,1736553600000,1.1374,1.147,1.0972,1.1248,14825.99673427
