market,time,open,high,low,close,volume
MDT-EUR,1741132800000,0.026071,0.02636,0.024917,0.025647,87129.98801725
MDT-EUR,1741046400000,0.024615,0.026114,0.024045,0.026114,167806.41887585
MDT-EUR,1740960000000,0.029865,0.029865,0.025483,0.02558,163921.56669537
MDT-EUR,1740873600000,0.028053,0.030013,0.028053,0.029514,389137.33592683
MDT-EUR,1740787200000,0.028098,0.028585,0.027383,0.027862,535965.41837301
MDT-EUR,1740700800000,0.027682,0.02814,0.026024,0.028014,657741.98433709
MDT-EUR,1740614400000,0.026741,0.031906,0.026704,0.028016,9466834.28611645
MDT-EUR,1740528000000,0.028005,0.028045,0.025736,0.026779,433625.56650082
MDT-EUR,1740441600000,0.027878,0.028418,0.025948,0.028345,299667.56904172
MDT-EUR,1740355200000,0.033834,0.033834,0.027419,0.027814,606197.05593731
MDT-EUR,1740268800000,0.034542,0.034946,0.033701,0.034103,35029.7358273
MDT-EUR,1740182400000,0.033739,0.034643,0.032836,0.034643,8698.08401713
MDT-EUR,1740096000000,0.036057,0.036057,0.033391,0.03365,88823.88598533
MDT-EUR,1740009600000,0.033934,0.035571,0.033934,0.03537,37198.75562134
MDT-EUR,1739923200000,0.034835,0.034835,0.034192,0.034192,8348.70984142
MDT-EUR,1739836800000,0.03497,0.03497,0.032722,0.033339,107451.24469289
MDT-EUR,1739750400000,0.036428,0.038059,0.035771,0.036224,42377.31721312
MDT-EUR,1739664000000,0.03703,0.037936,0.03657,0.03657,22907.56534453
MDT-EUR,1739577600000,0.03795,0.038405,0.037064,0.037141,48143.92863704
MDT-EUR,1739491200000,0.037699,0.038696,0.037563,0.038277,29961.43813677
MDT-EUR,1739404800000,0.040663,0.040663,0.037046,0.037046,68803.22031043
MDT-EUR,1739318400000,0.039313,0.04059,0.037643,0.04059,185208.70500714
MDT-EUR,1739232000000,0.039995,0.040143,0.038301,0.038634,55113.98697766
MDT-EUR,1739145600000,0.038017,0.039883,0.037826,0.039293,431727.96092778
MDT-EUR,1739059200000,0.03782,0.038541,0.036676,0.037726,360199.66672322
MDT-EUR,1738972800000,0.034969,0.037889,0.034945,0.037856,274338.18427203
MDT-EUR,1738886400000,0.036108,0.038313,0.034824,0.034964,231915.88184912
MDT-EUR,1738800000000,0.036997,0.039296,0.035327,0.035409,725940.11347245
MDT-EUR,1738713600000,0.037419,0.039106,0.035682,0.036887,1258137.89256406
MDT-EUR,1738627200000,0.037372,0.037372,0.034579,0.035961,221131.25556985
MDT-EUR,1738540800000,0.037361,0.038186,0.032677,0.037868,70052.99383219
MDT-EUR,1738454400000,0.042954,0.042954,0.036499,0.037306,259468.92257223
MDT-EUR,1738368000000,0.045273,0.045273,0.042539,0.042833,203827.22723098
MDT-EUR,1738281600000,0.045843,0.0468,0.044545,0.045028,701863.23112597
MDT-EUR,1738195200000,0.044949,0.047085,0.0442,0.04584,656153.87240838
MDT-EUR,1738108800000,0.042075,0.045609,0.042075,0.044213,481332.71216627
MDT-EUR,1738022400000,0.047834,0.0497,0.041526,0.04187,751378.56425528
MDT-EUR,1737936000000,0.042431,0.047851,0.040723,0.047467,2638635.28293587
MDT-EUR,1737849600000,0.045043,0.047223,0.043387,0.043388,874773.41912422
MDT-EUR,1737763200000,0.043425,0.045471,0.042492,0.045138,379857.45320136
MDT-EUR,1737676800000,0.045305,0.046939,0.043018,0.043018,517273.89011103
MDT-EUR,1737590400000,0.04626,0.052898,0.044928,0.045605,6622023.9693433
MDT-EUR,1737504000000,0.044744,0.046846,0.044403,0.045928,312015.33303814
MDT-EUR,1737417600000,0.042164,0.045685,0.041059,0.044798,251205.96121037
MDT-EUR,1737331200000,0.042714,0.046418,0.042434,0.042497,159205.05464523
MDT-EUR,1737244800000,0.048827,0.048827,0.04254,0.04254,278259.16286222
MDT-EUR,1737158400000,0.052742,0.052742,0.047869,0.048888,128104.55766021
MDT-EUR,1737072000000,0.049912,0.052753,0.049569,0.052753,93711.43201845
MDT-EUR,1736985600000,0.050453,0.050804,0.049407,0.049681,266747.23783599
MDT-EUR,1736899200000,0.049145,0.051417,0.048453,0.050688,363507.61025011
MDT-EUR,1736812800000,0.048911,0.049906,0.048224,0.048979,191023.99535922
