market,time,open,high,low,close,volume
METIS-EUR,1741132800000,18.694,19.226,18.466,18.54,1265.01535555
METIS-EUR,1741046400000,18.63,19.693,17.094,18.986,5035.02777034
METIS-EUR,1740960000000,20.273,23.739,19.259,19.592,6532.5362975
METIS-EUR,1740873600000,21.656,24.071,21.052,21.235,4216.37910228
METIS-EUR,1740787200000,21.919,21.951,21.084,21.084,859.66473366
METIS-EUR,1740700800000,21.5,21.957,20.23,21.847,2842.67870948
METIS-EUR,1740614400000,22.411,23.297,21.918,22.223,748.5762873
METIS-EUR,1740528000000,24.396,24.641,21.631,22.708,2252.9049612
METIS-EUR,1740441600000,25.289,25.852,23.032,24.891,8684.44753144
METIS-EUR,1740355200000,24.696,27.382,22.412,25.395,34096.97896191
METIS-EUR,1740268800000,25.004,25.568,24.602,24.658,809.09362433
METIS-EUR,1740182400000,24.488,25.148,24.413,25.013,1090.75840859
METIS-EUR,1740096000000,25.035,26.656,23.916,24.193,2454.63835696
METIS-EUR,1740009600000,22.485,25.44,22.485,25.056,4003.6172322
METIS-EUR,1739923200000,21.488,22.54,21.447,22.336,1368.20069786
METIS-EUR,1739836800000,22.384,22.441,20.693,21.522,1996.66304209
METIS-EUR,1739750400000,21.863,22.936,21.791,21.991,1061.53763559
METIS-EUR,1739664000000,21.833,22.411,21.635,21.76,370.69406193
METIS-EUR,1739577600000,22.378,22.72,21.425,21.559,457.45154081
METIS-EUR,1739491200000,22.002,22.923,21.946,22.464,1063.90709714
METIS-EUR,1739404800000,23.326,23.429,21.788,22.101,977.12606732
METIS-EUR,1739318400000,21.771,23.179,21.095,23.056,2668.97616875
METIS-EUR,1739232000000,22.808,23.47,21.407,21.769,1736.61520045
METIS-EUR,1739145600000,22.46,22.622,21.55,22.409,962.13235874
METIS-EUR,1739059200000,22.349,23.35,21.117,21.907,1922.92245234
METIS-EUR,1738972800000,22.046,22.458,21.101,22.117,702.43191501
METIS-EUR,1738886400000,21.531,23.094,20.923,21.15,2026.70923573
METIS-EUR,1738800000000,22.763,23.257,21.243,21.562,1364.2932781
METIS-EUR,1738713600000,23.701,23.858,22.279,22.574,1828.92854353
METIS-EUR,1738627200000,25.805,25.966,22.937,23.639,2602.92002921
METIS-EUR,1738540800000,26.434,26.705,19.828,26.466,15142.85388264
METIS-EUR,1738454400000,32.333,32.663,25.446,26.576,3762.16049258
METIS-EUR,1738368000000,35.112,35.335,31.905,31.905,1347.13048161
METIS-EUR,1738281600000,32.941,36.27,32.06,35.029,2002.00440304
METIS-EUR,1738195200000,30.1,33.251,30.1,33.133,1875.56332557
METIS-EUR,1738108800000,29.588,31.457,29.588,31.084,402.74021272
METIS-EUR,1738022400000,31.507,31.971,29.422,29.422,879.97497104
METIS-EUR,1737936000000,32.61,32.859,29.335,31.199,889.87608653
METIS-EUR,1737849600000,33.66,34.602,33.469,33.579,806.05848426
METIS-EUR,1737763200000,32.336,33.87,31.977,33.312,1289.66242011
METIS-EUR,1737676800000,33.324,35.632,32.301,32.301,1566.44647885
METIS-EUR,1737590400000,32.924,33.263,31.487,33.25,585.81780099
METIS-EUR,1737504000000,34.039,34.624,32.65,32.65,317.67267204
METIS-EUR,1737417600000,34.043,34.239,32.431,33.664,2375.50189285
METIS-EUR,1737331200000,35.593,38.928,33.282,34.628,4660.9862717
METIS-EUR,1737244800000,38.289,39.374,34.857,36.219,4615.06887599
