market,time,open,high,low,close,volume
MIOTA-EUR,1741132800000,0.19696,0.2119,0.19631,0.20339,491450.12158
MIOTA-EUR,1741046400000,0.198,0.20265,0.182,0.19866,2543287.797231
MIOTA-EUR,1740960000000,0.25338,0.254,0.2,0.22069,1427846.307196
MIOTA-EUR,1740873600000,0.20109,0.30191,0.19771,0.25094,4448944.305125
MIOTA-EUR,1740787200000,0.19793,0.20289,0.19042,0.19496,309105.228827
MIOTA-EUR,1740700800000,0.19565,0.19884,0.17635,0.1961,624635.693626
MIOTA-EUR,1740614400000,0.19695,0.2014,0.19048,0.19579,176871.810515
MIOTA-EUR,1740528000000,0.19,0.2004,0.18494,0.19581,713278.617087
MIOTA-EUR,1740441600000,0.19005,0.19346,0.17386,0.19114,1705975.304379
MIOTA-EUR,1740355200000,0.21703,0.2177,0.18645,0.19011,673913.188208
MIOTA-EUR,1740268800000,0.21898,0.222,0.21197,0.21701,286351.038341
MIOTA-EUR,1740182400000,0.20919,0.22067,0.20754,0.22067,276623.63671
MIOTA-EUR,1740096000000,0.21831,0.23093,0.205,0.20905,696553.921231
MIOTA-EUR,1740009600000,0.21552,0.21935,0.21257,0.21794,296034.147155
MIOTA-EUR,1739923200000,0.2092,0.21504,0.20657,0.21425,234614.47741
MIOTA-EUR,1739836800000,0.21504,0.21681,0.19928,0.20802,669613.07189
MIOTA-EUR,1739750400000,0.21922,0.22794,0.21324,0.2166,305408.575785
MIOTA-EUR,1739664000000,0.22493,0.22605,0.21618,0.21925,266073.87474
MIOTA-EUR,1739577600000,0.23422,0.23773,0.221,0.22514,362146.667215
MIOTA-EUR,1739491200000,0.22722,0.2403,0.22484,0.22955,471452.382715
MIOTA-EUR,1739404800000,0.23723,0.23733,0.222,0.2273,448195.548682
MIOTA-EUR,1739318400000,0.22659,0.24349,0.215,0.23771,776769.434395
MIOTA-EUR,1739232000000,0.22346,0.2427,0.22299,0.22544,1028314.523398
MIOTA-EUR,1739145600000,0.2155,0.23111,0.20843,0.22385,301355.829208
MIOTA-EUR,1739059200000,0.21788,0.22247,0.20403,0.21463,348785.963567
MIOTA-EUR,1738972800000,0.20882,0.21973,0.2062,0.21886,359488.428966
MIOTA-EUR,1738886400000,0.20505,0.22599,0.20138,0.21034,973658.738507
MIOTA-EUR,1738800000000,0.21567,0.22062,0.19944,0.20009,452603.918535
MIOTA-EUR,1738713600000,0.22115,0.22663,0.21261,0.2146,494788.992544
MIOTA-EUR,1738627200000,0.23935,0.23937,0.20964,0.22042,1230546.876656
MIOTA-EUR,1738540800000,0.22957,0.24193,0.173,0.2368,2887855.445314
MIOTA-EUR,1738454400000,0.2705,0.27447,0.2195,0.23318,1310178.27328
MIOTA-EUR,1738368000000,0.28978,0.29692,0.26552,0.27044,274839.710561
MIOTA-EUR,1738281600000,0.29607,0.30587,0.2872,0.29089,228756.947126
MIOTA-EUR,1738195200000,0.27855,0.30452,0.2783,0.29404,391043.620953
MIOTA-EUR,1738108800000,0.26695,0.29,0.265,0.2791,437821.225972
MIOTA-EUR,1738022400000,0.28974,0.29381,0.26575,0.26658,513640.146403
MIOTA-EUR,1737936000000,0.29631,0.29943,0.25893,0.28991,1581917.744837
MIOTA-EUR,1737849600000,0.30859,0.31986,0.297,0.297,186492.844597
MIOTA-EUR,1737763200000,0.30377,0.31556,0.30227,0.309,271976.435815
MIOTA-EUR,1737676800000,0.30678,0.3234,0.299,0.30381,529013.500827
MIOTA-EUR,1737590400000,0.30851,0.31496,0.29725,0.30967,768801.130635
MIOTA-EUR,1737504000000,0.32035,0.32565,0.30806,0.3094,684344.162251
MIOTA-EUR,1737417600000,0.31498,0.33241,0.29851,0.32128,1028337.93895
MIOTA-EUR,1737331200000,0.31532,0.35411,0.3048,0.31431,1847994.035935
MIOTA-EUR,1737244800000,0.35846,0.36341,0.3109,0.31696,2328160.172879
MIOTA-EUR,1737158400000,0.38919,0.39103,0.34664,0.35692,1031010.486137
MIOTA-EUR,1737072000000,0.38055,0.4102,0.37923,0.3876,1402079.205645
MIOTA-EUR,1736985600000,0.36652,0.39718,0.36125,0.37814,2587120.463349
MIOTA-EUR,1736899200000,0.3388,0.37737,0.33381,0.37467,1888205.665565
MIOTA-EUR,1736812800000,0.306,0.34466,0.30552,0.3385,1556888.62586
MIOTA-EUR,1736726400000,0.32037,0.3365,0.2855,0.30859,1665470.710215
MIOTA-EUR,1736640000000,0.3263,0.3399,0.31544,0.32042,687870.831611
MIOTA-EUR,1736553600000,0.31375,0.33964,0.3109,0.3286,2410879.548586
MIOTA-EUR,1736467200000,0.29268,0.32399,0.29198,0.31601,1262174.523234
MIOTA-EUR,1736380800000,0.31297,0.31948,0.2865,0.29476,1455452.173709
MIOTA-EUR,1736294400000,0.32718,0.33181,0.29208,0.31054,1164973.620656
MIOTA-EUR,1736208000000,0.36418,0.37317,0.32726,0.32729,1274595.227251
MIOTA-EUR,1736121600000,0.34781,0.38374,0.34035,0.36634,1223150.412328
MIOTA-EUR,1736035200000,0.346,0.35712,0.34177,0.3481,380630.236963
MIOTA-EUR,1735948800000,0.35349,0.36775,0.3432,0.3456,850644.397318
MIOTA-EUR,1735862400000,0.33604,0.35735,0.33116,0.35073,1468959.834881
MIOTA-EUR,1735776000000,0.30833,0.3448,0.30833,0.33546,2812750.438187
MIOTA-EUR,1735689600000,0.27242,0.32209,0.2711,0.30796,1621544.466878
MIOTA-EUR,1735603200000,0.27502,0.2849,0.26713,0.27069,953916.007078
MIOTA-EUR,1735516800000,0.2809,0.29239,0.26694,0.2765,747604.581317
MIOTA-EUR,1735430400000,0.29902,0.30624,0.27657,0.27867,601277.067275
MIOTA-EUR,1735344000000,0.2814,0.30518,0.27828,0.29848,1482213.645994
MIOTA-EUR,1735257600000,0.28273,0.30813,0.27804,0.2812,3808486.253364
MIOTA-EUR,1735171200000,0.31093,0.31242,0.27696,0.28177,883763.171382
MIOTA-EUR,1735084800000,0.33482,0.3354,0.30719,0.31096,786821.981643
MIOTA-EUR,1734998400000,0.31097,0.3377,0.2988,0.32945,1234648.515508
MIOTA-EUR,1734912000000,0.27929,0.32556,0.27,0.3118,1648380.112753
MIOTA-EUR,1734825600000,0.27776,0.29203,0.27,0.27992,482952.031598
MIOTA-EUR,1734739200000,0.29281,0.3261,0.27415,0.27772,1057966.19529
MIOTA-EUR,1734652800000,0.28501,0.2988,0.24297,0.29237,1900070.223045
MIOTA-EUR,1734566400000,0.31521,0.32887,0.2772,0.29017,1835713.435635
MIOTA-EUR,1734480000000,0.35832,0.35832,0.3109,0.31456,934186.730032
MIOTA-EUR,1734393600000,0.3603,0.37494,0.3501,0.3549,421713.431196
MIOTA-EUR,1734307200000,0.37752,0.38001,0.34609,0.3626,1386442.343112
MIOTA-EUR,1734220800000,0.36941,0.38054,0.35803,0.37933,785123.471461
MIOTA-EUR,1734134400000,0.3993,0.39982,0.36282,0.36948,1204405.567852
MIOTA-EUR,1734048000000,0.40533,0.41176,0.38301,0.4009,1191846.27102
MIOTA-EUR,1733961600000,0.37789,0.4269,0.3748,0.39862,1814497.273131
MIOTA-EUR,1733875200000,0.35602,0.39266,0.3365,0.38056,2779208.821569
MIOTA-EUR,1733788800000,0.37063,0.3759,0.30898,0.3557,3385164.313962
MIOTA-EUR,1733702400000,0.44514,0.46245,0.325,0.37336,3163048.078255
MIOTA-EUR,1733616000000,0.45992,0.46118,0.43678,0.4485,871040.360839
MIOTA-EUR,1733529600000,0.4673,0.52907,0.43984,0.45992,3618871.507007
MIOTA-EUR,1733443200000,0.42637,0.47936,0.379,0.465,5098820.56000299
MIOTA-EUR,1733356800000,0.4712,0.48475,0.4267,0.43332,4148527.932448
MIOTA-EUR,1733270400000,0.45366,0.59899,0.4501,0.46984,8215807.94030299
MIOTA-EUR,1733184000000,0.35427,0.56818,0.3515,0.45111,21018856.90946908
MIOTA-EUR,1733097600000,0.2931,0.38248,0.2931,0.3538,9063205.002797
MIOTA-EUR,1733011200000,0.25724,0.29816,0.2477,0.29375,6185747.510301
MIOTA-EUR,1732924800000,0.25969,0.27316,0.24364,0.25901,2209737.420975
MIOTA-EUR,1732838400000,0.21234,0.27,0.21212,0.25924,5798231.59829
MIOTA-EUR,1732752000000,0.2152,0.21571,0.20541,0.21478,283504.603331
MIOTA-EUR,1732665600000,0.21351,0.2195,0.2088,0.21798,834771.699692
MIOTA-EUR,1732579200000,0.21506,0.22289,0.19797,0.21631,1075119.535499
MIOTA-EUR,1732492800000,0.22353,0.24226,0.21048,0.21546,2589077.583861
MIOTA-EUR,1732406400000,0.20542,0.23043,0.19394,0.22518,3952749.87103
MIOTA-EUR,1732320000000,0.19034,0.22462,0.18756,0.2061,5569497.129993
MIOTA-EUR,1732233600000,0.16304,0.1902,0.16089,0.1897,2633639.652075
MIOTA-EUR,1732147200000,0.15747,0.16647,0.155,0.16491,872189.472601
MIOTA-EUR,1732060800000,0.16592,0.1683,0.15497,0.15824,904926.578977
MIOTA-EUR,1731974400000,0.17643,0.18329,0.16132,0.16711,1836424.216633
MIOTA-EUR,1731888000000,0.14625,0.20327,0.14567,0.17732,6772572.52001
MIOTA-EUR,1731801600000,0.16206,0.16206,0.1433,0.14691,1107409.068004
MIOTA-EUR,1731715200000,0.14485,0.16403,0.1448,0.16208,2844165.314693
MIOTA-EUR,1731628800000,0.13244,0.14719,0.12761,0.14482,1584197.451243
MIOTA-EUR,1731542400000,0.13406,0.1408,0.12913,0.13,554052.66493
MIOTA-EUR,1731456000000,0.13893,0.1403,0.12603,0.13189,1095959.620592
MIOTA-EUR,1731369600000,0.13611,0.14852,0.1266,0.13793,2355817.32972
MIOTA-EUR,1731283200000,0.12465,0.13658,0.12363,0.13636,1428990.269208
MIOTA-EUR,1731196800000,0.11549,0.13128,0.1149,0.12464,1574806.803121
MIOTA-EUR,1731110400000,0.11337,0.11632,0.11182,0.11579,316073.489465
MIOTA-EUR,1731024000000,0.111,0.11338,0.10844,0.11296,438082.122802
MIOTA-EUR,1730937600000,0.10937,0.11245,0.10802,0.11065,230492.251808
MIOTA-EUR,1730851200000,0.10015,0.10993,0.10015,0.10967,522706.735783
MIOTA-EUR,1730764800000,0.096,0.099598,0.09591,0.099218,229599.795626
MIOTA-EUR,1730678400000,0.097593,0.098176,0.092811,0.094943,269577.255222
MIOTA-EUR,1730592000000,0.10077,0.10077,0.093821,0.09851,322714.137817
MIOTA-EUR,1730505600000,0.10233,0.10298,0.0995,0.10106,84035.824927
MIOTA-EUR,1730419200000,0.1026,0.10496,0.1,0.1018,105161.739823
MIOTA-EUR,1730332800000,0.10865,0.10865,0.102,0.10256,256050.416506
MIOTA-EUR,1730246400000,0.10948,0.11083,0.10807,0.10909,339619.21912
MIOTA-EUR,1730160000000,0.10641,0.11,0.10553,0.10916,557030.124395
MIOTA-EUR,1730073600000,0.10393,0.10471,0.10043,0.10427,189369.034045
MIOTA-EUR,1729987200000,0.10204,0.1046,0.10146,0.1043,158618.334436
MIOTA-EUR,1729900800000,0.10024,0.10175,0.098502,0.10083,166525.953402
MIOTA-EUR,1729814400000,0.10897,0.10897,0.09675,0.10096,290277.879099
MIOTA-EUR,1729728000000,0.10745,0.10994,0.10624,0.10952,211497.495952
MIOTA-EUR,1729641600000,0.1114,0.11165,0.105,0.10747,335551.211156
MIOTA-EUR,1729555200000,0.11318,0.11318,0.10907,0.11136,135342.782071
MIOTA-EUR,1729468800000,0.115,0.11575,0.11056,0.11319,300603.945609
MIOTA-EUR,1729382400000,0.11112,0.1152,0.11112,0.1152,93705.201249
MIOTA-EUR,1729296000000,0.11173,0.11257,0.10939,0.11098,316737.809067
MIOTA-EUR,1729209600000,0.11002,0.11099,0.10858,0.1105,155084.422838
MIOTA-EUR,1729123200000,0.11294,0.11294,0.10788,0.10858,210625.603897
