market,time,open,high,low,close,volume
MOG-EUR,1741132800000,4.7926e-7,5.0847e-7,4.5973e-7,4.7599e-7,263904496949.53308
MOG-EUR,1741046400000,4.7736e-7,5.5717e-7,4.3102e-7,4.7749e-7,649433129903.2935
MOG-EUR,1740960000000,7.0602e-7,7.0602e-7,5.4e-7,5.4992e-7,628166842409.8123
MOG-EUR,1740873600000,6.1368e-7,7.2327e-7,6.0229e-7,6.9816e-7,520765764599.6435
MOG-EUR,1740787200000,6.1349e-7,6.3775e-7,6.0119e-7,6.1723e-7,129463840607.42593
MOG-EUR,1740700800000,6.2e-7,6.6493e-7,5.611e-7,6.3041e-7,371750780418.6503
MOG-EUR,1740614400000,6.3002e-7,6.6806e-7,6.0526e-7,6.2711e-7,268310607850.5244
MOG-EUR,1740528000000,6.2988e-7,6.6439e-7,5.8e-7,6.229e-7,829650522999.1428
MOG-EUR,1740441600000,6.5488e-7,6.5875e-7,5.7341e-7,6.3272e-7,696535015660.972
MOG-EUR,1740355200000,7.696e-7,7.7152e-7,6.5014e-7,6.5749e-7,496847719171.8409
MOG-EUR,1740268800000,7.7076e-7,7.99e-7,7.1381e-7,7.6503e-7,1213830762531.413
MOG-EUR,1740182400000,6.9672e-7,7.9e-7,6.93e-7,7.6986e-7,610838434866.1073
MOG-EUR,1740096000000,7.5663e-7,8.1445e-7,6.9102e-7,6.9762e-7,513130607591.07367
MOG-EUR,1740009600000,7.0266e-7,7.5426e-7,6.9354e-7,7.5209e-7,463806338220.09564
MOG-EUR,1739923200000,6.982e-7,7.3222e-7,6.7088e-7,7.0217e-7,387531565490.6329
MOG-EUR,1739836800000,8.0626e-7,8.2174e-7,6.6731e-7,6.9672e-7,506198469726.2753
MOG-EUR,1739750400000,7.7079e-7,9.1785e-7,7.5485e-7,8.0599e-7,938134628898.17
MOG-EUR,1739664000000,7.5716e-7,7.8409e-7,7.4572e-7,7.7796e-7,157041422154.78094
MOG-EUR,1739577600000,8.2381e-7,8.2381e-7,7.4374e-7,7.5994e-7,316048134425.723
MOG-EUR,1739491200000,7.8605e-7,9.0588e-7,7.7956e-7,8.3145e-7,548573921422.20435
MOG-EUR,1739404800000,8.5777e-7,8.6e-7,7.65e-7,7.8636e-7,295866035424.185
MOG-EUR,1739318400000,8.0492e-7,8.6792e-7,7.462e-7,8.5944e-7,326700372844.378
MOG-EUR,1739232000000,8.3226e-7,9.4351e-7,7.9282e-7,8.1422e-7,320558874434.5794
MOG-EUR,1739145600000,8.7154e-7,8.9864e-7,8.1807e-7,8.2761e-7,258059252393.59985
MOG-EUR,1739059200000,8.5142e-7,9.0306e-7,7.7023e-7,8.5599e-7,389671980870.682
MOG-EUR,1738972800000,7.4853e-7,8.722e-7,7.4092e-7,8.4636e-7,259213739570.65173
MOG-EUR,1738886400000,7.6741e-7,8.7741e-7,7.2149e-7,7.483e-7,279409684488.80774
MOG-EUR,1738800000000,8.3599e-7,8.7672e-7,7.55e-7,7.6067e-7,211276704366.29337
MOG-EUR,1738713600000,9.2024e-7,9.8041e-7,8.2333e-7,8.3413e-7,382764710800.62103
MOG-EUR,1738627200000,0.000001001,0.000001001,8.5e-7,9.2127e-7,544270050821.28656
MOG-EUR,1738540800000,8.7682e-7,0.0000010676,6e-7,0.0000010075,690974798902.6368
MOG-EUR,1738454400000,9.8223e-7,0.0000010322,8.1103e-7,8.8554e-7,734381906361.7466
MOG-EUR,1738368000000,0.0000012127,0.000001263,9.6183e-7,9.8608e-7,518543119134.88245
MOG-EUR,1738281600000,0.0000011042,0.000001381,0.0000010877,0.000001215,887943330887.4065
MOG-EUR,1738195200000,0.0000010777,0.0000011945,0.0000010543,0.0000010929,400398377789.1774
MOG-EUR,1738108800000,0.0000010448,0.0000011808,0.000001024,0.0000010771,447547562057.86847
MOG-EUR,1738022400000,0.0000012063,0.0000012139,0.0000010087,0.0000010536,474536283144.7631
MOG-EUR,1737936000000,0.0000012332,0.00000124,0.000001084,0.0000011996,499297220874.9119
MOG-EUR,1737849600000,0.0000013519,0.00000139,0.00000123,0.0000012333,492007928976.8755
MOG-EUR,1737763200000,0.0000014168,0.0000014313,0.0000013453,0.0000013537,225087715885.8893
MOG-EUR,1737676800000,0.0000015208,0.0000016106,0.00000139,0.0000014163,222908512761.27338
MOG-EUR,1737590400000,0.0000016027,0.0000016534,0.0000014604,0.0000015274,269123874349.2548
MOG-EUR,1737504000000,0.0000017224,0.0000018284,0.0000016093,0.000001618,447536912386.99304
MOG-EUR,1737417600000,0.0000015429,0.0000017339,0.0000014,0.0000017044,423294135863.3065
MOG-EUR,1737331200000,0.0000016479,0.0000017067,0.0000014563,0.000001548,580400058904.8694
MOG-EUR,1737244800000,0.0000016866,0.0000019444,0.0000015112,0.0000016633,1109456867405.3425
MOG-EUR,1737158400000,0.0000019492,0.0000019772,0.0000015835,0.0000016906,461474503575.7301
MOG-EUR,1737072000000,0.000001712,0.0000019874,0.000001712,0.000001946,879661762076.71
MOG-EUR,1736985600000,0.0000019681,0.0000019748,0.0000016943,0.0000017107,815648718154.8933
MOG-EUR,1736899200000,0.0000018566,0.0000020543,0.00000175,0.0000019699,335343740316.094
MOG-EUR,1736812800000,0.0000017443,0.0000019341,0.0000017394,0.0000018546,272860329480.13004
MOG-EUR,1736726400000,0.0000017861,0.0000018815,0.00000161,0.0000017465,446284190821.69965
MOG-EUR,1736640000000,0.0000018335,0.0000018724,0.0000017502,0.0000017849,190426629440.36404
MOG-EUR,1736553600000,0.0000019068,0.0000019241,0.0000017906,0.0000018368,128421889299.02179
MOG-EUR,1736467200000,0.0000019043,0.0000020342,0.0000018767,0.0000019022,153778408192.46188
MOG-EUR,1736380800000,0.0000021204,0.0000021359,0.0000018493,0.0000018957,234836675512.3354
MOG-EUR,1736294400000,0.0000023004,0.0000023186,0.00000203,0.0000021191,286609133628.1159
MOG-EUR,1736208000000,0.0000025703,0.0000025902,0.0000022845,0.0000022969,356124627024.4652
MOG-EUR,1736121600000,0.0000028118,0.0000028965,0.0000025589,0.0000025732,418686536977.08417
MOG-EUR,1736035200000,0.0000027035,0.0000028515,0.000002597,0.0000028029,624399916692.3922
MOG-EUR,1735948800000,0.0000024771,0.0000027639,0.000002371,0.0000026999,431256033638.9496
MOG-EUR,1735862400000,0.0000020714,0.00000251,0.0000020092,0.000002492,643206435470.9026
MOG-EUR,1735776000000,0.0000019532,0.0000021308,0.0000018712,0.0000020713,342081583257.6556
MOG-EUR,1735689600000,0.0000019443,0.0000020048,0.0000019133,0.0000019481,105395046938.34128
MOG-EUR,1735603200000,0.0000020171,0.0000020608,0.0000019361,0.0000019451,120225541173.16243
MOG-EUR,1735516800000,0.0000019992,0.0000020821,0.0000019695,0.0000020124,153803734760.73212
MOG-EUR,1735430400000,0.0000022571,0.0000022571,0.0000019876,0.0000020066,135258756072.42989
MOG-EUR,1735344000000,0.000002147,0.000002294,0.0000020911,0.0000022554,111917876622.06097
MOG-EUR,1735257600000,0.0000021019,0.0000022262,0.0000020671,0.0000021431,270257676688.40417
MOG-EUR,1735171200000,0.0000023841,0.0000023993,0.0000020922,0.0000021024,131953147280.84673
MOG-EUR,1735084800000,0.0000023707,0.0000025037,0.0000023485,0.000002389,138261683538.68878
MOG-EUR,1734998400000,0.0000022265,0.0000024088,0.0000021573,0.0000023686,203456771673.6886
MOG-EUR,1734912000000,0.0000020063,0.000002291,0.0000019502,0.0000022275,215628286304.06598
MOG-EUR,1734825600000,0.0000019341,0.0000021625,0.0000019179,0.0000020134,285216623501.0888
MOG-EUR,1734739200000,0.0000021858,0.00000223,0.0000018886,0.0000019391,384955438418.66504
MOG-EUR,1734652800000,0.0000022702,0.0000023192,0.0000018926,0.000002195,193934637504.36957
MOG-EUR,1734566400000,0.000002419,0.0000024927,0.0000021234,0.0000022512,155234575184.51843
MOG-EUR,1734480000000,0.0000026096,0.0000026554,0.0000023794,0.000002422,142205210914.45972
MOG-EUR,1734393600000,0.0000028522,0.0000028881,0.0000025486,0.0000026002,145037769145.44022
MOG-EUR,1734307200000,0.0000029256,0.0000029825,0.000002762,0.000002846,147972576432.29593
MOG-EUR,1734220800000,0.000002796,0.0000029367,0.0000026947,0.0000029046,126200789364.82059
