market,time,open,high,low,close,volume
NEAR-USDC,1741132800000,2.9204,2.9283,2.8196,2.9255,304.558
NEAR-USDC,1741046400000,2.818,2.8495,2.7066,2.7066,2160.95224945
NEAR-USDC,1740960000000,3.3115,3.3254,3.0554,3.0554,1671.99
NEAR-USDC,1740787200000,3.0759,3.0766,3.0759,3.0766,23.2342
NEAR-USDC,1740700800000,3.0605,3.0605,3.0171,3.0556,536.06
NEAR-USDC,1740614400000,3.1104,3.1147,3.0484,3.0484,994.65
NEAR-USDC,1740441600000,2.9688,2.9688,2.9688,2.9688,78
NEAR-USDC,1740096000000,3.5989,3.62,3.4002,3.4002,410.53667372
NEAR-USDC,1740009600000,3.1531,3.2987,3.1531,3.2987,3102.6676
NEAR-USDC,1739836800000,3.2545,3.2545,3.1778,3.1778,7.2255
NEAR-USDC,1739750400000,3.4576,3.504,3.2735,3.304,6142.1072
NEAR-USDC,1739664000000,3.4321,3.5575,3.4321,3.4958,31.6366
NEAR-USDC,1739577600000,3.4457,3.4457,3.4155,3.4155,8.0035
NEAR-USDC,1739491200000,3.3966,3.6034,3.3966,3.6034,1230.81
NEAR-USDC,1739404800000,3.3156,3.4089,3.3031,3.4089,44.5222
NEAR-USDC,1739318400000,3.2031,3.2188,3.2031,3.2188,426.45
NEAR-USDC,1739059200000,3.2995,3.435,3.115,3.115,154.29607803
NEAR-USDC,1738972800000,3.2006,3.3056,3.1879,3.3005,185.9058
NEAR-USDC,1738886400000,3.2286,3.3674,3.1773,3.1841,146.2614
NEAR-USDC,1738800000000,3.3783,3.3892,3.2003,3.2003,101.4349
NEAR-USDC,1738627200000,3.355,3.41,3.355,3.41,210.00710308
NEAR-USDC,1738540800000,3.366,3.639,3.0545,3.639,2158.66717036
NEAR-USDC,1738454400000,3.6153,3.6374,3.6153,3.6374,187.23561866
NEAR-USDC,1738368000000,4.36,4.36,4.36,4.36,9.92467578
NEAR-USDC,1738195200000,4.6314,4.6314,4.6314,4.6314,8.81205053
NEAR-USDC,1738022400000,4.36,4.36,4.36,4.36,30
NEAR-USDC,1737676800000,5.0771,5.1415,5.0771,5.1415,442.88
NEAR-USDC,1737590400000,4.8742,4.8742,4.8742,4.8742,15.57687021
NEAR-USDC,1737417600000,5.1038,5.1881,5.0731,5.1881,4688.42706028
NEAR-USDC,1737331200000,5.4199,5.5801,5.1023,5.1229,3383.888
NEAR-USDC,1737244800000,5.2278,5.371,4.9807,4.9807,2812.49086213
NEAR-USDC,1737158400000,5.4,5.468,5.3154,5.3216,512.48325926
NEAR-USDC,1737072000000,5.2223,5.7084,5.2223,5.7084,761.78350423
NEAR-USDC,1736985600000,5.1357,5.1598,5.1357,5.1598,241.46
NEAR-USDC,1736899200000,5.0356,5.2104,4.963,5.2104,1218.32
NEAR-USDC,1736812800000,4.9778,5.0513,4.9778,5.0513,408.86
NEAR-USDC,1736726400000,4.93,4.93,4.548,4.7448,5031.46537066
NEAR-USDC,1736553600000,5.0475,5.0475,5.0475,5.0475,183.15
NEAR-USDC,1736467200000,5.0684,5.0684,4.98,4.98,139.41
NEAR-USDC,1736380800000,5.0859,5.0859,4.9183,4.9252,889.481
NEAR-USDC,1736294400000,5.3,5.3,4.9438,5.1621,1405.88810056
NEAR-USDC,1736208000000,5.9905,6.0135,5.3857,5.3857,2641.6785
NEAR-USDC,1736121600000,5.8839,6.1994,5.8283,5.9688,1734.29495477
NEAR-USDC,1736035200000,5.802,5.9962,5.6469,5.9962,249.4445
NEAR-USDC,1735948800000,5.7925,5.8954,5.769,5.8069,445.8042
NEAR-USDC,1735862400000,5.4245,5.7948,5.4135,5.7948,1675.7354
NEAR-USDC,1735776000000,5.3207,5.5331,5.3207,5.4158,7670.54274319
NEAR-USDC,1735689600000,4.9356,5.3025,4.9356,5.3025,892.52650281
NEAR-USDC,1735603200000,5.0401,5.0401,5.0199,5.0199,238.2242918
NEAR-USDC,1735516800000,5.1721,5.1721,4.963,5.032,1019.2680757
NEAR-USDC,1735344000000,5.2311,5.2429,5.2311,5.2429,6.117
NEAR-USDC,1735257600000,5.1359,5.2667,5.0424,5.1577,14571.0972892
NEAR-USDC,1735171200000,5.35,5.35,5.0104,5.109,5710.86623662
NEAR-USDC,1735084800000,5.498,5.5789,5.39,5.39,3736.29942636
NEAR-USDC,1734998400000,5.5631,5.5893,5.507,5.5127,1636.471
NEAR-USDC,1734912000000,5.0729,5.336,5.0729,5.336,968.49540411
NEAR-USDC,1734825600000,5.1135,5.1135,4.9744,5.0043,579.771
NEAR-USDC,1734739200000,5.4544,5.4544,4.9322,4.9734,585.056
NEAR-USDC,1734652800000,5.2051,5.4353,4.5472,5.3697,28952.24908622
NEAR-USDC,1734566400000,5.7126,5.8547,5.0475,5.209,15943.98207
NEAR-USDC,1734480000000,6.2567,6.2567,5.6711,5.7437,22825.19644995
NEAR-USDC,1734393600000,6.5626,6.9004,6.3581,6.3581,2827.25647311
NEAR-USDC,1734307200000,6.8405,6.9371,6.5595,6.7303,4263.46414434
NEAR-USDC,1734220800000,6.5368,6.8594,6.5368,6.8361,2057.47963884
NEAR-USDC,1734134400000,6.9786,7.0068,6.53,6.6046,1796.43848622
NEAR-USDC,1734048000000,6.928,7.0474,6.7988,6.9208,2781.3344
NEAR-USDC,1733961600000,6.815,7.3156,6.815,6.9167,7474.88556104
NEAR-USDC,1733875200000,6.6874,6.8793,6.6735,6.8793,2097.62446759
