market,time,open,high,low,close,volume
NEO-EUR,1741219200000,8.5,8.5,8.5,8.5,15.00298428
NEO-EUR,1741132800000,8.27,8.5387,8.1618,8.2675,5079.18072913
NEO-EUR,1741046400000,8.0419,8.32,7.75,8.2403,10896.1573485
NEO-EUR,1740960000000,9.656,9.8213,8.2011,8.3051,36020.51266799
NEO-EUR,1740873600000,9.2572,10.064,9.0482,9.8484,36610.32550941
NEO-EUR,1740787200000,9.2858,9.2971,8.9483,9.1427,1555.08146513
NEO-EUR,1740700800000,9.1637,9.3016,8.3539,9.2448,4296.41030676
NEO-EUR,1740614400000,9.0078,9.3251,8.9682,9.1738,6068.36449919
NEO-EUR,1740528000000,9.1225,9.209,8.6975,9.0381,1873.45301876
NEO-EUR,1740441600000,8.8,9.2,8.5,9.119,14525.53112693
NEO-EUR,1740355200000,9.938,9.9533,8.8626,8.9956,7781.75729848
NEO-EUR,1740268800000,10.337,10.346,9.9875,10.13,2570.41557759
NEO-EUR,1740182400000,10.109,10.372,10.094,10.288,622.84738898
NEO-EUR,1740096000000,10.479,10.785,9.8504,9.9749,3117.90821765
NEO-EUR,1740009600000,10.219,10.492,10.21,10.475,2973.35233766
NEO-EUR,1739923200000,10.008,10.268,9.9309,10.192,619.3944996
NEO-EUR,1739836800000,10.3,10.358,9.696,9.9792,2730.89382725
NEO-EUR,1739750400000,10.39,10.782,10.187,10.431,1367.3548045
NEO-EUR,1739664000000,10.518,10.754,10.35,10.398,11005.76211649
NEO-EUR,1739577600000,10.899,10.929,10.437,10.47,621.97242168
NEO-EUR,1739491200000,10.846,11.17,10.73,10.888,3956.57595327
NEO-EUR,1739404800000,11.152,11.152,10.703,10.802,2139.73178556
NEO-EUR,1739318400000,10.452,11.327,10.299,11.179,3887.88352483
NEO-EUR,1739232000000,10.747,11.244,10.442,10.585,24645.66462201
NEO-EUR,1739145600000,10.381,10.764,9.958,10.62,3758.49706463
NEO-EUR,1739059200000,10.5,10.703,9.7629,10.112,2853.70261098
NEO-EUR,1738972800000,10.002,10.442,9.9346,10.442,3248.40675751
NEO-EUR,1738886400000,10.004,10.618,9.7268,9.9245,3603.95261174
NEO-EUR,1738800000000,10.346,10.713,9.907,9.972,4725.8072238
NEO-EUR,1738713600000,10.697,10.859,10.299,10.381,2458.66192821
NEO-EUR,1738627200000,11.486,11.611,10.34,10.629,6961.74152904
NEO-EUR,1738540800000,11.131,11.449,8.45,11.308,29560.56953451
NEO-EUR,1738454400000,13.021,13.241,10.461,11.15,24070.05200486
NEO-EUR,1738368000000,13.923,14.843,12.929,13.013,40146.43692617
NEO-EUR,1738281600000,13.35,14.573,13.074,13.807,8953.97761488
NEO-EUR,1738195200000,12.518,13.605,12.518,13.284,2685.06379041
NEO-EUR,1738108800000,12.246,12.967,12.246,12.524,2737.80958718
NEO-EUR,1738022400000,12.911,13.075,12.093,12.17,3367.99045134
NEO-EUR,1737936000000,13,13.121,11.917,12.96,7449.57918778
NEO-EUR,1737849600000,13.283,13.732,13.04,13.098,1290.32803536
NEO-EUR,1737763200000,13.04,13.477,12.967,13.342,1248.08361853
