market,time,open,high,low,close,volume
ONDO-EUR,1741132800000,0.90034,1.0679,0.8952,1.036,4598163.30491088
ONDO-EUR,1741046400000,0.87108,0.9434,0.82498,0.91257,6588174.87504484
ONDO-EUR,1740960000000,1.1481,1.1513,0.92774,0.96502,5721330.98910748
ONDO-EUR,1740873600000,0.98524,1.1932,0.9548,1.1626,5319322.76109394
ONDO-EUR,1740787200000,0.98355,1.0091,0.94257,0.9505,1604744.33984738
ONDO-EUR,1740700800000,0.93426,0.965,0.85069,0.95514,3438721.13304217
ONDO-EUR,1740614400000,0.93117,0.9702,0.90819,0.93427,2025974.3791556
ONDO-EUR,1740528000000,0.95156,0.9632,0.88038,0.92964,3227545.86330974
ONDO-EUR,1740441600000,0.94092,0.97119,0.86339,0.95471,6832904.48017242
ONDO-EUR,1740355200000,1.0842,1.0873,0.92967,0.94024,3514707.49169675
ONDO-EUR,1740268800000,1.107,1.1138,1.0663,1.0817,894287.5528242
ONDO-EUR,1740182400000,1.076,1.1374,1.0669,1.1101,2376912.57156039
ONDO-EUR,1740096000000,1.1831,1.201,1.046,1.0792,3960330.61666374
ONDO-EUR,1740009600000,1.1657,1.2024,1.1569,1.1814,1324338.61605676
ONDO-EUR,1739923200000,1.1468,1.1737,1.118,1.1629,1413540.62307196
ONDO-EUR,1739836800000,1.1769,1.1823,1.0781,1.1497,3414931.08277168
ONDO-EUR,1739750400000,1.2178,1.2354,1.1483,1.1778,2935198.74439871
ONDO-EUR,1739664000000,1.2187,1.242,1.2008,1.216,1477103.63439574
ONDO-EUR,1739577600000,1.2654,1.2709,1.1869,1.2176,2421671.3077731
ONDO-EUR,1739491200000,1.2727,1.297,1.2546,1.265,2769380.0870251
ONDO-EUR,1739404800000,1.3443,1.3449,1.2618,1.2715,2591070.72573517
ONDO-EUR,1739318400000,1.2831,1.3621,1.2555,1.3443,3518655.77847176
ONDO-EUR,1739232000000,1.2915,1.3947,1.2826,1.2848,4084236.97681492
ONDO-EUR,1739145600000,1.2894,1.3344,1.2534,1.2934,2807819.90515869
ONDO-EUR,1739059200000,1.3113,1.3446,1.2538,1.2877,2067835.37265477
ONDO-EUR,1738972800000,1.3582,1.3836,1.2746,1.3069,2164715.3419506
ONDO-EUR,1738886400000,1.3051,1.4541,1.2929,1.3618,4653581.56994615
ONDO-EUR,1738800000000,1.261,1.3833,1.2372,1.3073,4558556.58986415
ONDO-EUR,1738713600000,1.3059,1.4158,1.2386,1.2636,2790824.26249532
ONDO-EUR,1738627200000,1.3709,1.4474,1.2526,1.3081,4163716.89008323
ONDO-EUR,1738540800000,1.2229,1.4258,0.94475,1.3647,4774420.5806681
ONDO-EUR,1738454400000,1.293,1.3438,1.142,1.2227,3847316.00917006
ONDO-EUR,1738368000000,1.4374,1.4453,1.2821,1.2995,1529177.85043752
ONDO-EUR,1738281600000,1.5057,1.5278,1.4154,1.4346,1540044.44080489
ONDO-EUR,1738195200000,1.4148,1.5966,1.3832,1.5042,2425944.74995085
ONDO-EUR,1738108800000,1.2936,1.4883,1.2805,1.4112,2210108.37057701
ONDO-EUR,1738022400000,1.2808,1.4,1.25,1.2972,1919776.28574861
ONDO-EUR,1737936000000,1.321,1.3487,1.21,1.2805,2387774.85198273
ONDO-EUR,1737849600000,1.369,1.4286,1.321,1.3212,989357.4205844
ONDO-EUR,1737763200000,1.3571,1.4441,1.325,1.3702,1460005.04735006
ONDO-EUR,1737676800000,1.311,1.4621,1.2556,1.3621,2424658.52846989
ONDO-EUR,1737590400000,1.2517,1.392,1.203,1.3109,2066235.45791661
ONDO-EUR,1737504000000,1.32,1.3527,1.24,1.255,1043915.18900984
ONDO-EUR,1737417600000,1.2535,1.3795,1.2155,1.3117,1230021.60880167
ONDO-EUR,1737331200000,1.3213,1.4952,1.2233,1.2565,2406125.34832244
ONDO-EUR,1737244800000,1.2646,1.5086,1.245,1.3262,5149555.50175698
ONDO-EUR,1737158400000,1.2663,1.5,1.1459,1.2668,3712553.5644543
ONDO-EUR,1737072000000,1.1792,1.29,1.1741,1.2755,2285975.35403962
ONDO-EUR,1736985600000,1.2534,1.26,1.1601,1.1773,2257357.48155436
ONDO-EUR,1736899200000,1.1551,1.2569,1.1025,1.2507,2166950.06735816
ONDO-EUR,1736812800000,1.1889,1.1889,1.1057,1.1558,1780913.64675095
ONDO-EUR,1736726400000,1.1801,1.2141,1.073,1.1879,2507836.1899219
ONDO-EUR,1736640000000,1.24,1.24,1.1668,1.18,638526.11335587
ONDO-EUR,1736553600000,1.2466,1.2836,1.2094,1.2412,553649.88736024
ONDO-EUR,1736467200000,1.1821,1.3148,1.18,1.2387,1306039.5682882
ONDO-EUR,1736380800000,1.2788,1.2788,1.1581,1.176,949500.75993668
ONDO-EUR,1736294400000,1.328,1.3408,1.1479,1.282,1241184.14753699
ONDO-EUR,1736208000000,1.4577,1.4875,1.3133,1.3303,868932.88671393
ONDO-EUR,1736121600000,1.507,1.5392,1.434,1.4677,876413.36503404
ONDO-EUR,1736035200000,1.5314,1.5339,1.4631,1.5014,930448.82711624
ONDO-EUR,1735948800000,1.5602,1.5952,1.5174,1.5325,769313.17810592
ONDO-EUR,1735862400000,1.4062,1.5728,1.3772,1.5561,1140027.30486063
ONDO-EUR,1735776000000,1.4007,1.48,1.384,1.4094,986883.3701995
ONDO-EUR,1735689600000,1.2971,1.425,1.2677,1.4086,940428.44828454
ONDO-EUR,1735603200000,1.303,1.3801,1.261,1.2987,674230.52315506
ONDO-EUR,1735516800000,1.33,1.3721,1.2667,1.3125,1280951.12682076
ONDO-EUR,1735430400000,1.4223,1.4257,1.3239,1.3321,600446.48350603
ONDO-EUR,1735344000000,1.3778,1.4766,1.303,1.4372,966112.05725554
ONDO-EUR,1735257600000,1.3939,1.4778,1.3659,1.3771,627542.78087927
ONDO-EUR,1735171200000,1.5481,1.5657,1.3804,1.3954,939857.90982688
ONDO-EUR,1735084800000,1.6447,1.6447,1.54,1.5454,440057.06258554
ONDO-EUR,1734998400000,1.6037,1.6727,1.5413,1.6458,700976.16649395
ONDO-EUR,1734912000000,1.5497,1.6716,1.4779,1.6115,981278.36922238
ONDO-EUR,1734825600000,1.6082,1.6531,1.5118,1.5496,698101.10708483
ONDO-EUR,1734739200000,1.7277,1.8473,1.5783,1.6125,1175232.25201358
ONDO-EUR,1734652800000,1.6891,1.7713,1.4168,1.7297,2880159.21339332
ONDO-EUR,1734566400000,1.7565,1.8901,1.6068,1.6827,2447913.6451186
ONDO-EUR,1734480000000,1.8472,1.9248,1.7353,1.755,1676039.04396548
ONDO-EUR,1734393600000,1.9193,1.9511,1.7969,1.8471,1344809.75384746
ONDO-EUR,1734307200000,1.9346,2.0385,1.8831,1.9186,3278611.38392192
ONDO-EUR,1734220800000,1.789,1.9757,1.6907,1.9337,1654559.67397729
ONDO-EUR,1734134400000,1.8809,1.91,1.7142,1.8025,1037057.96930107
ONDO-EUR,1734048000000,1.6742,1.8959,1.6674,1.882,2069382.16087619
ONDO-EUR,1733961600000,1.6928,1.836,1.6532,1.6755,1906726.045566
ONDO-EUR,1733875200000,1.6497,1.7524,1.5322,1.6962,2316909.57580456
ONDO-EUR,1733788800000,1.4413,1.6664,1.3252,1.6487,3775837.25123333
ONDO-EUR,1733702400000,1.5954,1.596,1.2294,1.4428,4554588.05500769
ONDO-EUR,1733616000000,1.5854,1.6561,1.5568,1.5978,968879.20936532
ONDO-EUR,1733529600000,1.6737,1.6747,1.5753,1.5864,1429223.53127522
ONDO-EUR,1733443200000,1.5858,1.6826,1.5256,1.6824,2182695.57405477
ONDO-EUR,1733356800000,1.6495,1.7413,1.5336,1.5855,3042666.93184855
ONDO-EUR,1733270400000,1.5642,1.8577,1.5583,1.646,4105174.53263175
ONDO-EUR,1733184000000,1.4117,1.7312,1.3464,1.558,7504521.41601907
ONDO-EUR,1733097600000,1.2108,1.4275,1.0866,1.4143,2744472.29798191
ONDO-EUR,1733011200000,1.1624,1.2312,1.154,1.2149,1007937.76565091
ONDO-EUR,1732924800000,1.1039,1.2096,1.0935,1.1624,2134917.73795848
ONDO-EUR,1732838400000,1.0428,1.1298,1.007,1.1047,1103046.20722964
ONDO-EUR,1732752000000,1.0339,1.058,0.99758,1.0398,740287.45715744
ONDO-EUR,1732665600000,0.96738,1.035,0.95106,1.035,957271.1523118
ONDO-EUR,1732579200000,0.9657,1.0056,0.902,0.97202,1694512.18273398
ONDO-EUR,1732492800000,1.0115,1.0524,0.94338,0.96674,1260372.65293702
ONDO-EUR,1732406400000,1.0023,1.0275,0.91869,1.0136,1759744.96825087
ONDO-EUR,1732320000000,0.99482,1.0707,0.96127,1.0022,2096777.40073969
ONDO-EUR,1732233600000,0.96067,1.0002,0.91343,0.99573,1710689.54662255
ONDO-EUR,1732147200000,0.91462,0.97778,0.89733,0.95923,2447315.22522388
ONDO-EUR,1732060800000,0.95874,0.98508,0.89799,0.917,1713857.11462171
ONDO-EUR,1731974400000,0.96794,1.0265,0.93,0.9574,2932500.14854247
ONDO-EUR,1731888000000,0.87352,0.97943,0.86648,0.97067,2373607.7783538
ONDO-EUR,1731801600000,0.94096,0.951,0.8587,0.87558,1467938.26560937
ONDO-EUR,1731715200000,0.82796,0.965,0.82684,0.94365,2726176.97033182
ONDO-EUR,1731628800000,0.79051,0.83482,0.76879,0.82933,1169068.46782476
ONDO-EUR,1731542400000,0.82308,0.89524,0.7829,0.79,2345654.53094922
