market,time,open,high,low,close,volume
ORDI-EUR,1741132800000,10.469,10.469,9.5789,9.9703,10462.3037
ORDI-EUR,1741046400000,10.073,11.099,9.65,10.691,13294.80562
ORDI-EUR,1740960000000,12.205,12.559,10.302,10.461,12903.89991
ORDI-EUR,1740873600000,10.987,12.935,10.814,12.801,11347.33426
ORDI-EUR,1740787200000,12.078,12.094,10.649,10.848,5614.46086
ORDI-EUR,1740700800000,11.898,12.129,10.897,11.936,8100.76351
ORDI-EUR,1740614400000,11.851,12.437,11.754,12.264,34560.90934
ORDI-EUR,1740528000000,10.848,11.815,10.848,11.73,4383.5427
ORDI-EUR,1740441600000,10.143,11.437,9.4028,11.152,20954.0261
ORDI-EUR,1740355200000,11.95,11.962,9.6693,10.199,8993.73735
ORDI-EUR,1740268800000,12.54,13.331,12.131,12.298,9426.64613
ORDI-EUR,1740182400000,12.549,12.766,11.971,12.593,15778.92759
ORDI-EUR,1740096000000,12.204,13.768,12.14,12.276,12049.28945
ORDI-EUR,1740009600000,11.993,12.36,11.378,12.239,5226.252
ORDI-EUR,1739923200000,11.471,12.56,11.116,12.075,7404.93875
ORDI-EUR,1739836800000,11.765,11.765,10.371,11.174,1833.16172
ORDI-EUR,1739750400000,11.885,12.101,11.109,11.721,3010.30031
ORDI-EUR,1739664000000,11.683,11.923,11.36,11.622,1017.0026
ORDI-EUR,1739577600000,11.884,12.08,11.517,11.63,2279.37591
ORDI-EUR,1739491200000,11.589,12.656,11.328,12.022,4451.90193
ORDI-EUR,1739404800000,11.555,11.839,11.279,11.416,2298.84784
ORDI-EUR,1739318400000,10.817,11.573,10.288,11.495,9345.02911
ORDI-EUR,1739232000000,11.656,12.185,10.561,10.798,10109.79893
ORDI-EUR,1739145600000,11.87,11.955,11.525,11.575,2295.76266
ORDI-EUR,1739059200000,11.771,12.154,11.226,11.851,2026.57069
ORDI-EUR,1738972800000,10.87,12.071,10.867,11.852,1988.69207
ORDI-EUR,1738886400000,10.869,11.577,10.429,10.836,2007.94774
ORDI-EUR,1738800000000,11.792,11.938,10.729,10.802,2613.92691
ORDI-EUR,1738713600000,12.337,12.682,11.687,11.698,10931.42756
ORDI-EUR,1738627200000,13.128,13.137,11.553,12.013,5783.56676
ORDI-EUR,1738540800000,13.351,13.559,9.6208,13.153,48618.80368
ORDI-EUR,1738454400000,16.718,17.202,12.001,13.383,16915.00403
ORDI-EUR,1738368000000,19.054,19.607,16.637,16.912,2191.6477
ORDI-EUR,1738281600000,18.321,20.528,18.321,19.174,6267.24247
ORDI-EUR,1738195200000,17.991,18.623,17.928,18.536,1592.44949
ORDI-EUR,1738108800000,16.418,18.036,16.206,17.906,1104.556
ORDI-EUR,1738022400000,17.824,18.118,16.269,16.392,1614.80929
ORDI-EUR,1737936000000,18.646,18.703,16.404,17.862,2684.29956
ORDI-EUR,1737849600000,19.424,19.758,18.734,18.735,244.56535
ORDI-EUR,1737763200000,18.412,20.018,18.383,19.554,1424.62086
ORDI-EUR,1737676800000,19.489,19.833,18.674,18.895,1593.69899
ORDI-EUR,1737590400000,19.528,19.936,18.893,19.463,1953.25861
ORDI-EUR,1737504000000,19.342,20.469,19.342,19.53,2232.8039
ORDI-EUR,1737417600000,18.333,19.797,17.501,19.408,8853.27767
