market,time,open,high,low,close,volume
OXT-EUR,1741132800000,0.078098,0.07823,0.075649,0.07678,61393.50799055
OXT-EUR,1741046400000,0.079,0.079,0.071189,0.075009,80845.0000319
OXT-EUR,1740960000000,0.093013,0.093013,0.07937,0.079911,46060.19476089
OXT-EUR,1740873600000,0.08401,0.09358,0.082015,0.093081,189036.82862544
OXT-EUR,1740787200000,0.083273,0.085042,0.080262,0.083254,10731.10495936
OXT-EUR,1740700800000,0.086894,0.086946,0.080115,0.084731,65753.4304191
OXT-EUR,1740614400000,0.083825,0.089281,0.083825,0.084632,115245.33019304
OXT-EUR,1740528000000,0.083406,0.084947,0.080395,0.083872,72163.5629609
OXT-EUR,1740441600000,0.081156,0.08385,0.077216,0.08363,73809.90519283
OXT-EUR,1740355200000,0.089316,0.089316,0.081962,0.081962,30870.44135725
OXT-EUR,1740268800000,0.093,0.09405,0.089653,0.089771,24485.13157361
OXT-EUR,1740182400000,0.092108,0.093733,0.091716,0.092717,17086.67122576
OXT-EUR,1740096000000,0.094623,0.098694,0.091957,0.091957,60507.76537268
OXT-EUR,1740009600000,0.09195,0.09464,0.09195,0.09464,88564.77060723
OXT-EUR,1739923200000,0.089245,0.092447,0.088954,0.090955,16967.87207534
OXT-EUR,1739836800000,0.092858,0.092873,0.087513,0.08758,10915.45607298
OXT-EUR,1739750400000,0.095463,0.098682,0.093482,0.09494,26548.595977
OXT-EUR,1739664000000,0.09675,0.098847,0.096183,0.096882,27724.27187024
OXT-EUR,1739577600000,0.099433,0.09997,0.095947,0.09619,26793.35805493
OXT-EUR,1739491200000,0.1,0.10245,0.09966,0.099826,53701.69133784
OXT-EUR,1739404800000,0.098759,0.10183,0.098735,0.099961,395707.44433749
OXT-EUR,1739318400000,0.09302,0.09924,0.091666,0.098116,469338.91549576
OXT-EUR,1739232000000,0.097447,0.10092,0.092292,0.092781,235137.86838125
OXT-EUR,1739145600000,0.093049,0.096286,0.089301,0.094617,194208.5780036
OXT-EUR,1739059200000,0.091313,0.096432,0.088355,0.091818,696661.92663701
OXT-EUR,1738972800000,0.085548,0.09678,0.084601,0.091951,655721.09776274
OXT-EUR,1738886400000,0.084337,0.08923,0.083243,0.083784,169478.38252755
OXT-EUR,1738800000000,0.087881,0.088869,0.083755,0.08445,265159.86399591
OXT-EUR,1738713600000,0.090609,0.092083,0.086229,0.086229,107147.35944447
OXT-EUR,1738627200000,0.096899,0.098268,0.08852,0.088646,280996.77694412
OXT-EUR,1738540800000,0.09328,0.095,0.078152,0.094731,783921.68725032
OXT-EUR,1738454400000,0.10687,0.10756,0.092518,0.093628,282082.12701131
OXT-EUR,1738368000000,0.1147,0.11924,0.10835,0.10835,226615.26963493
OXT-EUR,1738281600000,0.10919,0.12124,0.10906,0.11299,363494.14410699
OXT-EUR,1738195200000,0.09962,0.11036,0.099434,0.10866,36607.38938505
OXT-EUR,1738108800000,0.096854,0.10206,0.096295,0.10206,90016.67139568
OXT-EUR,1738022400000,0.10373,0.10475,0.095987,0.096368,85402.24821111
OXT-EUR,1737936000000,0.10078,0.1034,0.095381,0.10299,148270.04113847
OXT-EUR,1737849600000,0.10101,0.10434,0.099773,0.10369,95706.33229749
OXT-EUR,1737763200000,0.10001,0.10164,0.099682,0.10032,19326.92482232
OXT-EUR,1737676800000,0.10282,0.1053,0.1,0.1002,132161.53255615
OXT-EUR,1737590400000,0.1045,0.10628,0.10075,0.10463,51350.10537226
OXT-EUR,1737504000000,0.107,0.10825,0.10495,0.10525,60143.01154392
OXT-EUR,1737417600000,0.10625,0.11059,0.10425,0.10838,147329.37585096
OXT-EUR,1737331200000,0.10382,0.11511,0.10177,0.10745,480744.09223648
OXT-EUR,1737244800000,0.11176,0.1143,0.10374,0.10383,600311.01869507
OXT-EUR,1737158400000,0.11859,0.11906,0.11,0.11273,53524.68207179
OXT-EUR,1737072000000,0.11221,0.11906,0.11221,0.11818,538714.99299416
OXT-EUR,1736985600000,0.11465,0.11468,0.10986,0.1103,222293.77287145
OXT-EUR,1736899200000,0.10883,0.11538,0.10666,0.1142,145992.90170241
OXT-EUR,1736812800000,0.10386,0.11036,0.10365,0.11036,388427.7771162
OXT-EUR,1736726400000,0.1039,0.10583,0.097416,0.10373,698840.61333039
OXT-EUR,1736640000000,0.10728,0.10773,0.10445,0.1058,23470.26696474
OXT-EUR,1736553600000,0.11097,0.11134,0.10775,0.11091,114610.11619497
OXT-EUR,1736467200000,0.10919,0.11139,0.10621,0.11139,98818.96168488
OXT-EUR,1736380800000,0.11285,0.11559,0.1068,0.10706,410612.0083272
OXT-EUR,1736294400000,0.10851,0.1146,0.10494,0.1146,98834.06444996
OXT-EUR,1736208000000,0.11952,0.11952,0.1093,0.1093,227784.93935529
OXT-EUR,1736121600000,0.11932,0.12349,0.11856,0.11962,226246.14507409
OXT-EUR,1736035200000,0.12278,0.12524,0.11919,0.12087,171581.83927448
OXT-EUR,1735948800000,0.12136,0.12401,0.12065,0.1229,94847.31534376
OXT-EUR,1735862400000,0.11692,0.12376,0.11505,0.12236,122540.55460027
OXT-EUR,1735776000000,0.11614,0.1205,0.11486,0.11687,153833.68909705
OXT-EUR,1735689600000,0.11037,0.11544,0.10718,0.11414,354825.1041521
OXT-EUR,1735603200000,0.11192,0.114,0.1085,0.1085,160262.4566393
OXT-EUR,1735516800000,0.11354,0.11757,0.10886,0.11364,126083.84444412
OXT-EUR,1735430400000,0.12375,0.12418,0.11399,0.11399,462423.85683604
OXT-EUR,1735344000000,0.11182,0.12953,0.1114,0.12362,3276352.73173128
OXT-EUR,1735257600000,0.10652,0.12199,0.10643,0.11117,2513185.27757302
OXT-EUR,1735171200000,0.11847,0.11923,0.1036,0.10584,485524.66391022
OXT-EUR,1735084800000,0.11737,0.12564,0.11737,0.11991,454981.71108203
OXT-EUR,1734998400000,0.11141,0.11897,0.10934,0.11825,215300.26221396
OXT-EUR,1734912000000,0.10122,0.11216,0.10027,0.11125,96710.15752204
OXT-EUR,1734825600000,0.10399,0.10464,0.09975,0.1027,76177.90847924
OXT-EUR,1734739200000,0.10291,0.11333,0.10177,0.10262,654862.98245774
OXT-EUR,1734652800000,0.09927,0.10232,0.086149,0.10177,1057041.68366249
OXT-EUR,1734566400000,0.10101,0.10366,0.094406,0.097573,337970.70470345
OXT-EUR,1734480000000,0.10922,0.11129,0.10153,0.1023,170183.64504102
OXT-EUR,1734393600000,0.112,0.11517,0.10965,0.10972,118892.97773851
OXT-EUR,1734307200000,0.11917,0.12063,0.11252,0.11335,581829.43177
OXT-EUR,1734220800000,0.1122,0.1192,0.10989,0.11526,262516.22225243
OXT-EUR,1734134400000,0.11809,0.11907,0.11074,0.11203,424800.10584391
OXT-EUR,1734048000000,0.11879,0.1221,0.11513,0.11686,170795.97747747
OXT-EUR,1733961600000,0.1188,0.12787,0.11635,0.1173,417060.73864631
OXT-EUR,1733875200000,0.10457,0.11791,0.10338,0.11619,1010926.44316167
OXT-EUR,1733788800000,0.1062,0.10942,0.09678,0.10682,1231445.73943442
OXT-EUR,1733702400000,0.1296,0.1296,0.094109,0.1065,1874720.90183154
OXT-EUR,1733616000000,0.12937,0.13037,0.12432,0.13023,583267.62011254
OXT-EUR,1733529600000,0.13321,0.13321,0.12776,0.1298,170335.40039592
OXT-EUR,1733443200000,0.13578,0.13833,0.12779,0.13241,562000.55145844
OXT-EUR,1733356800000,0.12776,0.141,0.12091,0.13377,2801977.17665323
OXT-EUR,1733270400000,0.12752,0.13827,0.1266,0.12799,1370886.19014568
OXT-EUR,1733184000000,0.11967,0.12901,0.115,0.12833,1575369.36839693
OXT-EUR,1733097600000,0.11322,0.12121,0.10441,0.12076,816953.34438674
OXT-EUR,1733011200000,0.11329,0.11647,0.10867,0.11396,2178351.73972454
OXT-EUR,1732924800000,0.10626,0.11626,0.10597,0.11422,912911.79323107
OXT-EUR,1732838400000,0.10563,0.10857,0.10228,0.10716,416053.49048681
OXT-EUR,1732752000000,0.10676,0.10731,0.10176,0.10584,1463065.11047752
OXT-EUR,1732665600000,0.1014,0.10957,0.09798,0.10632,3556220.193484
OXT-EUR,1732579200000,0.10286,0.10821,0.096965,0.10136,3458997.63560406
OXT-EUR,1732492800000,0.11721,0.1208,0.10112,0.10283,12347231.25448411
OXT-EUR,1732406400000,0.083667,0.15174,0.083569,0.11784,96190483.16685008
OXT-EUR,1732320000000,0.074302,0.084312,0.073777,0.083,1107174.94863903
OXT-EUR,1732233600000,0.075392,0.075392,0.07,0.074107,960450.69450029
OXT-EUR,1732147200000,0.073745,0.076448,0.070958,0.075168,721872.56759169
OXT-EUR,1732060800000,0.076528,0.076528,0.071604,0.073083,809104.95932197
OXT-EUR,1731974400000,0.078188,0.078545,0.074944,0.077306,114435.17160081
OXT-EUR,1731888000000,0.075601,0.080306,0.07527,0.078209,1302052.49326621
OXT-EUR,1731801600000,0.07366,0.087558,0.069724,0.075255,3524283.52337388
OXT-EUR,1731715200000,0.066785,0.07412,0.066785,0.0737,376985.97508363
OXT-EUR,1731628800000,0.065406,0.067301,0.063234,0.066796,660206.53763053
OXT-EUR,1731542400000,0.065895,0.068507,0.063854,0.066261,238387.03450383
OXT-EUR,1731456000000,0.068166,0.06936,0.062423,0.065777,1889208.68403665
OXT-EUR,1731369600000,0.069388,0.071539,0.06244,0.068387,2644620.81680351
OXT-EUR,1731283200000,0.067377,0.070197,0.067249,0.06999,1173231.20577031
OXT-EUR,1731196800000,0.064294,0.069301,0.063163,0.067057,378658.34544871
OXT-EUR,1731110400000,0.063078,0.065003,0.062991,0.065003,206468.40751531
OXT-EUR,1731024000000,0.062709,0.063025,0.060832,0.063025,75648.24713184
OXT-EUR,1730937600000,0.06303,0.063374,0.06125,0.061939,88173.87861576
OXT-EUR,1730851200000,0.057188,0.062224,0.057188,0.062224,185130.87518389
OXT-EUR,1730764800000,0.054897,0.056884,0.054878,0.055664,23113.6413238
OXT-EUR,1730678400000,0.056219,0.056219,0.05329,0.0544,139768.0171579
OXT-EUR,1730592000000,0.059845,0.059845,0.055195,0.056558,393788.55427326
OXT-EUR,1730505600000,0.058914,0.06621,0.058499,0.060043,2475328.43502691
OXT-EUR,1730419200000,0.059306,0.061651,0.058,0.058605,65774.13671519
OXT-EUR,1730332800000,0.061764,0.061764,0.058976,0.059249,48951.6470654
OXT-EUR,1730246400000,0.063979,0.063979,0.062302,0.062377,19552.30236942
OXT-EUR,1730160000000,0.06205,0.064066,0.06205,0.064029,107099.3222551
OXT-EUR,1730073600000,0.06,0.061754,0.059711,0.061754,83417.49336125
OXT-EUR,1729987200000,0.060605,0.061875,0.060586,0.061475,23047.91641465
