market,time,open,high,low,close,volume
PEAQ-EUR,1741219200000,0.14981,0.14981,0.14956,0.14956,752.55038772
PEAQ-EUR,1741132800000,0.13586,0.15508,0.12931,0.13149,1154954.60950207
PEAQ-EUR,1741046400000,0.13102,0.13528,0.1252,0.1277,1124774.75336317
PEAQ-EUR,1740960000000,0.15705,0.15981,0.1309,0.13292,1297932.84438033
PEAQ-EUR,1740873600000,0.14149,0.16028,0.13869,0.15656,1879860.60823834
PEAQ-EUR,1740787200000,0.14513,0.14799,0.13723,0.1404,889356.58268199
PEAQ-EUR,1740700800000,0.14235,0.14757,0.1341,0.14533,1321423.89069342
PEAQ-EUR,1740614400000,0.1459,0.15059,0.13781,0.14251,992977.14874643
PEAQ-EUR,1740528000000,0.14555,0.15175,0.13824,0.14561,1801239.5532426
PEAQ-EUR,1740441600000,0.14609,0.15327,0.14001,0.14596,2300294.13748583
PEAQ-EUR,1740355200000,0.1713,0.17181,0.145,0.14555,1430788.16410658
PEAQ-EUR,1740268800000,0.17784,0.17784,0.16393,0.17239,1375609.11734965
PEAQ-EUR,1740182400000,0.1722,0.18476,0.16958,0.178,1520473.33324766
PEAQ-EUR,1740096000000,0.20121,0.20434,0.16642,0.17235,7050925.03349126
PEAQ-EUR,1740009600000,0.17703,0.24875,0.177,0.201,18147825.31221002
PEAQ-EUR,1739923200000,0.13418,0.18487,0.13344,0.178,9132113.55978604
PEAQ-EUR,1739836800000,0.15551,0.15602,0.12869,0.13477,5009142.41859029
PEAQ-EUR,1739750400000,0.177,0.17909,0.15308,0.15555,3526797.84596169
PEAQ-EUR,1739664000000,0.19062,0.19102,0.1712,0.17682,2903594.83434962
PEAQ-EUR,1739577600000,0.19575,0.20093,0.19051,0.19253,688451.24669316
PEAQ-EUR,1739491200000,0.19322,0.2053,0.19196,0.19566,903342.84547786
PEAQ-EUR,1739404800000,0.2088,0.21068,0.19225,0.19459,815815.80267438
PEAQ-EUR,1739318400000,0.20798,0.21181,0.19645,0.20863,1324256.00309262
PEAQ-EUR,1739232000000,0.22603,0.24024,0.19941,0.2078,2226175.23886651
PEAQ-EUR,1739145600000,0.23667,0.24316,0.22152,0.22662,1775378.9384586
