market,time,open,high,low,close,volume
PENGU-EUR,1741132800000,0.0063718,0.0063718,0.0059089,0.0060502,21211533.61985859
PENGU-EUR,1741046400000,0.006805,0.0068056,0.0059445,0.0063572,88416701.3919185
PENGU-EUR,1740960000000,0.0068972,0.0088978,0.0066313,0.007486,24185221.27444095
PENGU-EUR,1740873600000,0.0085282,0.0090156,0.0082,0.0082952,43319929.54740803
PENGU-EUR,1740787200000,0.0088369,0.0089794,0.0083636,0.0084603,54308711.0136466
PENGU-EUR,1740700800000,0.0077722,0.0091447,0.0073,0.0087611,126454925.5284226
PENGU-EUR,1740614400000,0.0080339,0.0084386,0.0077282,0.0077438,27051494.46214284
PENGU-EUR,1740528000000,0.0077024,0.0080925,0.0075,0.0078929,48010864.34455232
PENGU-EUR,1740441600000,0.007,0.0081028,0.0064358,0.0076575,65033077.95677836
PENGU-EUR,1740355200000,0.0082765,0.0085346,0.0067386,0.0069089,61864544.49892793
PENGU-EUR,1740268800000,0.0085386,0.0085386,0.0078644,0.0082623,32771802.94609054
PENGU-EUR,1740182400000,0.007988,0.0089165,0.0079213,0.0085937,41135853.75015108
PENGU-EUR,1740096000000,0.0083242,0.00913,0.0079181,0.0080115,49568981.94902086
PENGU-EUR,1740009600000,0.0076941,0.0084145,0.00764,0.0082605,21586132.47674129
PENGU-EUR,1739923200000,0.0079191,0.0080528,0.0075246,0.0076537,19314893.53322542
PENGU-EUR,1739836800000,0.0088092,0.0088967,0.0074786,0.0079018,30153509.86540047
PENGU-EUR,1739750400000,0.0092295,0.0095547,0.00865,0.0087836,25447376.59425473
PENGU-EUR,1739664000000,0.0096404,0.0097187,0.0091444,0.0092363,13072569.61063443
PENGU-EUR,1739577600000,0.010245,0.010522,0.009398,0.0096823,20758477.46041045
PENGU-EUR,1739491200000,0.0097646,0.010991,0.0096273,0.010254,44238835.7872884
PENGU-EUR,1739404800000,0.010186,0.0109,0.009027,0.0097121,57647088.75517393
PENGU-EUR,1739318400000,0.0095976,0.010162,0.0089727,0.010162,42142160.16335997
PENGU-EUR,1739232000000,0.0097535,0.010764,0.0094389,0.0096527,27896556.68081673
PENGU-EUR,1739145600000,0.0096878,0.01038,0.0093,0.0097225,28376960.59511089
PENGU-EUR,1739059200000,0.010262,0.010524,0.0090237,0.0097218,38671021.62071648
PENGU-EUR,1738972800000,0.0098544,0.010513,0.0097604,0.010269,28930044.62237921
PENGU-EUR,1738886400000,0.010278,0.01185,0.0094426,0.009843,52265374.140402
PENGU-EUR,1738800000000,0.011334,0.011595,0.010217,0.010286,28214573.56099084
PENGU-EUR,1738713600000,0.012725,0.013491,0.011102,0.011185,36232051.30976577
PENGU-EUR,1738627200000,0.013093,0.013278,0.011674,0.0126,35446023.11912718
PENGU-EUR,1738540800000,0.012734,0.013495,0.0093268,0.013195,71461249.32841603
PENGU-EUR,1738454400000,0.0132,0.014003,0.01167,0.012636,50187672.99915291
PENGU-EUR,1738368000000,0.014285,0.016489,0.012839,0.01312,88665772.56495674
PENGU-EUR,1738281600000,0.014189,0.015278,0.013304,0.014263,109005788.9016835
PENGU-EUR,1738195200000,0.014516,0.015218,0.013858,0.014149,93322206.10443676
PENGU-EUR,1738108800000,0.014964,0.016143,0.014359,0.014465,72899864.1732961
PENGU-EUR,1738022400000,0.020513,0.020763,0.014737,0.014925,165286086.410832
PENGU-EUR,1737936000000,0.02361,0.02396,0.019699,0.020371,44695365.93877798
PENGU-EUR,1737849600000,0.021983,0.026115,0.021883,0.023678,60587806.59779769
PENGU-EUR,1737763200000,0.0216,0.022282,0.020773,0.021955,22692113.60912666
PENGU-EUR,1737676800000,0.023009,0.024564,0.021613,0.02164,17576781.69639313
PENGU-EUR,1737590400000,0.023292,0.025099,0.022208,0.023001,96324233.86725318
PENGU-EUR,1737504000000,0.022647,0.025578,0.022027,0.023285,90336440.24036734
PENGU-EUR,1737417600000,0.023668,0.023967,0.021519,0.022706,36585336.43755788
PENGU-EUR,1737331200000,0.024656,0.026484,0.021524,0.023612,58169687.80591328
PENGU-EUR,1737244800000,0.028784,0.029099,0.024571,0.024663,87155518.78985348
PENGU-EUR,1737158400000,0.031517,0.032068,0.025892,0.028724,65148644.90092233
PENGU-EUR,1737072000000,0.031728,0.032928,0.03047,0.031467,31178975.10447769
PENGU-EUR,1736985600000,0.03443,0.03443,0.030127,0.031714,43192224.51010928
PENGU-EUR,1736899200000,0.030985,0.035025,0.029277,0.034499,51789551.97212007
PENGU-EUR,1736812800000,0.03043,0.0327,0.030281,0.03105,23789490.69916762
PENGU-EUR,1736726400000,0.031739,0.033401,0.02748,0.030565,36934491.38118298
PENGU-EUR,1736640000000,0.031973,0.033251,0.030673,0.031738,12786721.27237474
PENGU-EUR,1736553600000,0.03273,0.032982,0.030857,0.032095,18990734.48921028
PENGU-EUR,1736467200000,0.032634,0.034855,0.03154,0.032672,28364900.86509761
PENGU-EUR,1736380800000,0.034858,0.036224,0.0305,0.032381,30417682.55668252
PENGU-EUR,1736294400000,0.036194,0.036798,0.031648,0.034872,40898371.72071591
PENGU-EUR,1736208000000,0.041522,0.042205,0.036068,0.036092,43695245.62337881
PENGU-EUR,1736121600000,0.038931,0.0451,0.038345,0.041351,67899761.62071843
PENGU-EUR,1736035200000,0.039319,0.043062,0.038625,0.03888,84851437.88479587
PENGU-EUR,1735948800000,0.0361,0.040946,0.0342,0.039239,83138145.05784295
PENGU-EUR,1735862400000,0.036177,0.036597,0.033278,0.036207,60503715.92781203
PENGU-EUR,1735776000000,0.03795,0.039387,0.035595,0.036158,60491369.77153331
PENGU-EUR,1735689600000,0.032029,0.038587,0.031712,0.037815,74581368.11568637
PENGU-EUR,1735603200000,0.029791,0.03305,0.028455,0.032134,55219780.44610456
PENGU-EUR,1735516800000,0.03058,0.031657,0.028981,0.029793,42228037.26958367
PENGU-EUR,1735430400000,0.03445,0.034879,0.030147,0.03058,43750225.5002165
PENGU-EUR,1735344000000,0.032471,0.035371,0.031827,0.034468,49817960.69514698
PENGU-EUR,1735257600000,0.036459,0.036607,0.031906,0.03253,83324443.2047109
PENGU-EUR,1735171200000,0.036299,0.041805,0.034758,0.036599,155130225.26214555
PENGU-EUR,1735084800000,0.034595,0.0379,0.033,0.036232,120611828.7888062
PENGU-EUR,1734998400000,0.028926,0.036217,0.027,0.034429,240303321.54425094
PENGU-EUR,1734912000000,0.024867,0.02979,0.024149,0.029031,88034769.05351841
PENGU-EUR,1734825600000,0.0274,0.0274,0.024414,0.024917,65067179.27009684
PENGU-EUR,1734739200000,0.026713,0.031028,0.026268,0.027476,96719783.59341867
PENGU-EUR,1734652800000,0.027634,0.028844,0.02198,0.026722,139909053.21728015
PENGU-EUR,1734566400000,0.034448,0.035679,0.025876,0.027635,238969366.5108605
PENGU-EUR,1734480000000,0.02732,0.037882,0.02523,0.03446,679377062.1673882
PENGU-EUR,1734393600000,0.04149,0.04149,0.025646,0.027372,492302270.4390494
