market,time,open,high,low,close,volume
PEOPLE-EUR,1741132800000,0.016722,0.017543,0.016431,0.016772,1693116.62427043
PEOPLE-EUR,1741046400000,0.018606,0.018676,0.015752,0.016895,6355351.69072428
PEOPLE-EUR,1740960000000,0.022305,0.022669,0.018592,0.019305,4810045.00027961
PEOPLE-EUR,1740873600000,0.019186,0.022826,0.018997,0.020947,2937728.23894633
PEOPLE-EUR,1740787200000,0.020391,0.020679,0.018668,0.018902,1805083.57186397
PEOPLE-EUR,1740700800000,0.019917,0.021206,0.018427,0.020562,3216964.27329367
PEOPLE-EUR,1740614400000,0.019305,0.020733,0.019305,0.019845,17258150.00679919
PEOPLE-EUR,1740528000000,0.018784,0.019798,0.018529,0.019659,1726374.61706604
PEOPLE-EUR,1740441600000,0.016542,0.019462,0.015882,0.018598,2467247.74862568
PEOPLE-EUR,1740355200000,0.020329,0.020329,0.016264,0.016721,1755162.80067426
PEOPLE-EUR,1740268800000,0.021246,0.021246,0.02008,0.020228,1196023.46914214
PEOPLE-EUR,1740182400000,0.019883,0.021882,0.01952,0.021345,3601501.05758578
PEOPLE-EUR,1740096000000,0.019295,0.02128,0.019241,0.019356,2606087.37873948
PEOPLE-EUR,1740009600000,0.01856,0.019232,0.018366,0.019232,381604.24696979
PEOPLE-EUR,1739923200000,0.017811,0.018956,0.017811,0.018221,589730.01771745
PEOPLE-EUR,1739836800000,0.018698,0.018698,0.017164,0.017688,1071265.71246658
PEOPLE-EUR,1739750400000,0.01951,0.019847,0.018473,0.018837,436478.32114365
PEOPLE-EUR,1739664000000,0.01937,0.019752,0.019209,0.019209,78981.79553285
PEOPLE-EUR,1739577600000,0.019976,0.020025,0.019031,0.019074,771899.02742107
PEOPLE-EUR,1739491200000,0.019958,0.02126,0.019445,0.01995,2326093.31554453
PEOPLE-EUR,1739404800000,0.020813,0.022278,0.01969,0.01969,2720738.45564363
PEOPLE-EUR,1739318400000,0.019543,0.020851,0.018873,0.020851,3091348.88454621
PEOPLE-EUR,1739232000000,0.01928,0.020828,0.018937,0.019048,1654009.97998718
PEOPLE-EUR,1739145600000,0.01928,0.019486,0.018023,0.019042,1946445.43388248
PEOPLE-EUR,1739059200000,0.018952,0.019729,0.017694,0.019076,2173467.62005383
PEOPLE-EUR,1738972800000,0.017866,0.019061,0.017324,0.018934,999360.09208892
PEOPLE-EUR,1738886400000,0.018022,0.019455,0.017238,0.017335,3986671.4421803
PEOPLE-EUR,1738800000000,0.01892,0.0191,0.017442,0.017607,2051194.29163838
PEOPLE-EUR,1738713600000,0.019223,0.019831,0.018512,0.018557,2325759.64363296
PEOPLE-EUR,1738627200000,0.020579,0.020579,0.018248,0.019277,3833312.17035905
