market,time,open,high,low,close,volume
POL-EUR,1741219200000,0.23725,0.23758,0.23725,0.23758,2102.09239293
POL-EUR,1741132800000,0.23247,0.24143,0.23009,0.23285,1175424.94266635
POL-EUR,1741046400000,0.24023,0.24439,0.21793,0.23286,1545956.47986805
POL-EUR,1740960000000,0.29,0.29128,0.23878,0.26462,3521704.51190664
POL-EUR,1740873600000,0.27093,0.29971,0.26542,0.29146,2198351.29952564
POL-EUR,1740787200000,0.2611,0.27553,0.25668,0.27387,1356029.48805839
POL-EUR,1740700800000,0.26608,0.26662,0.2452,0.26221,2394938.76832877
POL-EUR,1740614400000,0.26251,0.27393,0.25929,0.2661,1911465.37370479
POL-EUR,1740528000000,0.25843,0.26939,0.25171,0.2598,2039106.7797436
POL-EUR,1740441600000,0.25515,0.2621,0.23795,0.25906,5359076.2737848
POL-EUR,1740355200000,0.28336,0.28466,0.25167,0.25472,3138404.4380767
POL-EUR,1740268800000,0.28413,0.28624,0.27741,0.28287,868033.08140175
POL-EUR,1740182400000,0.27913,0.28647,0.27851,0.28433,2844387.76849105
POL-EUR,1740096000000,0.29299,0.3021,0.274,0.27971,2620274.63799229
POL-EUR,1740009600000,0.28849,0.296,0.28558,0.2929,1242568.97439666
POL-EUR,1739923200000,0.28935,0.2955,0.2852,0.28929,1504148.17237014
POL-EUR,1739836800000,0.30484,0.30609,0.27888,0.28916,2203790.36956614
POL-EUR,1739750400000,0.31084,0.31939,0.2984,0.30522,1157321.49764233
POL-EUR,1739664000000,0.30297,0.31662,0.30031,0.31034,702482.64633462
POL-EUR,1739577600000,0.30706,0.31204,0.3006,0.30301,562435.86812038
POL-EUR,1739491200000,0.30404,0.31418,0.30168,0.30808,1336460.70229006
POL-EUR,1739404800000,0.31662,0.31862,0.2984,0.30326,1301420.94605732
POL-EUR,1739318400000,0.29591,0.32,0.29014,0.31654,2988875.34306529
POL-EUR,1739232000000,0.30368,0.31977,0.29326,0.29661,1392327.84313576
POL-EUR,1739145600000,0.29722,0.30401,0.28633,0.30362,1304322.14370485
POL-EUR,1739059200000,0.2998,0.30685,0.2845,0.29549,926514.9007937
POL-EUR,1738972800000,0.28973,0.29999,0.28772,0.29961,750666.38042697
POL-EUR,1738886400000,0.28709,0.30839,0.28063,0.2893,1827842.70088041
POL-EUR,1738800000000,0.29929,0.309,0.28384,0.28494,1460007.70371948
POL-EUR,1738713600000,0.30232,0.31214,0.29519,0.29927,1698080.0181054
POL-EUR,1738627200000,0.33123,0.33339,0.2915,0.30306,1981133.32247756
POL-EUR,1738540800000,0.32522,0.33487,0.24,0.33073,7505916.86650611
POL-EUR,1738454400000,0.36234,0.37278,0.311,0.32529,4492599.02274846
POL-EUR,1738368000000,0.39309,0.39883,0.35957,0.3621,931438.49260988
POL-EUR,1738281600000,0.39556,0.40739,0.38813,0.3932,1164999.98010213
POL-EUR,1738195200000,0.37892,0.40328,0.37675,0.39612,739211.17770359
POL-EUR,1738108800000,0.37431,0.38937,0.36817,0.37826,886652.8932485
POL-EUR,1738022400000,0.39845,0.40141,0.36997,0.3752,946444.15831148
POL-EUR,1737936000000,0.41437,0.42031,0.37219,0.39557,2525651.86627261
POL-EUR,1737849600000,0.41445,0.42683,0.41273,0.41582,441018.8791906
POL-EUR,1737763200000,0.41222,0.41839,0.40863,0.41422,355020.4056599
POL-EUR,1737676800000,0.42604,0.42902,0.40952,0.41267,1149837.60421365
POL-EUR,1737590400000,0.4244,0.43037,0.41266,0.42506,1287504.83158932
POL-EUR,1737504000000,0.43554,0.4359,0.42234,0.42482,937281.55384508
POL-EUR,1737417600000,0.42393,0.44571,0.41225,0.43517,1754387.10798719
POL-EUR,1737331200000,0.43118,0.48616,0.415,0.423,6230508.82431564
POL-EUR,1737244800000,0.46868,0.48017,0.4235,0.43309,4700468.80814618
POL-EUR,1737158400000,0.49348,0.49802,0.45502,0.46902,2616464.54415536
POL-EUR,1737072000000,0.4597,0.50178,0.4597,0.49321,2310193.96859852
POL-EUR,1736985600000,0.47372,0.47591,0.45485,0.46004,2286609.38031673
POL-EUR,1736899200000,0.44248,0.47404,0.43381,0.47271,2047124.51537945
POL-EUR,1736812800000,0.42827,0.44423,0.4267,0.44168,1157259.01816249
POL-EUR,1736726400000,0.43946,0.44857,0.40117,0.42809,1984951.62087645
POL-EUR,1736640000000,0.4484,0.45134,0.43418,0.43932,617738.4511909
POL-EUR,1736553600000,0.44757,0.45338,0.44019,0.4472,884638.65706108
POL-EUR,1736467200000,0.43693,0.45143,0.43451,0.44677,1040515.82855655
POL-EUR,1736380800000,0.45033,0.45331,0.42647,0.43639,1592032.28025933
POL-EUR,1736294400000,0.45487,0.46035,0.42589,0.44998,1767846.17413308
POL-EUR,1736208000000,0.50545,0.50691,0.45165,0.45534,2320222.10495135
POL-EUR,1736121600000,0.50295,0.5179,0.49292,0.50543,1672192.55384864
POL-EUR,1736035200000,0.50766,0.51018,0.49196,0.50134,542876.37239078
POL-EUR,1735948800000,0.5056,0.51425,0.49779,0.50869,918392.53579383
POL-EUR,1735862400000,0.47237,0.50895,0.46772,0.504,1028015.60269213
POL-EUR,1735776000000,0.45755,0.48038,0.45567,0.4718,947679.2413595
POL-EUR,1735689600000,0.4355,0.46151,0.43003,0.4566,633114.41887794
POL-EUR,1735603200000,0.44254,0.45821,0.432,0.43583,613012.94942964
POL-EUR,1735516800000,0.44592,0.45893,0.4336,0.44328,835124.55206856
POL-EUR,1735430400000,0.46951,0.46951,0.44197,0.44732,431301.91090648
POL-EUR,1735344000000,0.46183,0.472,0.45436,0.46919,496435.47775315
POL-EUR,1735257600000,0.45711,0.4806,0.45366,0.46057,757985.09371522
POL-EUR,1735171200000,0.49521,0.49826,0.45277,0.45646,601519.98261837
POL-EUR,1735084800000,0.50785,0.50788,0.48673,0.49514,498485.08170792
POL-EUR,1734998400000,0.48163,0.51316,0.47313,0.5082,826594.14778198
POL-EUR,1734912000000,0.45351,0.48672,0.4439,0.48135,954621.48333666
POL-EUR,1734825600000,0.45499,0.47129,0.44266,0.45422,604358.22613326
POL-EUR,1734739200000,0.47912,0.50291,0.44662,0.45496,1337300.14261962
POL-EUR,1734652800000,0.46099,0.48317,0.39578,0.4784,3561819.8803448
POL-EUR,1734566400000,0.49974,0.50681,0.44312,0.45823,2194647.40135259
POL-EUR,1734480000000,0.5406,0.54095,0.48678,0.4996,1737427.83229721
POL-EUR,1734393600000,0.56434,0.57157,0.53283,0.53832,1330016.27340994
POL-EUR,1734307200000,0.5868,0.59324,0.55771,0.5632,1545840.42375377
POL-EUR,1734220800000,0.57098,0.58724,0.5555,0.58523,739669.17059837
POL-EUR,1734134400000,0.59161,0.59803,0.55711,0.57204,567336.72433984
POL-EUR,1734048000000,0.59447,0.602,0.58083,0.59155,827869.8506478
POL-EUR,1733961600000,0.59701,0.63725,0.58827,0.59558,1104664.17001561
POL-EUR,1733875200000,0.55264,0.6062,0.52788,0.59938,1426892.44288705
POL-EUR,1733788800000,0.54561,0.57332,0.50202,0.55022,3255772.72802494
POL-EUR,1733702400000,0.66499,0.66499,0.49008,0.55491,4524363.22557989
POL-EUR,1733616000000,0.66042,0.66943,0.64133,0.66511,1367035.00094264
POL-EUR,1733529600000,0.67415,0.67771,0.65714,0.66197,1150965.63999891
POL-EUR,1733443200000,0.6439,0.68645,0.62404,0.67628,2326716.41926117
POL-EUR,1733356800000,0.67197,0.68579,0.6195,0.64395,4242716.39299101
POL-EUR,1733270400000,0.66951,0.71285,0.66274,0.67389,5865485.45634989
POL-EUR,1733184000000,0.62552,0.73099,0.61366,0.66831,10268202.26393523
POL-EUR,1733097600000,0.57256,0.62526,0.54263,0.62526,6391043.37527746
POL-EUR,1733011200000,0.564,0.58061,0.54562,0.57119,2050567.69234598
POL-EUR,1732924800000,0.5514,0.586,0.541,0.56489,2714753.5253725
POL-EUR,1732838400000,0.53351,0.55586,0.52693,0.5508,1782178.45706116
POL-EUR,1732752000000,0.54885,0.54885,0.51916,0.53345,1495458.04231103
POL-EUR,1732665600000,0.50193,0.5534,0.49306,0.55111,2169714.13172885
POL-EUR,1732579200000,0.5233,0.53844,0.46923,0.50426,3669731.39726371
POL-EUR,1732492800000,0.54836,0.59006,0.51441,0.52259,5887289.41659861
POL-EUR,1732406400000,0.54434,0.57289,0.4985,0.5492,5036152.13996427
POL-EUR,1732320000000,0.47449,0.58542,0.46965,0.54519,10241960.7963753
POL-EUR,1732233600000,0.43228,0.47459,0.42467,0.47459,6016226.44814143
POL-EUR,1732147200000,0.40855,0.43621,0.39631,0.43159,3723566.0878242
POL-EUR,1732060800000,0.40825,0.44,0.39802,0.40776,3749141.0128869
POL-EUR,1731974400000,0.43203,0.43255,0.40111,0.40812,2462267.60427709
POL-EUR,1731888000000,0.37909,0.44627,0.37462,0.4321,8407834.66722239
POL-EUR,1731801600000,0.40132,0.41852,0.37065,0.37925,3184719.51906307
POL-EUR,1731715200000,0.35238,0.42,0.35029,0.40156,4854103.59276194
POL-EUR,1731628800000,0.34033,0.35473,0.33152,0.35139,2323990.43840301
POL-EUR,1731542400000,0.35483,0.36229,0.33577,0.34116,3487220.92718207
POL-EUR,1731456000000,0.37529,0.37951,0.33879,0.35556,6220594.92607765
POL-EUR,1731369600000,0.39837,0.41866,0.35306,0.37549,7487309.51431923
POL-EUR,1731283200000,0.37796,0.39933,0.36923,0.39765,5076832.9157386
POL-EUR,1731196800000,0.3596,0.39625,0.35193,0.37832,5817745.13377688
POL-EUR,1731110400000,0.36694,0.36997,0.3475,0.36004,1493666.59978678
POL-EUR,1731024000000,0.32077,0.38,0.31467,0.36645,6238827.67672977
POL-EUR,1730937600000,0.30951,0.3255,0.309,0.32064,1158335.58255929
POL-EUR,1730851200000,0.27898,0.31348,0.27898,0.31077,1323514.65287513
POL-EUR,1730764800000,0.26852,0.28227,0.26852,0.27799,1096872.56747189
POL-EUR,1730678400000,0.27691,0.27847,0.26244,0.2685,957106.59958336
POL-EUR,1730592000000,0.28977,0.29073,0.272,0.27699,1264833.43540928
POL-EUR,1730505600000,0.2952,0.29623,0.28714,0.28966,360393.33287052
POL-EUR,1730419200000,0.29426,0.29916,0.28726,0.29393,466306.08971682
POL-EUR,1730332800000,0.3067,0.3067,0.29,0.2952,384491.97445524
POL-EUR,1730246400000,0.30808,0.31144,0.30396,0.30756,463682.37431404
POL-EUR,1730160000000,0.30109,0.313,0.29973,0.30915,876858.71785004
POL-EUR,1730073600000,0.30612,0.30612,0.28899,0.30121,480310.33577176
POL-EUR,1729987200000,0.30399,0.307,0.30161,0.30612,290536.92664353
POL-EUR,1729900800000,0.29768,0.30578,0.29605,0.30508,506570.96136006
POL-EUR,1729814400000,0.32904,0.32935,0.285,0.2981,1261126.44885155
POL-EUR,1729728000000,0.32905,0.33265,0.32642,0.32836,473889.18167173
POL-EUR,1729641600000,0.33946,0.33946,0.32143,0.32954,729346.63255628
POL-EUR,1729555200000,0.34295,0.34538,0.33613,0.339,459471.14288205
POL-EUR,1729468800000,0.35341,0.35634,0.34,0.34266,443631.28092344
POL-EUR,1729382400000,0.34154,0.354,0.33831,0.35357,1276448.54946529
POL-EUR,1729296000000,0.3405,0.34663,0.34036,0.34185,366086.03965149
POL-EUR,1729209600000,0.33691,0.34119,0.33542,0.34033,328037.8709461
POL-EUR,1729123200000,0.34307,0.34317,0.33347,0.33692,487990.16240554
POL-EUR,1729036800000,0.33991,0.34342,0.33696,0.34232,315379.46290279
POL-EUR,1728950400000,0.34387,0.34633,0.33174,0.3404,579378.52069428
POL-EUR,1728864000000,0.33529,0.34513,0.3342,0.3439,739328.49570537
POL-EUR,1728777600000,0.33885,0.33975,0.32961,0.33433,448567.09652855
POL-EUR,1728691200000,0.34202,0.34342,0.3386,0.33876,336084.58114719
POL-EUR,1728604800000,0.33693,0.34272,0.33579,0.34123,386948.87095971
POL-EUR,1728518400000,0.3356,0.33809,0.32961,0.337,292776.04854172
POL-EUR,1728432000000,0.34234,0.34696,0.33,0.33576,224732.68738423
POL-EUR,1728345600000,0.34198,0.34543,0.338,0.34219,429837.98874333
POL-EUR,1728259200000,0.34847,0.3552,0.34,0.34112,393264.33615025
POL-EUR,1728172800000,0.34559,0.35029,0.34389,0.34923,221985.09033646
POL-EUR,1728086400000,0.35052,0.35138,0.34254,0.34519,203530.80110064
POL-EUR,1728000000000,0.34059,0.3522,0.34005,0.34937,508232.01291039
POL-EUR,1727913600000,0.33889,0.34355,0.33,0.34059,402560.42376149
POL-EUR,1727827200000,0.33919,0.34951,0.33285,0.33792,689847.20253237
POL-EUR,1727740800000,0.35564,0.36517,0.33156,0.33973,1011737.22938018
POL-EUR,1727654400000,0.37722,0.37726,0.3532,0.35588,773043.99894348
POL-EUR,1727568000000,0.37991,0.3813,0.37097,0.37731,423173.70882143
POL-EUR,1727481600000,0.38836,0.39215,0.37491,0.38025,512788.59180921
POL-EUR,1727395200000,0.38109,0.39277,0.37979,0.38907,636439.07964945
POL-EUR,1727308800000,0.36832,0.38684,0.362,0.381,679354.23153598
POL-EUR,1727222400000,0.36593,0.37494,0.362,0.36738,1018985.53300022
POL-EUR,1727136000000,0.3657,0.36762,0.35854,0.36576,1210900.45300026
