market,time,open,high,low,close,volume
POND-EUR,1741132800000,0.010094,0.01086,0.010071,0.010432,1300304.1576612
POND-EUR,1741046400000,0.010563,0.010763,0.0096953,0.010129,2565020.74359338
POND-EUR,1740960000000,0.0106,0.012423,0.010408,0.010602,5026839.64817682
POND-EUR,1740873600000,0.01163,0.012493,0.011522,0.011549,3273444.04476194
POND-EUR,1740787200000,0.011184,0.011618,0.01095,0.011276,1602519.00798585
POND-EUR,1740700800000,0.012094,0.01219,0.010769,0.011611,3527936.10871208
POND-EUR,1740614400000,0.011325,0.013507,0.011225,0.012218,17171188.88256737
POND-EUR,1740528000000,0.010897,0.011476,0.01086,0.011318,2133679.74818839
POND-EUR,1740441600000,0.011,0.011032,0.010184,0.011032,2090459.00584587
POND-EUR,1740355200000,0.012195,0.012299,0.010897,0.010951,2192030.64892678
POND-EUR,1740268800000,0.012556,0.012835,0.012233,0.012387,1431341.84788068
POND-EUR,1740182400000,0.012168,0.012693,0.012168,0.012563,514719.83373158
POND-EUR,1740096000000,0.012454,0.012956,0.011958,0.01231,1095192.14711771
POND-EUR,1740009600000,0.012265,0.012731,0.012195,0.012573,656364.61622103
POND-EUR,1739923200000,0.012349,0.012909,0.012134,0.012231,4294934.13581467
POND-EUR,1739836800000,0.012864,0.012936,0.011475,0.01216,6141672.91329771
POND-EUR,1739750400000,0.012948,0.013726,0.012651,0.012902,5358776.09347467
POND-EUR,1739664000000,0.01254,0.013742,0.012511,0.012838,2741723.1717322
POND-EUR,1739577600000,0.013182,0.013249,0.012557,0.01264,605368.69759567
POND-EUR,1739491200000,0.012725,0.013532,0.012725,0.013162,2699091.30167017
POND-EUR,1739404800000,0.013257,0.013389,0.012442,0.012597,1406892.61152152
POND-EUR,1739318400000,0.012655,0.014153,0.012413,0.013139,6286850.68689291
POND-EUR,1739232000000,0.01345,0.013937,0.012528,0.012658,3655261.55240733
POND-EUR,1739145600000,0.01255,0.013757,0.012147,0.013323,9621008.16151224
POND-EUR,1739059200000,0.01278,0.013494,0.012119,0.012575,3505621.27918596
POND-EUR,1738972800000,0.012605,0.014735,0.012114,0.012947,7702101.93249637
POND-EUR,1738886400000,0.012879,0.01349,0.012306,0.012545,1861551.14198515
POND-EUR,1738800000000,0.01355,0.01355,0.012647,0.012855,5348821.44240971
POND-EUR,1738713600000,0.013888,0.014498,0.013165,0.013176,3367860.24930864
POND-EUR,1738627200000,0.0149,0.0149,0.012899,0.01356,3500429.62824961
POND-EUR,1738540800000,0.013985,0.015032,0.010366,0.014863,7969851.38262523
POND-EUR,1738454400000,0.016588,0.016854,0.0138,0.014233,7004923.5064322
POND-EUR,1738368000000,0.017449,0.018691,0.016459,0.01661,9413095.0524436
POND-EUR,1738281600000,0.018073,0.018452,0.017336,0.017358,5215733.69303241
POND-EUR,1738195200000,0.019411,0.019853,0.01801,0.018066,6421040.86987428
POND-EUR,1738108800000,0.016705,0.019659,0.016567,0.019421,9137255.73772822
POND-EUR,1738022400000,0.01863,0.019565,0.016582,0.016696,10910003.84480092
POND-EUR,1737936000000,0.017312,0.019362,0.016809,0.018619,16342519.50106121
POND-EUR,1737849600000,0.01856,0.019083,0.017364,0.017419,9227073.38705858
POND-EUR,1737763200000,0.018921,0.020976,0.018222,0.018543,24909107.98173697
POND-EUR,1737676800000,0.018734,0.021999,0.01828,0.018953,55566664.23199835
POND-EUR,1737590400000,0.024013,0.026361,0.01845,0.018658,149360051.37316146
POND-EUR,1737504000000,0.015834,0.031424,0.015702,0.024138,112131524.19102892
POND-EUR,1737417600000,0.015578,0.016503,0.015173,0.015835,2395357.29237255
POND-EUR,1737331200000,0.016506,0.017224,0.015237,0.015618,4430331.89265236
POND-EUR,1737244800000,0.019045,0.019129,0.0165,0.016622,4903040.34058002
POND-EUR,1737158400000,0.021094,0.021235,0.018535,0.019001,2586773.90895462
POND-EUR,1737072000000,0.01926,0.0211,0.019184,0.0211,1783596.20266921
POND-EUR,1736985600000,0.02017,0.020975,0.019074,0.019178,3471198.37298331
POND-EUR,1736899200000,0.018781,0.020174,0.018216,0.020174,3664671.99789428
POND-EUR,1736812800000,0.018814,0.019464,0.018354,0.018942,2624525.06906094
POND-EUR,1736726400000,0.020072,0.020495,0.017728,0.018737,2141463.33386387
POND-EUR,1736640000000,0.020916,0.020956,0.019557,0.019952,1162734.10820837
POND-EUR,1736553600000,0.022003,0.022003,0.020733,0.020891,1057292.11026978
POND-EUR,1736467200000,0.02114,0.022183,0.020715,0.021955,1719757.392295
POND-EUR,1736380800000,0.021833,0.022647,0.020362,0.020617,2401902.6264602
POND-EUR,1736294400000,0.02305,0.02305,0.019915,0.021909,3887342.0832443
POND-EUR,1736208000000,0.026183,0.02723,0.022817,0.022854,12559403.72724073
POND-EUR,1736121600000,0.023918,0.027668,0.023749,0.02617,21230088.92116719
POND-EUR,1736035200000,0.024697,0.024752,0.023394,0.024021,3367550.84579174
POND-EUR,1735948800000,0.022847,0.025683,0.0226,0.024551,17963552.7070417
POND-EUR,1735862400000,0.023481,0.023892,0.021678,0.022739,9672486.80985837
POND-EUR,1735776000000,0.023034,0.024058,0.02136,0.023361,11314012.40136864
POND-EUR,1735689600000,0.022938,0.0247,0.022628,0.023147,7381433.43118734
POND-EUR,1735603200000,0.023316,0.024733,0.0225,0.022649,9164270.91369762
POND-EUR,1735516800000,0.025498,0.028659,0.02266,0.023293,32529458.56516683
POND-EUR,1735430400000,0.026998,0.027966,0.024673,0.025804,33766204.22878438
POND-EUR,1735344000000,0.031581,0.034234,0.023741,0.026856,176498220.98682553
POND-EUR,1735257600000,0.020625,0.032386,0.020396,0.031177,153103796.37881467
POND-EUR,1735171200000,0.01976,0.024154,0.01976,0.020534,77450637.6623609
POND-EUR,1735084800000,0.018635,0.020596,0.018399,0.019632,8062323.62763849
POND-EUR,1734998400000,0.018158,0.0195,0.017255,0.018681,4146187.18905983
POND-EUR,1734912000000,0.018336,0.018493,0.017566,0.018158,2473619.66164427
POND-EUR,1734825600000,0.017123,0.020042,0.017123,0.018244,23148096.74653048
POND-EUR,1734739200000,0.017668,0.018169,0.016766,0.01686,2009054.15874515
POND-EUR,1734652800000,0.017479,0.018363,0.01499,0.017607,3069759.0951742
POND-EUR,1734566400000,0.019878,0.019878,0.017007,0.017814,3826558.94492758
POND-EUR,1734480000000,0.021004,0.022039,0.019838,0.019838,3380241.25003688
POND-EUR,1734393600000,0.021516,0.02347,0.0205,0.020843,3249203.53988669
POND-EUR,1734307200000,0.022289,0.022419,0.020729,0.021695,2724118.82199506
POND-EUR,1734220800000,0.021591,0.023903,0.021173,0.022309,12089623.28298566
POND-EUR,1734134400000,0.021821,0.022611,0.021564,0.021601,7752008.65299993
POND-EUR,1734048000000,0.022735,0.024998,0.021537,0.0219,30401476.90497169
POND-EUR,1733961600000,0.01977,0.024,0.019224,0.022761,15688884.97034643
POND-EUR,1733875200000,0.018856,0.020779,0.018499,0.019935,2505091.84019703
POND-EUR,1733788800000,0.020004,0.020743,0.017452,0.019113,4788176.8319723
POND-EUR,1733702400000,0.023668,0.023668,0.019427,0.020215,7083716.81052284
POND-EUR,1733616000000,0.024201,0.024201,0.022796,0.023678,3221543.88884598
POND-EUR,1733529600000,0.024165,0.0263,0.023405,0.024244,8397011.54317862
POND-EUR,1733443200000,0.02273,0.024797,0.02162,0.024003,14094805.56817197
POND-EUR,1733356800000,0.021066,0.026261,0.020625,0.022808,80287977.67210658
POND-EUR,1733270400000,0.020224,0.0218,0.019414,0.020931,14204324.62063587
POND-EUR,1733184000000,0.018879,0.021309,0.018634,0.020078,20231493.66573897
POND-EUR,1733097600000,0.018704,0.019353,0.017095,0.01904,6978939.28763125
POND-EUR,1733011200000,0.018696,0.019211,0.01825,0.018646,17226063.78169359
POND-EUR,1732924800000,0.018574,0.019281,0.018292,0.018825,26663120.07286814
POND-EUR,1732838400000,0.018711,0.019,0.01827,0.018599,11227278.83957241
POND-EUR,1732752000000,0.0194,0.020455,0.018259,0.018664,11483783.71286304
POND-EUR,1732665600000,0.020037,0.021024,0.017843,0.019288,39954443.00865794
POND-EUR,1732579200000,0.016335,0.021454,0.015987,0.020089,107997254.6040759
POND-EUR,1732492800000,0.016567,0.017849,0.015836,0.01621,9493021.93379549
POND-EUR,1732406400000,0.016654,0.017302,0.015411,0.016485,9006473.15792868
POND-EUR,1732320000000,0.016732,0.017737,0.01613,0.016673,20068211.10591269
POND-EUR,1732233600000,0.015852,0.017518,0.015509,0.016976,20756378.70295455
POND-EUR,1732147200000,0.016302,0.017929,0.014934,0.015934,41971968.59249733
POND-EUR,1732060800000,0.015447,0.017912,0.014809,0.016072,50568451.11633215
POND-EUR,1731974400000,0.017911,0.017917,0.015094,0.015431,41289642.02950773
POND-EUR,1731888000000,0.013399,0.022167,0.013385,0.017751,417088417.1871127
POND-EUR,1731801600000,0.011368,0.0168,0.011139,0.013423,182110902.7345676
POND-EUR,1731715200000,0.010825,0.011448,0.010672,0.011387,5423552.24511085
POND-EUR,1731628800000,0.010565,0.01089,0.010288,0.01081,7359898.86761642
POND-EUR,1731542400000,0.010591,0.010857,0.01029,0.010464,3654256.82790421
POND-EUR,1731456000000,0.010806,0.010998,0.0098478,0.010536,5257036.57094033
POND-EUR,1731369600000,0.011708,0.01175,0.010242,0.010784,8265565.27631391
POND-EUR,1731283200000,0.011127,0.011865,0.01095,0.011795,8751472.70641919
POND-EUR,1731196800000,0.010614,0.011569,0.010462,0.011114,5764350.0763174
POND-EUR,1731110400000,0.010208,0.010728,0.010127,0.010659,1644708.77653002
POND-EUR,1731024000000,0.010092,0.010208,0.0097921,0.010144,2940552.52717918
POND-EUR,1730937600000,0.010176,0.01047,0.0099464,0.010104,2372183.07281525
POND-EUR,1730851200000,0.0094962,0.010188,0.0094962,0.010188,2076956.22156724
POND-EUR,1730764800000,0.0091344,0.0093881,0.0090642,0.0092069,227173.34137403
POND-EUR,1730678400000,0.0090933,0.0092018,0.0088273,0.0089381,179734.89502749
POND-EUR,1730592000000,0.0095,0.0095,0.0089542,0.009098,529295.09449677
POND-EUR,1730505600000,0.0099311,0.009996,0.0095605,0.0095605,608987.20765883
POND-EUR,1730419200000,0.0099077,0.01021,0.0096843,0.0098863,846221.18566372
POND-EUR,1730332800000,0.010332,0.010439,0.009923,0.0099306,540253.65255558
POND-EUR,1730246400000,0.010466,0.010564,0.010422,0.01046,1296064.61711091
POND-EUR,1730160000000,0.010189,0.010752,0.010171,0.010519,1613909.78461672
POND-EUR,1730073600000,0.0097778,0.010208,0.0097778,0.010166,817165.70545061
POND-EUR,1729987200000,0.0098686,0.010055,0.009816,0.0099622,1306687.36966501
POND-EUR,1729900800000,0.009844,0.0099277,0.00969,0.0097837,956018.64989556
POND-EUR,1729814400000,0.010443,0.010655,0.0097932,0.0098816,578556.35643592
POND-EUR,1729728000000,0.010577,0.01072,0.010357,0.01072,437308.26343669
POND-EUR,1729641600000,0.010837,0.010837,0.010342,0.010487,336679.50384161
POND-EUR,1729555200000,0.011033,0.011033,0.01083,0.010831,6186124.93446274
POND-EUR,1729468800000,0.01114,0.011149,0.010793,0.011089,6317388.69837676
POND-EUR,1729382400000,0.011038,0.011147,0.010834,0.01114,21146285.29387321
POND-EUR,1729296000000,0.01126,0.01126,0.010943,0.010973,1448285.37075112
POND-EUR,1729209600000,0.010926,0.0113,0.01089,0.011133,2623634.46698992
POND-EUR,1729123200000,0.010985,0.01105,0.010795,0.010839,911458.75024784
POND-EUR,1729036800000,0.011248,0.011302,0.011012,0.011065,527759.66043323
POND-EUR,1728950400000,0.011551,0.011576,0.010878,0.011147,3871686.5324452
POND-EUR,1728864000000,0.011077,0.011726,0.010966,0.011556,5311565.29201801
POND-EUR,1728777600000,0.011011,0.011283,0.010821,0.011171,1114065.48257033
POND-EUR,1728691200000,0.011057,0.011241,0.011011,0.01112,636116.60544079
POND-EUR,1728604800000,0.0109,0.010999,0.010766,0.010988,26215322.89610666
POND-EUR,1728518400000,0.011093,0.011156,0.010574,0.0109,1957058.34520641
POND-EUR,1728432000000,0.011074,0.011182,0.010943,0.011045,3714819.24958512
POND-EUR,1728345600000,0.010953,0.011252,0.010943,0.010943,1119089.03187224
POND-EUR,1728259200000,0.011101,0.01126,0.010832,0.010943,6702420.75041654
POND-EUR,1728172800000,0.010554,0.011088,0.010486,0.011088,1103298.12480512
POND-EUR,1728086400000,0.010641,0.010749,0.010335,0.01049,418071.49206005
POND-EUR,1728000000000,0.010156,0.010731,0.01006,0.010629,1276884.54929712
POND-EUR,1727913600000,0.010326,0.01104,0.0099711,0.010086,4452822.01573638
POND-EUR,1727827200000,0.010152,0.010842,0.010152,0.01019,2752169.27660757
POND-EUR,1727740800000,0.011731,0.012136,0.010159,0.010253,22697454.18512552
POND-EUR,1727654400000,0.011743,0.01181,0.0117,0.01172,27733829.08006894
POND-EUR,1727568000000,0.011672,0.01173,0.0116,0.011703,3479831.93792804
POND-EUR,1727481600000,0.011706,0.011834,0.0115,0.011691,9026220.71192572
POND-EUR,1727395200000,0.011703,0.0118,0.011057,0.011662,21633234.94919709
POND-EUR,1727308800000,0.011659,0.011886,0.011488,0.011661,5053500.20260891
POND-EUR,1727222400000,0.012247,0.012345,0.01151,0.011648,6635296.61244154
POND-EUR,1727136000000,0.012688,0.012688,0.012043,0.012264,4204947.86527725
POND-EUR,1727049600000,0.012492,0.012795,0.01207,0.01266,3582953.71690876
POND-EUR,1726963200000,0.012673,0.012673,0.012231,0.01242,1384735.95523257
POND-EUR,1726876800000,0.012295,0.012727,0.012197,0.012727,614256.37742895
POND-EUR,1726790400000,0.012027,0.012533,0.01191,0.012272,2820657.61436454
POND-EUR,1726704000000,0.011412,0.012075,0.011412,0.01192,1948128.24343554
POND-EUR,1726617600000,0.010936,0.011215,0.010788,0.011215,809356.89633225
POND-EUR,1726531200000,0.010708,0.011163,0.010708,0.011,291523.09125717
POND-EUR,1726444800000,0.0111,0.0111,0.010666,0.010702,390514.49003125
POND-EUR,1726358400000,0.011627,0.011631,0.01122,0.01122,389319.56583054
POND-EUR,1726272000000,0.011554,0.011725,0.01154,0.011596,964228.55775406
POND-EUR,1726185600000,0.011736,0.011751,0.011316,0.011656,1656860.03510344
POND-EUR,1726099200000,0.011306,0.011393,0.011122,0.011393,2949875.2349543
POND-EUR,1726012800000,0.011787,0.011787,0.011178,0.011231,1160058.99583137
POND-EUR,1725926400000,0.011178,0.011833,0.011127,0.011812,1801183.04655955
POND-EUR,1725840000000,0.010844,0.011325,0.010836,0.011288,2106462.22061562
POND-EUR,1725753600000,0.0107,0.010961,0.0107,0.010862,854870.25485047
POND-EUR,1725667200000,0.010841,0.010922,0.010659,0.01072,482215.33173845
POND-EUR,1725580800000,0.011113,0.011174,0.010485,0.010752,2176803.42988522
POND-EUR,1725494400000,0.012146,0.012146,0.011,0.01108,1473572.08098319
POND-EUR,1725408000000,0.01202,0.012249,0.011373,0.012247,1100351.36647458
POND-EUR,1725321600000,0.012619,0.012787,0.011968,0.011968,4180757.35668712
POND-EUR,1725235200000,0.011664,0.012745,0.011664,0.012554,6848312.78072678
POND-EUR,1725148800000,0.01231,0.012403,0.011726,0.011785,1432077.82396417
POND-EUR,1725062400000,0.012485,0.012485,0.012178,0.012337,86759.24655664
POND-EUR,1724976000000,0.01256,0.01256,0.012129,0.012352,478856.32966315
POND-EUR,1724889600000,0.012522,0.013064,0.012519,0.012519,898943.03889979
POND-EUR,1724803200000,0.012294,0.012852,0.012145,0.012631,3362381.63013473
POND-EUR,1724716800000,0.013581,0.013685,0.01217,0.01239,2584404.11589392
POND-EUR,1724630400000,0.013847,0.014422,0.01357,0.01357,2667634.23894721
POND-EUR,1724544000000,0.014058,0.014083,0.013554,0.01386,951233.04804372
POND-EUR,1724457600000,0.013749,0.014711,0.013671,0.01405,5118006.04092316
POND-EUR,1724371200000,0.013335,0.013943,0.013335,0.013875,2438862.29513106
POND-EUR,1724284800000,0.013191,0.013415,0.013004,0.013344,2149898.86358971
POND-EUR,1724198400000,0.013062,0.013315,0.012731,0.013168,2415491.52514705
POND-EUR,1724112000000,0.012842,0.013714,0.012842,0.013125,5195549.03627794
POND-EUR,1724025600000,0.012149,0.013021,0.012007,0.012778,8214547.95903278
POND-EUR,1723939200000,0.011582,0.01245,0.011535,0.012212,3797991.26114405
POND-EUR,1723852800000,0.011033,0.012396,0.01099,0.011595,8683738.26482946
POND-EUR,1723766400000,0.010759,0.011078,0.0105,0.010993,1433736.21064383
POND-EUR,1723680000000,0.011519,0.011655,0.010684,0.010684,3220634.09295423
POND-EUR,1723593600000,0.011989,0.012231,0.011363,0.011494,6401142.04442508
POND-EUR,1723507200000,0.011981,0.011999,0.011252,0.01193,5765881.59912017
POND-EUR,1723420800000,0.011224,0.012363,0.010879,0.012027,10508761.27225159
POND-EUR,1723334400000,0.011934,0.014459,0.011259,0.011307,44270374.62345544
POND-EUR,1723248000000,0.011559,0.011939,0.011552,0.011799,219186.41086584
POND-EUR,1723161600000,0.011693,0.011703,0.011469,0.011605,1865059.23622078
POND-EUR,1723075200000,0.01063,0.012238,0.01063,0.01175,6257210.21597523
POND-EUR,1722988800000,0.010568,0.011172,0.010295,0.010459,2212040.76962966
POND-EUR,1722902400000,0.010292,0.010733,0.010143,0.010657,2837251.87276706
POND-EUR,1722816000000,0.010909,0.01092,0.0092,0.010083,5947019.51292765
POND-EUR,1722729600000,0.011777,0.011959,0.010871,0.011068,3719636.40495574
POND-EUR,1722643200000,0.012291,0.012678,0.011569,0.011682,1538887.56280303
POND-EUR,1722556800000,0.013043,0.013085,0.012209,0.012328,1328078.1125685
POND-EUR,1722470400000,0.013578,0.013578,0.012796,0.01317,3056168.37054685
POND-EUR,1722384000000,0.014626,0.014696,0.013789,0.0138,1942971.52837712
POND-EUR,1722297600000,0.015324,0.01561,0.014494,0.014549,563403.92360559
POND-EUR,1722211200000,0.015438,0.015873,0.015231,0.015292,1732226.71932691
POND-EUR,1722124800000,0.015079,0.015323,0.014878,0.015261,514839.65354042
POND-EUR,1722038400000,0.01554,0.015636,0.015151,0.015226,2252121.2113205
POND-EUR,1721952000000,0.015422,0.01561,0.01472,0.015526,2955361.69725374
POND-EUR,1721865600000,0.015151,0.015447,0.01448,0.015422,3044171.52552351
POND-EUR,1721779200000,0.016752,0.016752,0.01504,0.015188,4950106.00951517
POND-EUR,1721692800000,0.016762,0.017152,0.016517,0.016625,644215.39942543
POND-EUR,1721606400000,0.017913,0.017913,0.016667,0.016667,647780.81414718
POND-EUR,1721520000000,0.017455,0.017937,0.017206,0.0179,435026.90430139
POND-EUR,1721433600000,0.017456,0.017694,0.017433,0.017522,464574.91636773
POND-EUR,1721347200000,0.017183,0.017536,0.016959,0.01744,1005866.84227345
POND-EUR,1721260800000,0.017245,0.017796,0.016896,0.017277,2862983.3000807
POND-EUR,1721174400000,0.017088,0.017656,0.016886,0.017042,4880460.60895091
POND-EUR,1721088000000,0.017304,0.017315,0.016241,0.016951,3712235.35669206
POND-EUR,1721001600000,0.016997,0.017392,0.0169,0.017315,1163033.12890548
POND-EUR,1720915200000,0.016214,0.01721,0.016214,0.017075,4190081.72889391
POND-EUR,1720828800000,0.01583,0.016349,0.015683,0.016196,5573266.91181095
POND-EUR,1720742400000,0.015719,0.015783,0.015301,0.015783,551380.60463997
POND-EUR,1720656000000,0.0159,0.016156,0.015647,0.015647,384056.38033537
POND-EUR,1720569600000,0.015872,0.016157,0.015717,0.01585,5206130.55070289
POND-EUR,1720483200000,0.015214,0.015866,0.015028,0.015788,1623152.76430526
POND-EUR,1720396800000,0.01424,0.015372,0.013981,0.015001,1736486.79493483
POND-EUR,1720310400000,0.015386,0.015386,0.0145,0.0145,697724.8992645
POND-EUR,1720224000000,0.01487,0.0156,0.014509,0.0156,2140686.01869129
POND-EUR,1720137600000,0.01571,0.01571,0.013965,0.01464,2750151.16575813
POND-EUR,1720051200000,0.01764,0.017663,0.015719,0.015805,1442632.86721438
POND-EUR,1719964800000,0.018763,0.018773,0.017628,0.017654,1041504.68030302
POND-EUR,1719878400000,0.018614,0.019223,0.01847,0.018689,2303002.51577099
POND-EUR,1719792000000,0.018737,0.018857,0.018224,0.018613,2180994.98258344
POND-EUR,1719705600000,0.018553,0.019637,0.018402,0.018577,7412612.20824392
POND-EUR,1719619200000,0.018696,0.018737,0.018205,0.018641,1397573.47010093
POND-EUR,1719532800000,0.018428,0.018713,0.017886,0.018699,6319908.50414615
POND-EUR,1719446400000,0.017126,0.01912,0.016916,0.018423,5778954.32935647
POND-EUR,1719360000000,0.0174,0.018026,0.016869,0.017245,4873315.62403074
POND-EUR,1719273600000,0.017267,0.017706,0.016681,0.017398,6045237.52424884
POND-EUR,1719187200000,0.016371,0.01868,0.015824,0.017257,37682077.34039792
POND-EUR,1719100800000,0.016557,0.01831,0.016113,0.016386,32416344.40802717
POND-EUR,1719014400000,0.015957,0.019979,0.015704,0.016612,26988883.90234602
POND-EUR,1718928000000,0.016499,0.016875,0.015517,0.015872,9331662.9018727
POND-EUR,1718841600000,0.015618,0.019647,0.015618,0.016455,32370079.27789934
POND-EUR,1718755200000,0.015187,0.016041,0.015179,0.015561,2738314.01338155
POND-EUR,1718668800000,0.0165,0.0165,0.014542,0.01498,6150327.05946026
POND-EUR,1718582400000,0.0185,0.018688,0.016581,0.016663,4491208.58185234
POND-EUR,1718496000000,0.020056,0.020056,0.01844,0.018637,5798090.06004177
POND-EUR,1718409600000,0.018845,0.020216,0.018845,0.019955,2844230.99387886
POND-EUR,1718323200000,0.019096,0.019845,0.018444,0.018781,1863417.08310573
POND-EUR,1718236800000,0.020604,0.020667,0.019218,0.019348,682389.90502496
POND-EUR,1718150400000,0.019854,0.021182,0.019795,0.020637,1086274.65781872
POND-EUR,1718064000000,0.020928,0.020928,0.019616,0.019929,2443768.53082713
POND-EUR,1717977600000,0.02189,0.021898,0.020888,0.020888,394291.25029043
