market,time,open,high,low,close,volume
POPCAT-EUR,1741219200000,0.21586,0.21714,0.21571,0.21704,6569.56203647
POPCAT-EUR,1741132800000,0.20309,0.21736,0.196,0.19792,1246723.86975479
POPCAT-EUR,1741046400000,0.21662,0.21868,0.185,0.199,1535411.70936396
POPCAT-EUR,1740960000000,0.275,0.28594,0.21752,0.23337,2441384.50675045
POPCAT-EUR,1740873600000,0.23722,0.28606,0.215,0.281,2649540.0349399
POPCAT-EUR,1740787200000,0.27238,0.2817,0.23639,0.24151,1207545.54932808
POPCAT-EUR,1740700800000,0.2454,0.28449,0.23378,0.27056,1491679.14963389
POPCAT-EUR,1740614400000,0.246,0.26188,0.23781,0.24485,1763913.41981596
POPCAT-EUR,1740528000000,0.21654,0.24883,0.2097,0.24611,2197300.32417778
POPCAT-EUR,1740441600000,0.19454,0.22409,0.18706,0.21285,2914767.9178643
POPCAT-EUR,1740355200000,0.23237,0.23573,0.18081,0.19006,2276708.81596067
POPCAT-EUR,1740268800000,0.25147,0.25147,0.22398,0.2313,1473029.33533914
POPCAT-EUR,1740182400000,0.23313,0.25821,0.21983,0.25217,2189497.7900727
POPCAT-EUR,1740096000000,0.23831,0.26346,0.22054,0.23258,4299221.08844082
POPCAT-EUR,1740009600000,0.21929,0.23904,0.21494,0.23814,2538821.40384763
POPCAT-EUR,1739923200000,0.22952,0.23563,0.20625,0.21708,2138482.21762703
POPCAT-EUR,1739836800000,0.25477,0.25915,0.21575,0.22807,3017641.68892699
POPCAT-EUR,1739750400000,0.28034,0.28929,0.24054,0.25588,3202609.5687543
POPCAT-EUR,1739664000000,0.27411,0.30272,0.27,0.27954,2502538.89164797
POPCAT-EUR,1739577600000,0.32302,0.32302,0.27173,0.27331,3347013.24237146
POPCAT-EUR,1739491200000,0.29816,0.3595,0.29816,0.32645,6272029.72406602
POPCAT-EUR,1739404800000,0.30293,0.3253,0.271,0.2968,9731531.76678392
POPCAT-EUR,1739318400000,0.25684,0.31575,0.23071,0.29921,12239538.26695458
POPCAT-EUR,1739232000000,0.27195,0.29436,0.24723,0.25751,6972480.49652546
POPCAT-EUR,1739145600000,0.27786,0.32673,0.26835,0.27278,3154079.92869403
