market,time,open,high,low,close,volume
PRIME-EUR,1741132800000,4.0033,4.2072,3.9566,4.0744,10701.95766146
PRIME-EUR,1741046400000,4.1538,4.2517,3.7244,4.0036,26666.79565711
PRIME-EUR,1740960000000,4.9508,5.4283,4.2596,4.3463,13774.27685008
PRIME-EUR,1740873600000,5.0553,5.5029,4.4351,5.3843,17894.41711429
PRIME-EUR,1740787200000,4.6145,4.6666,4.3075,4.403,7740.95413213
PRIME-EUR,1740700800000,4.5167,4.5929,4.0295,4.5142,5088.77500374
PRIME-EUR,1740614400000,4.438,4.8113,4.3567,4.5223,15335.15110621
PRIME-EUR,1740528000000,4.2608,4.5208,4.1302,4.3896,24764.82204035
PRIME-EUR,1740441600000,4.2928,4.4057,3.8701,4.3318,22381.5799225
PRIME-EUR,1740355200000,5.0745,5.1118,4.1692,4.2926,16291.12935285
PRIME-EUR,1740268800000,5.3247,5.5567,4.9999,4.9999,10316.70104598
PRIME-EUR,1740182400000,5.2676,5.5033,5.1741,5.3496,14878.16626008
PRIME-EUR,1740096000000,5.8063,6.2742,5.1684,5.3082,16800.1816737
PRIME-EUR,1740009600000,5.179,5.8924,4.9107,5.7039,12381.90152687
PRIME-EUR,1739923200000,5.3707,5.6432,5.1574,5.1878,6612.63830291
PRIME-EUR,1739836800000,6.0185,6.0185,5.0602,5.3845,13187.60117651
PRIME-EUR,1739750400000,6.1874,6.372,5.9617,6.1003,5412.60013508
PRIME-EUR,1739664000000,6.1978,6.2957,6.1156,6.1894,2484.46030808
PRIME-EUR,1739577600000,6.5531,6.5727,6.1454,6.1751,7156.21622662
PRIME-EUR,1739491200000,6.5565,6.9303,6.442,6.5802,15585.71509777
PRIME-EUR,1739404800000,7.2318,7.2662,6.3791,6.5802,8274.89700161
PRIME-EUR,1739318400000,6.9891,7.3621,6.6647,7.2821,9745.39274006
PRIME-EUR,1739232000000,7.0981,7.77,6.9,7.0378,10370.68790837
PRIME-EUR,1739145600000,6.4538,7.233,6.239,7.0751,13020.07732939
PRIME-EUR,1739059200000,6.6839,6.7603,6.1049,6.3586,5805.47397093
PRIME-EUR,1738972800000,6.4336,6.752,6.3,6.6863,4770.83543541
PRIME-EUR,1738886400000,6.5377,7.315,6.3454,6.4251,5237.47360198
PRIME-EUR,1738800000000,6.777,7.1216,6.4508,6.4825,9384.7010596
PRIME-EUR,1738713600000,7.2544,7.2905,6.7326,6.8098,12472.50731422
PRIME-EUR,1738627200000,8.4014,8.5121,6.77,7.2106,14481.33883887
PRIME-EUR,1738540800000,7.216,8.5593,6.3705,8.3261,27385.81105356
PRIME-EUR,1738454400000,8.3926,8.4509,6.8317,7.1411,14357.67212436
PRIME-EUR,1738368000000,9.424,9.493,8.25,8.3584,7215.15064698
PRIME-EUR,1738281600000,10.103,10.151,9.2532,9.437,9304.45749154
PRIME-EUR,1738195200000,9.3,10.608,9.3,10.236,12160.52035655
PRIME-EUR,1738108800000,8.9079,9.61,8.8338,9.3719,4096.88322396
PRIME-EUR,1738022400000,9.3006,9.826,8.8724,8.9519,24269.30611371
PRIME-EUR,1737936000000,9.346,9.3469,8.0617,9.2627,25715.22775466
PRIME-EUR,1737849600000,9.7503,9.956,9.332,9.3688,4689.42088363
PRIME-EUR,1737763200000,9.8864,10.051,9.382,9.8647,9358.62017861
PRIME-EUR,1737676800000,10.942,11.402,9.5964,9.909,6868.03575853
PRIME-EUR,1737590400000,11.305,11.359,10.462,11.004,9723.1856164
PRIME-EUR,1737504000000,12.09,12.11,11.312,11.364,7656.43198906
PRIME-EUR,1737417600000,11.522,12.602,11.427,12.122,17098.50755907
PRIME-EUR,1737331200000,11.74,13.124,11.45,11.519,14350.95377908
PRIME-EUR,1737244800000,14.014,14.223,11.68,11.823,12806.50408211
PRIME-EUR,1737158400000,14.73,15.071,13.516,13.906,5945.66294256
PRIME-EUR,1737072000000,14.553,15.501,14.359,14.835,10589.66442466
PRIME-EUR,1736985600000,15.199,15.336,14.577,14.577,10194.50154545
PRIME-EUR,1736899200000,13.839,15.856,13.3,15.181,14670.25576778
PRIME-EUR,1736812800000,12.426,14.301,12.426,13.941,11638.53158946
PRIME-EUR,1736726400000,13.187,13.312,11.521,12.4,11078.86911716
PRIME-EUR,1736640000000,12.765,13.611,12.388,13.193,6681.53935043
PRIME-EUR,1736553600000,12.624,13.045,12.19,12.936,3871.11634561
PRIME-EUR,1736467200000,12.405,13.781,11.999,12.75,7752.80782171
PRIME-EUR,1736380800000,15.049,15.173,11.843,12.404,15144.94625946
PRIME-EUR,1736294400000,14.518,15.241,12.628,15.177,13858.1479128
PRIME-EUR,1736208000000,16.558,16.615,14.429,14.531,15010.46038637
PRIME-EUR,1736121600000,17.147,17.72,16.599,16.742,10537.24744636
