market,time,open,high,low,close,volume
RAD-EUR,1741132800000,0.70708,0.70708,0.69911,0.70218,1066.18681621
RAD-EUR,1741046400000,0.746,0.75326,0.67981,0.7041,28644.09829229
RAD-EUR,1740960000000,0.81038,0.82624,0.746,0.81255,7664.26464179
RAD-EUR,1740873600000,0.80626,0.84083,0.80146,0.82929,21629.77128169
RAD-EUR,1740787200000,0.81131,0.81407,0.79228,0.79544,3700.26639569
RAD-EUR,1740700800000,0.80119,0.80768,0.77452,0.80642,2567.1219483
RAD-EUR,1740614400000,0.7988,0.8243,0.79744,0.80905,6138.49750237
RAD-EUR,1740528000000,0.79566,0.80947,0.7745,0.79742,24727.31494042
RAD-EUR,1740441600000,0.77087,0.78666,0.74021,0.78521,31974.61619078
RAD-EUR,1740355200000,0.8374,0.8374,0.76817,0.76817,8390.16775998
RAD-EUR,1740268800000,0.8416,0.87908,0.8374,0.84014,76095.54213316
RAD-EUR,1740182400000,0.8203,0.8754,0.81238,0.84843,9885.3045034
RAD-EUR,1740096000000,0.8443,0.86147,0.80586,0.8074,14719.60529312
RAD-EUR,1740009600000,0.83543,0.8498,0.82633,0.84041,8601.96309936
RAD-EUR,1739923200000,0.82957,0.8498,0.81801,0.82376,10132.8282549
RAD-EUR,1739836800000,0.84,0.84,0.80025,0.81848,44303.54034738
RAD-EUR,1739750400000,0.85425,0.9018,0.84838,0.84893,24661.77529289
RAD-EUR,1739664000000,0.8499,0.90164,0.8499,0.85006,65935.40163514
RAD-EUR,1739577600000,0.86424,0.90994,0.85114,0.85114,51138.346932
RAD-EUR,1739491200000,0.8681,0.8754,0.85467,0.87049,27677.47185935
RAD-EUR,1739404800000,0.87097,0.9024,0.84721,0.84953,90964.09555328
RAD-EUR,1739318400000,0.8374,0.87246,0.82142,0.86499,38404.17034937
RAD-EUR,1739232000000,0.86318,0.88993,0.84404,0.8499,66393.70240289
RAD-EUR,1739145600000,0.83867,0.90927,0.82043,0.84943,198249.19006435
RAD-EUR,1739059200000,0.84564,0.86408,0.81584,0.82868,94344.53387525
RAD-EUR,1738972800000,0.89,0.91929,0.8122,0.84811,473888.98690947
RAD-EUR,1738886400000,0.77166,0.9639,0.77166,0.89588,502668.09181041
RAD-EUR,1738800000000,0.85238,0.87263,0.76555,0.76555,110202.7497008
RAD-EUR,1738713600000,0.86133,0.9119,0.84629,0.84894,60857.06593519
RAD-EUR,1738627200000,0.94296,0.95166,0.84101,0.8754,189980.52385649
RAD-EUR,1738540800000,0.90561,1.088,0.78354,0.94057,885349.98262627
RAD-EUR,1738454400000,0.9154,1.2932,0.89313,0.92451,2375123.49722055
RAD-EUR,1738368000000,0.97268,0.97268,0.91873,0.94118,89258.81894699
RAD-EUR,1738281600000,0.98327,1.0009,0.96697,0.96697,8525.06718244
RAD-EUR,1738195200000,0.94628,0.9958,0.94628,0.98085,66523.59721174
RAD-EUR,1738108800000,0.9429,0.973,0.94028,0.95787,12276.78619037
RAD-EUR,1738022400000,1.0008,1.008,0.9291,0.9291,6269.77372152
RAD-EUR,1737936000000,1.016,1.0168,0.94022,0.96161,19797.96425874
RAD-EUR,1737849600000,1.049,1.0943,1.0313,1.0313,20248.91337526
RAD-EUR,1737763200000,1.016,1.051,1.01,1.0367,16682.59697231
RAD-EUR,1737676800000,1.0313,1.0732,1.016,1.0249,13961.10713483
RAD-EUR,1737590400000,1.0754,1.0884,1.0386,1.0524,8998.75438409
RAD-EUR,1737504000000,1.0719,1.0995,1.0583,1.0742,8299.0895377
RAD-EUR,1737417600000,1.0344,1.1691,1.016,1.084,33483.62183441
RAD-EUR,1737331200000,1.0463,1.1219,1.005,1.0263,9772.96837519
RAD-EUR,1737244800000,1.1994,1.1994,1.0741,1.106,15668.65162341
RAD-EUR,1737158400000,1.2747,1.2747,1.1787,1.1964,10608.62983285
RAD-EUR,1737072000000,1.2261,1.2883,1.2261,1.2698,21346.61253061
RAD-EUR,1736985600000,1.225,1.2634,1.2078,1.2277,16174.75308311
RAD-EUR,1736899200000,1.2002,1.2395,1.1791,1.2347,4531.43992914
RAD-EUR,1736812800000,1.1782,1.2218,1.1782,1.2073,16058.38831851
RAD-EUR,1736726400000,1.1995,1.2981,1.1588,1.1835,165854.77427596
RAD-EUR,1736640000000,1.1973,1.3479,1.1922,1.2057,262933.92191934
RAD-EUR,1736553600000,1.1956,1.207,1.1728,1.2044,2196.68908852
RAD-EUR,1736467200000,1.1858,1.2145,1.1791,1.1984,1376.09442796
RAD-EUR,1736380800000,1.1929,1.2327,1.1635,1.1766,16891.70645157
RAD-EUR,1736294400000,1.2499,1.2499,1.1659,1.177,6068.54267649
RAD-EUR,1736208000000,1.3554,1.3605,1.2515,1.257,19574.86331453
RAD-EUR,1736121600000,1.349,1.3789,1.3389,1.3583,5351.18959944
RAD-EUR,1736035200000,1.3452,1.4147,1.3351,1.3681,29939.81900305
RAD-EUR,1735948800000,1.3444,1.3747,1.3253,1.3371,7846.34863528
RAD-EUR,1735862400000,1.3088,1.3521,1.2919,1.3443,7033.54137709
RAD-EUR,1735776000000,1.289,1.3344,1.289,1.3077,14915.57046165
RAD-EUR,1735689600000,1.2894,1.2921,1.2427,1.2885,14995.03254595
RAD-EUR,1735603200000,1.233,1.366,1.233,1.2748,73861.87403371
RAD-EUR,1735516800000,1.3051,1.3125,1.2212,1.233,24596.3816754
RAD-EUR,1735430400000,1.4002,1.4002,1.26,1.2764,32150.87160071
RAD-EUR,1735344000000,1.2209,1.56,1.2162,1.3967,317049.44994176
RAD-EUR,1735257600000,1.2516,1.3077,1.2148,1.2148,64202.40870943
RAD-EUR,1735171200000,1.4201,1.5182,1.2391,1.2632,326786.947777
RAD-EUR,1735084800000,1.2653,1.5064,1.2348,1.4182,388412.0101906
RAD-EUR,1734998400000,1.1983,1.3188,1.1735,1.2499,77560.33899023
RAD-EUR,1734912000000,1.1615,1.2259,1.1567,1.2259,7678.02636725
RAD-EUR,1734825600000,1.1574,1.1882,1.1184,1.1406,2613.10904963
RAD-EUR,1734739200000,1.2167,1.27,1.1624,1.1704,12932.42137015
RAD-EUR,1734652800000,1.2578,1.2759,1.064,1.2259,19413.50496424
RAD-EUR,1734566400000,1.2899,1.3323,1.2251,1.2445,8335.367481
RAD-EUR,1734480000000,1.3948,1.3988,1.291,1.3102,11163.35899089
RAD-EUR,1734393600000,1.4309,1.4661,1.3789,1.3816,5638.82545875
RAD-EUR,1734307200000,1.5369,1.5411,1.4217,1.4538,15231.0744944
RAD-EUR,1734220800000,1.5022,1.5411,1.4741,1.5221,7419.57356824
RAD-EUR,1734134400000,1.57,1.57,1.4741,1.5012,3167.00215111
RAD-EUR,1734048000000,1.5501,1.6142,1.5273,1.5705,20677.36659896
RAD-EUR,1733961600000,1.4722,1.5962,1.4721,1.5369,12530.2009173
RAD-EUR,1733875200000,1.4029,1.5053,1.4029,1.4982,7432.9143308
RAD-EUR,1733788800000,1.4368,1.5057,1.3238,1.4286,15516.99946979
RAD-EUR,1733702400000,1.7719,1.7719,1.3184,1.4682,59729.82705978
RAD-EUR,1733616000000,1.6432,1.9051,1.6118,1.7511,176646.21312364
RAD-EUR,1733529600000,1.6847,1.6847,1.63,1.6423,15955.19655135
RAD-EUR,1733443200000,1.6514,1.7103,1.6233,1.678,8597.48877488
RAD-EUR,1733356800000,1.6478,1.7162,1.5943,1.6429,12827.26638313
RAD-EUR,1733270400000,1.588,1.7118,1.5712,1.6305,90510.56257316
RAD-EUR,1733184000000,1.4696,1.5886,1.4696,1.5821,46428.17924263
RAD-EUR,1733097600000,1.4744,1.4813,1.3947,1.4713,23427.85148637
RAD-EUR,1733011200000,1.489,1.5281,1.4493,1.4894,112419.72053367
RAD-EUR,1732924800000,1.4573,1.5264,1.4314,1.4927,54932.27388909
RAD-EUR,1732838400000,1.369,1.5165,1.3534,1.4587,79742.3708355
RAD-EUR,1732752000000,1.3591,1.4216,1.3482,1.3756,26932.96496109
RAD-EUR,1732665600000,1.3101,1.3729,1.3009,1.3729,8376.72028397
RAD-EUR,1732579200000,1.3681,1.4028,1.2703,1.3089,40512.31996568
RAD-EUR,1732492800000,1.3661,1.4585,1.3278,1.3652,94070.88748814
RAD-EUR,1732406400000,1.2734,1.39,1.2703,1.3636,89100.24921859
RAD-EUR,1732320000000,1.242,1.3171,1.242,1.2733,22357.09722767
RAD-EUR,1732233600000,1.2286,1.2691,1.2149,1.242,25138.50893962
RAD-EUR,1732147200000,1.1937,1.254,1.1603,1.2304,116128.86384743
RAD-EUR,1732060800000,1.2193,1.3955,1.1637,1.1925,228563.49957104
RAD-EUR,1731974400000,1.2361,1.2779,1.1963,1.1963,28480.02535179
RAD-EUR,1731888000000,1.1816,1.3682,1.1816,1.2456,298479.00762
RAD-EUR,1731801600000,1.1836,1.2737,1.1507,1.1708,32593.50124967
RAD-EUR,1731715200000,1.1511,1.2026,1.1446,1.1794,35905.02261411
RAD-EUR,1731628800000,1.1393,1.16,1.1025,1.1485,24249.4229515
RAD-EUR,1731542400000,1.123,1.2227,1.1202,1.1371,83749.95817492
RAD-EUR,1731456000000,1.1186,1.4439,1.0377,1.13,939605.31208337
RAD-EUR,1731369600000,1.1712,1.2302,1.0624,1.125,223594.90129315
RAD-EUR,1731283200000,1.154,1.2056,1.1337,1.1754,66977.01876086
RAD-EUR,1731196800000,1.1275,1.202,1.0951,1.1499,63761.23900764
RAD-EUR,1731110400000,1.133,1.2138,1.0956,1.1353,146285.75499878
RAD-EUR,1731024000000,1.0931,1.1319,1.0611,1.1161,100543.74030239
RAD-EUR,1730937600000,1.0978,1.1106,1.0624,1.0863,49544.56756494
RAD-EUR,1730851200000,1.0092,1.1106,1.0087,1.0954,176561.23615723
RAD-EUR,1730764800000,0.977,1.0592,0.97104,0.99901,45702.87219006
RAD-EUR,1730678400000,0.98938,0.99929,0.94,0.9715,108625.59316768
RAD-EUR,1730592000000,1.0518,1.0518,0.97118,0.99377,100719.99567319
RAD-EUR,1730505600000,1.128,1.1365,1.0363,1.0492,308058.70845125
RAD-EUR,1730419200000,1.0341,1.1663,1.0134,1.1374,242522.26585576
RAD-EUR,1730332800000,1.1054,1.1055,1.0318,1.039,40160.83554327
RAD-EUR,1730246400000,1.1282,1.1492,1.0934,1.1061,81551.78294349
RAD-EUR,1730160000000,1.1239,1.1656,1.1233,1.1316,83789.48791678
RAD-EUR,1730073600000,1.1591,1.197,1.0853,1.1218,194795.27598383
RAD-EUR,1729987200000,1.1537,1.2082,1.14,1.1585,304585.10670288
RAD-EUR,1729900800000,1.0886,1.35,1.0886,1.1605,1052214.23884486
RAD-EUR,1729814400000,1.1964,1.2117,1.0866,1.0972,280185.32288272
RAD-EUR,1729728000000,1.2419,1.4342,1.1648,1.1754,732023.55431198
RAD-EUR,1729641600000,1.0874,1.6839,1.0874,1.2467,2333551.70612894
RAD-EUR,1729555200000,1.0596,1.1334,1.0516,1.0655,61805.43952337
RAD-EUR,1729468800000,1.0865,1.1333,1.0372,1.0581,76088.80303841
RAD-EUR,1729382400000,1.0302,1.127,1.0302,1.0802,111875.8861124
RAD-EUR,1729296000000,1.033,1.0396,1.0189,1.0248,2218.38658618
RAD-EUR,1729209600000,1.0042,1.0342,1.0042,1.0329,16185.28236797
RAD-EUR,1729123200000,1.0616,1.0616,1.001,1.0157,27508.14812264
RAD-EUR,1729036800000,1.0193,1.1251,1.0102,1.0513,71429.11637729
RAD-EUR,1728950400000,1.0257,1.0315,1.001,1.0074,14846.5934887
RAD-EUR,1728864000000,1.0007,1.031,1.0007,1.0271,9594.29344458
RAD-EUR,1728777600000,0.99232,0.99601,0.9716,0.98994,9115.51148848
RAD-EUR,1728691200000,0.99174,1.0465,0.9862,0.98941,25301.26798646
RAD-EUR,1728604800000,0.9713,0.99975,0.96369,0.99173,14776.66663041
RAD-EUR,1728518400000,0.97342,0.98347,0.93724,0.95347,13848.3810197
RAD-EUR,1728432000000,1.0457,1.0457,0.96804,0.97527,74156.54018964
RAD-EUR,1728345600000,0.96674,1.1221,0.96674,1.0468,380067.87688495
RAD-EUR,1728259200000,0.9703,0.99405,0.96155,0.96889,10751.80137428
RAD-EUR,1728172800000,0.95774,1.0059,0.95774,0.96425,18941.39472332
RAD-EUR,1728086400000,0.95618,0.97363,0.943,0.94789,2073.03552691
RAD-EUR,1728000000000,0.9289,0.96027,0.9289,0.95604,3648.16839404
RAD-EUR,1727913600000,0.94152,0.94172,0.89944,0.91558,21572.52953687
RAD-EUR,1727827200000,0.95085,0.97714,0.92197,0.92626,12739.75879672
RAD-EUR,1727740800000,1.01,1.0826,0.943,0.9599,25951.3945582
RAD-EUR,1727654400000,1.0467,1.0712,1.0117,1.0194,10443.73751891
RAD-EUR,1727568000000,1.0458,1.0883,1.027,1.0624,22838.93885093
RAD-EUR,1727481600000,1.0694,1.0942,1.0467,1.0467,9313.55506119
RAD-EUR,1727395200000,1.0584,1.1053,1.053,1.0667,47098.96074525
RAD-EUR,1727308800000,1.0517,1.0643,1.0417,1.0595,10768.18084923
RAD-EUR,1727222400000,1.049,1.0605,1.0344,1.0344,11219.36567142
RAD-EUR,1727136000000,1.0437,1.0469,1.0186,1.0412,4760.45520697
RAD-EUR,1727049600000,1.0292,1.0529,1.0267,1.0427,9406.14893384
RAD-EUR,1726963200000,1.072,1.072,1.0101,1.0398,20723.80739391
RAD-EUR,1726876800000,1.077,1.118,1.0304,1.0685,256080.96118395
RAD-EUR,1726790400000,1.0075,1.1966,0.97912,1.0833,468426.74046657
RAD-EUR,1726704000000,0.9713,1.0044,0.9713,0.99804,8489.85358284
RAD-EUR,1726617600000,0.94707,0.9638,0.9255,0.9569,4212.68347183
RAD-EUR,1726531200000,0.90846,0.9803,0.90846,0.943,25159.28949009
RAD-EUR,1726444800000,0.95985,0.9704,0.9153,0.92093,5850.90381862
RAD-EUR,1726358400000,1.007,1.022,0.94821,0.94821,24497.84057958
RAD-EUR,1726272000000,0.98,1.0452,0.97576,0.99911,130266.10308213
RAD-EUR,1726185600000,0.95783,0.97597,0.95093,0.97374,13871.72806952
RAD-EUR,1726099200000,0.95742,0.96138,0.952,0.9583,6389.31331327
RAD-EUR,1726012800000,0.9585,0.9585,0.93518,0.94447,11176.51969223
RAD-EUR,1725926400000,0.95001,0.97779,0.94977,0.97133,1213.65202117
RAD-EUR,1725840000000,0.9289,0.96059,0.92496,0.96059,1835.70974308
