market,time,open,high,low,close,volume
RAY-EUR,1741219200000,2.0245,2.0251,2.0245,2.0251,320.1095
RAY-EUR,1741132800000,2.0308,2.114,1.9572,2.0497,196181.8095
RAY-EUR,1741046400000,2.1476,2.1531,1.9,2.0633,273102.5901
RAY-EUR,1740960000000,2.3835,2.7588,2.0681,2.215,442102.9333
RAY-EUR,1740873600000,2.197,2.9344,2.1652,2.7462,806114.3118
RAY-EUR,1740787200000,2.3724,2.3946,2.1659,2.1834,474757.703
RAY-EUR,1740700800000,2.1295,2.4128,1.9639,2.375,1186938.6671
RAY-EUR,1740614400000,2.3492,2.3792,2.0957,2.1247,469126.193
RAY-EUR,1740528000000,2.3957,2.4659,2.1,2.3517,1099971.3994
RAY-EUR,1740441600000,2.8617,2.9022,2.2454,2.3932,1378089.4128
RAY-EUR,1740355200000,4.0151,4.0696,2.6856,2.8499,1843101.997
RAY-EUR,1740268800000,4.0993,4.2005,3.95,4.0094,47007.9721
RAY-EUR,1740182400000,4.1001,4.3084,4.0803,4.1022,77518.9646
RAY-EUR,1740096000000,4.3797,4.6912,4.0519,4.101,191281.1885
RAY-EUR,1740009600000,4.0544,4.402,3.9881,4.3636,111888.1645
RAY-EUR,1739923200000,4.0608,4.393,3.9348,4.0551,187926.0566
RAY-EUR,1739836800000,4.4737,4.5109,3.8003,4.0577,207496.4124
RAY-EUR,1739750400000,4.7328,4.8091,4.3593,4.4722,126914.5353
RAY-EUR,1739664000000,5.0454,5.0935,4.712,4.713,49164.1681
RAY-EUR,1739577600000,5.4409,5.4539,5,5.0511,28488.3347
RAY-EUR,1739491200000,4.9737,5.842,4.9366,5.4805,211981.9786
RAY-EUR,1739404800000,5.0553,5.1488,4.6563,4.9637,87242.1007
RAY-EUR,1739318400000,5.1236,5.1939,4.66,5.0877,123136.6469
RAY-EUR,1739232000000,5.0863,5.5914,4.9799,5.1302,206300.6366
RAY-EUR,1739145600000,4.5912,5.0843,4.342,5.0792,127529.1064
RAY-EUR,1739059200000,4.8735,5.1149,4.3813,4.58,126626.7043
RAY-EUR,1738972800000,4.7769,4.927,4.6784,4.8798,41004.7555
RAY-EUR,1738886400000,5.007,5.5044,4.6605,4.7779,109918.694
RAY-EUR,1738800000000,5.21,5.4227,4.7343,5.015,158648.6088
RAY-EUR,1738713600000,5.9397,5.9915,5.0767,5.114,162508.802
RAY-EUR,1738627200000,6.1536,6.4,5.6015,5.9883,327503.7192
RAY-EUR,1738540800000,5.5057,6.3,4.1,6.1397,598698.33
RAY-EUR,1738454400000,6.0106,6.2188,5.1914,5.4924,178025.6316
RAY-EUR,1738368000000,6.8082,6.99,5.9747,6.0671,72315.3529
RAY-EUR,1738281600000,7.3242,7.3797,6.7278,6.8274,83343.4392
RAY-EUR,1738195200000,6.4878,7.5903,6.4831,7.317,115124.4821
RAY-EUR,1738108800000,6.3462,6.9443,6.0922,6.4635,150168.6844
RAY-EUR,1738022400000,6.5048,7.1149,6.1864,6.3613,190481.287
RAY-EUR,1737936000000,6.8,6.911,5.8834,6.4587,327098.8256
RAY-EUR,1737849600000,7.2734,7.6935,6.8196,6.8196,55750.1808
RAY-EUR,1737763200000,7.4728,7.5089,6.9643,7.26,118970.8678
RAY-EUR,1737676800000,7.8014,7.9841,7.4293,7.4714,149054.2426
RAY-EUR,1737590400000,7.52,8.3139,7.174,7.797,291027.7584
RAY-EUR,1737504000000,7.2887,7.97,7.2071,7.5403,263173.1018
RAY-EUR,1737417600000,7.0438,7.6232,6.6614,7.2729,479909.0492
RAY-EUR,1737331200000,6.2615,7.2093,5.7258,7.0652,456944.9821
RAY-EUR,1737244800000,7.1027,7.4409,6.0251,6.247,754733.3095
RAY-EUR,1737158400000,5.9439,7.2235,5.8451,7.104,1149666.1573
RAY-EUR,1737072000000,5.3477,5.9995,5.3392,5.9477,86108.9069
RAY-EUR,1736985600000,5.5704,5.6701,5.2812,5.3443,49407.4378
RAY-EUR,1736899200000,5.1513,5.6185,4.9524,5.5565,80420.1949
RAY-EUR,1736812800000,4.5092,5.2237,4.4886,5.1354,65246.5711
RAY-EUR,1736726400000,4.5672,4.6621,4.066,4.5195,45901.9178
RAY-EUR,1736640000000,4.4362,4.6632,4.2387,4.5565,33269.0556
RAY-EUR,1736553600000,4.6156,4.6406,4.4327,4.4536,46622.8977
RAY-EUR,1736467200000,4.7284,4.8559,4.5445,4.6465,29763.2123
RAY-EUR,1736380800000,4.9802,5.1461,4.5663,4.7446,42188.7349
RAY-EUR,1736294400000,5.2816,5.4161,4.6686,5.0125,51786.7372
RAY-EUR,1736208000000,5.401,5.6522,5.201,5.2786,64726.7174
RAY-EUR,1736121600000,5.5688,5.6468,5.3039,5.4106,42273.9952
RAY-EUR,1736035200000,5.4386,5.7,5.3519,5.5687,55835.7413
RAY-EUR,1735948800000,5.3137,5.5741,5.1377,5.4367,126458.6076
RAY-EUR,1735862400000,5.32,5.3638,5.1021,5.306,75387.1565
RAY-EUR,1735776000000,4.8209,5.4,4.81,5.314,80615.276
RAY-EUR,1735689600000,4.72,4.8828,4.5975,4.8162,19439.3645
RAY-EUR,1735603200000,4.7117,4.8996,4.5794,4.6931,45930.495
RAY-EUR,1735516800000,4.7273,4.8824,4.5893,4.6848,23359.2431
RAY-EUR,1735430400000,4.9697,5.1331,4.6378,4.6818,27014.7296
RAY-EUR,1735344000000,4.7572,5.0284,4.5249,4.968,34991.9004
RAY-EUR,1735257600000,4.623,4.9997,4.5495,4.7199,61144.3923
RAY-EUR,1735171200000,5.1077,5.1325,4.55,4.5894,34405.418
RAY-EUR,1735084800000,4.7882,5.1517,4.7635,5.0882,42780.7411
RAY-EUR,1734998400000,4.6885,4.9,4.5638,4.8033,44508.9139
RAY-EUR,1734912000000,4.1018,4.7348,4.0751,4.6832,68193.3727
RAY-EUR,1734825600000,4.2167,4.3137,4.0403,4.1369,27600.5964
RAY-EUR,1734739200000,4.5395,4.6656,4.1171,4.2075,64975.1599
RAY-EUR,1734652800000,4.2484,4.543,3.6423,4.543,106188.6924
RAY-EUR,1734566400000,4.3165,4.6364,4.03,4.2367,110750.6158
RAY-EUR,1734480000000,4.8131,4.8549,4.2991,4.3079,84885.9573
RAY-EUR,1734393600000,4.8387,4.9637,4.5884,4.7869,124176.8353
RAY-EUR,1734307200000,5.1493,5.2706,4.8367,4.8484,52845.7577
RAY-EUR,1734220800000,5.101,5.1853,4.85,5.1364,44949.3982
RAY-EUR,1734134400000,5.0343,5.3602,4.9586,5.0759,74770.5639
RAY-EUR,1734048000000,5.1216,5.3718,4.9305,5.0384,80973.2028
RAY-EUR,1733961600000,5.1208,5.4255,5.0132,5.1051,152464.6005
RAY-EUR,1733875200000,4.656,5.5463,4.5699,5.1354,542517.866
RAY-EUR,1733788800000,4.1322,4.7481,3.916,4.6594,394506.2142
RAY-EUR,1733702400000,4.7099,4.7099,3.8024,4.213,134068.8673
RAY-EUR,1733616000000,4.8021,4.9241,4.6382,4.7235,57310.1476
RAY-EUR,1733529600000,4.6902,4.8904,4.5566,4.8126,83614.5186
RAY-EUR,1733443200000,4.6036,4.8723,4.5327,4.6812,67439.8446
RAY-EUR,1733356800000,4.7348,5.0408,4.44,4.62,140308.9224
RAY-EUR,1733270400000,4.9864,5.0785,4.6477,4.7358,72215.2337
RAY-EUR,1733184000000,4.703,5.0678,4.4362,4.9881,136486.6071
RAY-EUR,1733097600000,4.985,5.0468,4.6009,4.7157,127309.9177
RAY-EUR,1733011200000,5.1846,5.2266,4.9019,4.9859,83598.3316
RAY-EUR,1732924800000,5.3559,5.3559,5.1314,5.1541,101464.5092
RAY-EUR,1732838400000,5.2706,5.522,5.2373,5.3751,46348.7619
RAY-EUR,1732752000000,5.2503,5.3694,5,5.2706,106293.4555
RAY-EUR,1732665600000,5.239,5.4514,5.1229,5.2624,73095.398
RAY-EUR,1732579200000,5.3371,5.4473,4.9872,5.2106,156252.6408
RAY-EUR,1732492800000,5.8291,6.155,5.23,5.3628,170357.3421
RAY-EUR,1732406400000,5.8262,5.9562,5.3996,5.833,108496.712
RAY-EUR,1732320000000,5.8042,5.9858,5.5993,5.823,144953.1873
RAY-EUR,1732233600000,5.989,6.2249,5.6638,5.8149,271725.676
RAY-EUR,1732147200000,5.4489,6.1177,5.1083,5.9959,537409.331
RAY-EUR,1732060800000,5.2025,5.5372,4.928,5.4386,221953.3167
RAY-EUR,1731974400000,5.3389,5.8,5.1411,5.2194,261411.0413
RAY-EUR,1731888000000,5.5645,5.8756,5.2029,5.3371,329024.0479
RAY-EUR,1731801600000,4.5986,5.85,4.5859,5.5505,1020160.6792
RAY-EUR,1731715200000,4.5385,4.6971,4.3607,4.5264,133760.3857
RAY-EUR,1731628800000,4.4266,4.6483,4.2428,4.567,78679.9707
RAY-EUR,1731542400000,4.6891,5.037,4.2639,4.2639,212316.467
RAY-EUR,1731456000000,4.4001,4.8335,3.7768,4.6935,552742.8793
RAY-EUR,1731369600000,4.8461,4.849,4.028,4.3664,959284.1913
RAY-EUR,1731283200000,5.0274,5.3791,4.758,4.8584,391906.0933
RAY-EUR,1731196800000,5.2447,5.4774,4,5.0331,528382.5805
RAY-EUR,1731110400000,4.6359,5.6852,4.5716,5.2607,1067842.8719
RAY-EUR,1731024000000,4.3182,4.7336,4.3048,4.6133,384513.0989
RAY-EUR,1730937600000,4.0022,4.7089,3.8641,4.2863,861475.621
RAY-EUR,1730851200000,2.9577,4.1163,2.9383,4.0146,666240.9322
RAY-EUR,1730764800000,3.0048,3.1397,2.95,2.95,180677.5223
RAY-EUR,1730678400000,3.0803,3.2082,2.8706,2.9939,208848.4733
RAY-EUR,1730592000000,3.329,3.329,2.8781,3.0931,245993.4179
RAY-EUR,1730505600000,3.1313,3.3698,3.0488,3.326,539972.5847
RAY-EUR,1730419200000,2.9655,3.2436,2.7815,3.1343,357578.4696
RAY-EUR,1730332800000,2.8439,3.0342,2.7575,2.9708,302929.1689
RAY-EUR,1730246400000,3.0031,3.0773,2.7253,2.8393,239771.8928
RAY-EUR,1730160000000,3.0217,3.2074,2.9026,3.0517,487584.3253
RAY-EUR,1730073600000,3.2173,3.3106,2.963,3.0178,564388.1829
RAY-EUR,1729987200000,2.8122,3.3332,2.7991,3.2233,807966.773
