market,time,open,high,low,close,volume
REZ-EUR,1741132800000,0.016476,0.025199,0.015666,0.020479,116507450.08204153
REZ-EUR,1741046400000,0.016571,0.017332,0.01562,0.016692,6964073.6556294
REZ-EUR,1740960000000,0.02023,0.020253,0.017626,0.017827,5881560.4367971
REZ-EUR,1740873600000,0.019133,0.020898,0.018998,0.020299,6945923.31880452
REZ-EUR,1740787200000,0.019952,0.020741,0.01862,0.020021,3422906.84476918
REZ-EUR,1740700800000,0.019428,0.02132,0.017463,0.020682,33719862.77611892
REZ-EUR,1740614400000,0.020058,0.024621,0.019265,0.019366,145536064.17688397
REZ-EUR,1740528000000,0.015908,0.021843,0.015707,0.019954,50739077.2233412
REZ-EUR,1740441600000,0.012763,0.018463,0.012763,0.015937,51548397.9029794
REZ-EUR,1740355200000,0.016,0.016,0.012785,0.013381,2340621.77073957
REZ-EUR,1740268800000,0.01692,0.017254,0.01611,0.016196,1267451.78970168
REZ-EUR,1740182400000,0.015445,0.017119,0.015362,0.016858,1730194.5781143
REZ-EUR,1740096000000,0.016481,0.017174,0.01524,0.015515,1924571.5707052
REZ-EUR,1740009600000,0.015512,0.016494,0.015512,0.016382,1691489.14252828
REZ-EUR,1739923200000,0.014404,0.015349,0.014404,0.015292,1132511.82586275
REZ-EUR,1739836800000,0.015496,0.015554,0.013813,0.014583,449264.32275324
REZ-EUR,1739750400000,0.015633,0.016446,0.015138,0.015696,465902.4448217
REZ-EUR,1739664000000,0.015596,0.016282,0.015383,0.015495,1469499.30696884
REZ-EUR,1739577600000,0.016019,0.016122,0.015405,0.015545,924303.98191385
REZ-EUR,1739491200000,0.016023,0.016714,0.015729,0.016193,1125288.69626665
REZ-EUR,1739404800000,0.016329,0.0166,0.015293,0.015758,1337668.4153457
REZ-EUR,1739318400000,0.015294,0.016885,0.014678,0.016302,3930301.86457573
REZ-EUR,1739232000000,0.01586,0.016847,0.014972,0.01525,2054646.23477639
REZ-EUR,1739145600000,0.014892,0.015826,0.014253,0.015389,3890425.53529789
REZ-EUR,1739059200000,0.015329,0.015674,0.014002,0.014623,3016497.41150275
REZ-EUR,1738972800000,0.01428,0.015379,0.014224,0.015373,6428462.27416461
REZ-EUR,1738886400000,0.014648,0.015879,0.013637,0.014344,8270771.5304994
REZ-EUR,1738800000000,0.015858,0.016003,0.014261,0.014292,1403267.34459252
REZ-EUR,1738713600000,0.01609,0.01653,0.015476,0.015723,2563626.63092846
REZ-EUR,1738627200000,0.017819,0.017829,0.015549,0.01618,8162648.57041193
REZ-EUR,1738540800000,0.017466,0.018378,0.014353,0.018147,11328778.12632118
REZ-EUR,1738454400000,0.022029,0.022088,0.017603,0.018372,5003654.09484033
REZ-EUR,1738368000000,0.024413,0.024413,0.021489,0.021831,1888493.79653832
REZ-EUR,1738281600000,0.024191,0.025752,0.023871,0.024277,4670548.3277156
REZ-EUR,1738195200000,0.022752,0.024589,0.022727,0.023858,6721487.53567119
REZ-EUR,1738108800000,0.021574,0.023404,0.021407,0.02289,2368932.53385654
REZ-EUR,1738022400000,0.023893,0.023893,0.021504,0.021782,956555.71668697
REZ-EUR,1737936000000,0.02417,0.024214,0.021463,0.023664,1020860.81895615
REZ-EUR,1737849600000,0.025106,0.025824,0.024513,0.024513,760894.29190205
REZ-EUR,1737763200000,0.026344,0.026344,0.024052,0.025265,4031519.70300542
REZ-EUR,1737676800000,0.026,0.028259,0.026,0.026665,1991164.02661279
REZ-EUR,1737590400000,0.027082,0.027807,0.026122,0.027321,1939858.08190713
REZ-EUR,1737504000000,0.028926,0.029108,0.027636,0.027636,1117816.85525448
REZ-EUR,1737417600000,0.028136,0.029248,0.026158,0.028805,2485387.77162607
REZ-EUR,1737331200000,0.02927,0.03174,0.02841,0.029,6985239.83279292
REZ-EUR,1737244800000,0.031338,0.034816,0.029225,0.029644,7076904.25312365
REZ-EUR,1737158400000,0.034639,0.034639,0.030984,0.031334,3295185.61866213
REZ-EUR,1737072000000,0.032425,0.034801,0.032308,0.03452,2040511.88651284
REZ-EUR,1736985600000,0.032302,0.032744,0.031446,0.031842,1514422.21062032
REZ-EUR,1736899200000,0.030273,0.032956,0.029634,0.032638,1296824.02698391
REZ-EUR,1736812800000,0.029219,0.030487,0.029143,0.030408,1517394.99076195
REZ-EUR,1736726400000,0.030952,0.030952,0.027005,0.029106,2400671.71264041
REZ-EUR,1736640000000,0.030495,0.030949,0.029869,0.030152,550265.01384378
REZ-EUR,1736553600000,0.031063,0.031736,0.030486,0.030936,427059.11002395
REZ-EUR,1736467200000,0.030587,0.031807,0.030486,0.031007,2083608.88819924
REZ-EUR,1736380800000,0.031523,0.031523,0.029445,0.02996,2663607.27749745
REZ-EUR,1736294400000,0.033709,0.033709,0.03,0.031697,2175820.01115621
REZ-EUR,1736208000000,0.037835,0.037835,0.033492,0.034059,2455252.91587437
REZ-EUR,1736121600000,0.037675,0.039548,0.037465,0.037903,1481741.7083843
REZ-EUR,1736035200000,0.038574,0.038817,0.0375,0.038817,728278.32941521
REZ-EUR,1735948800000,0.03888,0.039387,0.038,0.038973,1453974.84858932
REZ-EUR,1735862400000,0.036634,0.039408,0.035986,0.038976,2640618.55813059
REZ-EUR,1735776000000,0.035499,0.037344,0.035287,0.03658,1349608.85093901
REZ-EUR,1735689600000,0.034146,0.035292,0.032891,0.035006,755991.68626171
REZ-EUR,1735603200000,0.034476,0.035645,0.033216,0.03402,1644983.75096959
REZ-EUR,1735516800000,0.036126,0.036303,0.033775,0.034537,2304983.20324243
REZ-EUR,1735430400000,0.036497,0.036497,0.034189,0.034561,376138.32331403
REZ-EUR,1735344000000,0.034777,0.036679,0.034478,0.036476,1804729.16708966
REZ-EUR,1735257600000,0.032813,0.037632,0.032539,0.0345,9500296.11985755
REZ-EUR,1735171200000,0.035631,0.035679,0.032348,0.032722,2284568.58121115
REZ-EUR,1735084800000,0.036824,0.037553,0.035394,0.035901,2424523.0139488
REZ-EUR,1734998400000,0.03619,0.03733,0.034731,0.036802,1777847.01851491
REZ-EUR,1734912000000,0.033546,0.036938,0.032816,0.036037,1230501.37914303
REZ-EUR,1734825600000,0.034447,0.035325,0.032448,0.033963,1708221.65806695
REZ-EUR,1734739200000,0.037322,0.039596,0.03394,0.03394,5375788.49966679
REZ-EUR,1734652800000,0.0358,0.037969,0.029923,0.037434,11637209.70420462
REZ-EUR,1734566400000,0.039788,0.040493,0.034,0.036028,5894524.4565406
REZ-EUR,1734480000000,0.045053,0.04508,0.039,0.040741,4543216.36221136
REZ-EUR,1734393600000,0.049791,0.050531,0.044593,0.045098,1192404.63865192
REZ-EUR,1734307200000,0.051447,0.053229,0.046996,0.050425,3429542.21434683
REZ-EUR,1734220800000,0.047548,0.05295,0.045908,0.050806,4062929.18202675
REZ-EUR,1734134400000,0.051229,0.051229,0.045978,0.047694,1151004.29332604
REZ-EUR,1734048000000,0.051967,0.051967,0.049458,0.050412,2180629.29672162
REZ-EUR,1733961600000,0.049406,0.054353,0.048969,0.05184,2755137.61160267
REZ-EUR,1733875200000,0.045999,0.051065,0.043905,0.0493,3565520.70090394
REZ-EUR,1733788800000,0.046827,0.054815,0.0435,0.04598,16120064.65718165
REZ-EUR,1733702400000,0.059141,0.059141,0.03992,0.047538,8222408.46501127
REZ-EUR,1733616000000,0.059654,0.059843,0.05665,0.059475,1510496.32085609
REZ-EUR,1733529600000,0.061227,0.062692,0.05855,0.059928,2139808.51673901
REZ-EUR,1733443200000,0.055403,0.063801,0.055372,0.060921,3236864.68373542
REZ-EUR,1733356800000,0.05818,0.059797,0.054049,0.05571,5658727.60482049
REZ-EUR,1733270400000,0.059155,0.062309,0.057202,0.057579,7577247.54759024
REZ-EUR,1733184000000,0.055,0.059332,0.052045,0.059233,5323178.08641888
REZ-EUR,1733097600000,0.052764,0.055511,0.048073,0.05479,6089370.94758068
REZ-EUR,1733011200000,0.054364,0.055129,0.051581,0.052692,3548579.82943171
REZ-EUR,1732924800000,0.049642,0.055823,0.049413,0.05459,6631947.34592583
REZ-EUR,1732838400000,0.049637,0.050125,0.047777,0.049763,4088092.08273849
REZ-EUR,1732752000000,0.050627,0.051839,0.048642,0.05007,3184785.1109023
REZ-EUR,1732665600000,0.043643,0.053116,0.043586,0.051098,15732830.39806847
REZ-EUR,1732579200000,0.046229,0.046735,0.040295,0.044095,9830368.87514311
REZ-EUR,1732492800000,0.045516,0.049372,0.04352,0.046268,8354410.91871995
REZ-EUR,1732406400000,0.039609,0.046545,0.037718,0.045687,14348063.12324263
REZ-EUR,1732320000000,0.036732,0.040485,0.036645,0.039812,6353756.84510738
REZ-EUR,1732233600000,0.035866,0.036926,0.034,0.036914,5351098.39918956
REZ-EUR,1732147200000,0.032007,0.039661,0.03059,0.035766,9125278.6265609
REZ-EUR,1732060800000,0.034476,0.034943,0.031727,0.032,1998968.79883407
REZ-EUR,1731974400000,0.037494,0.037494,0.03365,0.034119,1235510.30609723
REZ-EUR,1731888000000,0.03412,0.037263,0.034013,0.037263,2412600.3849611
REZ-EUR,1731801600000,0.037506,0.037556,0.03358,0.034334,3933223.6367717
REZ-EUR,1731715200000,0.035853,0.038004,0.035555,0.036886,3340196.77799271
REZ-EUR,1731628800000,0.035369,0.036391,0.033669,0.035821,4672037.34989954
